백지영	백지영/NNP
대회	대회/NNG
스타킹’에	스타킹/NNG+’/SL+에/JKB
출연해	출연하/VV+여/EC
가수	가수/NNG
백지영의	백지영/NNP+의/JKG
‘나를	‘/SL+나/NP+를/JKO
잊지말아요’를	잊지말/VV+아요/EC+’/SL+를/JKO
불러	부르/VV+어/EC
절대음각으로	절대음각/NNG+으로/JKB
큰	크/VA+ㄴ/ETM
호응을	호응/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

현재	현재/MAG
이	이/MM
양은	양/NNG+은/JX
한빛예술단의	한빛예술단/NNP+의/JKG
'블루오션'	'/SS+블루오션/NNG+'/SS
보컬로	보컬/NNG+로/JKB
활동하고	활동하/VV+고/EC
있다	있/VX+다/EC
