국민관광지	국민관광지/NNG
밖으로	밖/NNG+으로/JKB
나가	나가/VV+아/EC
설치된	설치되/VV+ㄴ/ETM
세면대를	세면대/NNG+를/JKO
사용해야	사용하/VV+여야/EC
했는데,	하/VX+였/EP+는데/EC+,/SP
휠체어가	휠체어/NNG+가/JKS
들어	들/VV+어/EC
갈	가/VV+ㄹ/ETM
공간에	공간/NNG+에/JKB
배수관이	배수관/NNG+이/JKS
있어	있/VA+어/EC
접근	접근/NNG
불편을	불편/NNG+을/JKO
야기	야기/NNG
시켰을	시키/VV+었/EP+을/ETM
분만	분/NNB+만/JX
아니라	아니/VCN+라/EC
손잡이가	손잡이/NNG+가/JKS
없어	없/VA+어/EC
목발을	목발/NNG+을/JKO
이용하는	이용하/VV+는/ETM
장애인의	장애인/NNG+의/JKG
경우	경우/NNG
넘어져	넘어지/VV+어/EC
다칠	다치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

관광안내소	관광안내소/NNG
옆	옆/NNG
남자공중화장실	남자공중화장실/NNG
소변기의	소변기/NNG+의/JKG
경우	경우/NNG
양	양/MM
옆에	옆/NNG+에/JKB
손잡이가	손잡이/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
반면,	반면/NNG+,/SP
변기가	변기/NNG+가/JKS
높아	높/VA+아/EC
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인의	장애인/NNG+의/JKG
사용이	사용/NNG+이/JKS
불편했다	불편하/VA+었/EP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
오동도	오동/NNG+도/JX
산책로	산책로/NNG
등에는	등/NNB+에/JKB+는/JX
5곳의	5/SN+곳/NNG+의/JKG
공중화장실과	공중화장실/NNG+과/JC
그	그/MM
안에	안/NNG+에/JKB
장애인화장실이	장애인화장실/NNG+이/JKS
마련돼	마련되/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
장애인	장애인/NNG
편의시설	편의시설/NNG
수준은	수준/NNG+은/JX
앞서	앞서/MAG
설명한	설명하/VV+ㄴ/ETM
관광안내소	관광안내소/NNG
옆	옆/NNG
공중화장실과	공/XPN+중화장실/NNG+과/JKB
다를	다르/VA+ㄹ/ETM
바가	바/NNB+가/JKS
없었다	없/VA+었/EP+다/EF

점검을	점검/NNG+을/JKO
같이한	같이하/VV+ㄴ/ETM
여수장애인자립생활센터	여수장애인자립생활센터/NNG
박대욱	박대욱/NNP
소장을	소장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
회원들은	회원/NNG+들/XSN+은/JX
장애인화장실	장애인화장실/NNG
수가	수/NNG+가/JKS
많아	많/VA+아/EC
보이지만	보이/VV+지만/EC
정작	정작/NNG
장애인들이	장애인/NNG+들/XSN+이/JKS
편하게	편하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
곳은	곳/NNG+은/JX
한곳도	한곳/NNG+도/JX
없었다고	없/VA+었/EP+다고/EC
지적했다	지적하/VV+였/EP+다/EF

또한	또한/MAG
상점에	상점/NNG+에/JKB
턱이	턱/NNG+이/JKS
있어	있/VA+어/EC
출입이	출입/NNG+이/JKS
불가능	불가능/NNG
하는	하/VV+는/ETM
등	등/NNB
국민광광지로	국민광광지/NNG+로/JKB
소문난	소문나/VV+ㄴ/ETM
오동도가	오동도/NNP+가/JKS
장애인	장애인/NNG
편의시설은	편의시설/NNG+은/JX
엉망이라고	엉망/NNG+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편	한편/MAG
오동도	오동/NNG+도/JX
관리사무소	관리사무소/NNG
관계자는	관계자/NNG+는/JX
불편사항에	불편사항/NNG+에/JKB
대해	대하/VV+여/EC
개선해	개선하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

오동도	오동/NNG+도/JX
입구의	입구/NNG+의/JKG
남녀공중화장실	남녀공중화장실/NNG
안에	안/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
장애인화장실	장애인화장실/NNG
내부	내부/NNG

여기에는	여기/NP+에/JKB+는/JX
비상호출버튼,	비상호출버튼/NNP+,/SP
용변기	용변/NNG+기/XSN
뒤	뒤/NNG
등받이,	등받이/NNG+,/SP
손	손/NNG
또는	또는/MAG
발로	발/NNG+로/JKB
눌러	누르/VV+어/EC
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
세정장치가	세정장치/NNG+가/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
오동도	오동/NNG+도/JX
광장	광장/NNG
음식점	음식점/NNG
옆	옆/NNG
맨발공원	맨발공/NNG+원/XSN
입구에	입구/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
비장애인화장실	비장애인화장실/NNG

이곳의	이곳/NP+의/JKG
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
그	그/MM
밑에	밑/NNG+에/JKB
점자블곡이	점자블곡/NNG+이/JKS
없다	없/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
오동도	오동/NNG+도/JX
광장	광장/NNG
음식점	음식점/NNG
옆	옆/NNG
맨발공원	맨발공/NNG+원/XSN
입구에는	입구/NNG+에/JKB+는/JX
남녀비장애인화장실이	남녀비장애인화장실/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
장애인화장실은	장애인화장실/NNG+은/JX
남자비장애인화장실	남자비장애인화장실/NNG
입구에	입구/NNG+에/JKB
남녀공용으로	남녀공용/NNG+으로/JKB
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

그런데	그런데/MAJ
전동휠체어를	전동휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
내부로	내부/NNG+로/JKB
들어가	들어가/VV+아/EC
문을	문/NNG+을/JKO
닫을	닫/VV+을/ETM
수가	수/NNB+가/JKS
없다	없/VA+다/EF

내부공간이	내부공간/NNG+이/JKS
좁은	좁/VA+은/ETM
상태인데도	상태/NNG+이/VCP+ㄴ데/EC+도/JX
불구하고,	불구하/VV+고/EC+,/SP
출입문이	출입문/NNG+이/JKS
공간을	공간/NNG+을/JKO
많이	많이/MAG
차지하고	차지하/VV+고/EC
불편한	불편하/VA+ㄴ/ETM
접이식이기	접이식/NNG+이/VCP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
맨발공원	맨발공/NNG+원/XSN
입구	입구/NNG
남녀공용장애인화장실	남녀공용장애인화장실/NNG
내부에는	내부/NNG+에/JKB+는/JX
세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
튀어	튀/VV+어/EC
나와	나오/VV+아/EC
있고,	있/VX+고/EC+,/SP
용변기	용변/NNG+기/XSN
뒤	뒤/NNG
등받이와	등받이/NNG+와/JC
비상호출버튼이	비/XPN+상호출버튼/NNG+이/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
맨발공원	맨발공/NNG+원/XSN
입구	입구/NNG
남녀공용장애인화장실	남녀공용장애인화장실/NNG
내부	내부/NNG
문고리가	문고리/NNG+가/JKS
고장나	고장/NNG+나/VV+아/EC
문을	문/NNG+을/JKO
잠글	잠그/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
계단에	계단/NNG+에/JKB
점자블록이	점자블록/NNG+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
좌측의	좌측/NNG+의/JKG
경사로에	경사로/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
점자블록은	점자블록/NNG+은/JX
없애야	없애/VV+어야/EC
한다	하/VX+ㄴ다/EF

휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
이동	이동/NNG
불편만	불편/NNG+만/JX
초래할	초래하/VV+ㄹ/ETM
뿐이기	뿐/NNB+이/VCP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
관광안내소	관광안내소/NNG
옆	옆/NNG
남녀공중화장실	남녀공중화장실/NNG
입구에	입구/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
점자블록	점자블록/MAG
위에는	위/NNG+에/JKB+는/JX
출입문이	출입문/NNG+이/JKS
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
시각장애인이	시각장애인/NNG+이/JKS
따라	따르/VV+아/EC
걷다	걷/VV+다/EC
부딪칠	부딪치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다	있/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNG
관광안내소	관광안내소/NNG
옆	옆/NNG
남녀공중화장실	남녀공중화장실/NNG
안에는	안/NNG+에/JKB+는/JX
장애인화장실이	장애인화장실/NNG+이/JKS
마련돼	마련되/VV+어/EC
있는데	있/VX+는데/EC
출입문이	출입문/NNG+이/JKS
여닫이인데다,	여닫이/NNG+이/VCP+ㄴ데/EC+다/JX+,/SP
좁은	좁/VA+은/ETM
내부에	내부/NNG+에/JKB
유아용	유아/NNG+용/XSN
변기까지	변기/NNG+까지/JX
있어	있/VA+어/EC
전동휠체어를	전동휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
들어가기에는	들어가/VV+기/ETN+에/JKB+는/JX
힘들고,	힘들/VA+고/EC+,/SP
문을	문/NNG+을/JKO
닫으르	닫/VV+으르/EC
수가	수/NNG+가/JKS
없다	없/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNG
관광안내소	관광안내소/NNG
옆	옆/NNG
남녀공중화장실	남녀공중화장실/NNG
안에	안/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
세면대	세면대/NNG

손잡이가	손잡이/NNG+가/JKS
없고,	없/VA+고/EC+,/SP
휠체어가	휠체어/NNG+가/JKS
들어갈	들어가/VV+ㄹ/ETM
공간에	공간/NNG+에/JKB
수도	수도/NNG
파이프가	파이프/NNG+가/JKS
보인다	보일/VV+ㄴ다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
