"교도소	"/SS+교도소/NNG
것에	것/NNB+에/JKB
대해	대하/VV+여/EC
항의해	항의하/VV+여/EC
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
대구를	대구/NNP+를/JKO
출발해	출발하/VV+여/EC
대마도를	대마도/NNP+를/JKO
돌아오는	돌아오/VV+는/ETM
휠체어대장정을	휠체어대장정/NNG+을/JKO
벌이기도	벌이/VV+기/ETN+도/JX
하는	하/VX+는/ETM
등	등/NNB
장애인들의	장애인/NNG+들/XSN+의/JKG
인권향상을	인권향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
노력을	노력/NNG+을/JKO
해	하/VV+여/EC
왔다	오/VX+았/EP+다/EF

최	최/NNP
대표는	대표/NNG+는/JX
그러나	그러나/MAJ
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
대구시장을	대구/NNP+시장/NNG+을/JKO
상대로	상대/NNG+로/JKB
장애인복지와	장애인복지/NNG+와/JC
인권에	인권/NNG+에/JKB
대해	대하/VV+여/EC
시위를	시위/NNG+를/JKO
벌이던	벌이/VV+던/ETM
중	중/NNB
타고	타/VV+고/EC
있던	있/VX+던/ETM
전동휠체어로	전동휠체어/NNG+로/JKB
경찰차량을	경찰차량/NNG+을/JKO
파손하고	파손하/VV+고/EC
경찰관에게	경찰관/NNG+에게/JKB
돌진해	돌진하/VV+여/EC
발가락을	발가락/NNG+을/JKO
골절시킨	골절/NNG+시키/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
재판을	재판/NNG+을/JKO
받아왔었다	받/VV+아/EC+오/VX+았었/EP+다/EF

지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
오전	오전/NNG
00시	00/SN+시/NNB
대구장애인차별감시연대	대/XPN+구장애인차별감시연대/NNG
소속	소속/NNG
회원들이	회원/NNG+들/XSN+이/JKS
서울	서울/NNP
강남의	강남/NNP+의/JKG
권재진	권재진/NNP
장관	장관/NNG
아파트	아파트/NNG
앞에서	앞/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
구속된	구속되/VV+ㄴ/ETM
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
치료를	치료/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
해달라고	하/VX+여/EC+달/VX+라고/EC
요구하는	요구하/VV+는/ETM
시위를	시위/NNG+를/JKO
벌였다	벌이/VV+었/EP+다/EF

최	최/NNP
대표는	대표/NNG+는/JX
포항교도소에서	포항/NNP+교도소/NNG+에서/JKB
의료처우를	의료처우/NNG+를/JKO
제대로	제대로/MAG
해주지	하/VV+여/EC+주/VX+지/EC
않고	않/VX+고/EC
평상시	평상시/NNG
복용하던	복용하/VV+던/ETM
진통제도	진통제도/NNG
반입을	반입/NNG+을/JKO
못하게	못하/VV+게/EC
하는	하/VX+는/ETM
바람에	바람/NNB+에/JKB
수감	수감/NNG
이후	이후/NNG
허리	허리/NNG
통증이	통증/NNG+이/JKS
심해져	심하/VA+여/EC+지/VX+어/EC
휠체어에	휠체어/NNG+에/JKB
앉지	앉/VV+지/EC
못하고	못하/VX+고/EC
누워서만	눕/VV+어서/EC+만/JX
지내고	지내/VV+고/EC
있다는	있/VX+다는/ETM
주장이다	주장/NNG+이/VCP+다/EC

여기에	여기/NP+에/JKB
교도소에서	교도소/NNG+에서/JKB
제공하는	제공하/VV+는/ETM
신약	신약/NNG
진통제는	진통제/NNG+는/JX
몸에	몸/NNG+에/JKB
맞지	맞/VV+지/EC
않지만	않/VX+지만/EC
억지로	억지로/MAG
먹게	먹/VV+게/EC
해	하/VX+여/EC
위가	위/NNG+가/JKS
나빠져	나빠지/VV+어/EC
1주일동안	1/SN+주일/NNB+동안/NNG
식사도	식사/NNG+도/JX
제대로	제대로/MAG
못했다고	못하/VV+였/EP+다고/EC
주장했다	주장하/VV+였/EP+다/EF

이	이/MM
단체	단체/NNG
한	한/MM
관계자는	관계자/NNG+는/JX
"최	"/SS+최/NNP
대표가	대표/NNG+가/JKS
상태가	상태/NNG+가/JKS
악화돼	악화되/VV+어/EC
지난	지나/VV+ㄴ/ETM
8월10일부터	8/SN+월/NNB+10/SN+일/NNB+부터/JX
16일까지	16/SN+일/NNB+까지/JX
포항의	포항/NNP+의/JKG
성모병원에	성모병원/NNG+에/JKB
입원해	입원하/VV+여/EC
치료	치료/NNG
후	후/NNG
재수감됐지만	재/XPN+수감/NNG+되/XSV+었/EP+지만/EC
아픈	아프/VA+ㄴ/ETM
곳이	곳/NNG+이/JKS
재발해	재발하/VV+여/EC
통증을	통증/NNG+을/JKO
호소하고	호소하/VV+고/EC
있으나	있/VX+으나/EC
교도소에서는	교도소/NNG+에서/JKB+는/JX
재입원요구를	재입원요구/NNG+를/JKO
무시하고	무시하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

이	이/MM
관계자는	관계자/NNG+는/JX
"지난	"/SS+지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
최	최/NNP
대표를	대표/NNG+를/JKO
진료한	진료/NNG+하/XSV+ㄴ/ETM
의사에게서	의사/NNG+에게서/JKB
'통증이	'/SS+통증/NNG+이/JKS
재발하고	재발하/VV+고/EC
위가	위/NNG+가/JKS
나빠져	나빠지/VV+어/EC
식사를	식사/NNG+를/JKO
못하고	못하/VV+고/EC
구토를	구토/NNG+를/JKO
하는	하/VV+는/ETM
등의	등/NNB+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
대형병원에	대형병원/NNG+에/JKB
가서	가/VV+아서/EC
정밀검사를	정밀검사/NNG+를/JKO
받아야	받/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
교도소	교도소/NNG
담당의사한테	담당의사/NNG+한테/JKB
전했다'는	전하/VV+였/EP+다/EF+'/SS+는/JX
말을	말/NNG+을/JKO
들었다"고	듣/VV+었/EP+다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

장애인차별감시연대는	장애인차별감시연대/NNG+는/JX
대학병원에서	대학병원/NNG+에서/JKB
정밀진료를	정밀진료/NNG+를/JKO
허가하고	허가하/VV+고/EC
최	최/NNP
대표가	대표/NNG+가/JKS
평소	평소/NNG
복용하던	복용하/VV+던/ETM
한약	한약/NNG
반입	반입/NNG
등	등/NNB
한방진료를	한방진료/NNG+를/JKO
허용해달라는	허용하/VV+여/EC+달/VX+라는/ETM
요구를	요구/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

이들은	이/NP+들/XSN+은/JX
"상식적인	"/SS+상식적/NNG+이/VCP+ㄴ/ETM
의료조치	의료조치/NNG
요청이	요청/NNG+이/JKS
묵살되고,	묵살되/VV+고/EC+,/SP
환자의	환자/NNG+의/JKG
통증을	통증/NNG+을/JKO
무시하고	무시하/VV+고/EC
생명만	생명/NNG+만/JX
유지하는	유지하/VV+는/ETM
선에서	선/NNG+에서/JKB
진통제주사	진통제주사/NNG
정도로만	정도/NNG+로/JKB+만/JX
의료조치를	의료조치/NNG+를/JKO
한다는	하/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
고문과	고문/NNG+과/JKB
다를	다르/VA+ㄹ/ETM
것이	것/NNB+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
포항교도소와	포항교도소/NNP+와/JC
법무부장관을	법무부장관/NNG+을/JKO
비난했다	비난하/VV+였/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
포항교도소	포항교도소/NNP
의료담당	의료담당/NNG
관계자는	관계자/NNG+는/JX
"음식을	"/SS+음식/NNG+을/JKO
못먹을	못/MAG+먹/VV+을/ETM
경우에는	경우/NNG+에/JKB+는/JX
바나나	바나나/NNG
등	등/NNB
충분히	충분히/MAG
소화가	소화/NNG+가/JKS
가능한	가능하/VA+ㄴ/ETM
음식을	음식/NNG+을/JKO
반입해주어	반입하/VV+여/EC+주/VX+어/EC
건강할	건강하/VA+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
돌보고	돌보/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"매일	"/SS+매일/MAG
건강을	건강/NNG+을/JKO
체크하고	체크하/VV+고/EC
양약으로	양약/NNG+으로/JKB
치료해도	치료하/VV+여도/EC
충분하기	충분하/VA+기/ETN
때문에	때문/NNB+에/JKB
한약반입을	한약반입/NNG+을/JKO
불허하고	불허하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
해명했다	해명하/VV+였/EP+다/EC

또	또/MAG
한약의	한약/NNG+의/JKG
경우	경우/NNG
약	약/NNG
성분을	성분/NNG+을/JKO
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
불허할	불허하/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없다는	없/VA+다는/ETM
입장을	입장/NNG+을/JKO
나타냈다	나타내/VV+었/EP+다/EF

오마이뉴스(www	오마이뉴스/NNP+(/SS+www/SL

ohmynews	ohmynews/SL

com)	com/SL+)/SS
/	//SP
에이블뉴스	에이블뉴스/NNP
제휴사-	제휴사/NNG+-/SO
Copyrights	Copyrights/SL
ⓒ	ⓒ/SL
오마이뉴스,	오마이뉴스/NNP+,/SP
무단	무단/NNG
전재	전재/NNG
및	및/MAG
재배포	재배포/NNG
금지	금지/NNG
-	-/SO
