서울	서울/NNP
편리한	편리하/VA+ㄴ/ETM
교통	교통/NNG
서비스	서비스/NNG
제공	제공/NNG
대중교통	대중교통/NNG
경영합리화	경영합리화/NNG
안전한	안전하/VA+ㄴ/ETM
이용환경	이용환경/NNG
조성	조성/NNG
대중교통	대중교통/NNG
활성화를	활성화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
교통수요관리	교통수요관리/NNG
등	등/NNB
5가지로	5/SN+가지/NNB+로/JKB
구성됐다	구성되/VV+었/EP+다/EF

먼저	먼저/MAG
대중교통을	대중교통/NNG+을/JKO
보다	보다/MAG
효율적으로	효율적/NNG+으로/JKB
운영하여	운영하/VV+여/EC
시민의	시민/NNG+의/JKG
필요와	필요/NNG+와/JC
기대에	기대/NNG+에/JKB
부합하는	부합하/VV+는/ETM
교통환경을	교통환경/NNG+을/JKO
조성하기	조성하/VV+기/ETN
위해	위하/VV+여/EC
다양한	다양하/VA+ㄴ/ETM
형태의	형태/NNG+의/JKG
서비스를	서비스/NNG+를/JKO
도입하고,	도입하/VV+고/EC+,/SP
사각지대	사각지대/NNG
없는	없/VA+는/ETM
도시철도망을	도시철도망/NNG+을/JKO
구축한다	구축하/VV+ㄴ다/EF

서울에서	서울/NNP+에서/JKB
외곽으로	외곽/NNG+으로/JKB
나가는	나가/VV+는/ETM
버스가	버스/NNG+가/JKS
논스톱으로	논스톱/NNG+으로/JKB
이동하는	이동하/VV+는/ETM
‘공차회송버스’	‘/SL+공차회송버스/NNG+’/SN
등	등/NNB
수요에	수요/NNG+에/JKB
탄력적으로	탄력적/NNG+으로/JKB
대응하는	대응하/VV+는/ETM
다양한	다양하/VA+ㄴ/ETM
버스시스템을	버스시스템/NNG+을/JKO
도입	도입/NNG
및	및/MAG
확대해	확대하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

또한	또한/MAG
사각지대	사각지대/NNG
없는	없/VA+는/ETM
도시철도망을	도시철도망/NNG+을/JKO
구축하기	구축하/VV+기/ETN
위해	위하/VV+여/EC
‘도시철도기본계획’을	‘/SL+도시철도기본계획/NNG+’/SL+을/JKO
재정비하고,	재정비하/VV+고/EC+,/SP
시내버스의	시내버스/NNG+의/JKG
절반	절반/NNG
이상인	이상/NNG+이/VCP+ㄴ/ETM
4053대(전체의	4053/SN+대/NNB+(/SS+전체/NNG+의/JKG
55%)를	55/SN+%/SW+)/SS+를/JKO
‘저상버스’로	‘/SN+저상버스’/NNG+로/JKB
교체한다	교체하/VV+ㄴ다/EF

‘장애인	‘/SL+장애인/NNG
콜택시’도	콜택시’/NNG+도/JX
현재	현재/MAG
360대에서	360/SN+대/NNB+에서/JKB
600대	600/SN+대/NNB
이상으로	이상/NNG+으로/JKB
확대해	확대하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

또한	또한/MAG
시민	시민/NNG
생활공간의	생활공간/NNG+의/JKG
일부로	일부/NNG+로/JKB
자리잡은	자리/NNG+잡/VV+은/ETM
시내버스와	시내버스/NNG+와/JC
지하철	지하철/NNG
이용환경을	이용환경/NNG+을/JKO
개선하고,	개선하/VV+고/EC+,/SP
교통약자를	교통약자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
편의도	편의/NNG+도/JX
높여나갈	높이/VV+어/EC+나가/VX+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

버스는	버스/NNG+는/JX
내부	내부/NNG
조명,	조명/NNG+,/SP
의자	의자/NNG
등을	등/NNB+을/JKO
교체해	교체하/VV+여/EC
안락한	안락하/VA+ㄴ/ETM
승차환경을	승차환경/NNG+을/JKO
제공하고,	제공하/VV+고/EC+,/SP
버스도착안내단말기(BIT)	버스도착안내단말기/NNG+(/SS+BIT/SL+)/SS
확대	확대/NNG
설치와	설치/NNG+와/JKB
함께	함께/MAG
쉘터?노선도	쉘터/NNG+?/SF+노선도/NNG
등	등/NNB
정류소	정류소/NNG
환경도	환경/NNG+도/JX
정비해	정비하/VV+여/EC
버스대기	버스대기/NNG
편의를	편의/NNG+를/JKO
높여	높이/VV+어/EC
나간다	나가/VX+ㄴ다/EF

지하철의	지하철/NNG+의/JKG
경우,	경우/NNG+,/SP
1역당	1/SN+역/NNG+당/XSN
엘리베이터를	엘리베이터/NNG+를/JKO
1대	1/SN+대/NNB
이상	이상/NNG
설치하고,	설치하/VV+고/EC+,/SP
가능한	가능하/VA+ㄴ/ETM
모든	모든/MM
계단에	계단/NNG+에/JKB
에스컬레이터를	에스컬레이터/NNG+를/JKO
설치할	설치하/VV+ㄹ/ETM
계획이며	계획/NNG+이/VCP+며/EC
임신부석을	임신부석/NNG+을/JKO
별도로	별도/NNG+로/JKB
마련하고	마련하/VV+고/EC
장애인	장애인/NNG
화장실을	화장실/NNG+을/JKO
정비하는	정비하/VV+는/ETM
등	등/NNB
교통약자를	교통약자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
배려	배려/NNG
또한	또한/MAG
강화한다	강화하/VV+ㄴ다/EF

이외에도	이외/NNG+에/JKB+도/JX
버스	버스/NNG
준공영제도를	준공영제도/NNG+를/JKO
효율적으로	효율적/NNG+으로/JKB
정비,	정비/NNG+,/SP
계절	계절/NNG
및	및/MAG
시기별	시기/NNG+별/XSN
특별안전대책을	특별안전대책/NNG+을/JKO
마련,	마련/NNG+,/SP
실효성	실효성/NNG
있는	있/VA+는/ETM
교통수요관리	교통수요관리/NNG
등도	등/NNB+도/JX
함께	함께/MAG
추진할	추진하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
