장애인편의	장애인편/NNG+의/JKG
바로	바로/MAG
옆에	옆/NNG+에/JKB
있어	있/VA+어/EC
곧바로	곧바로/MAG
도움을	도움/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다	것/NNB+이/VCP+다/EC

신청사를	신/XPN+청사/NNG+를/JKO
건축한	건축하/VV+ㄴ/ETM
삼성물산	삼성물산/NNP
관계자는	관계자/NNG+는/JX
엘리베이터를	엘리베이터/NNG+를/JKO
설치하기에는	설치하/VV+기/ETN+에/JKB+는/JX
높이가	높이/NNG+가/JKS
부족해서	부족하/VA+여서/EC
부득이하게	부득이하/VA+게/EC
수직형리프트를	수직형리프트/NNG+를/JKO
설치할	설치하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다고	없/VA+었/EP+다고/EC
설명했다	설명하/VV+었/EP+다/EC

1층	1/SN+층/NNG
장애인복지과	장애인복지/NNG+과/JC
입구를	입구/NNG+를/JKO
비롯해	비롯하/VV+여/EC
신청사에는	신청/NNG+사/XSN+에/JKB+는/JX
총	총/MM
6개의	6/SN+개/NNB+의/JKG
음성유도기가	음성유도기/NNG+가/JKS
설치돼	설치되/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
작동상태와	작동상태/NNG+와/JC
음질이	음질/NNG+이/JKS
양호했다	양호하/VA+었/EP+다/EF

계단을	계단/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
처음과	처음/NNG+과/JC
끝부분,	끝부분/NNG+,/SP
중간	중간/NNG
참	참/NNG
부분까지	부분/NNG+까지/JX
점형점자블록이,	점형점자블록이/MAG+,/SP
손잡이에는	손잡이/NNG+에/JKB+는/JX
각층을	각층/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치됐다	설치되/VV+었/EP+다/EF

특히	특히/MAG
9층	9/SN+층/NNG
하늘공원과	하늘공원/NNG+과/JC
8층	8/SN+층/NNG
다목적홀	다목적홀/NNG
계단에	계단/NNG+에/JKB
저시력장애인들을	저시력장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
미끄럼방지	미끄럼방지/NNG
논슬립테이프를	논슬립테이프/NNG+를/JKO
설치한	설치하/VV+ㄴ/ETM
것도	것/NNB+도/JX
눈에	눈/NNG+에/JKB
들어왔다	들어오/VV+았/EP+다/EC

신청사의	신청/NNG+사/XSN+의/JKG
장애인전용주차장을	장애인전용주차장/NNG+을/JKO
비롯해	비롯하/VV+여/EC
모든	모든/MM
주차공간에는	주차공간/NNG+에/JKB+는/JX
사람들이	사람/NNG+들/XSN+이/JKS
빈	비/VV+ㄴ/ETM
곳을	곳/NNG+을/JKO
쉽게	쉽/VA+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
네온사인이	네온사인/NNG+이/JKS
설치됐다	설치되/VV+었/EP+다/EF

장애인전용주차장	장애인전용주차장/NNG
표지판	표지판/NNG
문구도	문구/NNG+도/JX
'장애인	'/SS+장애인/NNG
주차가능	주차가능/NNG
표지가	표지/NNG+가/JKS
부착된	부착되/VV+ㄴ/ETM
차량만	차량/NNG+만/JX
주차할	주차하/VV+ㄹ/ETM
수	수/NNB
있다'고	있/VA+다/EF+'/SS+고/JKQ
돼	되/VV+어/EC
있다	있/VX+다/EF

신청사	신/XPN+청사/NNG
외부에는	외부/NNG+에/JKB+는/JX
지하층으로	지하층/NNG+으로/JKB
내려가는	내려가/VV+는/ETM
엘리베이터가	엘리베이터/NNG+가/JKS
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
이동	이동/NNG
편의를	편의/NNG+를/JKO
더욱	더욱/MAG
높였다	높/VA+었/EP+다/EF

반면	반면/NNG
신청사의	신청/NNG+사/XSN+의/JKG
문제로	문제/NNG+로/JKB
지적할	지적하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
기둥이	기둥/NNG+이/JKS
많아	많/VA+아/EC
시각장애인들의	시각장애인/NNG+들/XSN+의/JKG
이용이,	이용/NNG+이/JKS+,/SP
주출입문	주출입문/NNG
등이	등/NNB+이/JKS
회전문이기	회전문/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
휠체어장애인이	휠체어장애인/NNG+이/JKS
불편하다는	불편하/VA+다는/ETM
점이다	점/NNG+이/VCP+다/EC

점검한	점검하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
약간의	약간/NNG+의/JKG
부족한	부족하/VA+ㄴ/ETM
점도	점/NNG+도/JX
있었지만	있/VA+었/EP+지만/EC
국내에서	국내/NNG+에서/JKB
이렇게까지	이렇/VA+게/EC+까지/JX
장애인편의시설을	장애인편의시설/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
곳을	곳/NNG+을/JKO
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
보였다	보이/VV+었/EP+다/EF

이는	이/NP+는/JX
BF인증을	BF/SL+인증/NNG+을/JKO
담당하고	담당하/VV+고/EC
있는	있/VX+는/ETM
한국장애인개발원의	한국/NNP+장애인개발/NNG+원/XSN+의/JKG
관계자도	관계자/NNG+도/JX
같은	같/VA+은/ETM
생각이다	생각/NNG+이/VCP+다/EC

삼성물산	삼성물산/NNP
관계자는	관계자/NNG+는/JX
"장애인들이	"/SS+장애인/NNG+들/XSN+이/JKS
이용하는데	이용하/VV+는/ETM+데/NNB
편리하도록	편리하/VA+도록/EC
노력했고,	노력하/VV+었/EP+고/EC+,/SP
신청사	신/XPN+청사/NNG
건축을	건축/NNG+을/JKO
하면서	하/VV+면서/EC
장애인편의시설	장애인편의시설/NNG
설치에	설치/NNG+에/JKB
대해	대하/VV+여/EC
많은	많/VA+은/ETM
공부가	공부/NNG+가/JKC
됐다"면서	되/VV+었/EP+다/EF+"/SS+면서/EC
"장애물	"/SS+장애물/NNG
없는	없/VA+는/ETM
생활환경(BF)	생활환경/NNG+(/SS+BF/SL+)/SS
본인증	본인증/NNG
최우수등급을	최우수등급/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
구석구석을	구석구석/NNG+을/JKO
세밀하게	세밀하/VA+게/EC
살펴	살피/VV+어/EC
불편함을	불편하/VA+ㅁ/ETN+을/JKO
해소하도록	해소하/VV+도록/EC
마무리공사를	마무리공사/NNG+를/JKO
잘	잘/MAG
하겠다"고	하/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

서울	서울/NNP
신청사의	신청/NNG+사/XSN+의/JKG
모든	모든/MM
장애인화장실의	장애인화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
터치식자동문이고,	터치식자동문/NNG+이/VCP+고/EC+,/SP
내부도	내부/NNG+도/JX
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
사용하는데	사용하/VV+는/ETM+데/NNB
불편함이	불편하/VA+ㅁ/ETN+이/JKS
없다	없/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
서울	서울/NNP
신청사의	신청/NNG+사/XSN+의/JKG
모든	모든/MM
비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
그	그/MM
옆에	옆/NNG+에/JKB
내부를	내부/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
점자안내판이	점자안내판/NNG+이/JKS
전국에서	전국/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
설치됐다	설치되/VV+었/EP+다/EF

물론	물론/MAG
점자표지판	점자표지판/NNG
밑	밑/NNG
점자블록	점자블록/MAG
설치도	설치/NNG+도/JX
양호했다	양호하/VV+였/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
서울	서울/NNP
신청사에는	신청/NNG+사/XSN+에/JKB+는/JX
남성	남성/NNG
3곳,	3/SN+곳/NNG+,/SP
여성	여성/NNG
3곳	3/SN+곳/NNG
등	등/NNB
총	총/MM
6곳의	6/SN+곳/NNG+의/JKG
가족도우미화장실이	가족도우미화장실/NNG+이/JKS
있다	있/VA+다/EF

여기에는	여기/NP+에/JKB+는/JX
어린이	어린이/NNG
용변기	용변/NNG+기/XSN
및	및/MAG
세면대,	세면대/NNG+,/SP
유아	유아/NNG
거치대,	거치대/NNG+,/SP
기저기	기저기/NNG
교환대가	교환대/NNG+가/JKS
설치돼	설치되/VV+어/EC
있고	있/VX+고/EC
출입문	출입문/NNG
또한	또한/MAG
터치식자동문이다	터치식자동문/NNG+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
가족도우미화장실	가족도우미화장실/NNG
벽면에	벽면/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
'마크'에는	'/SS+마크/NNG+'/SS+에/JKB+는/JX
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
손으로	손/NNG+으로/JKB
만져	만지/VV+어/EC
인지할	인지하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
점자가	점자/NNG+가/JKS
새겨져	새기/VV+어/EC+지/VX+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
9층	9/SN+층/NNG
하늘공원과	하늘공원/NNG+과/JC
8층	8/SN+층/NNG
다목적홀	다목적홀/NNG
계단에는	계단/NNG+에/JKB+는/JX
저시력장애인들을	저시력장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
미끄럼방지	미끄럼방지/NNG
논슬립테이프가	논슬립테이프/NNG+가/JKS
설치됐다	설치되/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
다목적홀에	다목적홀/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
휠체어전용좌석	휠체어전용좌석/NNG

활동보조인과	활동보조인/NNG+과/JKB
같이	같이/MAG
앉을	앉/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
의자가	의자/NNG+가/JKS
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
다목적홀	다목적홀/NNG
단상은	단상/NNG+은/JX
계단이	계단/NNG+이/JKS
3개나	3/SN+개/NNB+나/JX
되지만	되/VV+지만/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
오르내리기에	오르내리/VV+기/ETN+에/JKB
문제가	문제/NNG+가/JKS
없다	없/VA+다/EF

계단이	계단/NNG+이/JKS
자동으로	자동/NNG+으로/JKB
올라왔다,	올라오/VV+았/EP+다/EC+,/SP
내려갔다	내려가/VV+았/EP+다/EC
하기	하/VV+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인전용주차장	장애인전용주차장/NNG
표지판	표지판/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
