‘장애인	‘/SL+장애인/NNG
수급자와	수급자/NNG+와/JC
차상위	차상위/NNG
계층을	계층/NNG+을/JKO
제외한	제외하/VV+ㄴ/ETM
장애인에	장애인/NNG+에/JKB
한해	한하/VV+여/EC
지원대상을	지원대상/NNG+을/JKO
순차적으로	순차적/NNG+으로/JKB
축소하다가	축소하/VV+다가/EC
2010년	2010/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
전면	전면/NNG
중단한	중단하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

개정안에는	개정안/NNG+에/JKB+는/JX
국가와	국가/NNG+와/JC
지방자치단체는	지방자치단체/NNG+는/JX
장애인사용자동차등표지를	장애인사용자동차등표지/NNG+를/JKO
발급받은	발급/NNG+받/VV+은/ETM
장애인	장애인/NNG
중	중/NNB
보건복지부령으로	보건복지부령/NNG+으로/JKB
정하는	정하/VV+는/ETM
장애인에게	장애인/NNG+에게/JKB
석유가스	석유가스/NNG
중	중/NNB
부탄에	부탄/NNP+에/JKB
부과되는	부과되/VV+는/ETM
개별소비세의	개별소비세/NNG+의/JKG
인상액에	인상액/NNG+에/JKB
상당한	상당하/VA+ㄴ/ETM
금액의	금액/NNG+의/JKG
전부	전부/NNG
또는	또는/MAG
일부를	일부/NNG+를/JKO
보조하도록	보조하/VV+도록/EC
하도록	하/VX+도록/EC
나와있다	나오/VV+아/EC+있/VX+다/EF

오	오/NNP
의원은	의원/NNG+은/JX
“장애인이	“/SL+장애인/NNG+이/JKS
연료비를	연료비/NNG+를/JKO
시장가격으로	시장가격/NNG+으로/JKB
지불하면서	지불하/VV+면서/EC
차량을	차량/NNG+을/JKO
유지?운영하도록	유지/NNG+?/SF+운영하/VV+도록/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
장애인의	장애인/NNG+의/JKG
경제적	경제적/NNG
여건을	여건/NNG+을/JKO
고려하지	고려하/VV+지/EC
않는	않/VX+는/ETM
처사”라며	처사”/NNG+이/VCP+라며/EC
“장애인용	“/SL+장애인용/NNG
차량을	차량/NNG+을/JKO
사용하는	사용하/VV+는/ETM
장애인에게	장애인/NNG+에게/JKB
LPG	LPG/SL
구입	구입/NNG
대금	대금/NNG
중	중/NNB
세금인상액을	세금인상액/NNG+을/JKO
일정	일정/NNG
부분	부분/NNG
지원하도록	지원하/VV+도록/EC
해,	하/VX+여/EC+,/SP
장애인의	장애인/NNG+의/JKG
경제적	경제적/NNG
부담을	부담/NNG+을/JKO
완화하고	완화하/VV+고/EC
장애인의	장애인/NNG+의/JKG
이동에	이동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원을	지원/NNG+을/JKO
강화함으로써	강화하/VV+ㅁ/ETN+으로써/JKB
장애인	장애인/NNG
자립의	자립/NNG+의/JKG
기반을	기반/NNG+을/JKO
제고해야	제고하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC
