사고에	사고/NNG+에/JKB
함께해온	함께하/VV+여/EC+오/VX+ㄴ/ETM
‘창녕	‘/SL+창/NNG+녕/JKB
만물상’	만물상/NNG+’/SN

하지만	하지만/MAJ
성씨가	성/NNP+씨/NNB+가/JKS
자리를	자리/NNG+를/JKO
비운	비우/VV+ㄴ/ETM
가게는	가게/NNG+는/JX
활짝	활짝/MAG
열려있고,	열리/VV+어/EC+있/VX+고/EC+,/SP
주변	주변/NNG
상인들이	상인/NNG+들/XSN+이/JKS
대신	대신/NNG
돈을	돈/NNG+을/JKO
받아서	받/VV+아서/EC
성씨에게	성/NNP+씨/NNB+에게/JKB
건네주는	건네주/VV+는/ETM
무인판매	무인판매/NNG
형식으로	형식/NNG+으로/JKB
이뤄지고	이루어지/VV+고/EC
있다	있/VX+다/EC

성씨는	성/NNP+씨/NNB+는/JX
“원래는	“/SN+원래/NNB+는/JX
가게를	가게/NNG+를/JKO
하려고	하/VV+려고/EC
한	하/VX+ㄴ/EF
것은	것/NNB+은/JX
아니다	아니/VCN+다/EC

장애인이라고	장애인/NNG+이/VCP+라고/EC
방을	방/NNG+을/JKO
안주니까	안/MAG+주/VV+니까/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
가게와	가게/NNG+와/JKB
함께	함께/MAG
쪽방을	쪽방/NNG+을/JKO
하나	하나/NR
얻게된	얻/VV+게/EC+되/VV+ㄴ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“실질적인	“/SL+실질/NNG+적/XSN+이/VCP+ㄴ/ETM
수입은	수입/NNG+은/JX
없어	없/VA+어/EC
한	한/MM
달	달/NNB
80만원정도	80/SN+만/NR+원/NNB+정도/NNG
지원받는	지원/NNG+받/VV+는/ETM
기초생활	기초생활/NNG
수급자로	수급/NNG+자/XSN+로/JKB
생활하고	생활하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

보통	보통/MAG
비장애인들은	비장애인/NNG+들/XSN+은/JX
식사를	식사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
3분이면	3/SN+분/NNB+이/VCP+면/EC
양치가	양치/NNG+가/JKS
가능하다	가능하/VA+다/EC

하지만	하지만/MAJ
온몸이	온몸/NNG+이/JKS
굳어져	굳어지/VV+어/EC
있는	있/VX+는/ETM
성씨에게는	성/NNP+씨/NNB+에게/JKB+는/JX
‘그림의	‘/SL+그림/NNG+의/JKG
떡’이다	떡’/NNG+이/VCP+다/EC

30분간의	30/SN+분/NNB+간/XSN+의/JKG
식사를	식사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
성씨는	성/NNP+씨/NNB+는/JX
3미터	3/SN+미터/NNB
남짓의	남짓/NNB+의/JKG
씽크대까지	씽/SN+크대/NNP+까지/JX
20분간	20/SN+분/NNB+간/XSN
엉덩이를	엉덩이/NNG+를/JKO
밀면서	밀/VV+면서/EC
도착했다	도착하/VV+였/EP+다/EC

이후	이후/NNG
말이	말/NNG+이/JKS
듣지	듣/VV+지/EC
않는	않/VX+는/ETM
손에	손/NNG+에/JKB
겨우	겨우/MAG
치약을	치약/NNG+을/JKO
묻혀	묻히/VV+어/EC
양치를	양치/NNG+를/JKO
한	하/VV+ㄴ/ETM
후,	후/NNG+,/SP
외출을	외출/NNG+을/JKO
위해	위하/VV+여/EC
전동휠체어	전동휠체어/NNG
탈	타/VV+ㄹ/ETM
준비를	준비/NNG+를/JKO
한다	하/VV+ㄴ다/EF

근육이	근육/NNG+이/JKS
굳어가는	굳어가/VV+는/ETM
성씨는	성/NNP+씨/NNB+는/JX
이	이/MM
순간만큼은	순간/NNG+만큼은/JX
활동보조인의	활동보조인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받지	받/VV+지/EC
않으려고	않/VX+으려고/EC
한다	하/VX+ㄴ다/EF

조금이나마	조금/NNG+이나마/JX
자신이	자신/NNG+이/JKS
움직임으로써	움직임/NNG+으로써/JKB
굳어가는	굳어가/VV+는/ETM
몸을	몸/NNG+을/JKO
유지하기	유지하/VV+기/ETN
위해서다	위하/VV+여서다/EC

활동보조인의	활동보조인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
있는	있/VX+는/ETM
성씨	성/NNP+씨/NNB

활동보조인도	활동보조인/NNG+도/JX
휠체어를	휠체어/NNG+를/JKO
타기위해	타/VV+기/ETN+위하/VV+여/EC
고군분투하는	고군분투하/VV+는/ETM
성씨를	성/NNP+씨/NNB+를/JKO
‘노심초사’하며	‘/SL+노심초/NNG+사’하/VV+며/EC
바라본다	바라보/VV+ㄴ다/EC

혹시	혹시/MAG
넘어져	넘어지/VV+어/EC
큰	크/VA+ㄴ/ETM
사고가	사고/NNG+가/JKS
일어날까하는	일어나/VV+ㄹ까/EC+하/VX+는/ETM
걱정스런	걱정스럽/VA+ㄴ/ETM
마음에	마음/NNG+에/JKB
잠시도	잠시/NNG+도/JX
눈을	눈/NNG+을/JKO
떼지	떼/VV+지/EC
못한다	못하/VX+ㄴ다/EF

엉덩이로	엉덩이/NNG+로/JKB
밀며	밀/VV+며/EC
겨우	겨우/MAG
신발	신발/NNG
앞에	앞/NNG+에/JKB
도착한	도착하/VV+ㄴ/ETM
성씨는	성/NNP+씨/NNB+는/JX
목욕의자로	목욕의자/NNG+로/JKB
옮겨	옮기/VV+어/EC
휠체어를	휠체어/NNG+를/JKO
타기위해	타/VV+기/ETN+위하/VV+여/EC
주문제작으로	주문제작/NNG+으로/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
리프트	리프트/NNG
앞에	앞/NNG+에/JKB
도착,	도착/NNG+,/SP
리프트를	리프트/NNG+를/JKO
통해	통하/VV+여/EC
전동휠체어를	전동휠체어/NNG+를/JKO
탄다	타/VV+ㄴ다/EC

꼬박	꼬박/MAG
30분이	30/SN+분/NNB+이/JKS
넘게	넘/VV+게/EC
걸렸다	걸리/VV+었/EP+다/EC

성씨의	성/NNP+씨/NNB+의/JKG
활동보조인은	활동보조인/NNG+은/JX
“(성씨가)휠체어	“/SL+(/SS+성/NNP+씨/NNB+가/JKS+)/SS+휠체어/NNG
탈	타/VV+ㄹ/ETM
때나	때/NNG+나/JX
양치할	양치하/VV+ㄹ/ETM
때	때/NNG
왜	왜/MAG
안	안/VV
도와주냐고	돕/VV+아/EC+주/VX+냐고/EC
묻는	묻/VV+는/ETM
분들이	분/NNB+들/XSN+이/JKS
있다	있/VA+다/EF

하지만	하지만/MAJ
이분은	이분/NP+은/JX
근육장애인이시기	근육장애인/NNG+이/VCP+시/EP+기/ETN
때문에	때문/NNB+에/JKB
몸이	몸/NNG+이/JKS
더	더/MAG
굳어가는	굳/VV+어/EC+가/VX+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+여/EC
일부러	일부러/MAG
하실	하/VV+시/EP+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
부분은	부분/NNG+은/JX
보기에	보/VV+기/ETN+에/JKB
안타깝지만	안타깝/VA+지만/EC
혼자	혼자/NNG
하실	하/VV+시/EP+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한다	하/VX+ㄴ다/EF

그런데도	그런데/MAJ+도/JX
계속	계속/MAG
마음이	마음/NNG+이/JKS
쓰이기	쓰이/VV+기/ETN
때문에	때문/NNB+에/JKB
한시도	한시/NNG+도/JX
눈을	눈/NNG+을/JKO
떼지	떼/VV+지/EC
못하겠다”고	못하/VX+겠/EP+다”고/EC
말했다	말하/VV+였/EP+다/EC

그렇게	그렇/VA+게/EC
그의	그/NP+의/JKG
힘겨운	힘겹/VA+ㄴ/ETM
외출준비는	외출준비/NNG+는/JX
1시간만에	1/SN+시간만/NNB+에/JKB
끝이	끝/NNG+이/JKS
났다	나/VV+았/EP+다/EC

■그저	■/SW+그저/MAG
‘부족하다’란	‘/SN+부족하/VA+다/EC+’/SW+이/VCP+란/ETM
말	말/NNG
밖에=취재	밖/NNG+에/JKB+=/SW+취재/NNG
당일(7일)	당일/NNG+(/SS+7/SN+일/NNB+)/SS
성씨의	성/NNP+씨/NNB+의/JKG
스케쥴은	스케쥴/VA+은/JX
빡빡했다	빡빡하/VV+였/EP+다/EC

외출준비를	외출준비/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
그는	그/NP+는/JX
오전	오전/NNG
10시30분	10/SN+시/NNB+30/SN+분/NNB
복지관에서	복지/NNG+관/XSN+에서/JKB
최근	최근/NNG
구입한	구입하/VV+ㄴ/ETM
스마트폰	스마트폰/NNG
기초교육을	기초교육/NNG+을/JKO
받고,	받/VV+고/EC+,/SP
오후2시에는	오후/NNG+2/SN+시/NNB+에/JKB+는/JX
그가	그/NP+가/JKS
이용하는	이용하/VV+는/ETM
경인장애인자립생활센터에서	경인장애인자립생활센터/NNG+에서/JKB
저상버스	저상버스/NNG
개선	개선/NNG
캠페인을	캠페인/NNG+을/JKO
펼치고,	펼치/VV+고/EC+,/SP
늦은	늦/VA+은/ETM
오후에는	오후/NNG+에/JKB+는/JX
근처	근처/NNG
보건소에	보건소/NNG+에/JKB
들려	들리/VV+어/EC
1시간의	1/SN+시간/NNB+의/JKG
재활치료를	재활치료/NNG+를/JKO
받아야	받/VV+아야/EC
했다	하/VX+였/EP+다/EC

그런	그런/MM
그가	그/NP+가/JKS
받고	받/VV+고/EC
있는	있/VX+는/ETM
활동지원제도	활동지원제도/NNG
시간은	시간/NNG+은/JX
183시간에	183/SN+시간/NNB+에/JKB
인천시에서	인천시/NNP+에서/JKB
지원해주는	지원하/VV+여/EC+주/VX+는/ETM
60시간을	60/SN+시간/NNB+을/JKO
더해	더하/VV+여/EC
총	총/MM
243시간이다	243/SN+시간/NNB+이/VCP+다/EC

직업이	직업/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
학생이	학생/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
중증장애인으로써	중증장애인/NNG+으로써/JKB
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
가장	가장/MAG
많은	많/VA+은/ETM
시간이지만,	시간/NNG+이/VCP+지만/EC+,/SP
활동량이	활동량/NNG+이/JKS
많은	많/VA+은/ETM
그로써는	그/NP+로써/JKB+는/JX
턱없이	턱없이/MAG
부족하기만	부족하/VA+기/ETN+만/JX
하다	하/VX+다/EC

최근	최근/NNG
당뇨로	당뇨/NNG+로/JKB
인해	인하/VV+여/EC
재활치료를	재활치료/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
성씨	성/NNP+씨/NNB

성씨는	성/NNP+씨/NNB+는/JX
“하루	“/SN+하루/NNG
평균	평균/NNG
8시간정도	8/SN+시간/NNB+정도/NNG
활동보조인을	활동보조인/NNG+을/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

그런데	그런데/MAJ
특별히	특별히/MAG
외출이	외출/NNG+이/JKS
많은	많/VA+은/ETM
날에는	날/NNG+에/JKB+는/JX
14시간까지도	14/SN+시간/NNB+까지도/JX
쓰게	쓰/VV+게/EC
되는데	되/VV+는데/EC
그렇게	그렇/VA+게/EC
되면	되/VV+면/EC
이틀	이틀/NNG
분을	분/NNB+을/JKO
날려버리게	날리/VV+어/EC+버리/VX+게/EC
되고	되/VV+고/EC
그만큼	그만큼/MAG
이용할	이용하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”며	없/VA+다”며/EC
“활동보조인이	“/SN+활동보조인/NNG+이/JKS
너무나	너무나/MAG
절실한	절실하/VA+ㄴ/ETM
순간에	순간/NNG+에/JKB
쓰지	쓰/VV+지/EC
못하면	못하/VX+면/EC
나	나/NP
같은	같/VA+은/ETM
중증장애인은	중증장애인/NNG+은/JX
살아갈	살아가/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”고	없/VA+다”고/EC
토로했다	토로하/VV+였/EP+다/EF

혼자	혼자/NNG
거주하는	거주하/VV+는/ETM
성씨는	성/NNP+씨/NNB+는/JX
아무래도	아무래도/MAG
활동보조인이	활동보조인/NNG+이/JKS
퇴근한	퇴근하/VV+ㄴ/ETM
이후의	이후/NNG+의/JKG
시간이	시간/NNG+이/JKS
고비일터	고비/NNG+일터/JX

실제로	실제로/MAG
활동보조인이	활동보조인/NNG+이/JKS
퇴근하고,	퇴근하/VV+고/EC+,/SP
홀로	홀로/MAG
있던	있/VA+던/ETM
성씨에게	성/NNP+씨/NNB+에게/JKB
위험	위험/NNG
순간은	순간/NNG+은/JX
늘	늘/MAG
닥쳐온다	닥쳐오/VV+ㄴ다/EF

성씨는	성/NNP+씨/NNB+는/JX
“얼마	“/SN+얼마/NNG
전	전/NNG
중증장애인분이	중증장애인분/NNG+이/JKS
불이	불/NNG+이/JKS
나서	나서/VV+어/EC
탈출하지	탈출하/VV+지/EC
못해	못하/VX+여/EC
죽었다는	죽/VV+었/EP+다는/ETM
거를	거/NNB+를/JKO
알고	알/VV+고/EC
있다	있/VX+다/EC

남	남/NNP
일이	일/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
바로	바로/MAG
내	나/NP+의/JKG
일이	일/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황”이라며	상황/NNG+”/SN+이/VCP+라며/EC
“홀로	“/SL+홀로/MAG
화장실을	화장실/NNG+을/JKO
가려다가	가/VV+려다가/EC
넘어져서	넘어지/VV+어서/EC
누군가	누구/NP+이/VCP+ㄴ가/EC
올때까지지	올때/NNG+까지지/JX
계속	계속/MAG
넘어져	넘어지/VV+어/EC
있는	있/VX+는/ETM
상태로	상태/NNG+로/JKB
있었다	있/VA+었/EP+다/EF

위험은	위험/NNG+은/JX
언제나	언제나/MAG
내	나/NP+의/JKG
곁에	곁/NNG+에/JKB
있다”고	있/VA+다”고/EC
말했다	말하/VV+였/EP+다/EC

활동보조시간이	활동보조시간/NNG+이/JKS
부족하다보니	부족하/VA+다/EC+보/VX+니/EC
성씨는	성/NNP+씨/NNB+는/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
홀로	홀로/MAG
외출	외출/NNG
길에	길/NNG+에/JKB
나서는	나서/VV+는/ETM
순간이	순간/NNG+이/JKS
있는데,	있/VA+는데/EC+,/SP
그때마다	그때/NNG+마다/JX
언제나	언제나/MAG
그의	그/NP+의/JKG
곁에는	곁/NNG+에/JKB+는/JX
위험이	위험/NNG+이/JKS
도사리고	도사리/VV+고/EC
있다	있/VX+다/EC

실제로	실제로/MAG
손을	손/NNG+을/JKO
제대로	제대로/MAG
사용을	사용/NNG+을/JKO
못하는	못하/VV+는/ETM
그는	그/NP+는/JX
휠체어를	휠체어/NNG+를/JKO
타다가	타/VV+다가/EC
손가락이	손가락/NNG+이/JKS
굽어져	굽/VA+어/EC+지/VX+어/EC
그대로	그대로/MAG
중앙분리선을	중앙분리선/NNG+을/JKO
박아버리던	박/VV+아/EC+버리/VX+던/ETM
위험천만한	위험천만하/VA+ㄴ/ETM
사고도	사고/NNG+도/JX
있었다	있/VA+었/EP+다/EF

활동보조인이	활동보조인/NNG+이/JKS
있었더라면	있/VA+었/EP+더라면/EC
충분히	충분히/MAG
막을	막/VV+을/ETM
수	수/NNB
있던	있/VA+던/ETM
사고였지만	사고/NNG+이/VCP+었/EP+지만/EC
그	그/MM
순간	순간/NNG
그는	그/NP+는/JX
혼자였다	혼자/NNG+이/VCP+었/EP+다/EF

활동보조시간이	활동보조시간/NNG+이/JKS
부족하다는	부족하/VA+다는/ETM
것은	것/NNB+은/JX
성씨만의	성/NNP+씨/NNB+만/JX+의/JKG
문제만은	문제/NNG+만은/JX
아니었다	아니/VCN+었/EP+다/EF

오후에	오후/NNG+에/JKB
도착한	도착하/VV+ㄴ/ETM
센터에서	센터/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
이용자	이용자/NNG
이정석씨(뇌병변1급,	이정석/NNP+씨/NNB+(/SS+뇌병변/NNG+1/SN+급/NNG+,/SP
남)에게	남/NNG+)/SS+에게/JKB
기자임을	기자임/NNG+을/JKO
밝히고,	밝히/VV+고/EC+,/SP
취재	취재/NNG
취지를	취지/NNG+를/JKO
설명하자,	설명하/VV+자/EC+,/SP
기다렸다는	기다리/VV+었/EP+다는/ETM
듯이	듯이/NNB
홛동보조시간에	홛/SL+동보조시간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제점을	문제점/NNG+을/JKO
쏟아냈다	쏟/VV+아/EC+내/VX+었/EP+다/EF

이씨는	이/NNP+씨/NNB+는/JX
“하루	“/SN+하루/NNG
10시간정도	10/SN+시간/NNB+정도/NNG
이용한다	이용하/VV+ㄴ다/EC

사소한거	사소한거/NNG
하나까지	하나/NR+까지/JX
불편하고,	불편하/VA+고/EC+,/SP
아쉬운	아쉽/VA+ㄴ/ETM
소리를	소리/NNG+를/JKO
해야	하/VV+여야/EC
한다	하/VX+ㄴ다/EF

‘미안하다’,	‘/SN+미안하/VA+다’/EC+,/SP
‘죄송하다’가	‘/SN+죄송하/VA+다/EC+’/SL+가/JKS
입에	입/NNG+에/JKB
뱄다”며	뱄/SN+다”/VV+며/EC
“혼자	“혼자/NNG
외출했다가	외출하/VV+였/EP+다가/EC
비가	비/NNG+가/JKS
많이	많이/MAG
와서	오/VV+아서/EC
비에	비/NNG+에/JKB
젖어왔는데도	젖/VV+어/EC+오/VX+았/EP+는데/EC+도/JX
아무도	아무/NP+도/JX
도와줄	도와주/VV+ㄹ/ETM
사람이	사람/NNG+이/JKS
없어	없/VA+어/EC
아침까지	아침/NNG+까지/JX
젖어있는	젖/VV+어/EC+있/VX+는/ETM
채로	채/NNB+로/JKB
있었다”고	있/VA+었/EP+다”고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
그는	그/NP+는/JX
“예전에	“/SL+예전/NNG+에/JKB
방송사가	방송사/NNG+가/JKS
와서	오/VV+아서/EC
나의	나/NP+의/JKG
모습을	모습/NNG+을/JKO
촬영해간적이	촬영하/VV+여/EC+가/VX+ㄴ/ETM+적/XSN+이/JKS
있는데,	있/VA+는데/EC+,/SP
반짝	반짝/MAG
관심만으로는	관심/NNG+만/JX+으로/JKB+는/JX
안된다	안되/VV+ㄴ다/EF

잠깐	잠깐/MAG
만나서	만나/VV+아서/EC
촬영한다고	촬영하/VV+ㄴ다고/EC
장애인들의	장애인/NNG+들/XSN+의/JKG
고통을	고통/NNG+을/JKO
어떻게	어떻/VA+게/EC
알겠냐”며	알/VV+겠/EP+냐/EC+”/VX+며/EC
“장애인이	“/SL+장애인/NNG+이/JKS
죽었다고	죽/VV+었/EP+다고/EC
잠깐	잠깐/MAG
대중이	대중/NNG+이/JKS
활동지원제도에	활동지원제도/NNG+에/JKB
관심을	관심/NNG+을/JKO
가질게	가지/VV+ㄹ게/EC
아니라	아니/VCN+라/EC
지속적으로	지속적/NNG+으로/JKB
문제점을	문제점/NNG+을/JKO
짚어줘야	짚/VV+어/EC+주/VX+어야/EC
제도가	제도/NNG+가/JKS
개선되지	개선되/VV+지/EC
않겠냐”고	않/VX+겠/EP+냐”고/EC
지적했다	지적하/VV+였/EP+다/EF

깜깜한	깜깜하/VA+ㄴ/ETM
저녁이	저녁/NNG+이/JKS
오자,	오/VV+자/EC+,/SP
혼자남아있을	혼자/NNG+남/VV+아/EC+있/VX+을/ETM
성씨의	성/NNP+씨/NNB+의/JKG
마음도	마음/NNG+도/JX
심란해진다	심란하/VA+여/EC+지/VX+ㄴ다/EF

■24시간	■/SW+24/SN+시간/NNB
활동보조,	활동보조/NNG+,/SP
그저	그저/MAG
꿈인가요=빡빡했던	꿈/NNG+이/VCP+ㄴ가/EC+요/JX+=/SW+빡빡하/VV+였/EP+던/ETM
하루	하루/NNG
일정을	일정/NNG+을/JKO
마치고	마치/VV+고/EC
오후5시가	오후/NNG+5/SN+시/NNB+가/JKS
넘어서야	넘어서/VV+어야/EC
집에	집/NNG+에/JKB
들어왔다	들어오/VV+았/EP+다/EC

성씨는	성/NNP+씨/NNB+는/JX
역시	역시/MAG
아침과	아침/NNG+과/JC
마찬가지로	마찬가지/NNG+로/JKB
꼬박	꼬박/MAG
30분에	30/SN+분/NNB+에/JKB
걸쳐	걸치/VV+어/EC
휠체어에서	휠체어/NNG+에서/JKB
내려왔다	내려오/VV+았/EP+다/EC

따끈한	따끈하/VA+ㄴ/ETM
저녁을	저녁/NNG+을/JKO
지은	짓/VV+은/ETM
활동보조인의	활동보조인/NNG+의/JKG
수발로	수발/NNG+로/JKB
그날의	그날/NNG+의/JKG
마지막	마지막/NNG
식사를	식사/NNG+를/JKO
끝냈다	끝내/VV+었/EP+다/EC

오후	오후/NNG
6시	6/SN+시/NNB
30분이	30/SN+분/NNB+이/JKC
되자,	되/VV+자/EC+,/SP
활동보조인은	활동보조인/NNG+은/JX
성씨가	성/NNP+씨/NNB+가/JKS
누울	눕/VV+ㄹ/ETM
이부자리를	이부자리/NNG+를/JKO
정돈하기	정돈하/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

이날	이날/NNG
활동보조인이	활동보조인/NNG+이/JKS
퇴근하는	퇴근하/VV+는/ETM
시간은	시간/NNG+은/JX
오후	오후/NNG
7시	7/SN+시/NNB

활동보조인이	활동보조인/NNG+이/JKS
퇴근한	퇴근하/VV+ㄴ/ETM
후,	후/NNG+,/SP
홀로	홀로/MAG
남아있는	남/VV+아/EC+있/VX+는/ETM
성씨의	성/NNP+씨/NNB+의/JKG
하루	하루/NNG
일과도	일/NNG+과/JKB+도/JX
마감된다	마감되/VV+ㄴ다/EF

워낙	워낙/MAG
활동을	활동/NNG+을/JKO
좋아하는	좋아하/VV+는/ETM
성씨지만,	성/NNP+씨/NNB+이/VCP+지만/EC+,/SP
활동보조인이	활동보조인/NNG+이/JKS
없으면	없/VA+으면/EC
이동이	이동/NNG+이/JKS
