장애인들,	장애인/NNG+들/XSN+,/SP
사업이다	사업/NNG+이/VCP+다/EC

장애인들의	장애인/NNG+들/XSN+의/JKG
욕구	욕구/NNG
수렴을	수렴/NNG+을/JKO
거쳐	거치/VV+어/EC
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
6월	6/SN+월/NNB
30일	30/SN+일/NNB
건축계획	건축계획/NNG
수립	수립/NNG
후	후/NNG
2010년	2010/SN+년/NNB
8월	8/SN+월/NNB
2일	2/SN+일/NNB
양양군청과	양양/NNP+군청/NNG+과/JC
건축협의가	건축협의/NNG+가/JKS
완료돼	완료되/VV+어/EC
순조롭게	순조롭/VA+게/EC
진행되는	진행되/VV+는/ETM
듯	듯/NNB
했다	하/VV+였/EP+다/EC

총사업비	총/XPN+사업비/NNG
57억2300만원을	57/SN+억/NR+2300/SN+만/NR+원/NNB+을/JKO
투입해	투입하/VV+여/EC
연면적	연면적/NNG
1,923m²에	1,923/SN+m²/SL+에/JKB
지하	지하/NNG
1층,	1/SN+층/NNG+,/SP
지상	지상/NNG
2층	2/SN+층/NNG
규모의	규모/NNG+의/JKG
장애인	장애인/NNG
및	및/MAG
가족이	가족/NNG+이/JKS
함께	함께/MAG
머물	머물/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
숙박시설을	숙박시설/NNG+을/JKO
짓는다는	짓/VV+는다는/ETM
계획이었다	계획/NNG+이/VCP+었/EP+다/EF

하지만	하지만/MAJ
지난해	지난해/NNG
8월	8/SN+월/NNB
23일	23/SN+일/NNB
양양군이	양양군/NNP+이/JKS
서울시에	서울시/NNP+에/JKB
‘숙박시설로	‘/SN+숙박시설/NNG+로/JKB
신청한	신청하/VV+ㄴ/ETM
하조대	하조대/NNP
희마들의	희마/NNG+들/XSN+의/JKG
용도가	용도/NNG+가/JKS
노유자시설(사회복지시설)로	노유자시설/NNG+(/SS+사회복지시설/NNG+)/SS+로/JKB
공원부지내	공원부지/NNG+내/NNB
건축행위	건축행위/NNG
불가’를	불가’/NNG+를/JKO
이유로	이유/NNG+로/JKB
건축협의	건축협의/NNG
취소를	취소/NNG+를/JKO
통보해왔다	통보하/VV+여/EC+오/VX+았/EP+다/EF

이에	이/NP+에/JKB
서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
건축협의	건축협의/NNG
취소처분	취소처분/NNG
취소소송을	취소소송/NNG+을/JKO
제기했고,	제기하/VV+였/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
5일	5/SN+일/NNB
춘천지방법원	춘천/NNP+지방법원/NNG
강릉지원은	강릉/NNP+지원/NNG+은/JX
서울시의	서울시/NNP+의/JKG
손을	손/NNG+을/JKO
들어줬다	들어주/VV+었/EP+다/EF

판결에	판결/NNG+에/JKB
불복한	불복하/VV+ㄴ/ETM
양양군은	양양군/NNP+은/JX
6월	6/SN+월/NNB
22일	22/SN+일/NNB
서울고등법원	서울/NNP+고등법원/NNG
춘천재판부에	춘천재판부/NNP+에/JKB
항고했다	항고하/VV+였/EP+다/EC

양양군청	양양군청/NNP
민원봉사과	민원봉사/NNG+과/JC
건축담당	건축담당/NNG
이장섭	이장섭/NNP
계장은	계장/NNG+은/JX
“건립부지	“/SL+건립부지/NNG
용도를	용도/NNG+를/JKO
놓고	놓/VV+고/EC
엇갈린	엇갈리/VV+ㄴ/ETM
판단이	판단/NNG+이/JKS
나와	나오/VV+아/EC
발생한	발생하/VV+ㄴ/ETM
문제”라며	문제”/NNG+이/VCP+라며/EC
“법적으로	“/SN+법적/NNG+으로/JKB
해결되기를	해결되/VV+기/ETN+를/JKO
바라고	바라/VV+고/EC
있다”고	있/VX+다”고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“주민들	“/SL+주민/NNG+들/XSN
역시	역시/MAG
부지가	부지/NNG+가/JKS
목적과	목적/NNG+과/JKB
다르게	다르/VA+게/EC
사용되는	사용되/VV+는/ETM
것에	것/NNB+에/JKB
반발하고	반발하/VV+고/EC
있는	있/VX+는/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“차선책으로	“/SL+차선책/NNG+으로/JKB
대체부지도	대체부지/NNG+도/JX
검토했지만	검토하/VV+였/EP+지만/EC
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
상황	상황/NNG
이었다”고	잇/VV+었/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편	한편/MAG
2시	2/SN+시/NNB
현재	현재/MAG
국가인권위원회에서	국가인권위원회/NNG+에서/JKB
양양군청을	양양군청/NNG+을/JKO
방문	방문/NNG
장애인단체들의	장애인단체/NNG+들/XSN+의/JKG
진정과	진정/NNG+과/JC
관련해	관련하/VV+여/EC
조사	조사/NNG
중에	중/NNB+에/JKB
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

앞선	앞서/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
장애인단체는	장애인단체/NNG+는/JX
양양군수가	양양/NNP+군수/NNG+가/JKS
‘정당한	‘/SL+정당하/VA+ㄴ/ETM
사유	사유/NNG
없이	없이/MAG
장애인을	장애인/NNG+을/JKO
차별하고	차별하/VV+고/EC
있다’며	있/VX+다/EC+’/VV+며/EC
인권위에	인권위/NNG+에/JKB
진정한바	진정한바/MAG
있다	있/VA+다/EF
