구리선관위	구리선관위/NNG
상관없다	상관없/VA+다/EC

선관위는	선관위/NNG+는/JX
거소투표	거소투표/NNG
대상이	대상/NNG+이/JKS
장애인인	장애인/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
투표	투표/NNG
과정에서	과정/NNG+에서/JKB
간섭이	간섭/NNG+이/JKS
이뤄졌을	이루어지/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
국민투표법	국민투/NNP+표법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
해당	해당/NNG
직원을	직원/NNG+을/JKO
의정부지검에	의정부지검/NNG+에/JKB
고발했다	고발하/VV+였/EP+다/EF

투·개표	투/NNG+·/SP+개표/NNG
과정에서	과정/NNG+에서/JKB
간섭하면	간섭하/VV+면/EC
3년	3/SN+년/NNB
이하의	이하/NNG+의/JKG
징역	징역/NNG
또는	또는/MAG
금고에	금고/NNG+에/JKB
처해진다	처하/VV+여/EC+지/VX+ㄴ다/EF

조사과정에서	조사과정/NNG+에서/JKB
공직선거법상	공직선거법/NNG+상/XSN
투표	투표/NNG
비밀침해죄	비밀침해죄/NNG
해당	해당/NNG
여부도	여부/NNG+도/JX
가려질	가려지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
선관위	선관위/NNG
측은	측/NNB+은/JX
설명했다	설명하/VV+었/EP+다/EC

비밀침해죄가	비밀침해죄/NNG+가/JKS
적용되면	적용되/VV+면/EC
투표는	투표/NNG+는/JX
무효	무효/NNG
처리된다	처리되/VV+ㄴ다/EF

선관위의	선관위/NNG+의/JKG
한	한/MM
관계자는	관계자/NNG+는/JX
"거소투표	"/SS+거소투표/NNG
예정일에	예정일/NNG+에/JKB
하루	하루/NNG
앞서	앞서/VV+어/EC
해당	해당/NNG
시설에	시설/NNG+에/JKB
절차	절차/NNG
등을	등/NNB+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
과정에서	과정/NNG+에서/JKB
적발됐다"며	적발되/VV+었/EP+다/EF+"/SS+며/EC
"이	"/SS+이/MM
직원이	직원/NNG+이/JKS
투표를	투표/NNG+를/JKO
미리	미리/MAG
진행한	진행하/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
아직	아직/MAG
밝혀지지	밝혀지/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

kyoon@yna	kyoon/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
