장애인	장애인/NNG
회장과	회장/NNG+과/JC
조르주	조르주/NNP
드	드/NNP
로스	로스/NNP
레예스	레예스/NNP
전	전/MM
구글	구글/NNG
이탈리아	이탈리아/NNP
임원,	임원/NNG+,/SP
피터	피터/NNP
플라이처	플라이처/NNP
구글	구글/NNG
유럽	유럽/NNP
사생활정책	사생활정책/NNG
책임자	책임자/NNG
등	등/NNB
3명에	3/SN+명/NNB+에/JKB
대해	대하/VV+여/EC
사생활	사생활/NNG
침해	침해/NNG
혐의로	혐의/NNG+로/JKB
집행유예	집행유예/NNG
6개월의	6/SN+개월/NNB+의/JKG
판결을	판결/NNG+을/JKO
내렸었다	내리/VV+었었/EP+다/EF

그러나	그러나/MAJ
이	이/MM
판결은	판결/NNG+은/JX
'인터넷	'/SS+인터넷/NNG
플랫폼	플랫폼/NNG
사업자가	사업자/NNG+가/JKS
(자신의	(/SS+자신/NNG+의/JKG
의지와	의지/NNG+와/JKB
관계없이)	관계없이/MAG+)/SS
인터넷에	인터넷/NNG+에/JKB
올라온	올라오/VV+ㄴ/ETM
콘텐츠의	콘텐츠/NNG+의/JKG
내용에	내용/NNG+에/JKB
의해	의하/VV+여/EC
형사처벌을	형사처벌/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
것인가'	것/NNB+이/VCP+ㄴ가/EF+'/SS
라는	이/VCP+라는/ETM
관점에서	관점/NNG+에서/JKB
세간의	세간/NNG+의/JKG
관심을	관심/NNG+을/JKO
모았다	모으/VV+았/EP+다/EC

판결이	판결/NNG+이/JKS
인터넷의	인터넷/NNG+의/JKG
자유로운	자유롭/VA+ㄴ/ETM
속성,	속성/NNG+,/SP
유럽의	유럽/NNP+의/JKG
사생활보호	사생활보호/NNG
정책과	정책/NNG+과/JKB
상반된다는	상반되/VV+ㄴ다는/ETM
측면에서도	측면/NNG+에서/JKB+도/JX
항소심의	항소심/NNG+의/JKG
향배는	향배/NNG+는/JX
주목	주목/NNG
받았다	받/VV+았/EP+다/EC

구글은	구글/NNG+은/JX
성명을	성명/NNG+을/JKO
통해	통하/VV+여/EC
항소법원의	항소법원/NNG+의/JKG
판결을	판결/NNG+을/JKO
환영하며	환영하/VV+며/EC
이탈리아에서	이탈리아/NNP+에서/JKB
사업을	사업/NNG+을/JKO
계속하는	계속하/VV+는/ETM
데	데/NNB
있어	있/VA+어/EC
불확실성을	불확실성/NNG+을/JKO
없애게	없애/VV+게/EC
됐다고	되/VV+었/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

구글	구글/NNG
관계자는	관계자/NNG+는/JX
"항소법원이	"/SS+항소법원/NNG+이/JKS
1심판결을	1/SN+심판결/NNG+을/JKO
뒤집고	뒤집/VV+고/EC
구글	구글/NNG
경영진에	경영진/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
유죄판결을	유죄판결/NNG+을/JKO
무효로	무효/NNG+로/JKB
한	하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
기쁘게	기쁘/VA+게/EC
생각한다"며	생각하/VV+ㄴ다/EF+"/SS+며/EC
"그러나	"/SS+그러나/MAJ
(문제의	(/SS+문제/NNG+의/JKG
동영상으로)	동영상/NNG+으로/JKB+)/SS
고통을	고통/NNG+을/JKO
겪은	겪/VV+은/ETM
(장애	(/SS+장애/NNG
청소년)	청소년/NNG+)/SS
가족에	가족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
배려는	배려/NNG+는/JX
계속돼야	계속되/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

rhew@yna	rhew/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
