금산	금산/NNP
입구	입구/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인들에게	시각장애인/NNG+들/XSN+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
‘점자표지판’이	‘/SL+점자표지판/NNG+’/SL+이/JKS
설치됐지만,	설치되/VV+었/EP+지만/EC+,/SP
점자블록은	점자블록/NNG+은/JX
출입문	출입문/NNG
손잡이	손잡이/NNG
앞에	앞/NNG+에/JKB
설치돼	설치되/VV+어/EC
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
‘점자표지판’을	‘/SL+점자표지판’/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
없다	없/VA+다/EF

출입문은	출입문/NNG+은/JX
터치식자동문으로	터치식자동문/NNG+으로/JKB
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
이용이	이용/NNG+이/JKS
편했다	편하/VA+었/EP+다/EC

그렇지만	그렇지만/MAJ
화장실	화장실/NNG
내부의	내부/NNG+의/JKG
곳곳에서	곳곳/NNG+에서/JKB
문제가	문제/NNG+가/JKS
발견됐다	발견되/VV+었/EP+다/EF

내부	내부/NNG
통로가	통로/NNG+가/JKS
좁아	좁/VA+아/EC
전동휠체어	전동휠체어/NNG
및	및/MAG
전동스쿠터의	전동스쿠터/NNG+의/JKG
출입이	출입/NNG+이/JKS
불편할	불편하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보였다	보이/VV+었/EP+다/EF

세면대에는	세면대/NNG+에/JKB+는/JX
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
목발을	목발/NNG+을/JKO
이용하는	이용하/VV+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
넘어져	넘어지/VV+어/EC
다칠	다치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
용변을	용변/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
마련된	마련되/VV+ㄴ/ETM
공간의	공간/NNG+의/JKG
출입문은	출입문/NNG+은/JX
접이식으로	접이식/NNG+으로/JKB
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
사용이	사용/NNG+이/JKS
힘들었다	힘들/VA+었/EP+다/EF

내부도	내부/NNG+도/JX
좁아	좁/VA+아/EC
전동휠체어,	전동휠체어/NNG+,/SP
전동스쿠터를	전동스쿠터/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인은	장애인/NNG+은/JX
불편을	불편/NNG+을/JKO
감수해야	감수하/VV+여야/EC
하는	하/VX+는/ETM
상황으로	상황/NNG+으로/JKB
용변기	용변/NNG+기/XSN
등받이와	등받이/NNG+와/JC
비상호출버튼이	비/XPN+상호출버튼/NNG+이/JKS
없다	없/VA+다/EC

휴지걸이는	휴지걸이/NNG+는/JX
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
사용하기에는	사용하/VV+기/ETN+에/JKB+는/JX
불편한	불편하/VA+ㄴ/ETM
위치에	위치/NNG+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

남자화장실의	남자화장실/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
소변기	소변기/NNG
손잡이가	손잡이/NNG+가/JKS
잘	잘/MAG
설치돼	설치되/VV+어/EC
목발	목발/NNG
이용	이용/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
사용이	사용/NNG+이/JKS
편리했다	편리하/VA+었/EP+다/EC

1층에	1/SN+층/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
남녀	남녀/NNG
샤워실	샤워/NNG+실/XSN
출입문은	출입문/NNG+은/JX
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
열고	열/VV+고/EC
닫기	닫/VV+기/ETN
불편한	불편하/VA+ㄴ/ETM
여닫이문이다	여닫이문/NNG+이/VCP+다/EC

내부는	내부/NNG+는/JX
휠체어가	휠체어/NNG+가/JKS
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도의	정도/NNG+의/JKG
턱이	턱/NNG+이/JKS
있었고,	있/VA+었/EP+고/EC+,/SP
샤워실	샤워/NNG+실/XSN
출입구가	출입구/NNG+가/JKS
좁다	좁/VA+다/EC

샤워실	샤워/NNG+실/XSN
안에는	안/NNG+에/JKB+는/JX
휠체어장애인이	휠체어장애인/NNG+이/JKS
옮겨	옮기/VV+어/EC
앉을	앉/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
의자가	의자/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

3층	3/SN+층/NNG
주간보호실	주간보호실/NNG
입구는	입구/NNG+는/JX
턱이	턱/NNG+이/JKS
있어	있/VA+어/EC
휠체어가	휠체어/NNG+가/JKS
출입하기	출입하/VV+기/ETN
어려웠다	어렵/VA+었/EP+다/EC

각	각/MM
층의	층/NNG+의/JKG
계단	계단/NNG
및	및/MAG
엘리베이터	엘리베이터/NNG
출입문	출입문/NNG
앞에는	앞/NNG+에/JKB+는/JX
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록이	점자블록이/MAG
설치됐지만,	설치되/VV+었/EP+지만/EC+,/SP
매립이	매립/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
바닥에	바닥/NNG+에/JKB
붙이는	붙이/VV+는/ETM
접착식이었다	접착식/NNG+이/VCP+었/EP+다/EF

각	각/MM
계단에는	계단/NNG+에/JKB+는/JX
시각장애인에게	시각장애인/NNG+에게/JKB
층수를	층수/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
핸드레일	핸드레일/NNG
점자안내판이	점자안내판/NNG+이/JKS
잘	잘/MAG
설치됐다	설치되/VV+었/EP+다/EF

장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
같이	같이/MAG
점검한	점검하/VV+ㄴ/ETM
군	군/NNG
담당자는	담당자/NNG+는/JX
미흡한	미흡하/VA+ㄴ/ETM
장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
개선하도록	개선하/VV+도록/EC
노력하겠다고	노력하/VV+겠/EP+다고/EC
말했다	말하/VV+였/EP+다/EC

경사로	경사/NNG+로/JKB
입구에	입구/NNG+에/JKB
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있다	있/VX+다/EC

휠체어장애인들의	휠체어장애인/NNG+들/XSN+의/JKG
보행을	보행/NNG+을/JKO
방해한다	방해하/VV+ㄴ다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
접이식	접이식/NNG
출입문	출입문/NNG

손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
열고	열/VV+고/EC
닫기	닫/VV+기/ETN
힘들고,	힘들/VA+고/EC+,/SP
문고리	문고리/NNG
사용도	사용/NNG+도/JX
어렵다	어렵/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
사용하도록	사용하/VV+도록/EC
마련된	마련되/VV+ㄴ/ETM
화장실은	화장실/NNG+은/JX
내부가	내부/NNG+가/JKS
좁아	좁/VA+아/EC
전동휠체어	전동휠체어/NNG
및	및/MAG
전동스쿠터의	전동스쿠터/NNG+의/JKG
출입이	출입/NNG+이/JKS
불편하다	불편하/VA+다/EC

그리고	그리고/MAJ
용변기	용변/NNG+기/XSN
등받이와	등받이/NNG+와/JC
비상호출버튼이	비/XPN+상호출버튼/NNG+이/JKS
없다	없/VA+다/EC

휴지걸이도	휴지걸이/NNG+도/JX
사용하기에는	사용하/VV+기/ETN+에/JKB+는/JX
적당하지	적당하/VA+지/EC
않은	않/VX+은/ETM
위치에	위치/NNG+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNG
화장실	화장실/NNG
세면대에는	세면대/NNG+에/JKB+는/JX
손잡이가	손잡이/NNG+가/JKS
없다	없/VA+다/EC

목발	목발/NNG
이용	이용/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
안전사고가	안전사고/NNG+가/JKS
우려된다	우려되/VV+ㄴ다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
화장실	화장실/NNG
내부의	내부/NNG+의/JKG
통로가	통로/NNG+가/JKS
좁아	좁/VA+아/EC
전동휠체어	전동휠체어/NNG
및	및/MAG
전동스쿠터의	전동스쿠터/NNG+의/JKG
출입이	출입/NNG+이/JKS
힘겨울	힘겹/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
샤워실	샤워/NNG+실/XSN
입구에	입구/NNG+에/JKB
턱이	턱/NNG+이/JKS
있다	있/VA+다/EC

넓이도	넓이/NNG+도/JX
좁아	좁/VA+아/EC
전동휠체어의	전동휠체어/NNG+의/JKG
출입이	출입/NNG+이/JKS
불편하다	불편하/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
주간보호실	주간보호실/NNG
입구에도	입구/NNG+에/JKB+도/JX
턱이	턱/NNG+이/JKS
있어	있/VA+어/EC
휠체어장애인의	휠체어장애인/NNG+의/JKG
출입이	출입/NNG+이/JKS
힘들다	힘들/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
엘리베이터	엘리베이터/NNG
앞과	앞/NNG+과/JC
계단에	계단/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
점자블록은	점자블록/NNG+은/JX
매립형이	매립형/NNG+이/JKC
아니라	아니/VCN+라/EC
바닥에	바닥/NNG+에/JKB
붙이는	붙이/VV+는/ETM
접착식이다	접착/NNG+식/XSN+이/VCP+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
휠체장애인은	휠체장애인/NNG+은/JX
울퉁불퉁한	울퉁불퉁하/VA+ㄴ/ETM
바닥으로	바닥/NNG+으로/JKB
이동해야	이동하/VV+여야/EC
하는	하/VX+는/ETM
불편이	불편/NNG+이/JKS
있다	있/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
남자화장실	남자화장실/NNG
소변기에는	소변기/NNG+에/JKB+는/JX
손잡이가	손잡이/NNG+가/JKS
잘	잘/MAG
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
목발	목발/NNG
사용	사용/NNG
장애인이	장애인/NNG+이/JKS
안전하게	안전하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
