장애아	장애아/NNG
1~4호기의	1/SN+~/SO+4/SN+호기/NNB+의/JKG
고장·노심융용	고장/NNG+·/SP+노심융/NNG+용/XSN
및	및/MAG
폭발(1·2·3호기	폭발/NNG+(/SS+1/SN+·/SP+2/SN+·/SP+3/SN+호기/NNB
노심융용,	노심융용/NNG+,/SP
1·3·4호기	1/SN+·/SP+3/SN+·/SP+4/SN+호기/NNB
수소폭발)이었다	수소폭발/NNG+)/SS+이/VCP+었/EP+다/EC

이	이/MM
사고로	사고/NNG+로/JKB
인해	인하/VV+여/EC
주변으로	주변/NNG+으로/JKB
엄청난	엄청나/VA+ㄴ/ETM
양의	양/NNG+의/JKG
방사성	방사성/NNG
물질이	물질/NNG+이/JKS
유출됐다	유출되/VV+었/EP+다/EF

당시	당시/NNG
언론은	언론/NNG+은/JX
'방사성	'/SS+방사성/NNG
세슘137	세슘/NNG+137/SN
방출량이	방출량/NNG+이/JKS
제2차	제/XPN+2/SN+차/NNB
세계대전	세계대전/NNG
말기	말기/NNG
히로시마에	히로시마/NNP+에/JKB
투하된	투하되/VV+ㄴ/ETM
원자폭탄	원자폭탄/NNG
약	약/MM
168배에	168/SN+배/NNG+에/JKB
달한다'고	달하/VV+ㄴ다/EF+'/SS+고/JKQ
보도한	보도하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

"피난	"/SS+피난/NNG
갈	가/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
이들을	이/NP+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
대책,	대책/NNG+,/SP
시급하다"	시급하/VA+다/EF+"/SS
22일	22/SN+일/NNB
후쿠시마	후쿠시마/NNP
원전	원전/NNG
사고의	사고/NNG+의/JKG
영향과	영향/NNG+과/JC
장애인의	장애인/NNG+의/JKG
현실에	현실/NNG+에/JKB
대해	대하/VV+여/EC
강연한	강연하/VA+ㄴ/ETM
시라이시	시라이시/NNP
키요하루	키요하루/NNP
대표	대표/NNG

ⓒ전은옥	ⓒ/SL+전은옥/NNP
"3월	"/SS+3/SN+월/NNB
15일,	15/SN+일/NNB+,/SP
저는	저/NP+는/JX
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
시내를	시내/NNG+를/JKO
지나갔습니다	지나가/VV+았/EP+습니다/EF

눈과	눈/NNG+과/JC
비가	비/NNG+가/JKS
섞여	섞이/VV+어/EC
내렸고	내리/VV+었/EP+고/EC
그	그/MM
눈비	눈비/NNG
속에는	속/NNG+에/JKB+는/JX
방사성	방사성/NNG
물질이	물질/NNG+이/JKS
대단히	대단히/MAG
많이	많이/MAG
포함돼	포함되/VV+어/EC
있었을	있/VX+었/EP+을/ETM
것이라	것/NNB+이/VCP+라/EC
생각합니다	생각하/VV+ㅂ니다/EF

저도	저도/NNG
그때	그때/NNG
피폭을	피폭/NNG+을/JKO
당했을	당하/VV+였/EP+을/ETM
겁니다	것/NNB+이/VCP+ㅂ니다/EF

"	"/SS
시라이시	시라이시/NNP
대표는	대표/NNG+는/JX
지난	지나/VV+ㄴ/ETM
1년	1/SN+년/NNB
반	반/NNG
동안	동안/NNG
피해지역	피해지역/NNG
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
폭넓은	폭넓/VA+은/ETM
지원	지원/NNG
활동을	활동/NNG+을/JKO
펼쳤다	펼치/VV+었/EP+다/EC

그는	그/NP+는/JX
재해를	재해/NNG+를/JKO
당했을	당하/VV+였/EP+을/ETM
때	때/NNG
장애인이	장애인/NNG+이/JKS
겪게	겪/VV+게/EC
되는	되/VV+는/ETM
숱한	숱하/VA+ㄴ/ETM
어려움과	어려움/NNG+과/JC
문제점에	문제점/NNG+에/JKB
대해	대하/VV+여/EC
설명했다	설명하/VV+었/EP+다/EC

"사고	"/SS+사고/NNG
원전에서	원전/NNG+에서/JKB
30km	30/SN+km/SL
밖에	밖에/JX
떨어져	떨어지/VV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
미나미소마시에서는	미나미소마시/NNG+에서/JKB+는/JX
사고로	사고/NNG+로/JKB
인해	인하/VV+여/EC
7만	7/SN+만/NR
명이던	명/NNB+이/VCP+던/ETM
인구가	인구/NNG+가/JKS
1만	1/SN+만/NR
명까지	명/NNB+까지/JX
급감했습니다	급감하/VV+였/EP+습니다/EF

피난을	피난/NNG+을/JKO
가지	가/VV+지/EC
못하고	못하/VX+고/EC
남은	남/VV+은/ETM
1만	1/SN+만/NR
명은	명/NNB+은/JX
고령자와	고령자/NNG+와/JC
장애인,	장애인/NNG+,/SP
그리고	그리고/MAJ
그들을	그/NP+들/XSN+을/JKO
돌봐야	돌보/VV+아야/EC
하는	하/VX+는/ETM
가족들이었습니다	가족/NNG+들/XSN+이/VCP+었/EP+습니다/EF

현재는	현재/NNG+는/JX
4만	4/SN+만/NR
명이	명/NNB+이/JKS
넘는	넘/VV+는/ETM
주민이	주민/NNG+이/JKS
돌아왔습니다	돌아오/VV+았/EP+습니다/EF

우리는	우리/NP+는/JX
대지진	대지진/NNG
재해와	재해/NNG+와/JC
같은	같/VA+은/ETM
엄청난	엄청나/VA+ㄴ/ETM
재난이	재난/NNG+이/JKS
발생했을	발생하/VV+였/EP+을/ETM
때	때/NNG
현장에	현장/NNG+에/JKB
남는	남/VV+는/ETM
것은	것/NNB+은/JX
자력으로는	자력/NNG+으로/JKB+는/JX
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
장애인이라는	장애인/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
분명히	분명히/MAG
인식하고	인식하/VV+고/EC
그	그/MM
위에서	위/NNG+에서/JKB
재해	재해/NNG
대책을	대책/NNG+을/JKO
재점검해야	재점검하/VV+여야/EC
합니다	하/VX+ㅂ니다/EF

"	"/SS
그에	그/NP+에/JKB
따르면,	따르/VV+면/EC+,/SP
당시	당시/NNG
16만	16/SN+만/NR
명	명/NNB
가량의	가량/XSN+의/JKG
후쿠시마	후쿠시마/NNP
현민이	현민/NNG+이/JKS
현내·외로	현내/NNG+·/SP+외로/NNG
피난	피난/NNG
갔지만	가/VV+았/EP+지만/EC
피난소를	피난소/NNG+를/JKO
전전하며	전전하/VV+며/EC
쇠약해진	쇠약하/VA+여/EC+지/VX+ㄴ/ETM
환자와	환자/NNG+와/JC
고령자·장애인들이	고령자/NNG+·/SP+장애인/NNG+들/XSN+이/JKS
많이	많이/MAG
죽었다고	죽/VV+었/EP+다고/EC
한다	하/VV+ㄴ다/EF

그의	그/NP+의/JKG
한국	한국/NNP
방문에	방문/NNG+에/JKB
동행한	동행하/VV+ㄴ/ETM
야마기와	야마기/NNG+와/JC
노리히데씨는	노리히데/NNP+씨/NNB+는/JX
"난구역에	"/SS+난구역/NNG+에/JKB
살던	살/VV+던/ETM
독거	독거/NNG
장애인	장애인/NNG
중	중/NNB
혼자	혼자/NNG
힘으로	힘/NNG+으로/JKB
피난을	피난/NNG+을/JKO
갈	가/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
남겨져	남겨지/VV+어/EC
있다가	있/VX+다가/EC
굶어	굶/VV+어/EC
죽은	죽/VV+은/ETM
사람도	사람/NNG+도/JX
있었다"며	있/VA+었/EP+다/EF+"/SS+며/EC
"이런	"/SS+이런/MM
사례는	사례/NNG+는/JX
꽤	꽤/MAG
많을	많/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

하지만	하지만/MAJ
언론에서는	언론/NNG+에서/JKB+는/JX
이런	이런/MM
사실이	사실/NNG+이/JKS
제대로	제대로/MAG
보도되지	보도되/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
한다	하/VV+ㄴ다/EF

시라이시	시라이시/NNP
대표는	대표/NNG+는/JX
"많은	"/SS+많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
일자리도	일자리/NNG+도/JX
잃었다"고	잃/VV+었/EP+다/EF+"/SS+고/JKQ
증언했다	증언하/VV+였/EP+다/EF

지진	지지/VV+ㄴ/ETM
해일과	해일/NNG+과/JKB
원전	원전/NNG
사고의	사고/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
기업들이	기업/NNG+들/XSN+이/JKS
막대한	막대하/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
입고	입/VV+고/EC
빠져나가면서	빠져나가/VV+면서/EC
후쿠시마	후쿠시마/NNP
현내	현내/NNG
각지의	각지/NNG+의/JKG
장애인	장애인/NNG
관계	관계/NNG
사업소에서도	사업소/NNG+에서/JKB+도/JX
일거리가	일거리/NNG+가/JKS
끊겨	끊기/VV+어/EC
버린	버리/VX+ㄴ/ETM
것	것/NNB

기업이	기업/NNG+이/JKS
철수하면서	철수하/VV+면서/EC
장애인	장애인/NNG
사업소에	사업소/NNG+에/JKB
들어오던	들어오/VV+던/ETM
기업의	기업/NNG+의/JKG
하청	하청/NNG
작업도	작업/NNG+도/JX
중단된	중단되/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

"연안지역	"/SS+연안지역/NNG
미나미소마시에서는	미나미소마시/NNG+에서/JKB+는/JX
기업의	기업/NNG+의/JKG
하청이	하청/NNG+이/JKS
끊기자	끊기/VV+자/EC
장애인관계사업소에서	장애인관계사업소/NNG+에서/JKB
대책	대책/NNG
회의를	회의/NNG+를/JKO
한	한/MM
끝에	끝/NNG+에/JKB
3개	3/SN+개/NNB
사업소가	사업소/NNG+가/JKS
연대해	연대하/VV+여/EC
작업을	작업/NNG+을/JKO
분담,	분담/NNG+,/SP
배지를	배지/NNG+를/JKO
제작해	제작하/VV+여/EC
전국	전국/NNG
네트워크를	네트워크/NNG+를/JKO
통해	통하/VV+여/EC
판매활동을	판매활동/NNG+을/JKO
전개하기	전개하/VV+기/ETN
시작했습니다	시작하/VV+였/EP+습니다/EF

하지만	하지만/MAJ
배지만으로는	배지/NNG+만/JX+으로/JKB+는/JX
수지가	수지/NNG+가/JKS
맞지	맞/VV+지/EC
않아	않/VX+아/EC
티셔츠	티셔츠/NNG
제작도	제작/NNG+도/JX
고려하고	고려하/VV+고/EC
있습니다	있/VX+습니다/EF

""장애인,	""/SS+장애인/NNG+,/SP
생활	생활/NNG
보장받을	보장/NNG+받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
곳으로	곳/NNG+으로/JKB
가야"뿐만	가/VV+아야/EF+"/SS+뿐만/JX
아니다	아니/VCN+다/EC

후쿠시마	후쿠시마/NNP
현내	현내/NNG
장애인관계	장애인관계/NNG
사업소	사업소/NNG
중에는	중/NNB+에/JKB+는/JX
농장을	농장/NNG+을/JKO
가지고	가지/VV+고/EC
무농약	무/XPN+농약/NNG
채소를	채소/NNG+를/JKO
재배하던	재배하/VV+던/ETM
곳도	곳/NNG+도/JX
있었다	있/VA+었/EP+다/EF

시라이시	시라이시/NNP
대표는	대표/NNG+는/JX
"원전	"/SS+원전/NNG
사고	사고/NNG
후	후/NNG
농토의	농토/NNG+의/JKG
방사선량을	방사선량/NNG+을/JKO
측정한	측정하/VV+ㄴ/ETM
결과	결과/NNG
1만	1/SN+만/NR
베크렐	베크렐/NNG
이상의	이상/NNG+의/JKG
수치가	수치/NNG+가/JKC
나왔다"며	나오/VV+았/EP+다/EF+"/SS+며/EC
"이제	"/SS+이제/MAG
더	더/MAG
이상	이상/NNG
야채를	야채/NNG+를/JKO
재배할	재배하/VV+ㄹ/ETM
수도,	수/NNB+도/JX+,/SP
수확할	수확하/VV+ㄹ/ETM
수도	수/NNB+도/JX
없는	없/VA+는/ETM
상황"이라고	상황/NNG+"/SS+이라고/JKQ
전했다	전하/VV+었/EP+다/EC

"잡초가	"/SS+잡초/NNG+가/JKS
제멋대로	제멋대로/MAG
무성해진	무성하/VA+여/EC+지/VX+ㄴ/ETM
농지를	농지/NNG+를/JKO
바라봐야만	바라보/VV+아야/EC+만/JX
하는	하/VX+는/ETM
사업소의	사업소/NNG+의/JKG
이용자와	이용자/NNG+와/JC
직원은	직원/NNG+은/JX
망연자실한	망연자실하/VV+ㄴ/ETM
상태입니다	상태/NNG+이/VCP+ㅂ니다/EC

유기농법으로	유기농/NNG+법/XSN+으로/JKB
지역에	지역/NNG+에/JKB
대단히	대단히/MAG
맛있는	맛있/VA+는/ETM
채소를	채소/NNG+를/JKO
제공하는	제공하/VV+는/ETM
역할을	역할/NNG+을/JKO
해왔는데,	하/VV+여/EC+오/VX+았/EP+는데/EC+,/SP
이런	이런/MM
일을	일/NNG+을/JKO
당했으니까요	당하/VV+였/EP+으니까/EC+요/JX

농사를	농사/NNG+를/JKO
지을	짓/VV+을/ETM
수	수/NNB
없게	없/VA+게/EC
되자	되/VV+자/EC
사무실에서	사무실/NNG+에서/JKB
일거리	일거리/NNG
없이	없이/MAG
시간을	시간/NNG+을/JKO
보내는	보내/VV+는/ETM
장애인들도	장애인/NNG+들/XSN+도/JX
있습니다	있/VA+습니다/EF

"	"/SS
그는	그/NP+는/JX
평소	평소/NNG
자신이	자신/NNG+이/JKS
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
달리는	달리/VV+는/ETM
도로의	도로/NNG+의/JKG
방사선	방사선/NNG
수치를	수치/NNG+를/JKO
직접	직접/MAG
측정해	측정하/VV+여/EC
보기도	보/VX+기/ETN+도/JX
했다고	하/VX+였/EP+다고/EC
한다	하/VV+ㄴ다/EF

"측정	"/SS+측정/NNG
결과는	결과/NNG+는/JX
시간당	시간/NNG+당/XSN
0	0/SN

4마이크로시버트였는데,	4/SN+마이크로시버트/NNG+이/VCP+었/EP+는데/EC+,/SP
이는	이/NP+는/JX
병원의	병원/NNG+의/JKG
엑스선	엑스선/NNG
촬영실	촬영실/NNG
내부의	내부/NNG+의/JKG
수치에	수치/NNG+에/JKB
해당(방사선관리구역에	해당/NNG+(/SS+방사선관리구역/NNG+에/JKB
들어감)하는	들어가/VV+ㅁ/ETN+)/SS+하/XSV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
통상적인	통상/NNG+적/XSN+이/VCP+ㄴ/ETM
수치의	수치/NNG+의/JKG
10배	10/SN+배/NNG
이상에	이상/NNG+에/JKB
달하는	달하/VV+는/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

이런	이런/MM
상황	상황/NNG
속에서	속/NNG+에서/JKB
주민들은	주민/NNG+들/XSN+은/JX
날마다	날/NNG+마다/JX
일상생활을	일상생활/NNG+을/JKO
해나가야	하/VV+여/EC+나가/VX+아야/EC
하는	하/VX+는/ETM
것이죠	것/NNB+이/VCP+죠/EC

"	"/SS
그는	그/NP+는/JX
"현재	"/SS+현재/MAG
후쿠시마현	후쿠시마현/NNP
바깥으로	바깥/NNG+으로/JKB
피난해	피난하/VV+여/EC
있는	있/VX+는/ETM
현민이	현민/NNG+이/JKS
6만	6/SN+만/NR
명을	명/NNB+을/JKO
넘는데,	넘/VV+는데/EC+,/SP
주로	주로/MAG
젊은	젊/VA+은/ETM
사람이나	사람/NNG+이나/JC
아이가	아이/NNG+가/JKS
있는	있/VA+는/ETM
가정"이라며	가정/NNG+"/SS+이/VCP+라며/EC
"장애인들도	"/SS+장애인/NNG+들/XSN+도/JX
건강한	건강하/VA+ㄴ/ETM
사람들처럼	사람/NNG+들/XSN+처럼/JKB
현	현/MM
외로	외/NNB+로/JKB
피난을	피난/NNG+을/JKO
가고	가/VV+고/EC
싶다고	싶/VX+다고/EC
생각하는	생각하/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
있다,	있/VA+다/EC+,/SP
그러나	그러나/MAJ
장애인의	장애인/NNG+의/JKG
경우는	경우/NNG+는/JX
주거환경·교통편을	주거환경/NNG+·/SP+교통편/NNG+을/JKO
비롯해	비롯하/VV+여/EC
활동보조인의	활동보조인/NNG+의/JKG
확보	확보/NNG
등	등/NNB
생활을	생활/NNG+을/JKO
보장받을	보장/NNG+받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
지역을	지역/NNG+을/JKO
찾지	찾/VV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
"우리	"/SS+우리/NP
지원센터는	지원센터/NNG+는/JX
후쿠시마현	후쿠시마현/NNP
밖으로	밖/NNG+으로/JKB
이주하고	이주하/VV+고/EC
싶어하는	싶/VX+어/EC+하/VV+는/ETM
분들을	분/NNB+들/XSN+을/JKO
위해	위하/VV+여/EC
장애인도	장애인/NNG+도/JX
이용하기	이용하/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
주거를	주거/NNG+를/JKO
관동지방	관동지방/NNG
가나가와현에	가나가와현/NNP+에/JKB
확보했는데,	확보하/VV+였/EP+는데/EC+,/SP
그곳을	그곳/NP+을/JKO
거점으로	거점/NNG+으로/JKB
삼아	삼/VV+아/EC
현재	현재/MAG
장애인	장애인/NNG
2명이	2/SN+명/NNB+이/JKS
이주했다"며	이주하/VV+였/EP+다/EF+"/SS+며/EC
"그	"/SS+그/MM
밖에도	밖/NNG+에/JKB+도/JX
장애인	장애인/NNG
서비스를	서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
전국	전국/NNG
각지의	각지/NNG+의/JKG
자립생활센터의	자립생활센터/NNG+의/JKG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
이주한	이주하/VV+ㄴ/ETM
장애인도	장애인/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
전했다	전하/VV+었/EP+다/EC

그러나	그러나/MAJ
"숫자가	"/SS+숫자/NNG+가/JKS
많지는	많/VA+지/EC+는/JX
않은	않/VX+은/ETM
게	것/NNB+이/JKS
현실"이라고	현실/NNG+"/SS+이라고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

일부	일부/NNG
탈원전	탈원전/NNG
운동	운동/NNG
구호가	구호/NNG+가/JKS
위화감	위화감/NNG
불러일으키는	불러일으키/VV+는/ETM
이유	이유/NNG
시라이시	시라이시/NNP
키요하루	키요하루/NNP
'JDF	'/SS+JDF/SL
피재지	피재지/NNG
장애인	장애인/NNG
지원센터	지원센터/NNG
후쿠시마'	후쿠시마/NNP+'/SS
대표	대표/NNG

ⓒ	ⓒ/SL
전은옥	전은옥/NNP
이날	이날/NNG
강연에서	강연/NNG+에서/JKB
청중이	청중/NNG+이/JKS
가장	가장/MAG
관심을	관심/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
대목은	대목/NNG+은/JX
'장애인이	'/SS+장애인/NNG+이/JKS
바라본	바라보/VV+ㄴ/ETM
탈원전	탈원전/NNG
운동'과	운동/NNG+'/SS+과/JC
'탈원전	'/SS+탈원전/NNG
여론	여론/NNG
일부의	일부/NNG+의/JKG
차별적이며	차별적/NNG+이/VCP+며/EC
위험한	위험하/VA+ㄴ/ETM
시각에	시각/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판'이었다	비판/NNG+'/SS+이/VCP+었/EP+다/EC

"일각에서	"/SS+일각/NNG+에서/JKB
반원전	반원전/NNG
시위를	시위/NNG+를/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
체르노빌에서	체르노빌/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
장애아의	장애아/NNG+의/JKG
사진을	사진/NNG+을/JKO
플래카드에	플래카드/NNG+에/JKB
붙여	붙이/VV+어/EC
행진하기도	행진하/VA+기/ETN+도/JX
하죠	하/VV+죠/EC

저는	저/NP+는/JX
그것을	그것/NP+을/JKO
'반원전	'/SS+반원전/NNG
운동=방사능	운동/NNG+=/SW+방사능/NNG
오염으로	오염/NNG+으로/JKB
장애아가	장애아/NNG+가/JKS
태어나선	태어나/VV+아서/EC+ㄴ/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
운동'이라는	운동/NNG+'/SS+이/VCP+라는/ETM
발상이라고	발상/NNG+이/VCP+라고/EC
해석합니다	해석하/VV+ㅂ니다/EF

저는	저/NP+는/JX
장애인으로	장애인/NNG+으로/JKB
이렇게	이렇/VA+게/EC
생각합니다	생각하/VV+ㅂ니다/EF

우생학적	우생학적/NNG
사상을	사상/NNG+을/JKO
가지고	가지/VV+고/EC
'장애인은	'/SS+장애인/NNG+은/JX
있어서는	있/VA+어서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
존재'로	존재/NNG+'/SS+로/JKB
생각할	생각하/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
방사능	방사능/NNG
오염	오염/NNG
때문에	때문/NNB+에/JKB
장애아가	장애아/NNG+가/JKS
태어나더라도	태어나/VV+더라도/EC
사회	사회/NNG
속에서	속/NNG+에서/JKB
모두가	모두/NNG+가/JKS
함께	함께/MAG
그	그/MM
아이를	아이/NNG+를/JKO
키우며	키우/VV+며/EC
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황을	상황/NNG+을/JKO
