국제적	국제적/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
18명의	18/SN+명/NNB+의/JKG
위원	위원/NNG
중에는	중/NNB+에/JKB+는/JX
한국	한국/NNP
출신의	출신/NNG+의/JKG
김형식	김형식/NNP
위원이	위원/NNG+이/JKS
있다	있/VA+다/EC

김형식	김형식/NNP
위원은	위원/NNG+은/JX
현재	현재/MAG
한반도국제대학원대학교의	한반도국제대학원대학교/NNP+의/JKG
교수로	교수/NNG+로/JKB
재직	재직/NNG
중인데,	중/NNB+이/VCP+ㄴ데/EC+,/SP
호주의	호주/NNP+의/JKG
모나쉬대학교	모나쉬대학교/NNP
대학원에서	대학원/NNG+에서/JKB
사회정책학	사회정책학/NNG
박사학위를	박사학위/NNG+를/JKO
받은	받/VV+은/ETM
후,	후/NNG+,/SP
호주	호주/NNP
모나쉬대학교,	모나쉬대학교/NNP+,/SP
호주	호주/NNP
퀸즐랜드대학교	퀸즐랜드대학교/NNP
및	및/MAG
중앙대학교	중앙대학교/NNP
등에서	등/NNB+에서/JKB
교수로	교수/NNG+로/JKB
재직한	재직하/VV+ㄴ/ETM
바	바/NNB
있었다	있/VA+었/EP+다/EF

김형식	김형식/NNP
위원은	위원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
9월	9/SN+월/NNB
1일,	1/SN+일/NNB+,/SP
미국	미국/NNP
뉴욕	뉴욕/NNP
유엔본부에서	유엔/NNP+본부/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
유엔	유엔/NNP
장애인권리위원회	장애인권리위원회/NNG
위원	위원/NNG
선거에서,	선거/NNG+에서/JKB+,/SP
각국에서	각국/NNG+에서/JKB
후보로	후보/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
23명	23/SN+명/NNB
가운데	가운데/NNG
당선됐으며,	당선되/VV+었/EP+으며/EC+,/SP
임기는	임기/NNG+는/JX
4년으로,	4/SN+년/NNB+으로/JKB+,/SP
2014년	2014/SN+년/NNB
12월	12/SN+월/NNB
31일까지	31/SN+일/NNB+까지/JX
유엔장애인권리위원으로	유엔/NNP+장애인권리위원/NNG+으로/JKB
활동하게	활동하/VV+게/EC
된다	되/VV+ㄴ다/EF

필자가	필자/NNG+가/JKS
유엔장애인권리위원회	유엔/NNP+장애인권리위원회/NNG
8차	8/SN+차/NNB
세션을	세션/NNG+을/JKO
참관	참관/NNG
중이던	중/NNB+이/VCP+던/ETM
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
20일,	20/SN+일/NNB+,/SP
제네바	제네바/NNP
시내의	시내/NNG+의/JKG
한	한/MM
식당에서	식당/NNG+에서/JKB
김형식위원을	김형식위원/NNP+을/JKO
만나,	만나/VV+아/EC+,/SP
유엔장애인권리위원으로서의	유엔/NNP+장애인권리위원/NNG+으로서/JKB+의/JKG
활동에	활동/NNG+에/JKB
대해	대하/VV+여/EC
들어보았다	들/VX+어/EC+보/VX+았/EP+다/EC

유엔장애인권리위원회	유엔/NNP+장애인권리위원회/NNG
회의장	회의장/NNG
풍경(사진	풍경/NNG+(/SS+사진/NNG
왼쪽의	왼쪽/NNG+의/JKG
위원석	위원석/NNG
중	중/NNB
좌측	좌측/NNG
맨	맨/MM
끝에서	끝/NNG+에서/JKB
두	두/MM
번째가	번째/NNB+가/JKS
김형식	김형식/NNP
위원)	위원/NNG+)/SS

ⓒ이광원	ⓒ/SL+이광/NNG+원/XSN
다음은	다음/NNG+은/JX
일문일답	일문일답/NNG

이광원	이광원/NNP
:	:/SP
유엔장애인권리협약이	유엔/NNP+장애인권리협약/NNG+이/JKS
우리에게	우리/NP+에게/JKB
주는	주/VV+는/ETM
의미는?김형식	의미/NNG+는/JX+?/SF+김형식/NNP
:	:/SP
유엔장애인권리협약은,	유엔/NNP+장애인권리협약/NNG+은/JX+,/SP
그동안	그동안/NNG
우리가	우리/NP+가/JKS
가지고	가지/VV+고/EC
있었던	있/VX+었/EP+던/ETM
장애인복지의	장애인복지/NNG+의/JKG
패러다임을	패러다임/NNG+을/JKO
깨트렸다	깨트리/VV+었/EP+다/EF

장애인	장애인/NNG
문제의	문제/NNG+의/JKG
대안은,	대안/NNG+은/JX+,/SP
이제	이제/MAG
더	더/MAG
이상	이상/NNG
‘복지’가	‘/SN+복지’/NNG+가/JKC
아니다	아니/VCN+다/EC

복지,	복지/NNG+,/SP
의존	의존/NNG
그리고	그리고/MAJ
보호의	보호/NNG+의/JKG
시대에	시대/NNG+에/JKB
더	더/MAG
이상	이상/NNG
머물지	머물/VV+지/EC
않도록	않/VX+도록/EC
하는	하/VX+는/ETM
것이,	것/NNB+이/JKS+,/SP
유엔	유엔/NNP
장애인권리협약이	장애인권리협약/NNG+이/JKS
우리에게	우리/NP+에게/JKB
주는	주/VV+는/ETM
강력한	강력하/VA+ㄴ/ETM
메시지다	메시지/NNG+이/VCP+다/EC

이광원	이광원/NNP
:	:/SP
유엔장애인권리위원의	유엔/NNP+장애인권리위원/NNG+의/JKG
주된	주되/VV+ㄴ/ETM
역할은	역할/NNG+은/JX
무엇이고,	무엇/NP+이/VCP+고/EC+,/SP
구성은	구성/NNG+은/JX
어떻게	어떻/VA+게/EC
되어	되/VV+어/EC
있나?김형식	있/VX+나/EF+?/SF+김형식/NNP
:	:/SP
유엔장애인권리협약	유엔/NNP+장애인권리협약/NNG
제34조에	제/XPN+34/SN+조/NNB+에/JKB
근거하여	근거하/VV+여/EC
구성되어	구성되/VV+어/EC
활동하고	활동하/VV+고/EC
있는	있/VX+는/ETM
우리	우리/NP
위원들은,	위원/NNG+들/XSN+은/JX+,/SP
국가보고서를	국가보고서/NNG+를/JKO
심의하며	심의하/VV+며/EC
현안목록과	현안목록/NNG+과/JC
최종견해	최종견/NNP+하/VV+여/EC
채택	채택/NNG
등을	등/NNB+을/JKO
통해,	통하/VV+여/EC+,/SP
해당	해당/NNG
국가에게	국가/NNG+에게/JKB
적절한	적절하/VA+ㄴ/ETM
피드백을	피드백/NNG+을/JKO
주는	주/VV+는/ETM
등,	등/NNB+,/SP
비준국이	비/XPN+준국/NNG+이/JKS
협약을	협약/NNG+을/JKO
잘	잘/MAG
이행할	이행하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
돕는	돕/VV+는/ETM
역할을	역할/NNG+을/JKO
한다	하/VV+ㄴ다/EF

또한,	또한/MAG+,/SP
선택의정서를	선택의정/NNG+서/XSN+를/JKO
비준한	비준하/VV+ㄴ/ETM
국가로부터	국가/NNG+로부터/JKB
들어오는	들어오/VV+는/ETM
개인·집단	개인/NNG+·/SP+집단/NNG
진정에	진정/NNG+에/JKB
대응하는	대응하/VV+는/ETM
일도	일/NNG+도/JX
한다	하/VV+ㄴ다/EF

더불어	더불/VV+어/EC
필요한	필요하/VA+ㄴ/ETM
경우에는,	경우/NNG+에/JKB+는/JX+,/SP
이슈가	이슈/NNG+가/JKC
되는	되/VV+는/ETM
문제를	문제/NNG+를/JKO
검토하기	검토하/VV+기/ETN
위하여	위하/VV+여/EC
분과를	분과/NNG+를/JKO
만들거나	만들/VV+거나/EC
심도	심도/NNG
있는	있/VA+는/ETM
국가	국가/NNG
조사를	조사/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
매우	매우/MAG
전문적인	전문적/NNG+이/VCP+ㄴ/ETM
활동을	활동/NNG+을/JKO
하기도	하/VV+기/ETN+도/JX
하는데,	하/VX+는데/EC+,/SP
현재는	현재/NNG+는/JX
위원회	위원회/NNG
밑에	밑/NNG+에/JKB
접근성	접근성/NNG
분과,	분과/NNG+,/SP
여성	여성/NNG
및	및/MAG
아동	아동/NNG
분과	분/NNG+과/JC
그리고	그리고/MAJ
선택의정서	선택의정/NNG+서/JKB
분과,	분과/NNG+,/SP
이렇게	이렇/VA+게/EC
세	세/MM
개의	개/NNB+의/JKG
분과가	분과/NNG+가/JKS
구성되어	구성되/VV+어/EC
활동하고	활동하/VV+고/EC
있다	있/VX+다/EC

이광원	이광원/NNP
:	:/SP
위원마다	위원/NNG+마다/JX
전문분야들이	전문분야/NNG+들/XSN+이/JKS
있을	있/VA+을/ETM
텐데,	터/NNB+이/VCP+ㄴ데/EC+,/SP
김위원의	김위원/NNP+의/JKG
전문분야는?김형식	전문분야/NNG+는/JX+?/SF+김형식/NNP
:	:/SP
내	내/NNG
전문	전문/NNG
분야는	분야/NNG+는/JX
고용,	고용/NNG+,/SP
교육	교육/NNG
그리고	그리고/MAJ
국제협력이다	국제협력/NNG+이/VCP+다/EC

이들	이/NP+들/XSN
분야에	분야/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
위원들로부터	위원/NNG+들/XSN+로부터/JKB
내	나/NP+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
인정받고	인정받/VV+고/EC
있다	있/VX+다/EC

따라서	따라서/MAJ
이	이/MM
분야들과	분야/NNG+들/XSN+과/JKB
관련된	관련되/VV+ㄴ/ETM
이슈가	이슈/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
때는,	때/NNG+는/JX+,/SP
다른	다른/MM
위원들이	위원/NNG+들/XSN+이/JKS
대체로	대체로/MAG
내	나/NP+의/JKG
의견을	의견/NNG+을/JKO
듣고	듣/VV+고/EC
싶어	싶/VX+어/EC
한다	하/VV+ㄴ다/EF

다른	다른/MM
위원들과	위원/NNG+들/XSN+과/JKB
함께	함께/MAG
심의	심의/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김형식	김형식/NNP
위원(사진	위원/NNG+(/SS+사진/NNG
맨	맨/MM
앞쪽)	앞쪽/NNG+)/SS

ⓒ이광원	ⓒ/SL+이광/NNG+원/XSN
이광원	이광원/NNP
:	:/SP
이번	이번/NNG
8차	8/SN+차/NNB
세션에서	세션/NNG+에서/JKB
중국	중국/NNP
국가보고서	국가보고서/NNG
심의가	심의/NNG+가/JKS
있었고,	있/VA+었/EP+고/EC+,/SP
중국	중국/NNP
국가보고서에	국가보고서/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
특별보고관(rapporteur)의	특별보고관/NNG+(/SS+rapporteur/SL+)/SS+의/JKG
역할을	역할/NNG+을/JKO
맡으셨던	맡/VV+으시었/EP+던/ETM
걸로	것/NNB+ㄹ/JKO+로/JKB
아는데,	알/VV+는데/EC+,/SP
에피소드가	에피소드/NNG+가/JKS
있었다면?김형식	있/VA+었/EP+다면/EF+?/SF+김형식/NNP
:	:/SP
각	각/MM
국가보고서를	국가보고서/NNG+를/JKO
심의할	심의하/VV+ㄹ/ETM
때마다,	때/NNG+마다/JX+,/SP
위원	위원/NNG
중에서	중/NNB+에서/JKB
한	하/VV+ㄴ/ETM
명을	명/NNB+을/JKO
특별보고관으로	특별보고관/NNG+으로/JKB
지정한다	지정하/VV+ㄴ다/EC

특별보고관은	특별보고/NNG+관/XSN+은/JX
다른	다르/VA+ㄴ/ETM
위원들	위원/NNG+들/XSN
보다	보다/MAG
더	더/MAG
집중해서	집중하/VV+여서/EC
심층적으로	심층/NNG+적/XSN+으로/JKB
보고서를	보고서/NNG+를/JKO
검토하고,	검토하/VV+고/EC+,/SP
질문을	질문/NNG+을/JKO
개발하게	개발하/VV+게/EC
된다	되/VV+ㄴ다/EF

특별보고관은	특별보고/NNG+관/XSN+은/JX
그	그/MM
나라의	나라/NNG+의/JKG
지역적	지역적/NNG
정서를	정서/NNG+를/JKO
쉽게	쉽/VA+게/EC
이해할	이해하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람이	사람/NNG+이/JKS
적절하기	적절하/VA+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
통상적으로	통상/NNG+적/XSN+으로/JKB
인근	인근/NNG
국가의	국가/NNG+의/JKG
위원이	위원/NNG+이/JKS
맡게	맡/VV+게/EC
되는	되/VV+는/ETM
경우가	경우/NNG+가/JKS
많아서,	많/VA+아서/EC+,/SP
중국의	중국/NNP+의/JKG
경우	경우/NNG
내가	내/NP+가/JKS
특별보고관이	특별보고관/NNG+이/JKC
되었다	되/VV+었/EP+다/EC

중국은	중국/NNP+은/JX
하나의	하나/NNG+의/JKG
나라지만,	나라/NNG+이/VCP+지만/EC+,/SP
중국	중국/NNP
본토,	본토/NNG+,/SP
홍콩-차이나	홍콩/NNP+-/SO+차/NNP+이나/JC
그리고	그리고/MAJ
마카오-차이나,	마카오/NNP+-/SO+차/NNG+이나/JC+,/SP
이렇게	이렇/VA+게/EC
세	세/MM
개의	개/NNB+의/JKG
국가보고서가	국가보고서/NNG+가/JKS
제출되었기에	제출되/VV+었/EP+기/ETN+에/JKB
분량이	분량/NNG+이/JKS
많아서	많/VA+아서/EC
어려움을	어려움/NNG+을/JKO
겪었다	겪/VV+었/EP+다/EC

이번에	이번/NNG+에/JKB
나는	나/NP+는/JX
중국	중국/NNP
국가보고서의	국가보고서/NNG+의/JKG
특별보고관으로서,	특별보고관/NNG+으로서/JKB+,/SP
중국	중국/NNP
30개,	30/SN+개/NNB+,/SP
홍콩	홍콩/NNP
14개,	14/SN+개/NNB+,/SP
마카오	마카오/NNP
9개의	9/SN+개/NNB+의/JKG
질문을	질문/NNG+을/JKO
만들어서	만들/VV+어서/EC
위원들과	위원/NNG+들/XSN+과/JKB
공유했다	공유하/VV+였/EP+다/EF

이러한	이러하/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
데에는	데/NNB+에/JKB+는/JX
NGO을	NGO/SL+을/JKO
통해	통하/VV+여/EC
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
정보가	정보/NNG+가/JKS
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
되었다	되/VV+었/EP+다/EC

이번	이번/NNG
8차	8/SN+차/NNB
세션	세션/NNG
회의에는	회의/NNG+에/JKB+는/JX
중국	중국/NNP
본토의	본토/NNG+의/JKG
NGO들은	NGO/SL+들/XSN+은/JX
참석하지	참석하/VV+지/EC
못해	못하/VX+여/EC
많이	많이/MAG
아쉬웠지만,	아쉽/VA+었/EP+지만/EC+,/SP
특별보고관	특별보고관/NNG
활동	활동/NNG
중에	중/NNB+에/JKB
중국	중국/NNP
본토	본토/NNG
NGO들의	NGO/SL+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
청취하기	청취하/VV+기/ETN
위해서,	위하/VV+여서/EC+,/SP
그들과	그/NP+들/XSN+과/JC
여러	여러/MM
차례	차례/NNG
이메일과	이메일/NNG+과/JC
전화통화	전화통화/NNG
등을	등/NNB+을/JKO
나눴고,	나누/VV+었/EP+고/EC+,/SP
실제로	실제로/MAG
1시간	1/SN+시간/NNB
이상이나	이상/NNG+이나/JC
전화	전화/NNG
통화를	통화/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
했었다	하/VX+였었/EP+다/EC

이광원	이광원/NNP
:	:/SP
위원으로서	위원/NNG+으로서/JKB
활동하면서	활동하/VV+면서/EC
갖는	갖/VV+는/ETM
개인적인	개인적/NNG+이/VCP+ㄴ/ETM
소감이	소감/NNG+이/JKS
있다면?김형식	있/VA+다면/EF+?/SF+김형식/NNP
:	:/SP
2010년	2010/SN+년/NNB
9월에	9/SN+월/NNB+에/JKB
당선된	당선되/VV+ㄴ/ETM
후,	후/NNG+,/SP
작년부터	작년/NNG+부터/JX
유엔장애인권리위원회	유엔/NNP+장애인권리위원회/NNG
회의에	회의/NNG+에/JKB
참석하고	참석하/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
개인적으로	개인적/NNG+으로/JKB
상당한	상당하/VA+ㄴ/ETM
도전을	도전/NNG+을/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

위원이	위원/NNG+이/JKC
되기	되/VV+기/ETN
전에는,	전/NNG+에/JKB+는/JX+,/SP
사실	사실/MAG
이	이/MM
분야에	분야/NNG+에/JKB
대해서	대하/VV+여서/EC
많이	많이/MAG
알고	알/VV+고/EC
있다고	있/VX+다고/EC
생각했는데,	생각하/VV+였/EP+는데/EC+,/SP
하나하나의	하나하나/NNG+의/JKG
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
이슈에	이슈/NNG+에/JKB
부딪히면서	부딪히/VV+면서/EC
더	더/MAG
많은	많/VA+은/ETM
전문성이	전문/NNG+성/XSN+이/JKS
필요하다는	필요하/VA+다는/ETM
생각을	생각/NNG+을/JKO
갖게	갖/VV+게/EC
된다	되/VV+ㄴ다/EF

함께	함께/MAG
활동하는	활동하/VV+는/ETM
동료위원들	동료위원/NNG+들/XSN
중에는	중/NNB+에/JKB+는/JX
매우	매우/MAG
훌륭한	훌륭하/VA+ㄴ/ETM
분들이	분/NNB+들/XSN+이/JKS
많아,	많/VA+아/EC+,/SP
내게도	나/NP+에게/JKB+도/JX
큰	크/VA+ㄴ/ETM
자극이	자극/NNG+이/JKC
되고	되/VV+고/EC
있다	있/VX+다/EC

어떤	어떤/MM
분은	분/NNB+은/JX
협약의	협약/NNG+의/JKG
내용을	내용/NNG+을/JKO
거의	거의/MAG
암기하고	암기하/VV+고/EC
있는가	있/VX+는가/EC
하면,	하/VV+면/EC+,/SP
또	또/MAG
어떤	어떤/MM
분은	분/NNB+은/JX
협약과	협약/NNG+과/JC
연관된	연관되/VV+ㄴ/ETM
다른	다른/MM
국제법	국제법/NNG
조항들에	조항/NNG+들/XSN+에/JKB
근거해,	근거하/VV+여/EC+,/SP
매우	매우/MAG
전문적으로	전문적/NNG+으로/JKB
논지를	논지/NNG+를/JKO
전개하기도	전개하/VV+기/ETN+도/JX
한다	하/VX+ㄴ다/EF

이런	이런/MM
전문가들과의	전문가/NNG+들/XSN+과/JKB+의/JKG
활동을	활동/NNG+을/JKO
통해,	통하/VV+여/EC+,/SP
유엔장애인권리협약에	유엔/NNP+장애인권리협약/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
깊어질	깊어지/VV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
내	나/NP+의/JKG
자신도	자신/NNG+도/JX
큰	크/VA+ㄴ/ETM
도전을	도전/NNG+을/JKO
받고	받/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
위원으로서	위원/NNG+으로서/JKB
더욱	더욱/MAG
큰	크/VA+ㄴ/ETM
책임감을	책임감/NNG+을/JKO
갖게	갖/VV+게/EC
된다	되/VV+ㄴ다/EF

항상	항상/MAG
뒤처지지	뒤처지/VV+지/EC
않기	않/VX+기/ETN
위해서,	위하/VV+여서/EC+,/SP
레오나드	레오나드/NNP
체셔	체셔/NNG
디서빌러티(Leonard	디서빌러티/NNG+(/SS+Leonard/SL
Cheshire	Cheshire/SL
Disability)에서	Disability/SL+)/SS+에서/JKB
나온	나오/VV+ㄴ/ETM
유엔장애인권리협약	유엔/NNP+장애인권리협약/NNG
해설집을	해설집/NNG+을/JKO
늘	늘/MAG
가지고	가지/VV+고/EC
다니며,	다니/VV+며/EC+,/SP
생각하고	생각하/VV+고/EC
메모한다	메모하/VV+ㄴ다/EF

(필자	(/SS+필자/NNG
주	주/NNG
:	:/SP
Leonard	Leonard/SL
Cheshire	Cheshire/SL
Disability는	Disability/SL+는/JX
영국의	영국/NNP+의/JKG
장애	장애/NNG
관련	관련/NNG
자선단체로,	자선단체/NNG+로/JKB+,/SP
유엔장애인권리협약	유엔/NNP+장애인권리협약/NNG
해설집	해설집/NNG
소책자를	소책자/NNG+를/JKO
발간했는데,	발간하/VV+였/EP+는데/EC+,/SP
김	김/NNP
위원은	위원/NNG+은/JX
그	그/MM
해설집	해설집/NNG
소책자를	소책자/NNG+를/JKO
항상	항상/MAG
휴대하며	휴대하/VV+며/EC
연구하고	연구하/VV+고/EC
있다는	있/VX+다는/ETM
얘기였다	얘기/NNG+이/VCP+었/EP+다/EF

김	김/NNP
위원이	위원/NNG+이/JKS
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
그	그/MM
소책자에는	소책자/NNG+에/JKB+는/JX
정말	정말/MAG
깨알	깨알/NNG
같은	같/VA+은/ETM
메모들이,	메모/NNG+들/XSN+이/JKS+,/SP
빼곡히	빼곡히/MAG
적혀	적히/VV+어/EC
있었다	있/VX+었/EP+다/EF

)	)/SS
"한국참관단과	"/SS+한국참관단/NNP+과/JKB
만찬	만찬/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김형식	김형식/NNP
위원	위원/NNG
ⓒ이광원	ⓒ/SL+이광/NNG+원/XSN
이광원	이광원/NNP
:	:/SP
NGO	NGO/SL
보고서	보고서/NNG
작성에	작성/NNG+에/JKB
조언이	조언/NNG+이/JKS
있다면?김형식	있/VA+다면/EF+?/SF+김형식/NNP
:	:/SP
먼저	먼저/MAG
전문가들을	전문가/NNG+들/XSN+을/JKO
모시고,	모시/VV+고/EC+,/SP
본	본/MM
협약을	협약/NNG+을/JKO
심도	심도/NNG
있게	있/VA+게/EC
공부하는	공부하/VV+는/ETM
것이	것/NNB+이/JKS
필요하다	필요하/VA+다/EC

보통	보통/MAG
국가보고서를	국가보고서/NNG+를/JKO
심의하기	심의하/VV+기/ETN
6개월	6/SN+개월/NNB
전에,	전/NNG+에/JKB+,/SP
위원들이	위원/NNG+들/XSN+이/JKS
NGO	NGO/SL
보고서를	보고서/NNG+를/JKO
받게	받/VV+게/EC
된다	되/VV+ㄴ다/EF

가장	가장/MAG
중요한	중요하/VA+ㄴ/ETM
것은	것/NNB+은/JX
NGO의	NGO/SL+의/JKG
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
활동이다	활동/NNG+이/VCP+다/EC

이번	이번/NNG
8차	8/SN+차/NNB
세션에서	세션/NNG+에서/JKB
참가한	참가하/VV+ㄴ/ETM
한국	한국/NNP
NGO	NGO/SL
참관단처럼,	참관단/NNG+처럼/JKB+,/SP
회의를	회의/NNG+를/JKO
참관하고	참관하/VV+고/EC
위원들을	위원/NNG+들/XSN+을/JKO
만나며,	만나/VV+며/EC+,/SP
국제장애인연맹(IDA	국제장애인연맹/NNG+(/SS+IDA/SL
;	;/SP
International	International/SL
Disability	Disability/SL
Alliance)과	Alliance/SL+)/SS+과/JKB
같은	같/VA+은/ETM
국제조직들과	국제조직/NNG+들/XSN+과/JKB
유대를	유대/NNG+를/JKO
맺는	맺/VV+는/ETM
것이	것/NNB+이/JKS
중요하다고	중요하/VA+다고/EC
생각한다	생각하/VV+ㄴ다/EF

서울에	서울/NNP+에/JKB
앉아	앉/VV+아/EC
말로만	말/NNG+로/JKB+만/JX
듣는	듣/VV+는/ETM
것과,	것/NNB+과/JC+,/SP
직접	직접/MAG
와서	오/VV+아서/EC
보고	보/VX+고/EC
듣는	듣/VV+는/ETM
현장의	현장/NNG+의/JKG
내용과는,	내용/NNG+과/JKB+는/JX+,/SP
많이	많이/MAG
다를	다르/VA+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EF

더불어	더불/VV+어/EC
무엇보다	무엇/NP+보다/JKB
장애계의	장애/NNG+계/XSN+의/JKG
주인의식이	주인의식/NNG+이/JKS
요구된다	요구되/VV+ㄴ다/EC

한국이	한국/NNP+이/JKS
유엔장애인권리협약을	유엔/NNP+장애인권리협약/NNG+을/JKO
위해	위하/VV+여/EC
많은	많/VA+은/ETM
기여를	기여/NNG+를/JKO
한	하/VV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
그	그/MM
이행과	이행/NNG+과/JC
모니터링에도	모니터링/NNG+에/JKB+도/JX
NGO들,	NGO/SL+들/XSN+,/SP
특히	특히/MAG
장애인	장애인/NNG
당사자	당사자/NNG
단체	단체/NNG
DPO(Disabled	DPO/SL+(/SS+Disabled/SL
People's	People/SL+'/SS+s/SL
Organizations)들이	Organizations/SL+)/SS+들/XSN+이/JKS
많은	많/VA+은/ETM
관심을	관심/NNG+을/JKO
가져야한다	가지/VV+어야/EC+하/VX+ㄴ다/EF

그리고	그리고/MAJ
유엔장애인권리협약을	유엔/NNP+장애인권리협약/NNG+을/JKO
보다	보다/MAG
전문적으로	전문적/NNG+으로/JKB
연구하고,	연구하/VV+고/EC+,/SP
각국의	각국/NNG+의/JKG
자료를	자료/NNG+를/JKO
정리하여	정리하/VV+여/EC
최근의	최근/NNG+의/JKG
쟁점들을	쟁점/NNG+들/XSN+을/JKO
다루는,	다루/VV+는/ETM+,/SP
별도의	별도/NNG+의/JKG
조직이	조직/NNG+이/JKS
국내에	국내/NNG+에/JKB
만들어지는	만들/VV+어/EC+지/VX+는/ETM
것이	것/NNB+이/JKS
좋겠다	좋/VA+겠/EP+다/EC

한편,	한편/NNG+,/SP
정부	정부/NNG
당국의	당국/NNG+의/JKG
입장에서도	입장/NNG+에서/JKB+도/JX
잘	잘/MAG
준비해야	준비하/VV+여야/EC
한다	하/VX+ㄴ다/EF

튀니지의	튀니지/NNP+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
관련	관련/NNG
부처별로	부처/NNG+별/XSN+로/JKB
6명의	6/SN+명/NNB+의/JKG
장관이	장관/NNG+이/JKS
와서	오/VV+아서/EC
보고하고	보고하/VV+고/EC
질문에	질문/NNG+에/JKB
답했다	답하/VV+였/EP+다/EF

우리의	우리/NP+의/JKG
경우에도,	경우/NNG+에/JKB+도/JX+,/SP
이	이/MM
분야에	분야/NNG+에/JKB
책임이	책임/NNG+이/JKS
있고	있/VA+고/EC
지식이	지식/NNG+이/JKS
풍부한	풍부하/VA+ㄴ/ETM
정부	정부/NNG
