태풍속	태풍속/NNG
1인	1/SN+인/NNG
시위	시위/NNG
주인공은	주인공/NNG+은/JX
바로	바로/MAG
시설생존자연대	시설생존자연대/NNG
회원인	회원/NNG+이/VCP+ㄴ/ETM
이종욱(뇌병변1급,	이종욱/NNP+(/SS+뇌병변/NNP+1/SN+급/NNG+,/SP
32)씨	32/SN+)/SS+씨/NNB

시설생존자연대는	시설생존자연대/NNG+는/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
13일부터	13/SN+일/NNB+부터/JX
‘장애인자립생활보장법	‘/SN+장애인자립생활보장법/NNG
제정’과	제정’/NNG+과/JC
‘활동보조서비스	‘/SN+활동보조서비스/NNG
720시간	720/SN+시간/NNB
확보’	확보/NNG+’/SN
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
오전	오전/NNG
11시	11/SN+시/NNB
30분부터	30/SN+분/NNB+부터/JX
2시간동안	2/SN+시간/NNB+동안/NNG
무기한으로	무기한/NNG+으로/JKB
진행해	진행하/VV+여/EC
오고	오/VX+고/EC
있다	있/VX+다/EC

벌써	벌써/MAG
3번째	3/SN+번째/NNB
1인시위에	1/SN+인시위/NNG+에/JKB
나섰다는	나서/VV+었/EP+다는/ETM
이	이/NNP
씨는	씨/NNB+는/JX
에이블뉴스와의	에이블뉴스/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“현재	“/SN+현재/NNG
180시간의	180/SN+시간/NNB+의/JKG
장애인	장애인/NNG
활동보조서비스를	활동보조서비스/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

그러나	그러나/MAJ
와상장애인	와상장애인/NNG
같은	같/VA+은/ETM
경우나	경우/NNG+나/JC
장애가	장애/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
경우,	경우/NNG+,/SP
활동보조인이	활동보조인/NNG+이/JKS
24시간	24/SN+시간/NNB
붙어있어야	붙/VV+어/EC+있/VX+어야/EC
하는데	하/VX+는데/EC
현재로서는	현재/NNG+로서/JKB+는/JX
턱없이	턱없이/MAG
부족한	부족하/VA+ㄴ/ETM
편”이라며	편”/NNG+이/VCP+라며/EC
“장애인	“/SL+장애인/NNG
활동보조	활동보조/NNG
서비스를	서비스/NNG+를/JKO
늘리기	늘리/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
태풍이	태풍/NNG+이/JKS
무섭지	무섭/VA+지/EC
않았다”고	않/VX+았/EP+다”고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
이	이/NNP
씨는	씨/NNB+는/JX
“한	“하/VA+ㄴ/ETM
달동안	달/NNB+동안/NNG
시위를	시위/NNG+를/JKO
하고	하/VV+고/EC
있지만	있/VX+지만/EC
그닥	그닥/MAG
효과는	효과/NNG+는/JX
없었다	없/VA+었/EP+다/EF

한	한/MM
번에	번/NNB+에/JKB
바뀌는	바뀌/VV+는/ETM
것	것/NNB
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
조금씩	조금씩/MAG
조금씩	조금씩/MAG
발전할	발전하/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
믿는다	믿/VV+는다/EC

계속	계속/MAG
시위에도	시위/NNG+에/JKB+도/JX
참여할	참여하/VV+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“이번	“/SL+이번/NNG
온라인	온라인/NNG
화제로	화제/NNG+로/JKB
인해	인하/VV+여/EC
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
활동보조서비스	활동보조서비스/NNG
확보에	확보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
늘어나길	늘어나/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SN+고/EC
강조했다	강조하/VV+였/EP+다/EC
