황당한	황당하/VA+ㄴ/ETM
개선이	개선/NNG+이/JKS
요구됐다	요구되/VV+었/EP+다/EF

먼저	먼저/MAG
수동휠체어	수동휠체어/NNG
장애인	장애인/NNG
승하차시	승하차시/NNG
저상버스에	저상버스/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
경사판의	경사판/NNG+의/JKG
경사도가	경사도/NNG+가/JKS
더욱	더욱/MAG
가팔라지면서	가팔라지/VV+면서/EC
장애인의	장애인/NNG+의/JKG
무게	무게/NNG
중심이	중심/NNG+이/JKS
앞뒤로	앞뒤/NNG+로/JKB
쏠리면서	쏠리/VV+면서/EC
꼬꾸라질	꼬꾸라지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

전동휠체어	전동휠체어/NNG
정애인	정애인/NNG
역시	역시/MAG
수동휠체어	수동휠체어/NNG
장애인	장애인/NNG
사례와	사례/NNG+와/JC
마찬가지로	마찬가지/NNG+로/JKB
자칫	자칫/MAG
사고로	사고/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
위험이	위험/NNG+이/JKS
도사리고	도사리/VV+고/EC
있었다	있/VX+었/EP+다/EF

반면	반면/NNG
경계	경계/NNG
턱이	턱/NNB+이/JKS
있는	있/VA+는/ETM
곳에서	곳/NNG+에서/JKB
수동·전동휠체어로	수동/NNG+·/SP+전동휠체어/NNG+로/JKB
저상버스를	저상버스/NNG+를/JKO
이용한	이용하/VV+ㄴ/ETM
결과	결과/NNG
저상버스의	저상버스/NNG+의/JKG
경사판과	경사판/NNG+과/JC
인도의	인도/NNP+의/JKG
경계석이	경계석/NNG+이/JKS
수평을	수평/NNG+을/JKO
이루며	이루/VV+며/EC
승하차가	승하차/NNG+가/JKS
용이했다	용이하/VA+었/EP+다/EC

상록장애인자립생활센터	상록장애인자립생활센터/NNG
한	한/MM
관계자는	관계자/NNG+는/JX
“경계석이	“/SL+경계석/NNG+이/JKS
전부	전부/MAG
제거돼	제거되/VV+어/EC
불편하다”며	불편하/VA+다/EC+”/VX+며/EC
“경계석을	“/SL+경계석/NNG+을/JKO
3분의	3/SN+분/XSN+의/JKG
1정도	1/SN+정도/NNG
남겨두는	남기/VV+어/EC+두/VX+는/ETM
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
방법들이	방법/NNG+들/XSN+이/JKS
고려돼야	고려되/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“안산시에는	“/SN+안산시/NNP+에/JKB+는/JX
버스정류장의	버스정류장/NNG+의/JKG
인도가	인도/NNG+가/JKS
좁아	좁/VA+아/EC
저상버스에	저상버스/NNG+에/JKB
탑승하기	탑승하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
곳이	곳/NNG+이/JKS
있다	있/VA+다/EF

이럴	이렇/VA+ㄹ/ETM
때	때/NNG
버스정류장과	버스정류장/NNG+과/JKB
조금	조금/MAG
떨어져	떨어지/VV+어/EC
저상버스가	저상버스/NNG+가/JKS
정차할	정차하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
배려해야	배려하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
제언했다	제언하/VV+였/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
단원구청	단원구청/NNG
측은	측/NNB+은/JX
경계석을	경계석/NNG+을/JKO
전부	전부/MAG
제거한	제거하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해서는	대하/VV+여서/EC+는/JX
“장애인들이	“/SL+장애인/NNG+들/XSN+이/JKS
불편을	불편/NNG+을/JKO
느낀다면	느끼/VV+ㄴ다면/EC
원상복귀	원상복귀/NNG
시킬	시키/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝힌	밝히/VV+ㄴ/ETM
뒤	뒤/NNG
“저상버스	“/SN+저상버스/NNG
정차	정차/NNG
위치	위치/NNG
배려는	배려/NNG+는/JX
안산시에	안산시/NNP+에/JKB
건의,	건의/NNG+,/SP
논의할	논의하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

경계석을	경계석/NNG+을/JKO
완전히	완전히/MAG
제거한	제거하/VV+ㄴ/ETM
버스정류장에서	버스정류장/NNG+에서/JKB
수동휠체어	수동휠체어/NNG
장애인의	장애인/NNG+의/JKG
저상버스	저상버스/NNG
하차	하차/NNG
모습	모습/NNG

저상버스	저상버스/NNG
경사판의	경사판/NNG+의/JKG
경사	경사/NNG
때문에	때문/NNB+에/JKB
무게	무게/NNG
중심이	중심/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
쏠려	쏠리/VV+어/EC
자칫	자칫/MAG
넘어질	넘어지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다	있/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
경계석이	경계석/NNG+이/JKS
있는	있/VA+는/ETM
곳에서	곳/NNG+에서/JKB
전동휠체어	전동휠체어/NNG
장애인의	장애인/NNG+의/JKG
저상버스	저상버스/NNG
탑승	탑승/NNG
모습	모습/NNG

불편함이	불편하/VA+ㅁ/ETN+이/JKS
없어	없/VA+어/EC
보인다	보일/VV+ㄴ다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
경계석을	경계석/NNG+을/JKO
완전히	완전히/MAG
제거한	제거하/VV+ㄴ/ETM
버스정류장에서	버스정류장/NNG+에서/JKB
전동휠체어	전동휠체어/NNG
장애인의	장애인/NNG+의/JKG
저상버스	저상버스/NNG
하차	하차/NNG
모습	모습/NNG

저상버스	저상버스/NNG
경사판의	경사판/NNG+의/JKG
경사	경사/NNG
때문에	때문/NNB+에/JKB
무게	무게/NNG
중심이	중심/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
쏠려	쏠리/VV+어/EC
자칫	자칫/MAG
넘어질	넘어지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다	있/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
경계석이	경계석/NNG+이/JKS
있는	있/VA+는/ETM
곳에서	곳/NNG+에서/JKB
수동휠체어	수동휠체어/NNG
장애인의	장애인/NNG+의/JKG
저상버스	저상버스/NNG
탑승	탑승/NNG
장면	장면/NNG

안전해	안전하/VA+여/EC
보인다	보일/VV+ㄴ다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
경계석이	경계석/NNG+이/JKS
있는	있/VA+는/ETM
곳에서	곳/NNG+에서/JKB
수동휠체어	수동휠체어/NNG
장애인의	장애인/NNG+의/JKG
저상버스	저상버스/NNG
하차	하차/NNG
모습	모습/NNG

불편함이	불편하/VA+ㅁ/ETN+이/JKS
없어	없/VA+어/EC
보인다	보일/VV+ㄴ다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
경계석이	경계석/NNG+이/JKS
있는	있/VA+는/ETM
곳에서	곳/NNG+에서/JKB
전동휠체어	전동휠체어/NNG
장애인의	장애인/NNG+의/JKG
저상버스	저상버스/NNG
탑승	탑승/NNG
장면	장면/NNG

안전해	안전하/VA+여/EC
보인다	보일/VV+ㄴ다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
경계석이	경계석/NNG+이/JKS
있는	있/VA+는/ETM
곳에서	곳/NNG+에서/JKB
전동휠체어	전동휠체어/NNG
장애인의	장애인/NNG+의/JKG
저상버스	저상버스/NNG
하차	하차/NNG
모습	모습/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
버스정류장이	버스정류장/NNG+이/JKS
좁아서	좁/VA+아서/EC
저상버스	저상버스/NNG
경사판을	경사판/NNG+을/JKO
인도	인도/NNP
경계석	경계석/NNG
턱	턱/NNG
위에	위/NNG+에/JKB
펼치지	펼치/VV+지/EC
못하면	못하/VX+면/EC
조금	조금/MAG
지나	지나/VV+아/EC
경계석	경계석/NNG
위에	위/NNG+에/JKB
펼치도록	펼치/VV+도록/EC
하면	하/VX+면/EC
편리하게	편리하/VA+게/EC
승하차	승하차/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
