문제	문제/NNG
비장애인화장실	비장애인화장실/NNG
내에	내/NNB+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

그것도	그것/NP+도/JX
비장애인화장실에	비장애인화장실/NNG+에/JKB
들어가면,	들어가/VV+면/EC+,/SP
끝부분에	끝부분/NNG+에/JKB
위치해	위치하/VV+여/EC
있었다	있/VX+었/EP+다/EC

출입문은	출입문/NNG+은/JX
미닫이로	미닫이/NNG+로/JKB
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인은	중증장애인/NNG+은/JX
사용하기	사용하/VV+기/ETN
힘들고,	힘들/VA+고/EC+,/SP
문고리	문고리/NNG
잠금장치의	잠금장치/NNG+의/JKG
사용도	사용/NNG+도/JX
어려웠다	어렵/VA+었/EP+다/EC

남자비장애인화장실의	남자비장애인화장실/NNG+의/JKG
경우를	경우/NNG+를/JKO
살펴보면	살펴보/VV+면/EC
내부	내부/NNG
통로가	통로/NNG+가/JKS
좁아	좁/VA+아/EC
장애인이	장애인/NNG+이/JKS
전동휠체어·스쿠터를	전동휠체어/NNG+·/SP+스쿠터/NNG+를/JKO
타고	타/VV+고/EC
세면대와	세면대/NNG+와/JC
소변기(아직	소변기/NNG+(/SS+아직/MAG
미설치된	미설치되/VV+ㄴ/ETM
상태로	상태/NNG+로/JKB
공간이	공간/NNG+이/JKS
비어	비/VV+어/EC
있음)를	있/VX+음/ETN+)/SS+를/JKO
지나	지나/VV+아/EC
끝	끝/NNG
부분에	부분/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
장애인화장실을	장애인화장실/NNG+을/JKO
이용하기에는	이용하/VV+기/ETN+에/JKB+는/JX
어려움이	어려움/NNG+이/JKS
따랐다	따르/VV+았/EP+다/EC

여자비장애인화장실도	여자비장애인화장실/NNG+도/JX
내부	내부/NNG
통로가	통로/NNG+가/JKS
좁아	좁/VA+아/EC
끝	끝/NNG
부분에	부분/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
장애인화장실을	장애인화장실/NNG+을/JKO
이용하기	이용하/VV+기/ETN
불편한	불편하/VA+ㄴ/ETM
것은	것/NNB+은/JX
마찬가지였다	마찬가지/NNG+이/VCP+었/EP+다/EF

신청사	신/XPN+청사/NNG
공사를	공사/NNG+를/JKO
감독하는	감독하/VV+는/ETM
충남개발공사	충남/NNP+개발공사/NNG
직원은	직원/NNG+은/JX
장애인화장실과	장애인화장실/NNG+과/JKB
관련된	관련되/VV+ㄴ/ETM
불편을	불편/NNG+을/JKO
인정하면서	인정하/VV+면서/EC
“처음에	“/SL+처음/NNG+에/JKB
1층에	1/SN+층/NNG+에/JKB
장애인화장실	장애인화장실/NNG
남·여	남/NNG+·/SP+여/NNG
1곳씩	1/SN+곳/NNG+씩/XSN
만들었지만	만들/VV+었/EP+지만/EC
‘장애물	‘장애물/NNG
없는	없/VA+는/ETM
생활환경’	생활환경/NNG+’/SL
예비인증	예비인증/NNG
최우수등급은	최우수등급/NNG+은/JX
물론	물론/MAG
본인증을	본인증/NNG+을/JKO
받기	받/VV+기/ETN
위해	위하/VV+여/EC
장애인화장실	장애인화장실/NNG
수를	수/NNG+를/JKO
늘렸다”고	늘리/VV+었/EP+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

황영란	황영란/NNP
충남도정책특별보좌관은	충남도/NNP+정책특별보좌관/NNG+은/JX
“설계가	“/SN+설계/NNG+가/JKS
전	전/MM
도지사	도지사/NNG
때	때/NNG
이뤄졌다”고	이루어지/VV+었/EP+다”고/EC
밝히면서	밝히/VV+면서/EC
“예비인증	“/SL+예비인증/NNG
최우수등급을	최우수등급/NNG+을/JKO
받은	받/VV+은/ETM
신청사를	신/XPN+청사/NNG+를/JKO
점검하면서	점검하/VV+면서/EC
최하	최하/NNG
등급도	등급/NNG+도/JX
안	안/MAG
될	되/VV+ㄹ/ETM
정도여서,	정도/NNG+이/VCP+어서/EC+,/SP
몇	몇/MM
번	번/NNB
수정을	수정/NNG+을/JKO
요청했지만	요청하/VV+였/EP+지만/EC
예산	예산/NNG
때문에	때문/NNB+에/JKB
대폭	대폭/MAG
수정을	수정/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없었다”고	없/VA+었/EP+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

한편	한편/MAG
한국장애인개발원	한국/NNP+장애인개발/NNG+원/XSN
관계자는	관계자/NNG+는/JX
“장애인화장실이	“/SN+장애인화장실/NNG+이/JKS
좁고,	좁/VA+고/EC+,/SP
구조	구조/NNG
변경을	변경/NNG+을/JKO
많이	많이/MAG
한	하/VV+ㄴ/ETM
상태”라며	상태”/NNG+이/VCP+라며/EC
“도면을	“/SL+도면/NNG+을/JKO
가지고	가지/VV+고/EC
‘장애물	‘/SN+장애물/NNG
없는	없/VA+는/ETM
생활환경’	생활환경/NNG+’/SN
예비인증	예비인증/NNG
최우수등급을	최우수등급/NNG+을/JKO
부여했기	부여하/VV+였/EP+기/ETN
때문에	때문/NNB+에/JKB
본인증	본인증/NNG
점검	점검/NNG
때	때/NNG
사용이	사용/NNG+이/JKS
불편하면,	불편하/VA+면/EC+,/SP
인증이	인증/NNG+이/JKS
내려가던지	내려가/VV+던지/EC
아니면(심하면)	아니/VCN+면/EF+(/SS+심하/VA+면/EF+)/SS
안줄	안/NNG+주/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

본청동·의회동·별관동의	본청동/NNP+·/SP+의회동/NNP+·/SP+별관동/NNP+의/JKG
1층을	1/SN+층/NNG+을/JKO
제외한	제외하/VV+ㄴ/ETM
나머지	나머지/NNG
층에는	층/NNG+에/JKB+는/JX
장애인화장실이	장애인화장실/NNG+이/JKS
비장애인화장실	비장애인화장실/NNG
내	내/NNB
끝부분에	끝부분/NNG+에/JKB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

더욱이	더욱이/MAG
이동	이동/NNG
통로가	통로/NNG+가/JKS
좁아	좁/VA+아/EC
장애인이	장애인/NNG+이/JKS
전동휠체어를	전동휠체어/NNG+를/JKO
타고	타/VV+고/EC
장애인화장실로	장애인화장실/NNG+로/JKB
이동하기에는	이동하/VV+기/ETN+에/JKB+는/JX
어려움이	어려움/NNG+이/JKS
따랐다	따르/VV+았/EP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
본청동·의회동·별관동의	본청동/NNG+·/SP+의회동/NNG+·/SP+별관동/NNP+의/JKG
1층을	1/SN+층/NNG+을/JKO
제외한	제외하/VV+ㄴ/ETM
나머지	나머지/NNG
층에는	층/NNG+에/JKB+는/JX
장애인화장실이	장애인화장실/NNG+이/JKS
비장애인화장실	비장애인화장실/NNG
내	내/NNB
끝부분에	끝부분/NNG+에/JKB
마련돼	마련되/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
출입문이	출입문/NNG+이/JKS
미닫이로	미닫이/NNG+로/JKB
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인의	중증장애인/NNG+의/JKG
이용이	이용/NNG+이/JKS
힘들다	힘들/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
