선관위,	선관위/NNG+,/SP
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

이어	이어/MAG
“실태조사	“/SN+실태조사/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
투표	투표/NNG
편의	편의/NNG
접근시설이	접근시설/NNG+이/JKS
미비한	미비하/VA+ㄴ/ETM
투표소에	투표소/NNG+에/JKB
대해	대하/VV+여/EC
효과적인	효과적/NNG+이/VCP+ㄴ/ETM
투표소	투표소/NNG
임시경사로	임시경/NNG+사/XSN+로/JKB
등	등/NNB
설치대책을	설치대책/NNG+을/JKO
수립·시행	수립/NNG+·/SP+시행/NNG
하겠다"면서	하/VV+겠/EP+다/EF+"/SS+면서/EC
"전국	"/SS+전국/NNG
모든	모든/MM
투표소는	투표소/NNG+는/JX
원칙적으로	원칙적/NNG+으로/JKB
접근성이	접근성/NNG+이/JKS
용이하고	용이하/VA+고/EC
휠체어	휠체어/NNG
통로	통로/NNG
등이	등/NNB+이/JKS
설치돼	설치되/VV+어/EC
있는	있/VX+는/ETM
1층에	1/SN+층/NNG+에/JKB
설치하되,	설치하/VV+되/EC+,/SP
1층	1/SN+층/NNG
투표소가	투표소/NNG+가/JKS
없는	없/VA+는/ETM
경우	경우/NNG
승강기	승강기/NNG
등	등/NNB
장애인	장애인/NNG
편의시설이	편의시설/NNG+이/JKS
있는	있/VA+는/ETM
곳에	곳/NNG+에/JKB
투표소를	투표소/NNG+를/JKO
설치할	설치하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

전국	전국/NNG
또는	또는/MAG
권역	권역/NNG
단위로	단위/NNG+로/JKB
임시경사로	임시경/NNG+사/XSN+로/JKB
제작업체와	제작업체/NNG+와/JC
제작단가	제작단/NNG+가/JKS
계약을	계약/NNG+을/JKO
체결하고,	체결하/VV+고/EC+,/SP
시·도	시/NNG+·/SP+도/NNG
선관위에서	선관위/NNG+에서/JKB
관내	관내/NNG
구·시·군	구/NNG+·/SP+시/NNG+·/SP+군/NNG
선관위의	선관위/NNG+의/JKG
임시경사로	임시경/NNG+사/XSN+로/JKB
수요를	수요/NNG+를/JKO
파악한	파악하/VV+ㄴ/ETM
뒤	뒤/NNG
중앙선관위에서	중앙선관위/NNG+에서/JKB
임시경사로를	임시경사로/NNP+를/JKO
제공하겠다는	제공하/VV+겠/EP+다는/ETM
것	것/NNB

또한	또한/MAG
김	김/NNP
과장은	과장/NNG+은/JX
“장애유형에	“/SN+장애유형/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
각	각/MM
협회와	협회/NNG+와/JKB
협의해	협의하/VV+여/EC
투표절차	투표절차/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
교육·안내를	교육/NNG+·/SP+안내/NNG+를/JKO
실시하고,	실시하/VV+고/EC+,/SP
구·시·군청	구/NNG+·/SP+시/NNG+·/SP+군청/NNG
홈페이지에서	홈페이지/NNG+에서/JKB
제공하는	제공하/VV+는/ETM
안내사이트(투표소	안내사이트/NNG+(/SS+투표소/NNG
위치	위치/NNG
등)에서	등/NNB+)/SS+에서/JKB
시각장애	시각장애/NNG
선거인에게도	선거인/NNG+에게/JKB+도/JX
음성으로	음성/NNG+으로/JKB
서비스	서비스/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해당	해당/NNG
지자체에	지자체/NNG+에/JKB
협조	협조/NNG
요청하겠다”고	요청하/VV+겠/EP+다/EC+”/VV+고/EC
전했다	전하/VV+었/EP+다/EC

더불어	더불/VV+어/EC
“19대	“/SL+19/SN+대/NNG
국회의원	국회의원/NNG
선거에서	선거/NNG+에서/JKB
적용했던	적용하/VV+였/EP+던/ETM
기준과	기준/NNG+과/JKB
동일하게	동일하/VA+게/EC
지적·자폐성장애	지적/NNG+·/SP+자폐성장애/NNG
선거인	선거인/NNG
등의	등/NNB+의/JKG
투표보조	투표보조/NNG
허용기준을	허용기준/NNG+을/JKO
운용하도록	운용하/VV+도록/EC
하겠다”고	하/VX+겠/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

김	김/NNP
과장은	과장/NNG+은/JX
“이	“/SL+이/JKS
같은	같/VA+은/ETM
노력이	노력/NNG+이/JKS
다소	다소/MAG
부족하다고	부족하/VA+다고/EC
평가할	평가하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있겠지만,	있/VA+겠/EP+지만/EC+,/SP
향후	향후/NNG
선거관리	선거관리/NNG
과정에서	과정/NNG+에서/JKB
제기되는	제기되/VV+는/ETM
각종	각종/NNG
불편사항은	불편사항/NNG+은/JX
중앙선관위에서	중앙선관위/NNG+에서/JKB
적극	적극/NNG
수시로	수시로/MAG
수렴해	수렴하/VV+여/EC
지체	지체/NNG
없이	없이/MAG
반영하겠다”면서	반영하/VV+겠/EP+다/EC+”/VV+면서/EC
“제도적인	“/SL+제도적/NNG+이/VCP+ㄴ/ETM
문제점은	문제점/NNG+은/JX
입법화	입법화/NNG
추진을	추진/NNG+을/JKO
통해	통하/VV+여/EC
노력하겠다”고도	노력하/VV+겠/EP+다”고/EC+도/JX
피력했다	피력하/VV+었/EP+다/EC

중앙선관위는	중앙선관위/NNG+는/JX
이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
투표관리관	투표관리관/NNG
교육	교육/NNG
시	시/NNG
장애선거인	장애선거/NNG+이/VCP+ㄴ/ETM
투표보조	투표보조/NNG
사례	사례/NNG
중점	중점/NNG
안내	안내/NNG
수화	수화/NNG
가능한	가능하/VA+ㄴ/ETM
투표안내도우미	투표안내/NNG+도우미/JX
우선	우선/MAG
위촉·배치	위촉/NNG+·/SP+배치/NNG
한다는	하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC
