“차기	“/SL+차기/NNG
주었고,	주/VX+었/EP+고/EC+,/SP
그녀도	그녀/NP+도/JX
소중한	소중하/VA+ㄴ/ETM
한	한/MM
표를	표/NNG+를/JKO
행사했다	행사하/VV+였/EP+다/EC

투표를	투표/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
한	한/MM
소장은	소장/NNG+은/JX
“추운	“추울/VV+ㄴ/ETM
날씨	날씨/NNG
때문에	때문/NNB+에/JKB
쉽게	쉽/VA+게/EC
나오기	나오/VV+기/ETN
어려웠지만,	어렵/VA+었/EP+지만/EC+,/SP
앞으로	앞/NNG+으로/JKB
대한민국의	대한민국/NNP+의/JKG
5년이	5/SN+년/NNB+이/JKS
한	한/MM
표,	표/NNG+,/SP
한	한/MM
표에	표/NNG+에/JKB
달려있어	달리/VV+어/EC+있/VX+어/EC
중요하다고	중요하/VA+다고/EC
생각해	생각하/VV+여/EC
투표하러	투표하/VV+러/EC
나왔다”고	나오/VV+았/EP+다/EC+”/VV+고/EC
말문을	말문/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

한	한/MM
소장은	소장/NNG+은/JX
“유력	“/SL+유력/NNG
후보로	후보/NNG+로/JKB
뽑히는	뽑히/VV+는/ETM
두	두/MM
후보의	후보/NNG+의/JKG
공약을	공약/NNG+을/JKO
잘	잘/MAG
살펴봤는데,	살펴보/VV+았/EP+는데/EC+,/SP
장애인의	장애인/NNG+의/JKG
생존권을	생존권/NNG+을/JKO
보장해줄	보장하/VV+여/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인물인가를	인물/NNG+이/VCP+ㄴ가/EC+를/JKO
생각했다”면서	생각하/VV+였/EP+다/EC+”/SN+면서/EC
“'국민명령	“/SL+'/SS+국민명령/NNG
1호'로	1/SN+호/NNB+'/SS+로/JKB
'장애인등급제	'/SS+장애인등급/NNG+제/XSN
폐지'를	폐지/NNG+'/SS+를/JKO
내세운	내세우/VV+ㄴ/ETM
후보에게	후보/NNG+에게/JKB
관심이	관심/NNG+이/JKS
갈	가/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없었던	없/VA+었/EP+던/ETM
것	것/NNB
같다”고	같/VA+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
“경기도선관위에서	“/SL+경기도선관위/NNP+에서/JKB
이번	이번/NNG
대선에서	대선/NNG+에서/JKB
장애인유권자를	장애인유권자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
투표편의를	투표편의/NNG+를/JKO
하겠다고	하/VV+겠/EP+다고/EC
말했지만,	말하/VV+였/EP+지만/EC+,/SP
실제로	실제로/MAG
여기	여기/NP
투표소만해도	투표소/NNG+만/JX+하/VV+여도/EC
투표하기	투표하/VV+기/ETN
어려웠다”면서	어렵/VA+었/EP+다/EC+”/VV+면서/EC
“투표소	“/SL+투표소/NNG
안의	안/NNG+의/JKG
선반도	선반/NNG+도/JX
너무	너무/MAG
높고,	높/VA+고/EC+,/SP
가로	가로/NNG
간격도	간격/NNG+도/JX
좁아	좁/VA+아/EC
투표대에서	투표대/NNG+에서/JKB
찍을	찍/VV+을/ETM
수	수/NNB
없었다	없/VA+었/EP+다/EF

결국	결국/NNG
무릎에	무릎/NNG+에/JKB
올려놓은	올려놓/VV+은/ETM
가방	가방/NNG
위에	위/NNG+에/JKB
용지를	용지/NNG+를/JKO
올려두고	올리/VV+어/EC+두/VX+고/EC
찍었다”고	찍/VV+었/EP+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

한	한/MM
소장은	소장/NNG+은/JX
“최대한	“/SN+최대한/NNG
노력했다고	노력하/VV+였/EP+다고/EC
하지만	하/VV+지만/EC
입구만	입구/NNG+만/JX
잘	잘/MAG
되어	되/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
자세히	자세히/MAG
살펴보면	살펴보/VV+면/EC
문제점이	문제점/NNG+이/JKS
또	또/MAG
보였다	보이/VV+었/EP+다/EF

(장애인	(/SS+장애인/NNG
투표	투표/NNG
편의를)	편의/NNG+를/JKO+)/SS
장애인	장애인/NNG
입장에서	입장/NNG+에서/JKB
사소한	사소하/VA+ㄴ/ETM
것까지	것/NNB+까지/JX
잘	잘/MAG
마련됐으면	마련되/VV+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
그녀는	그녀/NP+는/JX
새로운	새롭/VA+ㄴ/ETM
대통령이	대통령/NNG+이/JKS
故김주영	故/SL+김주영/NNP
활동가와	활동가/NNG+와/JC
파주	파주/NNP
장애남매	장애남매/NNG
사건으로	사건/NNG+으로/JKB
인해	인하/VV+여/EC
대두	대두/MAG
된	되/VV+ㄴ/ETM
장애인활동지원제도	장애인활동지원제도/NNG
확대가	확대/NNG+가/JKS
꼭	꼭/MAG
이뤄졌으면	이루어지/VV+었/EP+으면/EC
좋겠다고	좋/VA+겠/EP+다고/EC
소망했다	소망하/VV+였/EP+다/EC

장애인들이	장애인/NNG+들/XSN+이/JKS
기본적으로	기본적/NNG+으로/JKB
살아가기	살아가/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
중증장애인의	중증장애인/NNG+의/JKG
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
확보가	확보/NNG+가/JKS
필수적이라는	필수적/NNG+이/VCP+라는/ETM
설명이다	설명/NNG+이/VCP+다/EC

한	한/MM
소장은	소장/NNG+은/JX
“수원에	“/SL+수원/NNG+에/JKB
거주하는	거주하/VV+는/ETM
중증장애인의	중증장애인/NNG+의/JKG
경우	경우/NNG
복지부에서	복지부/NNG+에서/JKB
받는	받/VV+는/ETM
시간과	시간/NNG+과/JC
독거특례까지	독거특례/NNG+까지/JX
모두	모두/MAG
다	다/MAG
받아도	받/VV+아도/EC
월	월/NNG
최대	최대/NNG
340시간이데,	340/SN+시간/NNB+이데/JX+,/SP
하루	하루/NNG
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
시간이	시간/NNG+이/JKS
11시간	11/SN+시간/NNB
꼴”이라면서	꼴/VV+”/SL+이/VCP+라면서/EC
“활동보조인이	“/SN+활동보조인/NNG+이/JKS
없으면	없/VA+으면/EC
아무것도	아무것/NNG+도/JX
하지	하/VV+지/EC
못하고	못하/VX+고/EC
누워만	눕/VV+어/EC+만/JX
있어야	있/VA+어야/EC
되는데	되/VV+는데/EC
그러다	그러/VV+다/EC
제2의	제/XPN+2/SN+의/JKG
김주영	김주영/NNP
활동가가	활동가/NNG+가/JKS
발생하지	발생하/VV+지/EC
않는다는	않/VX+는다는/ETM
보장이	보장/NNG+이/JKS
없지	없/VA+지/EC
않느냐”고	않/VX+느냐/EC+”/SN+고/JKQ
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

한	한/MM
소장은	소장/NNG+은/JX
“김주영	“/SL+김주영/NNP
활동가도	활동가/NNG+도/JX
바로	바로/MAG
옆에	옆/NNG+에/JKB
전동휠체어가	전동휠체어/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
움직이지	움직이/VV+지/EC
못해	못하/VX+여/EC
그런	그런/MM
참변을	참변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
것”이라면서	것/NNB+”/SL+이/VCP+라면서/EC
“나도	“/SL+나도/JX
활동보조인이나	활동보조인/NNG+이나/JC
남편이	남편/NNG+이/JKS
없어	없/VA+어/EC
혼자	혼자/NNG
있을	있/VA+을/ETM
때	때/NNG
항상	항상/MAG
두려움을	두려움/NNG+을/JKO
느낀다	느끼/VV+ㄴ다/EF

나도	나/NP+도/JX
그렇게	그렇/VA+게/EC
될	되/VV+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
무섭다”고	무섭/VA+다/EC+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

마지막으로	마지막/NNG+으로/JKB
그녀는	그녀/NP+는/JX
“장애인들이	“/SL+장애인/NNG+들/XSN+이/JKS
기본적으로	기본적/NNG+으로/JKB
살아	살/VV+아/EC
갈	가/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여건을	여건/NNG+을/JKO
마련해주고,	마련하/VV+여/EC+주/VX+고/EC+,/SP
똑같은	똑같/VA+은/ETM
사람으로	사람/NNG+으로/JKB
인정해줄	인정하/VV+여/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
그런	그런/MM
대통령이	대통령/NNG+이/JKS
나오길	나오/VV+기/ETN+ㄹ/JKO
바란다”며	바란다”/VV+며/EC
“더	“/SN+더/NNB
이상	이상/NNG
장애인의	장애인/NNG+의/JKG
목숨과	목숨/NNG+과/JC
정책을	정책/NNG+을/JKO
바꾸지	바꾸/VV+지/EC
않았으면	않/VX+았/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

투표를	투표/NNG+를/JKO
마치고	마치/VV+고/EC
난	나/VX+ㄴ/ETM
뒤	뒤/NNG
인증샷을	인증/NNG+샷/SL+을/JKO
찍는	찍/VV+는/ETM
한경숙	한경숙/NNP
소장	소장/NNG
