농아인들	농아/NNG+인들/XSN
문서를	문서/NNG+를/JKO
보내왔지만,	보내오/VV+았/EP+지만/EC+,/SP
이것만으로는	이것/NP+만/JX+으로/JKB+는/JX
청각장애인들의	청각장애인/NNG+들/XSN+의/JKG
분노와	분노/NNG+와/JC
의구심이	의구심/NNG+이/JKS
사라지지	사라지/VV+지/EC
않는다는	않/VX+는다는/ETM
것	것/NNB

장애인정보문화누리	장애인정보문화누리/NNG
안세준	안세준/NNP
고문은	고문/NNG+은/JX
“수화통역을	“/SL+수화통역/NNG+을/JKO
안했으면	안/MAG+하/VV+였/EP+으면/EC
좋겠다는	좋/VA+겠/EP+다는/ETM
말을	말/NNG+을/JKO
했다는게	하/VV+였/EP+다는/ETM+것/NNB+이/JKS
어이가	어이/NNG+가/JKS
없다	없/VA+다/EC

선거토론회에서	선거토론회/NNG+에서/JKB
후보자들이	후보자/NNG+들/XSN+이/JKS
하는	하/VV+는/ETM
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
못하게	못하/VX+게/EC
한다면	하/VX+ㄴ다면/EC
과연	과연/MAG
가만	가만/VV
있겠는지	있/VA+겠/EP+는지/EC
위원들에게	위원/NNG+들/XSN+에게/JKB
묻고	묻/VV+고/EC
싶다”며	싶/VX+다/EC+”/VV+며/EC
“방송토론위는	“/SL+방송토론위/NNG+는/JX
농아인	농아/NNG+이/VCP+ㄴ/ETM
유권자들에게	유권자/NNG+들/XSN+에게/JKB
당장	당장/NNG
사과하고,	사과하/VV+고/EC+,/SP
이런	이런/MM
일이	일/NNG+이/JKS
생기지	생기/VV+지/EC
않도록	않/VX+도록/EC
대책을	대책/NNG+을/JKO
내놓으라”고	내놓/VV+으라/EC+”/VV+고/EC
피력했다	피력하/VV+었/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
공대위	공대위/NNP
측의	측/NNB+의/JKG
항의에	항의/NNG+에/JKB
방송토론위	방송토론위/NNG
측은	측/NNB+은/JX
면담을	면담/NNG+을/JKO
통해,	통하/VV+여/EC+,/SP
해당	해당/NNG
위원의	위원/NNG+의/JKG
발언은	발언/NNG+은/JX
개인적인	개인적/NNG+이/VCP+ㄴ/ETM
의견일	의견/NNG+이/VCP+ㄹ/ETM
뿐이라며,	뿐/NNB+이/VCP+라며/EC+,/SP
수화통역은	수화통역/NNG+은/JX
100%시행하고	100/SN+%/SW+시행하/VV+고/EC
있다고	있/VX+다고/EC
해명했다	해명하/VV+였/EP+다/EC

방송토론위	방송토론위/NNG
박세각	박세각/NNP
사무국장은	사무국/NNG+장/XSN+은/JX
“해당	“/SN+해당/NNG
발언은	발언/NNG+은/JX
우리	우리/NP
위원위	위원위/NNG
측의	측/NNB+의/JKG
입장을	입장/NNG+을/JKO
대변한	대변하/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
방송현업자로서의	방송현업자/NNG+로서/JKB+의/JKG
개인적인	개인적/NNG+이/VCP+ㄴ/ETM
의견일	의견/NNG+이/VCP+ㄹ/ETM
뿐이다	뿐/NNB+이/VCP+다/EC

위원회	위원회/NNG
의견과	의견/NNG+과/JC
상관이	상관/NNG+이/JKS
없다”며	없/VA+다/EC+”/VX+며/EC
“현재	“/SL+현재/MAG
위원회	위원회/NNG
측에서	측/NNB+에서/JKB
시행하는	시행하/VV+는/ETM
법정	법정/NNG
토론방송에서는	토론방송/NNG+에서/JKB+는/JX
100%	100/SN+%/SW
수화	수화/NNG
통역을	통역/NNG+을/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
박	박/NNP
사무국장은	사무국/NNG+장/XSN+은/JX
“간혹	“/SL+간혹/NNG
지역	지역/NNG
방송사	방송사/NNG
측에서	측/NNB+에서/JKB
시행하는	시행하/VV+는/ETM
토론방송	토론방송/NNG
시,	시/NNG+,/SP
수화통역이	수화통역/NNG+이/JKS
제공되지	제공되/VV+지/EC
않는	않/VX+는/ETM
부분은	부분/NNG+은/JX
있지만,	있/VA+지만/EC+,/SP
그것은	그것/NP+은/JX
언론사	언론사/NNG
주최이기	주최/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
하라마라	하/VV+라마라/EC
할	하/VV+ㄹ/ETM
수는	수/NNB+는/JX
없는	없/VA+는/ETM
실정이다	실정/NNG+이/VCP+다/EC

기회가	기회/NNG+가/JKC
된다면	되/VV+ㄴ다면/EC
수화통역을	수화통역/NNG+을/JKO
권고하는	권고하/VV+는/ETM
방안도	방안/NNG+도/JX
검토해	검토하/VV+여/EC
보겠다”며	보/VX+겠/EP+다/EC+”/VX+며/EC
“청각장애인들을	“/SN+청각장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
수화통역은	수화통역/NNG+은/JX
앞으로도	앞/NNG+으로/JKB+도/JX
계속	계속/MAG
완벽하게	완벽하/VA+게/EC
제공하겠다	제공하/VV+겠/EP+다/EC

안심하셔도	안심하/VA+시/EP+어도/EC
된다”고	되/VV+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

방송토론위	방송토론위/NNG
측에	측/NNB+에/JKB
요구서를	요구서/NNG+를/JKO
전달하는	전달하/VV+는/ETM
장애인정보문화누리	장애인정보문화누리/NNG
김세식	김세식/NNP
대표(왼쪽)과	대표/NNG+(/SS+왼쪽/NNG+)/SS+과/JC
토론위	토론위/NNG
박세각	박세각/NNP
사무국장(오른쪽)	사무국/NNG+장/XSN+(/SS+오른쪽/NNG+)/SS
