시각장애인	시각장애인/NNG
“센터는	“/SL+센터/NNG+는/JX
프로그램에	프로그램/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
보조인력	보조인력/NNG
제공	제공/NNG
요구를	요구/NNG+를/JKO
거절했다”며	거절하/VV+였/EP+다/EC+”/VV+며/EC
“이는	“/SW+이/VCP+는/ETM
장차법	장차법/NNG
‘체육활동	‘/SN+체육활동/NNG
보조인력	보조인력/NNG
배치의무’를	배치의무/NNG+’/SL+를/JKO
위반한	위반하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
김씨는	김/NNP+씨/NNB+는/JX
보조인력	보조인력/NNG
제공을	제공/NNG+을/JKO
청구할	청구하/VV+ㄹ/ETM
권리가	권리/NNG+가/JKS
있다”고	있/VA+다”고/EC
설명했다	설명하/VV+었/EP+다/EC
