장애인권리협약	장애인권리협약/NNG
참관단의	참관단/NNG+의/JKG
일원으로	일원/NNG+으로/JKB
제네바에	제네바/NNP+에/JKB
있다	있/VA+다/EF

19일에는	19/SN+일/NNB+에/JKB+는/JX
중국과	중국/NNP+과/JC
아르헨티나의	아르헨티나/NNP+의/JKG
국가보고서	국가보고서/NNG
심의가	심의/NNG+가/JKS
진행되고	진행되/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
한국의	한국/NNP+의/JKG
NGO	NGO/SL
참관단이	참관단/NNG+이/JKS
유엔장애인권리위원회	유엔/NNP+장애인권리위원회/NNG
맥	맥/NNP
컬럼	컬럼/NNG
위원장을	위원장/NNG+을/JKO
인터뷰했다	인터뷰/NNG+하/XSV+였/EP+다/EC

그	그/MM
내용을	내용/NNG+을/JKO
소개해본다	소개하/VV+여/EC+보/VX+ㄴ다/EF

맥	맥/NNP
컬럼	컬럼/NNG
위원장은	위원장/NNG+은/JX
호주	호주/NNP
시드니대학교	시드니대학교/NNP
석좌교수	석좌교수/NNG
출신의	출신/NNG+의/JKG
시각장애인당사자로,	시각장애인당사자/NNG+로/JKB+,/SP
유엔장애인권리위원회를	유엔/NNP+장애인권리위원회/NNG+를/JKO
이끌어	이끌/VV+어/EC
가고	가/VX+고/EC
있다	있/VX+다/EC

맥	맥/NNP
컬럼	컬럼/NNG
위원장은	위원장/NNG+은/JX
"한국	"/SS+한국/NNP
NGO	NGO/SL
참관단의	참관단/NNG+의/JKG
제네바	제네바/NNP
방문을	방문/NNG+을/JKO
환영	환영/NNG
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"지금	"/SS+지금/MAG
현재	현재/MAG
위원회	위원회/NNG
외의	외/NNB+의/JKG
8차	8/SN+차/NNB
세션이	세션/NNG+이/JKS
진행	진행/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
오늘	오늘/NNG
중국과	중국/NNP+과/JC
아르헨티나	아르헨티나/NNP
국가보고서	국가보고서/NNG
심의가	심의/NNG+가/JKS
진행되고	진행되/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말문을	말문/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

이어	이어/MAG
"국가보고서	"/SS+국가보고서/NNG
심의에	심의/NNG+에/JKB
있어서	있/VA+어서/EC
NGO	NGO/SL
보고서의	보고서/NNG+의/JKG
역할은	역할/NNG+은/JX
매우	매우/MAG
중요하다	중요하/VA+다/EC

따라서	따라서/MAJ
여러분들과	여러분/NP+들/XSN+과/JKB
같은	같/VA+은/ETM
NGO의	NGO/SL+의/JKG
역할은	역할/NNG+은/JX
장애인	장애인/NNG
권리	권리/NNG
증진에	증진/NNG+에/JKB
매우	매우/MAG
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

다음은	다음/NNG+은/JX
일문일답한국	일문일답/NNG+한국/NNP
참관단	참관단/NNG
:	:/SP
지난	지나/VV+ㄴ/ETM
7차	7/SN+차/NNB
세션까지는	세션/NNG+까지는/JX
1주씩	1/SN+주/NNB+씩/XSN
회의가	회의/NNG+가/JKS
진행되었고,	진행되/VV+었/EP+고/EC+,/SP
이번	이번/NNG
세션에는	세션/NNG+에/JKB+는/JX
2주간	2/SN+주간/NNB
회의가	회의/NNG+가/JKS
진행되는데,	진행되/VV+는데/EC+,/SP
2주로	2/SN+주/NNB+로/JKB
회의	회의/NNG
기간이	기간/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
것인가?맥	것/NNB+이/VCP+ㄴ가/EF+?/SF+맥/NNP
컬럼	컬럼/NNG
위원장	위원장/NNG
:	:/SP
아니다	아니/VCN+다/EC

유엔에서는	유엔/NNP+에서/JKB+는/JX
장애인권리위원회	장애인권리위원회/NNG
회의가	회의/NNG+가/JKS
1년에	1/SN+년/NNB+에/JKB
두	두/MM
번씩	번/NNB+씩/XSN
열리고	열리/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
봄과	봄/NNG+과/JC
가을에	가을/NNG+에/JKB
1주씩	1/SN+주/NNB+씩/XSN
열려왔다	열리/VV+어/EC+오/VX+았/EP+다/EF

그런데	그런데/MAJ
워낙	워낙/MAG
심의해야	심의하/VV+여야/EC
할	하/VX+ㄹ/ETM
보고서가	보고서/NNG+가/JKS
많이	많이/MAG
밀린	밀리/VV+ㄴ/ETM
관계로	관계/NNG+로/JKB
2주씩	2/SN+주/NNB+씩/XSN
회의를	회의/NNG+를/JKO
개최하게	개최하/VV+게/EC
해달라고	하/VX+여/EC+달/VX+라고/EC
장애인권리위원회가	장애인권리위원회/NNG+가/JKS
유엔에	유엔/NNP+에/JKB
계속해서	계속하/VV+여서/EC
요청을	요청/NNG+을/JKO
해왔다	하/VV+여/EC+오/VX+았/EP+다/EF

회의시간이	회의시간/NNG+이/JKS
늘어나면	늘어나/VV+면/EC
그만큼	그만큼/MAG
예산부담이	예산부담/NNG+이/JKS
커지고	커지/VV+고/EC
때문에,	때문/NNB+에/JKB+,/SP
우리의	우리/NP+의/JKG
요청	요청/NNG
중	중/NNB
일부만	일부/NNG+만/JX
받아들여져서	받아들이/VV+어/EC+지/VX+어서/EC
8차	8/SN+차/NNB
세션부터	세션/NNG+부터/JX
가을	가을/NNG
세션에	세션/NNG+에/JKB
한하여	한하/VV+여/EC
2주를	2/SN+주/NNB+를/JKO
개최할	개최하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허락을	허락/NNG+을/JKO
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

한국	한국/NNP
참관단	참관단/NNG
:	:/SP
그러면	그러면/MAJ
앞으로는	앞/NNG+으로/JKB+는/JX
어떻게	어떻/VA+게/EC
되는가?맥	되/VV+는가/EF+?/SF+맥/NNP
컬럼	컬럼/NNG
위원장	위원장/NNG
:	:/SP
앞으로도	앞/NNG+으로/JKB+도/JX
우리는	우리/NP+는/JX
회의	회의/NNG
기간을	기간/NNG+을/JKO
늘려달라고	늘리/VV+어/EC+달/VX+라고/EC
계속	계속/MAG
요청하겠지만,	요청하/VV+겠/EP+지만/EC+,/SP
현재까지	현재/NNG+까지/JX
허락된	허락되/VV+ㄴ/ETM
바로는	바/NNB+로/JKB+는/JX
봄에	봄/NNG+에/JKB
1주,	1/SN+주/NNB+,/SP
가을에	가을/NNG+에/JKB
2주	2/SN+주/NNB
진행할	진행하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

(유엔여성차별철폐협약	(/SS+유엔여성차별철폐협약/NNP
국가보고서	국가보고서/NNG
심의의	심의/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
항상	항상/MAG
2주씩의	2/SN+주/NNB+씩/XSN+의/JKG
회의가	회의/NNG+가/JKS
진행되고	진행되/VV+고/EC
있음)	있/VX+음/ETN+)/SS
한국	한국/NNP
참관단	참관단/NNG
:	:/SP
현재의	현재/NNG+의/JKG
수준으로	수준/NNG+으로/JKB
회의가	회의/NNG+가/JKS
진행된다면,	진행되/VV+ㄴ다면/EC+,/SP
한국의	한국/NNP+의/JKG
국가보고서는	국가보고서/NNG+는/JX
대략	대략/MAG
2015년	2015/SN+년/NNB
정도에	정도/NNG+에/JKB
심의가	심의/NNG+가/JKS
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다	예상되/VV+ㄴ다/EF

우리가	우리/NP+가/JKS
활동하고	활동하/VV+고/EC
있는	있/VX+는/ETM
한국의	한국/NNP+의/JKG
NGO는	NGO/SL+는/JX
그	그/MM
첫	첫/MM
번째	번째/NNB
보고서를	보고서/NNG+를/JKO
올해	올해/NNG
말쯤	말/NNB+쯤/XSN
제출한	제출하/VV+ㄴ/ETM
예정이고,	예정/NNG+이/VCP+고/EC+,/SP
다른	다른/MM
몇	몇/MM
몇	몇/MM
NGO	NGO/SL
보고서들이	보고서/NNG+들/XSN+이/JKS
2014년	2014/SN+년/NNB
경에	경/XSN+에/JKB
제출될	제출되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는데,	예상되/VV+는데/EC+,/SP
너무	너무/MAG
일찍	일찍/MAG
제출하는	제출하/VV+는/ETM
것이	것/NNB+이/JKC
아닌가?맥	아니/VCN+ㄴ가/EF+?/SF+맥/NNP
컬럼	컬럼/NNG
위원장	위원장/NNG
:	:/SP
아니다	아니/VCN+다/EC

NGO	NGO/SL
보고서는	보고서/NNG+는/JX
위원들이	위원/NNG+들/XSN+이/JKS
충분히	충분히/MAG
검토할	검토하/VV+ㄹ/ETM
시간을	시간/NNG+을/JKO
갖기	갖/VV+기/ETN
위하여	위하/VV+여/EC
심의	심의/NNG
1년전	1/SN+년/NNB+전/NNG
쯤에	쯤/XSN+에/JKB
제출되는	제출되/VV+는/ETM
것이	것/NNB+이/JKS
좋은데,	좋/VA+은데/EC+,/SP
그렇게	그렇/VA+게/EC
일찍	일찍/MAG
제출한다고	제출하/VV+ㄴ다고/EC
해서	하/VV+여서/EC
문제될	문제/NNG+되/VV+ㄹ/ETM
것은	것/NNB+은/JX
없다	없/VA+다/EF

한국	한국/NNP
참관단	참관단/NNG
:	:/SP
여러	여러/MM
명의	명/NNB+의/JKG
장애인권리위원회	장애인권리위원회/NNG
중에서	중/NNB+에서/JKB
특별히	특별히/MAG
정해진	정하/VV+여/EC+지/VX+ㄴ/ETM
한	한/MM
명의	명/NNB+의/JKG
위원이	위원/NNG+이/JKS
특정	특정/NNG
국가의	국가/NNG+의/JKG
보고서를	보고서/NNG+를/JKO
맡아서,	맡/VV+아서/EC+,/SP
특별보고관의	특별보고관/NNG+의/JKG
역할을	역할/NNG+을/JKO
하면서	하/VV+면서/EC
해당	해당/NNG
국가의	국가/NNG+의/JKG
보고서를	보고서/NNG+를/JKO
깊이	깊이/MAG
있게	있/VA+게/EC
연구하는	연구하/VV+는/ETM
걸로	것/NNB+ㄹ/JKO+로/JKB
알고	알/VV+고/EC
있다	있/VX+다/EC

그러면	그러면/MAJ
한국의	한국/NNP+의/JKG
국가보고서는	국가보고서/NNG+는/JX
어느	어느/MM
위원이	위원/NNG+이/JKS
담당하고	담당하/VV+고/EC
되는가?-	되/VV+는가/EF+?/SF+-/SO
맥	맥/NNP
컬럼	컬럼/NNG
위원장	위원장/NNG
:	:/SP
아직	아직/MAG
정해지지	정하/VV+여/EC+지/VX+지/EC
않았다	않/VX+았/EP+다/EF

대략	대략/MAG
2014년	2014/SN+년/NNB
말이나	말/NNB+이나/JC
2015년	2015/SN+년/NNB
초쯤	초/NNB+쯤/XSN
심의를	심의/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
시점에	시점/NNG+에/JKB
정해지게	정하/VV+여/EC+지/VX+게/EC
되는데,	되/VV+는데/EC+,/SP
아직	아직/MAG
시간이	시간/NNG+이/JKS
많이	많이/MAG
남았기	남/VV+았/EP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
지금은	지금/NNG+은/JX
알	알/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

다만	다만/MAG
이번	이번/NNG
중국보고서	중국/NNP+보고서/NNG
심의	심의/NNG
때	때/NNG
한국의	한국/NNP+의/JKG
김형식	김형식/NNP
위원이	위원/NNG+이/JKS
특별보고관을	특별보고/NNG+관/XSN+을/JKO
맡았었는데,	맡/VV+았었/EP+는데/EC+,/SP
그	그/MM
이유는	이유/NNG+는/JX
같은	같/VA+은/ETM
동양	동양/NNP
국가라서	국가/NNG+이/VCP+라서/EC
이해가	이해/NNG+가/JKS
쉬울	쉽/VA+ㄹ/ETM
것이기	것/NNB+이/VCP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

따라서	따라서/MAJ
한국의	한국/NNP+의/JKG
경우에도	경우/NNG+에/JKB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
이유로	이유/NNG+로/JKB
동양권	동양/NNG+권/XSN
국가의	국가/NNG+의/JKG
위원이	위원/NNG+이/JKS
맡게	맡/VV+게/EC
될	되/VV+ㄹ/ETM
가능성이	가능성/NNG+이/JKS
있지만,	있/VA+지만/EC+,/SP
아직은	아직/MAG+은/JX
모른다	모르/VV+ㄴ다/EC

한국	한국/NNP
참관단	참관단/NNG
:	:/SP
혹시	혹시/MAG
앞으로	앞/NNG+으로/JKB
한국을	한국/NNP+을/JKO
방문할	방문하/VV+ㄹ/ETM
계획이	계획/NNG+이/JKS
있는가?맥	있/VA+는가/EF+?/SF+맥/NNP
컬럼	컬럼/NNG
위원장	위원장/NNG
:	:/SP
다음	다음/NNG
달에	달/NNG+에/JKB
한국	한국/NNP
인천	인천/NNP
송도에서	송도/NNP+에서/JKB
열리는	열리/VV+는/ETM
유엔에스캅의	유엔/NNP+에스캅/NNG+의/JKG
아태장애인	아태장애인/NNG
10년	10/SN+년/NNB
관련	관련/NNG
국제회의에	국제회의/NNG+에/JKB
참석할	참석하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

한국	한국/NNP
참관단	참관단/NNG
:	:/SP
위원장님	위원장/NNG+님/XSN
노고에	노고/NNG+에/JKB
감사드리며,	감사/NNG+드리/XSV+며/EC+,/SP
앞으로도	앞/NNG+으로/JKB+도/JX
장애인의	장애인/NNG+의/JKG
권리	권리/NNG
증진을	증진/NNG+을/JKO
위해	위하/VV+여/EC
많은	많/VA+은/ETM
역할을	역할/NNG+을/JKO
부탁드린다	부탁/NNG+드리/XSV+ㄴ다/EF

맥	맥/NNP
컬럼	컬럼/NNG
위원장	위원장/NNG
:	:/SP
여러분들을	여러분/NP+들/XSN+을/JKO
포함하여	포함하/VV+여/EC
한국	한국/NNP
NGO들의	NGO/SL+들/XSN+의/JKG
장애인	장애인/NNG
인권	인권/NNG
향상을	향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
열정에	열정/NNG+에/JKB
감사드린다	감사/NNG+드리/XSV+ㄴ다/EF

유엔장애인권리협약이	유엔/NNP+장애인권리협약/NNG+이/JKS
발효되고	발효되/VV+고/EC
나면,	나/VX+면/EC+,/SP
해당	해당/NNG
국가는	국가/NNG+는/JX
2년이	2/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
뒤	뒤/NNG
첫	첫/MM
번째	번째/NNB
국가보고서를	국가보고서/NNG+를/JKO
제출하고,	제출하/VV+고/EC+,/SP
그	그/MM
뒤로부터는	뒤/NNG+로부터/JKB+는/JX
4년에	4/SN+년/NNB+에/JKB
한	한/MM
번씩	번/NNB+씩/XSN
제출해야	제출하/VV+여야/EC
한다	하/VX+ㄴ다/EF

한국은	한국/NNP+은/JX
2011년	2011/SN+년/NNB
6월에	6/SN+월/NNB+에/JKB
최초의	최초/NNG+의/JKG
국가보고서를	국가보고서/NNG+를/JKO
제출하였고,	제출하/VV+였/EP+고/EC+,/SP
2014년	2014/SN+년/NNB
말에서	말/NNB+에서/JKB
2015년	2015/SN+년/NNB
초	초/NNB
경에	경/NNG+에/JKB
2차	2/SN+차/NNB
국가보고서를	국가보고서/NNG+를/JKO
제출하게	제출하/VV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다	예상되/VV+ㄴ다/EF

그런데	그런데/MAJ
한국의	한국/NNP+의/JKG
최초	최초/NNG
국가보고서	국가보고서/NNG
심의가	심의/NNG+가/JKS
지연됨에	지연되/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
2015년	2015/SN+년/NNB
이후에	이후/NNG+에/JKB
1,	1/SN+,/SP
2차	2/SN+차/NNB
국가보고서가	국가보고서/NNG+가/JKS
병합	병합/NNG
심의될	심의되/VV+ㄹ/ETM
가능성도	가능성/NNG+도/JX
있다	있/VA+다/EF

유엔장애인권리위원회의	유엔/NNP+장애인권리위원회/NNG+의/JKG
아르헨티나	아르헨티나/NNP
국가보고서	국가보고서/NNG
심의	심의/NNG
장면	장면/NNG

ⓒ이광원	ⓒ/SL+이광/NNG+원/XSN
한국	한국/NNP
참관단	참관단/NNG
모습	모습/NNG

ⓒ이광원	ⓒ/SL+이광/NNP+원/XSN
