“양양군수,	“/SL+양양/NNP+군수/NNG+,/SP
양양군과의	양양군/NNP+과/JKB+의/JKG
법정다툼이	법정다툼/NNG+이/JKS
시작됐다	시작되/VV+었/EP+다/EC

현재	현재/MAG
양양군은	양양군/NNP+은/JX
1·2심	1/SN+·/SP+2/SN+심/NNG
법원의	법원/NNG+의/JKG
패소	패소/NNG
판결에	판결/NNG+에/JKB
불복하고,	불복하/VV+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
대법원에	대법원/NNG+에/JKB
상고를	상고/NNG+를/JKO
제기했다	제기하/VV+였/EP+다/EC

장총련은	장총련/NNP+은/JX
“UN장애인권리협약과	“UN/SL+장애인권리협약/NNG+과/JC
장애인차별금지법에	장애인차별금지법/NNG+에/JKB
따라	따르/VV+아/EC
장애인도	장애인/NNG+도/JX
동등한	동등하/VA+ㄴ/ETM
문화·여가	문화/NNG+·/SP+여가/NNG
향유권을	향유/NNG+권/XSN+을/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다	하/VX+ㄴ다/EF

이에	이/NP+에/JKB
국가인권위원회도	국가인권위원회/NNG+도/JX
장애인	장애인/NNG
휴양시설	휴양시설/NNG
설립을	설립/NNG+을/JKO
전국	전국/NNG
시도에	시도/NNG+에/JKB
권고하고	권고하/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“장애인의	“/SL+장애인/NNG+의/JKG
인권보장과	인권보장/NNG+과/JC
사회통합에	사회통합/NNG+에/JKB
앞장서야	앞장서/VV+어야/EC
할	하/VX+ㄹ/ETM
지자체장이	지자체장/NNG+이/JKS
일부	일부/NNG
주민들의	주민/NNG+들/XSN+의/JKG
지역이기주의에	지역이기주의/NNG+에/JKB
편승해	편승하/VV+여/EC
노골적으로	노골적/NNG+으로/JKB
장애인을	장애인/NNG+을/JKO
배척하고	배척하/VV+고/EC
차별하는	차별하/VV+는/ETM
현실에	현실/NNG+에/JKB
우리	우리/NP
장애인들은	장애인/NNG+들/XSN+은/JX
개탄을	개탄/NNG+을/JKO
금할	금하/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다”고/EC
비판했다	비판하/VV+였/EP+다/EF

또한	또한/MAG
“장애인시설이라는	“/SL+장애인시설/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
‘하조대	‘하/VV+조대/EC
희망들’의	희망/NNG+들/XSN+’/SL+의/JKG
건립을	건립/NNG+을/JKO
가로막는	가로막/VV+는/ETM
양양군수의	양양/NNP+군수/NNG+의/JKG
행위는	행위/NNG+는/JX
장애인과	장애인/NNG+과/JC
그	그/MM
가족은	가족/NNG+은/JX
물론	물론/MAG
‘더불어	‘/SN+더/NNB+불/VV+어/EC
사는	살/VV+는/ETM
세상’을	세상’/NNG+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
모든	모든/MM
국민의	국민/NNG+의/JKG
가숨에	가숨에/MAG
비수를	비수/NNG+를/JKO
꽂는	꽂/VV+는/ETM
일”이라면서	일”/NNG+이/VCP+라면서/EC
“일부	“/SN+일부/NNG
주민들의	주민/NNG+들/XSN+의/JKG
편견과	편견/NNG+과/JC
지역이기주의에	지역이기주의/NNG+에/JKB
편승한	편승하/VV+ㄴ/ETM
노골적인	노골적/NNG+이/VCP+ㄴ/ETM
장애인	장애인/NNG
차별행위를	차별행위/NNG+를/JKO
즉각	즉각/MAG
중단해야	중단하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
촉구했다	촉구하/VV+였/EP+다/EC

장총련은	장총련/NNP+은/JX
“양양군수는	“/SL+양양/NNP+군수/NNG+는/JX
즉시	즉시/NNG
대법원	대법원/NNG
상고를	상고/NNG+를/JKO
취하하고	취하하/VV+고/EC
‘하조대	‘하조대/NNG
희망들’	희망/NNG+들/XSN+’/SN
건립사업에	건립사업/NNG+에/JKB
적극	적극/NNG
협조해야	협조하/VV+여야/EC
한다”며	하/VX+ㄴ다”며/EC
“270만	“/SL+270/SN+만/NR
장애인과	장애인/NNG+과/JC
가족들의	가족/NNG+들/XSN+의/JKG
요구를	요구/NNG+를/JKO
외면한다면,	외면하/VV+ㄴ다면/EC+,/SP
장애인의	장애인/NNG+의/JKG
단결된	단결되/VV+ㄴ/ETM
힘으로	힘/NNG+으로/JKB
양양군수에게	양양/NNP+군수/NNG+에게/JKB
장애인	장애인/NNG
차별행위에	차별행위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
준엄한	준엄하/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
묻고,	묻/VV+고/EC+,/SP
전	전/MM
국민과	국민/NNG+과/JKB
함께	함께/MAG
양양군수를	양양/NNP+군수/NNG+를/JKO
단호히	단호히/MAG
심판	심판/NNG
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
재차	재차/MAG
경고했다	경고하/VV+였/EP+다/EC

한편	한편/MAG
박원순	박원순/NNP
서울시장은	서울/NNP+시장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
개인	개인/NNG
SNS를	SNS/SL+를/JKO
통해	통하/VV+여/EC
정상철	정상철/NNP
양양군수에게	양양/NNP+군수/NNG+에게/JKB
대법원	대법원/NNG
상고를	상고/NNG+를/JKO
취하하고	취하하/VV+고/EC
착공에	착공/NNG+에/JKB
협력할	협력하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
부탁한	부탁하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC
