'MV-1'	'/SS+MV/SL+-/SO+1/SN+'/SS
않아도	않/VX+아도/EC
된다	되/VV+ㄴ다/EF

MV-1는	MV/SL+-/SO+1/SN+는/JX
힘은	힘/NNG+은/JX
트럭이고	트럭/NNG+이/VCP+고/EC
느낌은	느낌/NNG+은/JX
승용차다	승용차/NNG+이/VCP+다/EF

장애인이	장애인/NNG+이/JKS
겨울에	겨울/NNG+에/JKB
외출했다가	외출하/VV+였/EP+다가/EC
눈속에	눈속/NNG+에/JKB
갖혀	갖허/VV+어/EF
어려운	어렵/VA+ㄴ/ETM
일을	일/NNG+을/JKO
당하는	당하/VV+는/ETM
경우가	경우/NNG+가/JKS
더러	더러/MAG
있다	있/VA+다/EC

비장애인의	비/XPN+장애인/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
차에서	차/NNG+에서/JKB
내려	내리/VV+어/EC
눈을	눈/NNG+을/JKO
치우고	치우/VV+고/EC
다시	다시/MAG
운전을	운전/NNG+을/JKO
하면	하/VV+면/EC
되지만	되/VV+지만/EC
장애인이	장애인/NNG+이/JKS
휠체어로	휠체어/NNG+로/JKB
내려와	내려오/VV+아/EC
삽질을	삽질/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
불가능하다	불가능하/VA+다/EC

꼼짝	꼼짝/MAG
없이	없이/MAG
갖혀	갖허/VV+어/EF
있어야	있/VX+어야/EC
했다	하/VX+였/EP+다/EC

이제	이제/MAG
MV-1는	MV/SL+-/SO+1/SN+는/JX
두터운	두텁/VA+ㄴ/ETM
타이어와	타이어/NNG+와/JKB
강력한	강력하/VA+ㄴ/ETM
엔진을	엔진/NNG+을/JKO
장착해	장착하/VV+여/EC
웬만한	웬만하/VA+ㄴ/ETM
눈길은	눈길/NNG+은/JX
어려움	어려움/NNG
없이	없이/MAG
주행한다	주행하/VV+ㄴ다/EF

MV-1는	MV/SL+-/SO+1/SN+는/JX
주문형이다	주문/NNG+형/XSN+이/VCP+다/EC

램프의	램프/NNG+의/JKG
길이,	길이/NNG+,/SP
그리고	그리고/MAJ
안전	안전/NNG
장치등	장치/NNG+등/NNB
자기가	자기/NP+가/JKS
원하는	원하/VV+는/ETM
대로	대로/NNB
주문하면	주문하/VV+면/EC
된다	되/VV+ㄴ다/EF

연료비로	연료비/NNG+로/JKB
일반	일반/NNG
차량과	차량/NNG+과/JC
비교가	비교/NNG+가/JKC
되지를	되/VV+지/EC+를/JX
않는다	않/VX+는다/EC

천연	천연/NNG
개스를	개스/NNG+를/JKO
사용해	사용하/VV+여/EC
연료비를	연료비/NNG+를/JKO
획기적으로	획기적/NNG+으로/JKB
줄였을	줄이/VV+었/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
환경에도	환경/NNG+에/JKB+도/JX
피해를	피해/NNG+를/JKO
주지	주/VV+지/EC
않는다	않/VX+는다/EF

램프의	램프/NNG+의/JKG
형태도	형태/NNG+도/JX
위로	위/NNG+로/JKB
접혀	접히/VV+어/EC
올라가는	올라가/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
바닥으로	바닥/NNG+으로/JKB
그대로	그대로/MAG
밀려	밀리/VV+어/EC
들어가기	들어가/VV+기/ETN
때문에	때문/NNB+에/JKB
외관상	외관상/NNG
일반	일반/NNG
차량과	차량/NNG+과/JKB
다를	다르/VA+ㄹ/ETM
것이	것/NNB+이/JKS
없다	없/VA+다/EF

수납을	수납/NNG+을/JKO
하는	하/VV+는/ETM
공간도	공간/NNG+도/JX
여행	여행/NNG
가방을	가방/NNG+을/JKO
세로로	세로/NNG+로/JKB
놓아도	놓/VV+아도/EC
뒷문이	뒷문/NNG+이/JKS
닫힐	닫히/VV+ㄹ/ETM
만큼	만큼/NNB
충분히	충분히/MAG
넓다	넓/VA+다/EC

이	이/MM
차량은	차량/NNG+은/JX
철저하게	철저하/VA+게/EC
장애와	장애/NNG+와/JC
비장애인	비/XPN+장애인/NNG
겸용이다	겸용/NNG+이/VCP+다/EC

휠체어	휠체어/NNG
고정	고정/NNG
장치만	장치/NNG+만/JX
설치하지	설치하/VV+지/EC
않는다면	않/VX+는다면/EC
일반	일반/NNG
차량과	차량/NNG+과/JC
조금도	조금/NNG+도/JX
다르지를	다르/VA+지/EC+를/JX
않다	않/VX+다/EC

미국	미국/NNP
장애	장애/NNG
이동	이동/NNG
문제	문제/NNG
중	중/NNB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
택시	택시/NNG
사용이다	사용/NNG+이/VCP+다/EC

장애인용	장애인/NNG+용/XSN
택시를	택시/NNG+를/JKO
갖추고	갖추/VV+고/EC
있는	있/VX+는/ETM
회사가	회사/NNG+가/JKS
많지	많/VA+지/EC
않아	않/VX+아/EC
비장애인처럼	비장애인/NNG+처럼/JKB
택시를	택시/NNG+를/JKO
사용하는	사용하/VV+는/ETM
것이	것/NNB+이/JKS
불가능한	불가능하/VA+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

이	이/MM
문제를	문제/NNG+를/JKO
MV-1는	MV/SL+-/SO+1/SN+는/JX
완벽하게	완벽하/VA+게/EC
해결했다	해결하/VV+였/EP+다/EC

일반	일반/NNG
차량에	차량/NNG+에/JKB
비해	비하/VV+여/EC
높지	높/VA+지/EC
않은	않/VX+은/ETM
가격은	가격/NNG+은/JX
택시	택시/NNG
회사들로	회사/NNG+들/XSN+로/JKB
하여금	하여금/MAG
구매	구매/NNG
의욕을	의욕/NNG+을/JKO
당기게	당기/VV+게/EC
하고	하/VX+고/EC
이가	이/NNG+가/JKS
확산	확산/NNG
될	되/VV+ㄹ/ETM
때는	때/NNG+는/JX
장애	장애/NNG
택시	택시/NNG
사용	사용/NNG
문제는	문제/NNG+는/JX
자연스럽게	자연스럽/VA+게/EC
해결된다	해결되/VV+ㄴ다/EF

L	L/SL
택시	택시/NNG
회사는	회사/NNG+는/JX
벌써	벌써/MAG
60대를	60/SN+대/NNB+를/JKO
구입했다	구입하/VV+였/EP+다/EC

그	그/MM
외에도	외/NNB+에/JKB+도/JX
각	각/MM
택시	택시/NNG
회사로	회사/NNG+로/JKB
급속도로	급속도/NNG+로/JKB
번져	번지/VV+어/EC
나가고	나가/VX+고/EC
있다	있/VX+다/EC

장애	장애/NNG
뿐만이	뿐/NNB+만/JX+이/JKC
아니라	아니/VCN+라/EC
노령	노령/NNG
인구가	인구/NNG+가/JKS
늘어가는	늘/VV+어/EC+가/VX+는/ETM
상황에서	상황/NNG+에서/JKB
아무래도	아무래도/MAG
휠체어	휠체어/NNG
사용자가	사용자/NNG+가/JKS
늘고	늘/VV+고/EC
있어	있/VX+어/EC
같은	같/VA+은/ETM
가격이라면	가격/NNG+이/VCP+라면/EC
구입해서	구입하/VV+여서/EC
한	한/MM
사람의	사람/NNG+의/JKG
고객이라도	고객/NNG+이라도/JX
더	더/MAG
늘려야	늘리/VV+어야/EC
하는	하/VX+는/ETM
상황에서	상황/NNG+에서/JKB
구입하지	구입하/VV+지/EC
않을	않/VX+을/ETM
이유가	이유/NNG+가/JKS
없다	없/VA+다/EF

MV-1의	MV/SL+-/SO+1/SN+의/JKG
확장은	확장/NNG+은/JX
미국	미국/NNP
장애계의	장애/NNG+계/XSN+의/JKG
이동권을	이동/NNG+권/XSN+을/JKO
크게	크/VA+게/EC
개선할	개선하/VV+ㄹ/ETM
것은	것/NNB+은/JX
자명한	자명하/VA+ㄴ/ETM
사실이다	사실/NNG+이/VCP+다/EC

공장(출처:	공장/NNG+(/SS+출처/NNG+:/SP
MV-1	MV/SL+-/SO+1/SN
홈페이지	홈페이지/NNG
캡처)	캡처/NNG+)/SS
ⓒ샘	ⓒ샘/NNG
투시도(출처:	투시도/NNG+(/SS+출처/NNG+:/SP
MV-1	MV/SL+-/SO+1/SN
홈페이지	홈페이지/NNG
캡처)	캡처/NNG+)/SS
ⓒ샘	ⓒ샘/NNG
수납	수납/NNG
공간(출처:	공간/NNG+(/SS+출처/NNG+:/SP
MV-1	MV/SL+-/SO+1/SN
홈페이지	홈페이지/NNG
캡처	캡처/NNG
)ⓒ샘	)/SS+ⓒ샘/SN
*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
