'의족	'/SS+의족/NNG
석사학위를	석사학위/NNG+를/JKO
취득했다	취득하/VV+였/EP+다/EC

이후	이후/NNG
하바드대에서	하바드대/NNP+에서/JKB
생물리학	생물리학/NNG
박사	박사/NNG
학위를	학위/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
현재	현재/MAG
MIT	MIT/SL
미디어랩에서	미디어랩/NNG+에서/JKB
근무하고	근무하/VV+고/EC
있다	있/VX+다/EC

헤어	헤/VV+어/EC
교수는	교수/NNG+는/JX
사이보그(생물과	사이보그/NNG+(/SS+생물/NNG+과/JC
기계장치의	기계장치/NNG+의/JKG
결합체)	결합체/NNG+)/SS
연구와	연구/NNG+와/JC
개발	개발/NNG
부문에서	부문/NNG+에서/JKB
명성을	명성/NNG+을/JKO
떨치고	떨치/VV+고/EC
있다	있/VX+다/EC

그의	그/NP+의/JKG
연구는	연구/NNG+는/JX
팔다리	팔다리/NNG
보조	보조/NNG
기기뿐	기기/NNG+뿐/JX
아니라	아니/VCN+라/EC
노인들의	노인/NNG+들/XSN+의/JKG
건강을	건강/NNG+을/JKO
보호하고	보호하/VV+고/EC
모니터할	모니터/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
로봇까지	로봇/NNG+까지/JX
다양한	다양하/VA+ㄴ/ETM
영역을	영역/NNG+을/JKO
아우르고	아우르/VV+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
8월에는	8/SN+월/NNB+에/JKB+는/JX
직접	직접/MAG
제작한	제작하/VV+ㄴ/ETM
첨단	첨단/NNG
의족으로	의족/NNG+으로/JKB
71m	71/SN+m/SL
높이의	높이/NNG+의/JKG
암벽을	암벽/NNG+을/JKO
등반해	등반하/VV+여/EC
화제를	화제/NNG+를/JKO
모았다	모으/VV+았/EP+다/EC

헤어	헤/VV+어/EC
교수는	교수/NNG+는/JX
강연에서	강연/NNG+에서/JKB
"신경-디지털	"/SS+신경/NNG+-/SO+디지털/NNG
인터페이스에	인터페이스/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
기술들을	기술/NNG+들/XSN+을/JKO
통해	통하/VV+여/EC
정상인과	정상인/NNG+과/JC
장애인의	장애인/NNG+의/JKG
신체	신체/NNG
사이의	사이/NNG+의/JKG
경계를	경계/NNG+를/JKO
무너뜨리는	무너뜨리/VV+는/ETM
연구를	연구/NNG+를/JKO
진행중"이라며	진행/NNG+중/NNB+"/SS+이/VCP+라며/EC
"기술	"/SS+기술/NNG
발전을	발전/NNG+을/JKO
통해	통하/VV+여/EC
21세기에	21/SN+세기/NNG+에/JKB
인간의	인간/NNG+의/JKG
장애가	장애/NNG+가/JKS
사라질	사라지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전망했다	전망하/VV+였/EP+다/EC

그는	그/NP+는/JX
또	또/MAG
"기계가	"/SS+기계/NNG+가/JKS
인간의	인간/NNG+의/JKG
신체	신체/NNG
확장을	확장/NNG+을/JKO
이뤄주는	이루어/VV+주/VX+는/ETM
시대가	시대/NNG+가/JKS
도래하고	도래하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"인간의	"/SS+인간/NNG+의/JKG
신체와	신체/NNG+와/JC
기계의	기계/NNG+의/JKG
결합은	결합/NNG+은/JX
장애인의	장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
증진시킬	증진/NNG+시키/XSV+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
보통	보통/MAG
사람들도	사람/NNG+들/XSN+도/JX
인지적·감정적으로	인지/NNG+적/XSN+·/SP+감정적/NNG+으로/JKB
그리고	그리고/MAJ
물리적으로	물리적/NNG+으로/JKB
향상된	향상되/VV+ㄴ/ETM
능력을	능력/NNG+을/JKO
체험할	체험하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해준다"고	하/VX+여/EC+주/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

bumsoo@yna	bumsoo/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
