장애계,	장애/NNG+계/XSN+,/SP
내던져	내던지/VV+어/EC
투쟁했다	투쟁하/VV+였/EP+다/EC

투쟁을	투쟁/NNG+을/JKO
알리기	알리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
노력도	노력/NNG+도/JX
기울였다	기울이/VV+었/EP+다/EF

2005년에는	2005/SN+년/NNB+에/JKB+는/JX
자신과	자신/NNG+과/JKB
같은	같/VA+은/ETM
중증장애인의	중증장애인/NNG+의/JKG
자립생활	자립생활/NNG
이야기를	이야기/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
작품	작품/NNG
‘외출	‘/SN+외출/NNG
혹은	혹은/MAG
탈출’을	탈출’/NNG+을/JKO
연출했으며,	연출하/VV+였/EP+으며/EC+,/SP
2006년부터	2006/SN+년/NNB+부터/JX
2007년까지	2007/SN+년/NNB+까지/JX
RTV에서	RTV/SL+에서/JKB
방영된	방영되/VV+ㄴ/ETM
‘나는	‘/SL+나/NP+는/JX
장애인이다’	장애인/NNG+이/VCP+다/EC+’/SL
프로그램의	프로그램/NNG+의/JKG
진행자로	진행자/NNG+로/JKB
활동하기도	활동하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

그녀와	그녀/NP+와/JC
프로그램을	프로그램/NNG+을/JKO
함께했던	함께하/VV+였/EP+던/ETM
장애해방열사	장애해방열사/NNG
‘단’	‘/SN+단/NNG+’/SL
박김영희	박김영희/NNP
대표는	대표/NNG+는/JX
“중증장애인으로	“/SL+중증장애인/NNG+으로/JKB
홀로	홀로/MAG
움직일수	움직일수/VV
없는	없/VA+는/ETM
주영이었지만,	주영/NNG+이/VCP+었/EP+지만/EC+,/SP
영상공부를	영상공부/NNG+를/JKO
배우고	배우/VV+고/EC
싶다는	싶/VX+다는/ETM
등	등/NNB
하고	하/VV+고/EC
싶은게	싶/VX+은/ETM+것/NNB+이/JKS
많았다”며	많/VA+았/EP+다/EC+”/VV+며/EC
“나는장애인이다	“/SL+나/VV+는/ETM+장애인/NNG+이/VCP+다/EC
MC를	MC/SL+를/JKO
하면서도	하/VV+면서/EC+도/JX
가장	가장/MAG
먼저	먼저/MAG
와서	오/VV+아서/EC
기다리고,	기다리/VV+고/EC+,/SP
멘트	멘트/NNG
하나하나	하나하나/NNG
고민한	고민하/VV+ㄴ/ETM
친구”였다며	친구”/NNG+이/VCP+었/EP+다며/EC
눈물지었다	눈물짓/VV+었/EP+다/EF

장례식에서	장례식/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
중증장애인인권실천연대	중증장애인인권실천연대/NNG
임재신(42)씨도	임재신/NNG+(/SS+42/SN+)/SS+씨/NNB+도/JX
“직접적으로	“/SN+직접적/NNG+으로/JKB
잘	잘/MAG
알지는	알/VV+지/EC+는/JX
못하지만,	못하/VX+지만/EC+,/SP
투쟁현장에서	투쟁현장/NNG+에서/JKB
몇	몇/MM
번	번/NNB
뵙고,	뵙/VV+고/EC+,/SP
인터넷으로	인터넷/NNG+으로/JKB
활약하는	활약하/VV+는/ETM
모습을	모습/NNG+을/JKO
지켜봤다”며	지켜보/VV+았/EP+다/EC+”/VX+며/EC
“자립생활을	“/SL+자립생활/NNG+을/JKO
위해	위하/VV+여/EC
힘쓰던	힘쓰/VV+던/ETM
동료가	동료/NNG+가/JKS
참변으로	참변/NNG+으로/JKB
세상을	세상/NNG+을/JKO
떠나	떠나/VV+아/EC
가슴이	가슴/NNG+이/JKS
너무	너무/MAG
아프다”고	아프다/NNP+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

■그녀의	■/SW+그녀/NP+의/JKG
슬픈	슬프/VA+ㄴ/ETM
이름,	이름/NNG+,/SP
‘363시간’=활동보조인이	‘/SL+363/SN+시간/NNB+’/SL+=/SW+활동보조인/NNG+이/JKS
없으면	없/VA+으면/EC
거동이	거동/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
최중증의	최중증/NNP+의/JKG
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
김주영씨가	김주영/NNP+씨/NNB+가/JKS
이용하던	이용하/VV+던/ETM
활동보조	활동보조/NNG
시간은	시간/NNG+은/JX
하루	하루/NNG
12시간	12/SN+시간/NNB
정도였다	정도/NNG+이/VCP+었/EP+다/EF

이는	이/NP+는/JX
지자체의	지자체/NNG+의/JKG
추가제공시간까지	추가제공시간/NNG+까지/JX
합쳐져	합치/VV+어/EC+지/VX+어/EC
상대적으로	상대적/NNG+으로/JKB
많은	많/VA+은/ETM
시간을	시간/NNG+을/JKO
제공받았지만,	제공/NNG+받/VV+았/EP+지만/EC+,/SP
참사	참사/NNG
속에서	속/NNG+에서/JKB
그녀는	그녀/NP+는/JX
‘무방비	‘/SL+무방비/NNG
상태’일	상태/NNG+’/SN+이/VCP+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없었다	없/VA+었/EP+다/EF

장애계에서는	장애/NNG+계/XSN+에서/JKB+는/JX
이	이/NP
같은	같/VA+은/ETM
중증장애인을	중증장애인/NNG+을/JKO
위해	위하/VV+여/EC
활동보조	활동보조/NNG
하루	하루/NNG
24시간을	24/SN+시간/NNB+을/JKO
보장해야	보장하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
절실한	절실하/VA+ㄴ/ETM
요구를	요구/NNG+를/JKO
정부	정부/NNG
측에	측/NNB+에/JKB
지속적으로	지속적/NNG+으로/JKB
요구해왔다	요구하/VV+여/EC+오/VX+았/EP+다/EF

하지만	하지만/MAJ
요구에	요구/NNG+에/JKB
답은	답/NNG+은/JX
커녕,	커녕/NNG+,/SP
활동보조인이	활동보조인/NNG+이/JKS
퇴근한	퇴근하/VV+ㄴ/ETM
사이	사이/NNG
인공호흡기가	인공호흡기/NNG+가/JKS
빠져	빠지/VV+어/EC
생을	생/NNG+을/JKO
마감한	마감하/VV+ㄴ/ETM
故	故/SL
허정식씨에	허정식/NNP+씨/NNB+에/JKB
이어,	잇/VV+어/EC+,/SP
그녀의	그녀/NP+의/JKG
억울한	억울하/VA+ㄴ/ETM
참변까지	참변/NNG+까지/JX
연이어	연잇/VV+어/EC
벌어지게	벌어지/VV+게/EC
된	되/VV+ㄴ/ETM
것	것/NNB

누워서	눕/VV+어서/EC
생활할	생활하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
와상장애인	와상장애/NNG+이/VCP+ㄴ/ETM
윤국진(37)씨는	윤국진/NNP+(/SS+37/SN+)/SS+씨/NNB+는/JX
“현재	“/SN+현재/NNG
190시간에	190/SN+시간/NNB+에/JKB
지자체	지자체/NNG
지원	지원/NNG
10시간	10/SN+시간/NNB
포함	포함/NNG
총	총/MM
290시간,	290/SN+시간/NNB+,/SP
하루에	하루/NNG+에/JKB
6시간정도	6/SN+시간/NNB+정도/NNG
활동보조를	활동보조/NNG+를/JKO
받는다	받/VV+는다/EC

너무나	너무나/MAG
턱없이	턱없이/MAG
부족하다”며	부족하/VA+다/EC+”/VV+며/EC
“김	“/SN+김/NNP
활동가의	활동가/NNG+의/JKG
참변은	참변/NNG+은/JX
남일이	남일/NNG+이/JKC
아니다	아니/VCN+다/EC

누워서	눕/VV+어서/EC
생화하다보니	생화하/VV+다/EC+보/VX+니/EC
활동보조인이	활동보조인/NNG+이/JKS
퇴근을	퇴근/NNG+을/JKO
하고	하/VV+고/EC
나면	나/VX+면/EC
무방비상태로	무방비상태/NNG+로/JKB
남겨져있는데	남겨지/VV+어/EC+있/VX+는데/EC
너무	너무/MAG
힘들고,	힘들/VA+고/EC+,/SP
두렵다”고	두렵/VA+다/EC+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

180시간을	180/SN+시간/NNB+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
지체1급	지체/NNG+1/SN+급/NNG
중증장애인	중증장애인/NNG
박정선(51)씨는	박정선/NNP+(/SS+51/SN+)/SS+씨/NNB+는/JX
“하루에	“/SN+하루/NNG+에/JKB
4시간	4/SN+시간/NNB
정도	정도/NNG
받다보니,	받/VV+다/EC+보/VX+니/EC+,/SP
로봇처럼	로봇/NNG+처럼/JKB
생활하고	생활하/VV+고/EC
있다	있/VX+다/EC

하루에	하루/NNG+에/JKB
도움을	도움/NNG+을/JKO
받아야	받/VV+아야/EC
할	하/VX+ㄹ/ETM
것이	것/NNB+이/JKS
너무나	너무나/MAG
많은데	많/VA+은/ETM+데/NNB
몰아서	몰/VV+아서/EC
그	그/MM
시간동안	시간동안/NNG
몰아서	몰/VV+아서/EC
받으려다	받/VV+으려다/EC
보니	보/VX+니/EC
힘들다”며	힘들/VA+다/EC+”/VV+며/EC
“실제로	“/SN+실제로/MAG
활동보조인이	활동보조인/NNG+이/JKS
퇴근했을때	퇴근하/VV+였/EP+을/ETM+때/NNG
넘어지는	넘어지/VV+는/ETM
사고가	사고/NNG+가/JKS
있었는데,	있/VA+었/EP+는데/EC+,/SP
아무도	아무/NP+도/JX
도움을	도움/NNG+을/JKO
청할	청하/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
가족이	가족/NNG+이/JKS
올때까지	오/VV+ㄹ/ETM+때/NNG+까지/JX
넘어져	넘어지/VV+어/EC
있어야	있/VX+어야/EC
하는경우도	하/VX+는/ETM+경우/NNG+도/JX
있었다	있/VA+었/EP+다/EF

정말	정말/MAG
사고는	사고/NNG+는/JX
남	남/NNG
일이	일/NNG+이/JKC
아니다”고	아니/VCN+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

■“이대론	■/SW+“/SL+이대론/MAG
절대	절대/NNG
못참는다!”=이번	못/MAG+참/VV+는다/EF+!/SF+”/SL+=/SW+이번/NNG
사고에	사고/NNG+에/JKB
장애인들은	장애인/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
외면한	외면하/VV+ㄴ/ETM
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
화가	화/NNG+가/JKS
치밀었다	치밀/VV+었/EP+다/EF

이날	이날/NNG
장례식에	장례식/NNG+에/JKB
함께했던	함께하/VV+였/EP+던/ETM
장례위원들은	장례위원/NNG+들/XSN+은/JX
저마다	저마다/MAG
휠체어를	휠체어/NNG+를/JKO
끌고,	끌/VV+고/EC+,/SP
복지부	복지부/NNG
장관의	장관/NNG+의/JKG
공식사과와	공식사과/NNG+와/JC
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
제공을	제공/NNG+을/JKO
요구하기	요구하/VV+기/ETN
위해	위하/VV+여/EC
복지부로	복지부/NNG+로/JKB
향했다	향하/VV+었/EP+다/EC

하지만	하지만/MAJ
복지부로	복지부/NNG+로/JKB
가는	가/VV+는/ETM
길은	길/NNG+은/JX
험난했다	험난하/VA+었/EP+다/EF

복지부로	복지부/NNG+로/JKB
향하는	향하/VV+는/ETM
장애인들과	장애인/NNG+들/XSN+과/JKB
이를	이/NP+를/JKO
막아서는	막아서/VV+는/ETM
경찰과의	경찰/NNG+과/JKB+의/JKG
대치는	대치/NNG+는/JX
3시간동안이나	3/SN+시간/NNB+동안/NNG+이나/JX
계속됐다	계속되/VV+었/EP+다/EF

감정을	감정/NNG+을/JKO
추스르지	추스르/VV+지/EC
못한	못하/VX+ㄴ/ETM
일부	일부/NNG
장애인들은	장애인/NNG+들/XSN+은/JX
차에	차/NNG+에/JKB
뛰어들기도	뛰어들/VV+기/ETN+도/JX
하며,	하/VX+며/EC+,/SP
경찰과의	경찰/NNG+과/JKB+의/JKG
욕설이	욕설/NNG+이/JKS
난무한	난무하/VV+ㄴ/ETM
몸싸움도	몸싸움/NNG+도/JX
서슴치	서슴/VV+지/EC
않았다	않/VX+았/EP+다/EF

실랑이	실랑이/NNG
끝에	끝/NNG+에/JKB
결국	결국/NNG
복지부	복지부/NNG
규탄은	규탄/NNG+은/JX
물거품이	물거품/NNG+이/JKC
됐으며,	되/VV+었/EP+으며/EC+,/SP
규탄	규탄/NNG
기자회견	기자회견/NNG
대신	대신/NNG
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임대표,	상임대표/NNG+,/SP
한국장애인자립생활센터협의회	한국장애인자립생활센터협의회/NNP
이원교	이원교/NNP
대표	대표/NNG
등의	등/NNB+의/JKG
대표단만이	대표단/NNG+만/JX+이/JKS
복지부에	복지부/NNG+에/JKB
요구안을	요구안/NNG+을/JKO
전달하는데	전달하/VV+는데/EC
일정이	일정/NNG+이/JKS
마무리	마무리/NNG
됐다	되/VV+었/EP+다/EC

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임대표는	상임대표/NNG+는/JX
“2005년	“/SL+2005/SN+년/NNB
추운겨울날	추운/NNP+겨울/VV+날/NNG
수도관이	수도관/NNG+이/JKS
터져서	터지/VV+어서/EC
장애인이	장애인/NNG+이/JKS
얼어죽어도	얼어죽/VV+어도/EC
복지부는	복지부/NNG+는/JX
‘돈없다’라는	‘/SN+돈없/VA+다/EF+’/SL+이/VCP+라는/ETM
핑계만	핑계/NNG+만/JX
대고	대/VV+고/EC
있다	있/VX+다/EC

언제까지	언제/NP+까지/JX
추운겨울에	추운겨울/NNP+에/JKB
나가서	나가/VV+아서/EC
서명해달라고	서명하/VV+여/EC+달/VX+라고/EC
이야기	이야기/NNG
해야	하/VV+여야/EC
하냐”며	하/VX+냐/EC+”/VX+며/EC
“오늘	“/SL+오늘/NNG
결국	결국/NNG
철옹성같은	철옹성/NNG+같/VA+은/ETM
야비한	야비하/VA+ㄴ/ETM
권력의	권력/NNG+의/JKG
복지부	복지부/NNG
벽을	벽/NNG+을/JKO
넘을	넘/VV+을/ETM
수	수/NNB
없다	없/VA+다/EF

복지부	복지부/NNG
장관의	장관/NNG+의/JKG
사과와	사과/NNG+와/JKB
함께	함께/MAG
24시간	24/SN+시간/NNB
제공의	제공/NNG+의/JKG
약속을	약속/NNG+을/JKO
해주지	하/VV+여/EC+주/VX+지/EC
않으면	않/VX+으면/EC
이대로	이대로/MAG
절대	절대/MAG
물러서지	물러서/VV+지/EC
않겠다”고	않/VX+겠/EP+다”고/EC
질타했다	질타하/VA+었/EP+다/EC

한편,	한편/NNG+,/SP
이들은	이/NP+들/XSN+은/JX
복지부	복지부/NNG
사과,	사과/NNG+,/SP
24시간	24/SN+시간/NNB
활동보조제공	활동보조제공/NNG
약속	약속/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
요구안을	요구안/NNG+을/JKO
복지부에	복지부/NNG+에/JKB
전달했으며,	전달하/VV+였/EP+으며/EC+,/SP
오는	오/VV+는/ETM
31일까지	31/SN+일/NNB+까지/JX
답변을	답변/NNG+을/JKO
보내주지	보내/VV+어/EC+주/VX+지/EC
않을	않/VX+을/ETM
시	시/NNG
11월1일	11/SN+월/NNB+1/SN+일/NNB
유엔에스캅	유엔에스캅/NNP
고위급회의에	고위급회의/NNG+에/JKB
참석하는	참석하/VV+는/ETM
복지부	복지부/NNG
장관,	장관/NNG+,/SP
국무총리	국무총리/NNG
등을	등/NNB+을/JKO
향해	향하/VV+여/EC
규탄	규탄/NNG
시위를	시위/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
제공을	제공/NNG+을/JKO
요구하는	요구하/VV+는/ETM
장애인들	장애인/NNG+들/XSN

눈물이	눈물/NNG+이/JKS
멈추지	멈추/VV+지/EC
않는	않/VX+는/ETM
성동장애인자립생활센터	성동장애인자립생활센터/NNG
최진영	최진영/NNP
소장	소장/NNG

"발로	"/SS+발/NNG+로/JKB
헌화합니다"	헌화하/VV+ㅂ니다/EF+"/SS

복지부로	복지부/NNG+로/JKB
향하는	향하/VV+는/ETM
장례위원들	장례위원/NNG+들/XSN

활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
제공을	제공/NNG+을/JKO
요구하는	요구하/VV+는/ETM
장애인들	장애인/NNG+들/XSN

그녀의	그녀/NP+의/JKG
죽음에	죽음/NNG+에/JKB
묵념하는	묵념하/VV+는/ETM
장애인	장애인/NNG
