한글날	한글날/NNP
수화의	수화/NNG+의/JKG
법적	법적/NNG
지위를	지위/NNG+를/JKO
마련해달라고	마련하/VV+여/EC+달/VX+라고/EC
요구해왔다	요구하/VV+여/EC+오/VX+았/EP+다/EF

하지만	하지만/MAJ
여전히	여전히/MAG
이를	이/NP+를/JKO
묵과하고	묵과하/VV+고/EC
외면하는	외면하/VV+는/ETM
국가에	국가/NNG+에/JKB
농아인들은	농아인/NNG+들/XSN+은/JX
수화언어	수화언어/NNG
지위보장을	지위보장/NNG+을/JKO
세종대왕께	세종대왕/NNP+께/JKB
간청하는	간청하/VV+는/ETM
고사를	고사/NNG+를/JKO
지내기까지	지내/VV+기/ETN+까지/JX
이르렀다	이르/VV+었/EP+다/EC

과연	과연/MAG
이들은	이/NP+들/XSN+은/JX
왜	왜/MAG
세종대왕	세종/NNP+대왕/NNG
동상앞에서	동상앞/NNG+에서/JKB
술을	술/NNG+을/JKO
따르고,	따르/VV+고/EC+,/SP
고사를	고사/NNG+를/JKO
지낼	지내/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없었을까?■수화를	없/VA+었/EP+을까/EF+?/SF+■/SL+수화/NNG+를/JKO
외면하는	외면하/VV+는/ETM
대한민국=우리나라	대한민국/NNP+=/SW+우리나라/NNG
청각장애	청각장애/NNG
아동들은	아동/NNG+들/XSN+은/JX
어렸을	어리/VA+었/EP+을/ETM
때부터	때/NNG+부터/JX
음성언어를	음성언어/NNG+를/JKO
배우는	배우/VV+는/ETM
것을	것/NNB+을/JKO
강요당하고	강요/NNG+당하/XSV+고/EC
있다	있/VX+다/EC

실제로	실제로/MAG
한	하/VV+ㄴ/ETM
오디션	오디션/NNG
프로그램에	프로그램/NNG+에/JKB
출연한	출연하/VV+ㄴ/ETM
청각장애	청각장애/NNG
도전자도	도전자/NNG+도/JX
어려서부터	어리/VA+어서/EC+부터/JX
수화가	수화/NNG+가/JKS
아닌,	아니/VCN+ㄴ/ETM+,/SP
구화를	구화/NNG+를/JKO
배워왔으며	배우/VV+어/EC+오/VX+았/EP+으며/EC
수화는	수화/NNG+는/JX
단	단/MM
한마디로	한마디/NNG+로/JKB
못하는	못하/VV+는/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

이처럼	이/NP+처럼/JKB
수화	수화/NNG
사용에	사용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
억압은	억압/NNG+은/JX
학교현장에서만	학교현장/NNG+에서/JKB+만/JX
일어나는	일어나/VV+는/ETM
것이	것/NNB+이/JKC
아니다	아니/VCN+다/EC

가정에서,	가정/NNG+에서/JKB+,/SP
사회	사회/NNG
곳곳에서	곳곳/NNG+에서/JKB
마찬가지다	마찬가지/NNG+이/VCP+다/EC

수화를	수화/NNG+를/JKO
사용하는	사용하/VV+는/ETM
농아인은	농아/NNG+인/XSN+은/JX
장애극복에	장애극복/NNG+에/JKB
실패한	실패하/VV+ㄴ/ETM
농아인으로	농아/NNG+인/XSN+으로/JKB
치부하는	치부하/VV+는/ETM
음성언어	음성언어/NNG
중심의	중심/NNG+의/JKG
사회에서	사회/NNG+에서/JKB
의사소통의	의사소통/NNG+의/JKG
장애와	장애/NNG+와/JC
정보취득의	정보취득/NNG+의/JKG
제약으로	제약/NNG+으로/JKB
인해	인하/VV+여/EC
가정,	가정/NNG+,/SP
교육,	교육/NNG+,/SP
취업	취업/NNG
등	등/NNB
사회생활의	사회생활/NNG+의/JKG
전	전/MM
영역에서	영역/NNG+에서/JKB
소외되고	소외되/VV+고/EC
차별받으며	차별/NNG+받/VV+으며/EC
살아오고	살아오/VV+고/EC
있는	있/VX+는/ETM
것이다	것/NNB+이/VCP+다/EC

권리보장을	권리보장/NNG+을/JKO
위해	위하/VV+여/EC
1인시위를	1/SN+인시위/NNG+를/JKO
나선바	나서/VV+ㄴ/ETM+바/MAG
있는	있/VA+는/ETM
한국농아인협회	한국농아인협회/NNP
김정근	김정근/NNP
중앙이사는	중앙이사/NNG+는/JX
“농인들은	“/SL+농인/NNG+들/XSN+은/JX
수화를	수화/NNG+를/JKO
사용해야	사용하/VV+여야/EC
하는데,	하/VX+는데/EC+,/SP
요즘	요즘/NNG
세대들은	세대/NNG+들/XSN+은/JX
구화를	구화/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
가르치고	가르치/VV+고/EC
있고,	있/VX+고/EC+,/SP
어린아이들에게	어린아이/NNG+들/XSN+에게/JKB
인공와우수술을	인공와우수술/NNG+을/JKO
강요하는	강요하/VV+는/ETM
등	등/NNB
수화를	수화/NNG+를/JKO
가르쳐주지	가르치/VV+어/EC+주/VX+지/EC
않고	않/VX+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“농인들의	“/SL+농인/NNG+들/XSN+의/JKG
언어인	언어/NNG+이/VCP+ㄴ/ETM
수화를	수화/NNG+를/JKO
국어로	국어/NNG+로/JKB
인정을	인정/NNG+을/JKO
해야	하/VV+여야/EC
하고,	하/VX+고/EC+,/SP
농인들	농인/NNG+들/XSN
또한	또한/MAG
수화를	수화/NNG+를/JKO
사용하는데	사용하/VV+는/ETM+데/NNB
자긍심을	자긍심/NNG+을/JKO
가져야	가지/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

농아인	농아/NNG+이/VCP+ㄴ/ETM
함효숙(42)씨는	함효숙/NNP+(/SS+42/SN+)/SS+씨/NNB+는/JX
“농아인들은	“/SL+농아/NNG+인들/XSN+은/JX
언어를	언어/NNG+를/JKO
수화로	수화/NNG+로/JKB
생각한다	생각하/VV+ㄴ다/EF

고로	고로/NNG
수화를	수화/NNG+를/JKO
모르는	모르/VV+는/ETM
건청인과	건청인/NNG+과/JC
의사소통이	의사소통/NNG+이/JKS
원할히	원할히/MAG
되지	되/VV+지/EC
않아	않/VX+아/EC
답답해	답답하/VA+여/EC
죽겠다”며	죽/VV+겠/EP+다/EC+”/SN+며/EC
“교육,	“/SL+교육/NNG+,/SP
노동,	노동/NNG+,/SP
문화	문화/NNG
등	등/NNB
어디에서든지	어디/NP+에서/JKB+든지/JX
농아인들을	농아/NNG+인들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
배려는	배려/NNG+는/JX
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다”고/EC
토로했다	토로하/VV+였/EP+다/EF

주중에만	주/NNG+중/NNB+에/JKB+만/JX
지원이	지원/NNG+이/JKC
되는	되/VV+는/ETM
수화통역사에	수화통역사/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
불만은	불만/NNG+은/JX
많다	많/VA+다/EF

주말을	주말/NNG+을/JKO
이용해	이용하/VV+여/EC
가족과	가족/NNG+과/JKB
함께	함께/MAG
고궁이나	고궁/NNG+이나/JC
여행을	여행/NNG+을/JKO
갈	가/VV+ㄹ/ETM
때,	때/NNG+,/SP
수화통역사가	수화통역사/NNG+가/JKS
동반하지	동반하/VV+지/EC
않으면	않/VX+으면/EC
의사소통이	의사소통/NNG+이/JKS
너무	너무/MAG
힘들다는	힘들/VA+다는/ETM
한	한/MM
농아인은	농아/NNG+인/XSN+은/JX
“누군가	“/SL+누구/NP+이/VCP+ㄴ/EC+가/JKS
만났다가	만나/VV+았/EP+다가/EC
농아인이라서	농아인/NNG+이/VCP+라서/EC
의사소통이	의사소통/NNG+이/JKS
잘	잘/MAG
안되서	안되/VV+어서/EC
큰	크/VA+ㄴ/ETM
오해의	오해/NNG+의/JKG
소지가	소지/NNG+가/JKS
있을	있/VA+을/ETM
수	수/NNB
있다	있/VA+다/EC

여행	여행/NNG
뿐	뿐/JX
아니라	아니/VCN+라/EC
병원에서도	병원/NNG+에서/JKB+도/JX
진료시	진료/NNG+시/NNB
제대로	제대로/MAG
의사소통이	의사소통/NNG+이/JKC
되지	되/VV+지/EC
않아	않/VX+아/EC
속터지는	속터지/VV+는/ETM
경우가	경우/NNG+가/JKS
많았다”며	많/VA+았/EP+다/EC+”/VV+며/EC
“전문	“/SL+전문/NNG
통역사가	통역사/NNG+가/JKS
소통해줘야	소통하/VV+여/EC+주/VX+어야/EC
하는데	하/VX+는데/EC
여전히	여전히/MAG
이	이/MM
사회는	사회/NNG+는/JX
각박하다”고	각박하/VA+다/EC+”/VA+고/EC
불만을	불만/NNG+을/JKO
터뜨렸다	터뜨리/VV+었/EP+다/EF

수화언어	수화언어/NNG
권리확보를	권리확보/NNG+를/JKO
위해	위하/VV+여/EC
투쟁하는	투쟁하/VV+는/ETM
농아인들	농아인/NNG+들/XSN

■농교육부터	■/SW+농교육/NNG+부터/JX
문제다=수화를	문제/NNG+이/VCP+다/EF+=/SW+수화/NNG+를/JKO
외면하는	외면하/VV+는/ETM
곳은	곳/NNG+은/JX
농학생을	농학생/NNG+을/JKO
가르치는	가르치/VV+는/ETM
농학교에서	농학교/NNG+에서/JKB
조차	조차/JX
존재했다	존재하/VV+였/EP+다/EF

전국	전국/NNG
15개	15/SN+개/NNB
청각장애학교의	청각장애학교/NNG+의/JKG
교원	교원/NNG
중	중/NNB
수화통역사	수화통역사/NNG
자격증을	자격증/NNG+을/JKO
소지한	소지하/VV+ㄴ/ETM
교원이	교원/NNG+이/JKC
6%에	6/SN+%/SW+에/JKB
불과한	불과하/VA+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

최근	최근/NNG
국회	국회/NNG
교육과학기술위원회	교육과학기술위원회/NNG
이상민	이상민/NNP
의원(민주통합당)이	의원/NNG+(/SS+민주통합당/NNP+)/SS+이/JKS
발표한	발표하/VV+ㄴ/ETM
국정감사	국정감사/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
15개	15/SN+개/NNB
학교	학교/NNG
교원	교원/NNG
391명	391/SN+명/NNB
중	중/NNB
24명(6%)만	24/SN+명/NNB+(/SS+6/SN+%/SW+)/SS+만/JX
수화통역사	수화통역사/NNG
자격증을	자격증/NNG+을/JKO
소지하고	소지하/VV+고/EC
있었다	있/VX+었/EP+다/EF

심지어	심지어/MAG
3개	3/SN+개/NNB
학교는	학교/NNG+는/JX
수화통역사	수화통역사/NNG
자격증을	자격증/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
교원이	교원/NNG+이/JKC
단	단/MM
한명도	한/MM+명/NNB+도/JX
없었다	없/VA+었/EP+다/EF

이	이/NNP
의원은	의원/NNG+은/JX
“자의적인	“/SL+자의적/NNG+이/VCP+ㄴ/ETM
판단으로	판단/NNG+으로/JKB
수화가	수화/NNG+가/JKS
가능한	가능하/VA+ㄴ/ETM
교원이	교원/NNG+이/JKC
대부분이라고	대부분/NNG+이/VCP+라고/EC
하나,	하나/NR+,/SP
실제	실제/NNG
수화를	수화/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
의사전달이	의사전달/NNG+이/JKS
원활한	원활하/VA+ㄴ/ETM
수준인지는	수준/NNG+이/VCP+ㄴ지/EC+는/JX
판단하기	판단하/VV+기/ETN
어렵다”며	어렵/VA+다/EC+”/SN+며/EC
“청각장애학교	“/SL+청각장애학교/NNG
채용	채용/NNG
시	시/NNG
수화통역에	수화통역/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
요건을	요건/NNG+을/JKO
두거나,	두/VV+거나/EC+,/SP
수화통역을	수화통역/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
연수를	연수/NNG+를/JKO
별도로	별도/NNG+로/JKB
진행하는	진행하/VV+는/ETM
등의	등/NNB+의/JKG
정책이	정책/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
주문한	주문하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

장애와	장애/NNG+와/JC
마실	마실/NNP
인권연대	인권연대/NNG
김광이	김광/NNP+이/JKS
대표는	대표/NNG+는/JX
“암담한	“/SL+암담하/VA+ㄴ/ETM
현실이다	현실/NNG+이/VCP+다/EC

수화통역	수화통역/NNG
자격증이	자격증/NNG+이/JKS
있는	있/VA+는/ETM
6%가	6/SN+%/SW+가/JKS
절대	절대/MAG
94%를	94/SN+%/SW+를/JKO
커버할	커버하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

자격증	자격증/NNG
있는	있/VA+는/ETM
교원이	교원/NNG+이/JKC
없는	없/VA+는/ETM
3개학교는	3/SN+개/NNB+학교/NNG+는/JX
할말이	하/VV+ㄹ/ETM+말/NNG+이/JKS
없다”며	없/VA+다/EC+”/VX+며/EC
“이런	“/SL+이런/MM
불편함은	불편하/VA+ㅁ/ETN+은/JX
농아학생들에게	농아학생/NNG+들/XSN+에게/JKB
고스란히	고스란히/MAG
전달이	전달/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
그들이	그/NP+들/XSN+이/JKS
성인이	성인/NNG+이/JKC
되어서까지	되/VV+어서/EC+까지/JX
문제가	문제/NNG+가/JKS
이어진다”고	이어지/VV+ㄴ다”고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
김	김/NNP
대표는	대표/NNG+는/JX
“영화	“/SL+영화/NNG
도가니로	도가니/NNG+로/JKB
은폐된	은폐되/VV+ㄴ/ETM
장애인시설	장애인시설/NNG
문제는	문제/NNG+는/JX
단순	단순/NNG
문제가	문제/NNG+가/JKC
아니다	아니/VCN+다/EC

수화를	수화/NNG+를/JKO
하지	하/VV+지/EC
못하면	못하/VX+면/EC
농학생들에게	농학생/NNG+들/XSN+에게/JKB
제대로	제대로/MAG
교육권이	교육권/NNG+이/JKS
제공되지	제공되/VV+지/EC
않는다	않/VX+는다/EF

6%라는	6/SN+%/SW+이/VCP+라는/ETM
수치에서	수치/NNG+에서/JKB
대충	대충/MAG
하는	하/VV+는/ETM
척만	척/NNB+만/JX
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
드러난다	드러나/VV+ㄴ다/EC

수화를	수화/NNG+를/JKO
독어,	독어/NNP+,/SP
스페인어처럼	스페인어/NNG+처럼/JKB
제2외국어로	제/XPN+2/SN+외국어/NNG+로/JKB
인정해서	인정하/VV+여서/EC
자격증	자격증/NNG
가진	가지/VV+ㄴ/ETM
통역사들이	통역사/NNG+들/XSN+이/JKS
늘어나고,	늘어나/VV+고/EC+,/SP
농학교	농학교/NNG
교육의	교육/NNG+의/JKG
질을	질/NNG+을/JKO
높여야	높이/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
정정당당하게	정정당당하/VA+게/EC
청인학생들과	청인학생/NNG+들/XSN+과/JKB
경쟁하고자	경쟁하/VV+고자/EC
일반학교를	일반학교/NNG+를/JKO
지원한	지원하/VV+ㄴ/ETM
농아학생들의	농아학생/NNG+들/XSN+의/JKG
경우는	경우/NNG+는/JX
참담하기	참담하/VA+기/ETN
그지없다	그지없/VA+다/EC

앞서	앞서/MAG
대전	대전/NNP
성남초등학교에서는	성남초등학교/NNP+에서/JKB+는/JX
수화를	수화/NNG+를/JKO
하지	하/VV+지/EC
못하는	못하/VX+는/ETM
엉터리	엉터리/NNG
특수교육실무원고용으로	특수교육실무원고용/NNG+으로/JKB
인해	인하/VV+여/EC
학생들이	학생/NNG+들/XSN+이/JKS
피해를	피해/NNG+를/JKO
입고,	입/VV+고/EC+,/SP
집단	집단/NNG
등교거부	등교거부/NNG
등	등/NNB
시	시/NNG
교육청과	교육청/NNG+과/JC
큰	크/VA+ㄴ/ETM
홍역을	홍역/NNG+을/JKO
치른바	치른바/MAG
있다	있/VA+다/EF

학창시절	학창시절/NNG
일반학교를	일반학교/NNG+를/JKO
다녔다는	다니/VV+었/EP+다는/ETM
조현우(54)씨는	조현우/NNP+(/SS+54/SN+)/SS+씨/NNB+는/JX
“심층적으로	“/SN+심층적/NNG+으로/JKB
수화를	수화/NNG+를/JKO
해줄	하/VV+여/EC+주/VX+ㄹ/ETM
사람이	사람/NNG+이/JKS
없어서	없/VA+어서/EC
얼마나	얼마나/MAG
답답했었는지	답답하/VA+었었/EP+는지/EC
모른다	모르/VV+ㄴ다/EC

혼자	혼자/NNG
공부하는데	공부하/VV+는데/EC
한계가	한계/NNG+가/JKS
너무	너무/MAG
컸다”며	크/VA+었/EP+다/EC+”/VX+며/EC
“혼자의	“혼자/NNG+의/JKG
힘이	힘/NNG+이/JKS
벅차다보니	벅차/VA+다/EC+보/VX+니/EC
반	반/NNG
친구들과	친구/NNG+들/XSN+과/JKB
어울리며	어울리/VV+며/EC
겨우	겨우/MAG
공부를	공부/NNG+를/JKO
해서	하/VV+여서/EC
고등학교를	고등학교/NNG+를/JKO
졸업했다	졸업하/VV+었/EP+다/EC

대학을	대학/NNG+을/JKO
가고	가/VV+고/EC
싶었는데	싶/VX+었/EP+는데/EC
공부할	공부하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여건이	여건/NNG+이/JKS
너무	너무/MAG
부족했다”고	부족하/VA+었/EP+다/EC+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
조씨는	조/NNP+씨/NNB+는/JX
“심층적인	“/SN+심층적/NNG+이/VCP+ㄴ/ETM
수화	수화/NNG
교육이	교육/NNG+이/JKS
필요하다	필요하/VA+다/EC

일반	일반/NNG
청인들도	청인/NNG+들/XSN+도/JX
영자	영자/NNG
신문을	신문/NNG+을/JKO
볼때	보/VV+ㄹ/ETM+때/NNG
읽을	읽/VV+을/ETM
줄만	줄/NNB+만/JX
알지,	알/VV+지/EC+,/SP
해석은	해석/NNG+은/JX
잘	잘/MAG
못하지	못하/VX+지/EC
않냐	않/VX+냐/EF

농인들이	농인/NNG+들/XSN+이/JKS
일반	일반/NNG
신문을	신문/NNG+을/JKO
보거나,	보/VV+거나/EC+,/SP
글자를	글자/NNG+를/JKO
읽을	읽/VV+을/ETM
때	때/NNG
그렇다	그렇/VA+다/EC

이해하지	이해하/VV+지/EC
못하는	못하/VX+는/ETM
것들을	것/NNB+들/XSN+을/JKO
심층적으로	심층/NNG+적/XSN+으로/JKB
설명해줄	설명하/VV+여/EC+주/VX+ㄹ/ETM
전문	전문/NNG
수화통역사들이	수화통역사/NNG+들/XSN+이/JKS
많이	많이/MAG
필요하다”며	필요하/VA+다/EC+”/SN+며/EC
“제2외국어로	“/SN+제/XPN+2/SN+외국어/NNG+로/JKB
영어하는	영어하/VV+는/ETM
건	것/NNB+ㄴ/JX
자랑스러워하면서	자랑스러워하/VV+면서/EC
수화를	수화/NNG+를/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
왜	왜/MAG
인정받지	인정받/VV+지/EC
못하는지	못하/VX+는지/EC
안타깝다”고	안타깝/VA+다/EC+”/VX+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

■“수화는	■/SW+“/SL+수화/NNG+는/JX
언어”귀	언어”귀/NNG
기울이자=그렇다면	기울/NNG+이/VCP+자/EC+=/SW+그렇/VA+다면/EC
농아인들의	농아/NNG+인들/XSN+의/JKG
외침에	외침/NNG+에/JKB
정부의	정부/NNG+의/JKG
움직임은	움직임/NNG+은/JX
어떨까?	어떻/VA+ㄹ까/EF+?/SF
앞서	앞서/VV+어/EC
수화언어권	수화언어/NNG+권/XSN
공대위는	공대위/NNP+는/JX
농교육의	농교육/NNG+의/JKG
근본적인	근본적/NNG+이/VCP+ㄴ/ETM
개선은	개선/NNG+은/JX
물론,	물론/MAG+,/SP
수화언어의	수화언어/NNG+의/JKG
법적지위	법적지위/NNG
보장을	보장/NNG+을/JKO
교육과학기술부에	교육과학기술부/NNG+에/JKB
요구해왔으며,	요구하/VV+여/EC+오/VX+았/EP+으며/EC+,/SP
교과부로부터	교과부/NNG+로부터/JKB
농학교	농학교/NNG
교사	교사/NNG
수화통역사	수화통역사/NNG
자격증	자격증/NNG
취득추진,	취득추진/NNG+,/SP
농아인	농아/NNG+이/VCP+ㄴ/ETM
당사자교사	당사자교사/NNG
채용확대,	채용확대/NNG+,/SP
교육에서	교육/NNG+에서/JKB
정당한	정당하/VA+ㄴ/ETM
편의	편/NNB+의/JKG
확대	확대/NNG
등의	등/NNB+의/JKG
약속을	약속/NNG+을/JKO
받아냈다	받/VV+아/EC+내/VX+었/EP+다/EF

하지만	하지만/MAJ
수화언어권	수화언어/NNG+권/XSN
공대위가	공대위/NNP+가/JKS
계속	계속/MAG
요구해왔던	요구하/VV+여/EC+오/VX+았/EP+던/ETM
농교육의	농교육/NNG+의/JKG
근본적인	근본적/NNG+이/VCP+ㄴ/ETM
개선,	개선/NNG+,/SP
일반교과에	일반교과/NNG+에/JKB
제2외국어처럼	제/XPN+2/SN+외국어/NNG+처럼/JKB
수화	수화/NNG
채택	채택/NNG
등에	등/NNB+에/JKB
대해서는	대하/VV+여서/EC+는/JX
아직도	아직/MAG+도/JX
묵묵부답인	묵묵부답/NNG+이/VCP+ㄴ/ETM
상태	상태/NNG

장애인차별금지추진연대	장애인차별금지추진연대/NNG
박김영희	박김영희/NNP
사무국장은	사무국/NNG+장/XSN+은/JX
“5개월동안	“5/SN+개월/NNB+동안/NNG
수화공대위	수화공대위/NNG
활동을	활동/NNG+을/JKO
해오면서	하/VV+여/EC+오/VX+면서/EC
일반	일반/NNG
사람들이나	사람/NNG+들/XSN+이나/JC
대중에서는	대중/NNG+에서/JKB+는/JX
인지도가	인지도/NNG+가/JKS
많이	많이/MAG
높아진거	높아지/VV+ㄴ/ETM+거/NNB
같다	같/VA+다/EC

‘맞아,	‘/SL+맞/VV+아/EC+,/SP
수화해야지’	수화하/VV+여야지/EC+’/SN
등	등/NNB
반응이	반응/NNG+이/JKS
좋다”며	좋/VA+다/EC+”/VX+며/EC
“하지만	“하/VA+지만/EC
정부와	정부/NNG+와/JC
국가는	국가/NNG+는/JX
여전히	여전히/MAG
수화언어권을	수화언어/NNG+권/XSN+을/JKO
외면한다	외면하/VV+ㄴ다/EF

대선이	대선/NNG+이/JKS
얼마	얼마/NNG
남지	남/VV+지/EC
않은	않/VX+은/ETM
만큼	만큼/NNB
각	각/MM
후보들에게도	후보/NNG+들/XSN+에게/JKB+도/JX
공약으로	공약/NNG+으로/JKB
채택할	채택하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
요구할	요구하/VV+ㄹ/ETM
것과	것/NNB+과/JC
정부의	정부/NNG+의/JKG
대책마련을	대책마련/NNG+을/JKO
위해	위하/VV+여/EC
계속	계속/MAG
투쟁할	투쟁하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
포부를	포부/NNG+를/JKO
밝혔다	밝히/VV+었/EP+다/EC

한편,	한편/NNG+,/SP
이날	이날/NNG
고사를	고사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
수화언어권	수화언어/NNG+권/XSN
공대위는	공대위/NNP+는/JX
안철수	안철수/NNP
후보	후보/NNG
캠프로	캠프/NNG+로/JKB
이동해	이동하/VV+여/EC
캠프	캠프/NNG
관계자들에게	관계자/NNG+들/XSN+에게/JKB
농아인들의	농아인/NNG+들/XSN+의/JKG
수화언어권	수화언어/NNG+권/XSN
보장의	보장/NNG+의/JKG
필요성과	필요성/NNG+과/JKB
함께	함께/MAG
공약으로	공약/NNG+으로/JKB
채택해줄	채택하/VV+여/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
당부했다	당부하/VV+였/EP+다/EC

이에	이/NP+에/JKB
캠프	캠프/NNG
박인복	박인복/NNP
민원실장은	민원실장/NNG+은/JX
“검토해본	“/SN+검토하/VV+여/EC+보/VX+ㄴ/ETM
후	후/NNG
공약으로	공약/NNG+으로/JKB
채택할	채택하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하겠다”고	노력하/VV+겠/EP+다/EC+”/SN+고/EC
답변했다	답변하/VV+였/EP+다/EF

566년전	566/SN+년/NNB+전/NNG
세종대왕께서	세종/NNP+대왕/NNG+께서/JKS
만드신	만들/VV+시/EP+ㄴ/ETM
한글과	한글/NNG+과/JC
마찬가지로	마찬가지/NNG+로/JKB
수화도	수화/NNG+도/JX
훌륭한	훌륭하/VA+ㄴ/ETM
언어라고	언어/NNG+이/VCP+라고/EC
농인들은	농인/NNG+들/XSN+은/JX
자부한다	자부하/VV+ㄴ다/EF

하지만	하지만/MAJ
35만명	35/SN+만/NR+명/NNB
농인들의	농인/NNG+들/XSN+의/JKG
언어는	언어/NNG+는/JX
이	이/MM
사회에서	사회/NNG+에서/JKB
여전히	여전히/MAG
인정받지	인정받/VV+지/EC
못하고,	못하/VX+고/EC+,/SP
박탈당하고	박탈/NNG+당하/XSV+고/EC
있다	있/VX+다/EC

과연	과연/MAG
농아인들의	농아/NNG+인들/XSN+의/JKG
수화언어	수화언어/NNG
지위보장을	지위보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
투쟁에	투쟁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
끝은	끝/NNG+은/JX
어떻게	어떻/VA+게/EC
매듭지어질까?	매듭짓/VV+어/EC+지/VX+ㄹ까/EF+?/SF
대선후보로	대선후보/NNG+로/JKB
나서는	나서/VV+는/ETM
박근혜,	박근혜/NNP+,/SP
문재인,	문재인/NNP+,/SP
안철수	안철수/NNP
후보는	후보/NNG+는/JX
물론,	물론/MAG+,/SP
여전히	여전히/MAG
미온적인	미온적/NNG+이/VCP+ㄴ/ETM
정부도	정부/NNG+도/JX
이를	이/NP+를/JKO
외면해선	외면하/VV+여서/EC+ㄴ/JX
안된다	안되/VV+ㄴ다/EF

안철수	안철수/NNP
캠프를	캠프/NNG+를/JKO
방문한	방문하/VV+ㄴ/ETM
수화언어	수화언어/NNG
권리	권리/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
