장애인개발원,	장애인개발/NNG+원/XSN+,/SP
B팀은	B/SL+팀/NNG+은/JX
판매	판매/NNG
장소를	장소/NNG+를/JKO
여의도	여의도/NNP
한국장애인개발원이	한국/NNP+장애인개발/NNG+원/XSN+이/JKS
있는	있/VA+는/ETM
이룸센터로	이룸센터/NNG+로/JKB
정했다	정하/VV+였/EP+다/EC

아무래도	아무래도/MAG
장애인단체들이	장애인단체/NNG+들/XSN+이/JKS
대거	대거/MAG
입주해	입주하/VV+여/EC
있는만큼	있/VX+는/ETM+만큼/NNB
오가는	오가/VV+는/ETM
사람들조차	사람/NNG+들/XSN+조차/JX
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해와	이해/NNG+와/JC
제품	제품/NNG
판매	판매/NNG
협조가	협조/NNG+가/JKC
잘	잘/MAG
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각했다	생각하/VV+였/EP+다/EC

하지만	하지만/MAJ
결과는	결과/NNG+는/JX
전혀	전혀/MAG
딴	딴/MM
판,	판/NNG+,/SP
6개	6/SN+개/NNB
팀	팀/NNG
중	중/NNB
꼴찌를	꼴찌/NNG+를/JKO
차지했다	차지하/VV+었/EP+다/EC

“주어진	“/SL+주어지/VV+ㄴ/ETM
시간	시간/NNG
중	중/NNB
가장	가장/MAG
많이	많이/MAG
판	팔/VV+ㄴ/ETM
팀에게	팀/NNG+에게/JKB
상품을	상품/NNG+을/JKO
주려고	주/VV+려고/EC
했는데,	하/VX+였/EP+는데/EC+,/SP
6개팀	6/SN+개/NNB+팀/NNG
모두가	모두/NNG+가/JKS
가지고	가지/VV+고/EC
간	가/VV+ㄴ/ETM
제품들을	제품/NNG+들/XSN+을/JKO
다	다/MAG
팔고	팔/VV+고/EC
돌아왔습니다	돌아오/VV+았/EP+습니다/EF

심지어	심지어/MAG
다	다/MAG
팔고	팔/VV+고/EC
12시	12/SN+시/NNB
반에	반/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
팀도	팀/NNG+도/JX
있었습니다	있/VX+었/EP+습니다/EF

내년에도	내년/NNG+에/JKB+도/JX
판매	판매/NNG
워크숍을	워크숍/NNG+을/JKO
한다면	하/VV+ㄴ다면/EC
판매할	판매하/VV+ㄹ/ETM
제품수량을	제품수량/NNG+을/JKO
좀	좀/MAG
더	더/MAG
늘려야	늘리/VV+어야/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같습니다	같/VA+습니다/EC

”결국	”/SN+결국/NNG
많이	많이/MAG
판	팔/VV+ㄴ/ETM
팀이	팀/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
일찍	일찍/MAG
돌아온	돌아오/VV+ㄴ/ETM
팀	팀/NNG
순으로	순/XSN+으로/JKB
순위를	순위/NNG+를/JKO
매겨야	매기/VV+어야/EC
했다고	하/VX+였/EP+다고/EC

워크숍을	워크숍/NNG+을/JKO
시작할	시작하/VV+ㄹ/ETM
당시	당시/NNG
직접	직접/MAG
물건을	물건/NNG+을/JKO
팔아야한다는	팔/VV+아야/EC+하/VX+ㄴ다는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+여/EC
다소	다소/MAG
당황해하던	당황해하/VV+던/ETM
참가자들은	참가자/NNG+들/XSN+은/JX
대부분	대부분/NNG
‘보람됐다’,	‘/SN+보람되/VV+었/EP+다’/EC+,/SP
‘재미있었다’,	‘/SN+재미/NNG+있/VA+었/EP+다’/EC+,/SP
‘의미는	‘/SL+의미는/JX
워크숍이었다	워크숍/NNG+이/VCP+었/EP+다/EF

’는	’/SL+는/JX
등의	등/NNB+의/JKG
긍정적	긍정적/NNG
반응을	반응/NNG+을/JKO
보였다	보이/VV+었/EP+다/EF

이와	이/NP+와/JKB
관련	관련/NNG
한국장애인개발원	한국/NNP+장애인개발/NNG+원/XSN
최대환	최대환/NNP
씨는	씨/NNB+는/JX
“장애인생산품	“/SN+장애인생산품/NNG
관련	관련/NNG
마케팅	마케팅/NNG
전략을	전략/NNG+을/JKO
팀별로	팀/NNG+별/XSN+로/JKB
수립하고,	수립하/VV+고/EC+,/SP
실제	실제/NNG
인근	인근/NNG
지역에	지역/NNG+에/JKB
나가	나가/VV+아/EC
조별로	조별/NNG+로/JKB
할당된	할당되/VV+ㄴ/ETM
장애인생산품을	장애인생산품/NNG+을/JKO
스스로	스스로/MAG
작성한	작성하/VV+ㄴ/ETM
판매	판매/NNG
전략에	전략/NNG+에/JKB
의해	의하/VV+여/EC
판매하고,	판매하/VV+고/EC+,/SP
그	그/MM
결과를	결과/NNG+를/JKO
통해	통하/VV+여/EC
발견한	발견하/VV+ㄴ/ETM
성과	성과/NNG
및	및/MAG
함의를	함의/NNG+를/JKO
상호	상호/MAG
교환함으로써	교환하/VV+ㅁ/ETN+으로써/JKB
직업재활전문가로서	직업재활전문가/NNG+로서/JKB
성장을	성장/NNG+을/JKO
도모케	도모하/VV+게/EC
한다는	하/VX+ㄴ다는/ETM
게	것/NNB+이/JKS
이번	이번/NNG
워크숍의	워크숍/NNG+의/JKG
취지”라며	취지”/NNG+이/VCP+라며/EC
“내년에는	“/SL+내년/NNG+에/JKB+는/JX
판매	판매/NNG
수량을	수량/NNG+을/JKO
늘려야겠다	늘리/VV+어야/EC+하/VX+겠/EP+다/EC

”고	”/SN+고/NNG
말했다	말하/VV+였/EP+다/EC

이번	이번/NNG
워크숍에	워크숍/NNG+에/JKB
참가한	참가하/VV+ㄴ/ETM
박은애(제주	박은애/NNP+(/SS+제주/NNP
혜정원,	혜정원/NNP+,/SP
장애인직업재활시설)	장애인직업재활시설/NNG+)/SS
씨는	씨/NNB+는/JX
“마케팅이	“/SN+마케팅/NNG+이/JKS
현재	현재/MAG
하고	하/VV+고/EC
있는	있/VX+는/ETM
업무와	업무/NNG+와/JC
직접적인	직접적/NNG+이/VCP+ㄴ/ETM
상관은	상관/NNG+은/JX
없지만	없/VA+지만/EC
이번	이번/NNG
워크숍이	워크숍/NNG+이/JKS
여러	여러/MM
모로	모/NNG+로/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같다	같/VA+다/EC

”고	”/SN+고/NNG
말했다	말하/VV+였/EP+다/EC

또,	또/MAG+,/SP
목포	목포/NNP
명도복지관에서	명도복지/NNG+관/XSN+에서/JKB
취업알선을	취업알선/NNG+을/JKO
담당한다는	담당하/VV+ㄴ다는/ETM
한	한/MM
참가자는	참가자/NNG+는/JX
“일단	“/SN+일/NNB+단/XSN
마케팅	마케팅/NNG
과정을	과정/NNG+을/JKO
직접	직접/MAG
체험해봄으로써	체험하/VV+여/EC+보/VX+ㅁ/ETN+으로써/JKB
구매자들의	구매자/NNG+들/XSN+의/JKG
생각을	생각/NNG+을/JKO
알게	알/VV+게/EC
됐고,	되/VV+었/EP+고/EC+,/SP
장애인생산품	장애인생산품/NNG
우선구매에	우선구매/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해도를	이해도/NNG+를/JKO
높이는	높이/VV+는/ETM
데도	데/NNB+도/JX
유효했다	유효하/VA+었/EP+다/EC

”고	”/SN+고/NNG
말했다	말하/VV+였/EP+다/EC

‘2012	‘/SL+2012/SN
중증장애인직업재활지원사업	중증장애인직업재활지원사업/NNG
전문	전문/NNG
인력	인력/NNG
3차	3/SN+차/NNB
보수교육’	보수교육/NNG+’/SN
참가자가	참가자/NNG+가/JKS
길거리로	길거리/NNG+로/JKB
나서	나서/VV+어/EC
일반	일반/NNG
시민들을	시민/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
중증장애인생산품에	중증장애인생산품/NNG+에/JKB
대해	대하/VV+여/EC
설명하고	설명하/VV+고/EC
있다	있/VX+다/EC

‘2012	‘/SL+2012/SN
중증장애인직업재활지원사업	중증장애인직업재활지원사업/NNG
전문	전문/NNG
인력	인력/NNG
3차	3/SN+차/NNB
보수교육’	보수교육/NNG+’/SN
참가자의	참가자/NNG+의/JKG
중증장애인생산품	중증장애인생산품/NNG
설명에	설명/NNG+에/JKB
대해	대하/VV+여/EC
한	한/MM
시민이	시민/NNG+이/JKS
경청하고	경청하/VV+고/EC
있다	있/VX+다/EC

‘2012	‘/SL+2012/SN
중증장애인직업재활지원사업	중증장애인직업재활지원사업/NNG
전문	전문/NNG
인력	인력/NNG
3차	3/SN+차/NNB
보수교육’	보수교육/NNG+’/SN
참가자들이	참가자/NNG+들/XSN+이/JKS
중증장애인생산품	중증장애인생산품/NNG
마케팅	마케팅/NNG
및	및/MAG
직접	직접/MAG
판매를	판매/NNG+를/JKO
위해	위하/VV+여/EC
길거리로	길거리/NNG+로/JKB
나섰다	나서/VV+었/EP+다/EF
