장애인	장애인/NNG
지키지	지키/VV+지/EC
않은	않/VX+은/ETM
결과	결과/NNG

이	이/MM
의원이	의원/NNG+이/JKS
장애인에게	장애인/NNG+에게/JKB
우선	우선/MAG
허가를	허가/NNG+를/JKO
주지	주/VV+지/EC
않은	않/VX+은/ETM
이유를	이유/NNG+를/JKO
관세청에	관세청/NNG+에/JKB
물었지만	묻/VV+었/EP+지만/EC
관세청은	관세청/NNG+은/JX
“수익	“/SL+수익/NNG
규모가	규모/NNG+가/JKS
미미해	미미하/VA+여/EC
입찰,	입찰/NNG+,/SP
경매	경매/NNG
등을	등/NNB+을/JKO
진행할	진행하/VV+ㄹ/ETM
실익이	실익/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
매점?자판기에	매점/NNG+?/SF+자판기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
운영의사를	운영의사/NNG+를/JKO
표명한	표명하/VV+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
없었다”고	없/VA+었/EP+다”고/EC
답변했다	답변하/VV+였/EP+다/EF

하지만	하지만/MAJ
운영현황을	운영현황/NNG+을/JKO
보면	보/VV+면/EC
서울세관	서울/NNP+세관/NNG
매점	매점/NNG
연	연/MM
수익	수익/NNG
2100만원을	2100/SN+만/NR+원/NNB+을/JKO
비롯해,	비롯하/VV+여/EC+,/SP
인천세관	인천/NNP+세관/NNG
900만원,	900/SN+만/NR+원/NNB+,/SP
공항세관도	공항세관/NNG+도/JX
400만원이	400/SN+만/NR+원/NNB+이/JKS
넘었다	넘/VV+었/EP+다/EF

수익금은	수익금/NNG+은/JX
모두	모두/MAG
관세청	관세청/NNG
직원의	직원/NNG+의/JKG
‘후생	‘/SL+후생/NNG
복지’에	복지/NNG+’/XSN+에/JKB
쓰였다	쓰이/VV+었/EP+다/EF

또한	또한/MAG
최근	최근/NNG
5년간	5/SN+년/NNB+간/XSN
장애인에게	장애인/NNG+에게/JKB
입찰,	입찰/NNG+,/SP
경매	경매/NNG
등	등/NNB
공고나	공고/NNG+나/JC
홍보를	홍보/NNG+를/JKO
한	하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있는지	있/VA+는지/EC
물었는지에도	묻/VV+었/EP+는지/EC+에/JKB+도/JX
관세청은	관세청/NNG+은/JX
‘없다’고	‘없/VA+다’고/EC
답했다고	답하/VV+였/EP+다고/EC
이	이/MM
의원은	의원/NNG+은/JX
설명했다	설명하/VV+었/EP+다/EC

이	이/NNP
의원은	의원/NNG+은/JX
“장애인연금을	“/SN+장애인연금/NNG+을/JKO
최고	최고/NNG
많이	많이/MAG
받는	받/VV+는/ETM
장애인이	장애인/NNG+이/JKS
1년에	1/SN+년/NNB+에/JKB
받는	받/VV+는/ETM
돈이	돈/NNG+이/JKS
190만원이	190/SN+만/NR+원/NNB+이/JKS
안되는	안되/VV+는/ETM
것과는	것/NNB+과/JKB+는/JX
대조적인	대조적/NNG+이/VCP+ㄴ/ETM
상황”이라며	상황/NNG+”/SN+이/VCP+라며/EC
“장애인의	“/SL+장애인/NNG+의/JKG
매점,	매점/NNG+,/SP
자판기	자판기/NNG
운영은	운영/NNG+은/JX
생계	생계/NNG
문제이다	문제/NNG+이/VCP+다/EC

직원의	직원/NNG+의/JKG
복리	복리/NNG
후생에	후생/NNG+에/JKB
쓰느라	쓰/VV+느라/EC
장애인의	장애인/NNG+의/JKG
생계를	생계/NNG+를/JKO
빼앗는	빼앗/VV+는/ETM
것과	것/NNB+과/JKB
같다	같/VA+다/EC

매점과	매점/NNG+과/JC
자판기	자판기/NNG
운영을	운영/NNG+을/JKO
장애인에게	장애인/NNG+에게/JKB
넘기는	넘기/VV+는/ETM
것이	것/NNB+이/JKS
어떻겠나”고	어떻/VA+겠/EP+나/EC+”/VV+고/EC
질타했다	질타하/VA+었/EP+다/EC
