현병철,	현병철/NNG+,/SP
국가인권위원장으로	국가인권위원장/NNG+으로/JKB
임명했다	임명하/VV+였/EP+다/EC

연임	연임/NNG
된	되/VV+ㄴ/ETM
현	현/MM
위원장은	위원장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
운영지원과장으로	운영지원과장/NNG+으로/JKB
근무하던	근무하/VV+던/ETM
정모씨와	정/NNP+모/NP+씨/NNB+와/JC
장애차별조사1과장	장애차별조사/NNP+1/SN+과장/NNG
조모씨의	조/NNP+모/NP+씨/NNB+의/JKG
직책을	직책/NNG+을/JKO
맞바꾸는	맞바꾸/VV+는/ETM
인사를	인사/NNG+를/JKO
단행했다	단행하/VV+였/EP+다/EF

정씨는	정/NNP+씨/NNB+는/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
인권위에서	인권위/NNG+에서/JKB
농성할	농성하/VV+ㄹ/ETM
당시	당시/NNG
전기	전기/NNG
전원을	전원/NNG+을/JKO
차단하는	차단하/VV+는/ETM
등	등/NNB
인권을	인권/NNG+을/JKO
침해했다는	침해하/VV+였/EP+다는/ETM
비판을	비판/NNG+을/JKO
받은	받/VV+은/ETM
인물로	인물/NNG+로/JKB
지목되어	지목되/VV+어/EC
왔다	오/VX+았/EP+다/EF

한편	한편/MAG
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
인사청문회에	인사청문회/NNG+에/JKB
참석했던	참석하/VV+였/EP+던/ETM
민주통합당	민주통합당/NNP
인사청문위원들은	인사청문위원/NNG+들/XSN+은/JX
현	현/MM
위원장을	위원장/NNG+을/JKO
위원장	위원장/NNG
재직기간	재직기간/NNG
동안	동안/NNG
벌인	벌이/VV+ㄴ/ETM
일부	일부/NNG
위법	위법/NNG
행위와	행위/NNG+와/JC
인사청문회	인사청문회/NNG
거짓	거짓/NNG
자료	자료/NNG
제출	제출/NNG
등을	등/NNB+을/JKO
문제	문제/NNG
삼아	삼/VV+아/EC
검찰에	검찰/NNG+에/JKB
고발한	고발하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF
