화마속	화마속/NNG
싸움을	싸움/NNG+을/JKO
하고	하/VV+고/EC
있어	있/VX+어/EC
어찌	어찌/MAG
될지…"라며	되/VV+ㄹ지/EF+…/SE+"/SS+이/VCP+라며/EC
오열했다	오열하/VV+였/EP+다/EC

wyshik@yna	wyshik/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
