美항공사	美/SL+항공사/NNG
그녀는	그녀/NP+는/JX
항공사에	항공사/NNG+에/JKB
이메일로	이메일/NNG+로/JKB
즉각	즉각/MAG
항의	항의/NNG
서한을	서한/NNG+을/JKO
보냈다	보내/VV+었/EP+다/EF

이	이/MM
소식이	소식/NNG+이/JKS
ABC,	ABC/SL+,/SP
CNN등을	CNN/SL+등/NNB+을/JKO
통해	통하/VV+여/EC
세상에	세상/NNG+에/JKB
알려지자	알려지/VV+자/EC
항공사	항공사/NNG
홈페이지에는	홈페이지/NNG+에/JKB+는/JX
엄청난	엄청나/VA+ㄴ/ETM
량의	량/NNG+의/JKG
항의	항의/NNG
글이	글/NNG+이/JKS
쇄도했다	쇄도하/VV+였/EP+다/EC

페이스북에는	페이스북/NNG+에/JKB+는/JX
2만5천여명,	2/SN+만/NR+5/SN+천/NR+여/XSN+명/NNB+,/SP
트위터에는	트위터/NNG+에/JKB+는/JX
8천여명이	8/SN+천/NR+여/XSN+명/NNB+이/JKS
빠른	빠르/VA+ㄴ/ETM
답을	답/NNG+을/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
항공사	항공사/NNG
측은	측/NNB+은/JX
'연방	'/SS+연방/NNG
교통법에	교통법/NNG+에/JKB
따라	따르/VV+아/EC
비행기가	비행기/NNG+가/JKS
이륙시	이륙/NNG+시/NNB
어떠한	어떠하/VA+ㄴ/ETM
전자	전자/NNG
제품도	제품/NNG+도/JX
사용하지	사용하/VV+지/EC
못한다	못하/VX+ㄴ다/EF

현재	현재/MAG
그	그/MM
당시의	당시/NNG+의/JKG
상황을	상황/NNG+을/JKO
조사	조사/NNG
중이다	중/NNB+이/VCP+다/EC

장애인에게	장애인/NNG+에게/JKB
불편을	불편/NNG+을/JKO
줘서	주/VV+어서/EC
유감이다	유감/NNG+이/VCP+다/EC

답을	답/NNG+을/JKO
하기	하/VV+기/ETN
까지는	까지는/JX
몇	몇/MM
주가	주/NNB+가/JKS
소요될	소요되/VV+ㄹ/ETM
것이다'라는	것/NNB+이/VCP+다/EF+'/SS+라는/ETM
포스팅을	포스팅/NNG+을/JKO
올렸고	올리/VV+었/EP+고/EC
아직은	아직/MAG+은/JX
아무런	아무런/MM
답변을	답변/NNG+을/JKO
듣지	듣/VV+지/EC
못한	못하/VX+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

"(말	"(/SS+말/NNG
못하는)제게	못하/VV+는/ETM+)/SS+제것/NP+이/JKS
아이패드는	아이패드/NNG+는/JX
장난감이	장난감/NNG+이/JKC
아니라	아니/VCN+라/EC
소통	소통/NNG
수단입니다	수단/NNG+이/VCP+ㅂ니다/EC

그동안	그동안/NNG
수없이	수없이/MAG
비행기를	비행기/NNG+를/JKO
타며	타/VV+며/EC
아이패드를	아이패드/NNG+를/JKO
이용했지만	이용하/VV+였/EP+지만/EC
문제가	문제/NNG+가/JKS
없었는데	없/VA+었/EP+는데/EC
이번이	이번/NNG+이/JKS
처음입니다	처음/NNG+이/VCP+ㅂ니다/EC

"그녀는	"/SS+그녀/NP+는/JX
조종사도	조종사/NNG+도/JX
이착륙시	이착륙시/NNG
아이패드를	아이패드/NNG+를/JKO
사용하면서	사용하/VV+면서/EC
장애인에게	장애인/NNG+에게/JKB
쓰지말라고	쓰/VV+지/EC+말/VX+라고/EC
하는	하/VV+는/ETM
것은	것/NNB+은/JX
말이	말/NNG+이/JKS
않된다며	않되/VV+ㄴ다며/EC
빠른	빠르/VA+ㄴ/ETM
답을	답/NNG+을/JKO
촉구하고	촉구하/VV+고/EC
있다	있/VX+다/EC

그녀의	그녀/NP+의/JKG
주장에	주장/NNG+에/JKB
동감하는	동감하/VV+는/ETM
글이	글/NNG+이/JKS
대부분이지만	대부분/NNG+이/VCP+지만/EC
여행객의	여행객/NNG+의/JKG
안전을	안전/NNG+을/JKO
위해	위하/VV+여/EC
전자기기를	전자기기/NNG+를/JKO
사용해서는	사용하/VV+여서/EC+는/JX
안된다는	안되/VV+ㄴ다는/ETM
주장도	주장/NNG+도/JX
많다	많/VA+다/EF

발표의	발표/NNG+의/JKG
향방에	향방/NNG+에/JKB
따라	따르/VV+아/EC
미국에서	미국/NNP+에서/JKB
이	이/MM
논쟁은	논쟁/NNG+은/JX
겉잡을	겉잡/VV+을/ETM
수	수/NNB
없이	없이/MAG
커질	커지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
중론이다	중론/NNG+이/VCP+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
