"2년전	"/SS+2/SN+년/NNB+전/NNG
받아오던	받/VV+아/EC+오/VX+던/ETM
중	중/NNB
그해	그해/NNG
4월에는	4/SN+월/NNB+에/JKB+는/JX
짧은	짧/VA+은/ETM
치마를	치마/NNG+를/JKO
입은	입/VV+은/ETM
여성을	여성/NNG+을/JKO
10여차례나	10/SN+여/XSN+차례/NNG+나/JX
추행한	추행하/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
붙잡혔다	붙잡허/VV+였/EP+다/EF

다행히	다행히/MAG
이	이/MM
학생은	학생/NNG+은/JX
피해자의	피해자/NNG+의/JKG
고소	고소/NNG
취하로	취하/NNG+로/JKB
풀려나	풀려나/VV+아/EC
치료를	치료/NNG+를/JKO
다시	다시/MAG
시작했으나,	시작하/VV+였/EP+으나/EC+,/SP
결국	결국/NNG
4개월	4/SN+개월/NNB
만에	만/NNB+에/JKB
또다시	또다시/MAG
성추행을	성추행/NNG+을/JKO
저질러	저지르/VV+어/EC
1년간의	1/SN+년/NNB+간/XSN+의/JKG
보호관찰	보호관찰/NNG
선고를	선고/NNG+를/JKO
받았다	받/VV+았/EP+다/EC

그러나	그러나/MAJ
이후	이후/NNG
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
약물치료와	약물치료/NNG+와/JC
심리치료에도	심리치료/NNG+에/JKB+도/JX
성도착	성도착/NNG
증상은	증상/NNG+은/JX
개선되지	개선되/VV+지/EC
않았다	않/VX+았/EP+다/EF

이에	이/NP+에/JKB
의료진과	의료진/NNG+과/JC
부모는	부모/NNG+는/JX
이	이/MM
남성의	남성/NNG+의/JKG
성도착증이	성도착증/NNG+이/JKS
지속될	지속되/VV+ㄹ/ETM
경우	경우/NNG
범법자가	범법자/NNG+가/JKC
될	되/VV+ㄹ/ETM
가능성이	가능성/NNG+이/JKS
크다는	크/VA+다는/ETM
판단에	판단/NNG+에/JKB
따라	따르/VV+아/EC
화학적	화학적/NNG
거세를	거세/NNG+를/JKO
위해	위하/VV+여/EC
'항남성호르몬제(GnRH)'를	'/SS+항남성호르몬제/NNP+(/SS+GnRH/SL+)'/SS+를/JKO
투여하고,	투여하/VV+고/EC+,/SP
심리치료를	심리치료/NNG+를/JKO
병행했다	병행하/VV+였/EP+다/EF

GnRH는	GnRH/SL+는/JX
주로	주로/MAG
성조숙증의	성조숙증/NNG+의/JKG
치료에	치료/NNG+에/JKB
사용되는	사용되/VV+는/ETM
약물로,	약물/NNG+로/JKB+,/SP
1개월에	1/SN+개월/NNB+에/JKB
한번씩	한/MM+번/NNB+씩/XSN
3개월에	3/SN+개월/NNB+에/JKB
걸쳐	걸치/VV+어/EC
이	이/MM
남성에게	남성/NNG+에게/JKB
주사됐다	주사되/VV+었/EP+다/EF

이	이/MM
과정에서	과정/NNG+에서/JKB
환자와	환자/NNG+와/JC
보호자에게	보호자/NNG+에게/JKB
항호르몬제	항호르몬/NNG+제/XSN
투여에	투여/NNG+에/JKB
대해	대하/VV+여/EC
충분히	충분히/MAG
설명하고,	설명하/VV+고/EC+,/SP
병원	병원/NNG
윤리심사위원회를	윤리심사위원회/NNG+를/JKO
거쳤다는	거치/VV+었/EP+다는/ETM
게	것/NNB+이/JKS
의료진의	의료진/NNG+의/JKG
설명이다	설명/NNG+이/VCP+다/EC

의료진은	의료진/NNG+은/JX
화학적	화학적/NNG
거세	거세/NNG
시행	시행/NNG
후	후/NNG
1년	1/SN+년/NNB
뒤	뒤/NNG
투고한	투고하/VV+ㄴ/ETM
논문을	논문/NNG+을/JKO
통해	통하/VV+여/EC
"항남성호르몬제	"/SS+항남성호르몬제/NNP
주사	주사/NNG
후	후/NNG
성욕이	성욕/NNG+이/JKS
줄어들고,	줄어들/VV+고/EC+,/SP
야한	야하/VA+ㄴ/ETM
동영상을	동영상/NNG+을/JKO
보는	보/VV+는/ETM
횟수도	횟수/NNG+도/JX
매일에서	매일/MAG+에서/JKB
1개월에	1/SN+개월/NNB+에/JKB
1~2차례로	1/SN+~/SO+2/SN+차례/NNG+로/JKB
줄어들었다"면서	줄어들/VV+었/EP+다/EF+"/SS+면서/EC
"치료	"/SS+치료/NNG
후	후/NNG
4주와	4/SN+주/NNG+와/JC
12주째에는	12/SN+주/NNB+째/XSN+에/JKB+는/JX
외관상	외관상/NNG
남성적이었던	남성적/NNG+이/VCP+었/EP+던/ETM
환자의	환자/NNG+의/JKG
인상이	인상/NNG+이/JKS
부드러워진	부드럽/VA+어/EC+지/VX+ㄴ/ETM
모습이었다"고	모습/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
평가했다	평가하/VV+였/EP+다/EC

남성호르몬(testosterone)	남성호르몬/NNG+(/SS+testosterone/SL+)/SS
혈중농도는	혈중농도/NNG+는/JX
화학적	화학적/NNG
거세	거세/NNG
전	전/MM
6	6/SN

23	23/SN
ng/㎖에서	ng/SL+//SP+㎖/SW+에서/JKB
퇴원	퇴원/NNG
후	후/NNG
3개월	3/SN+개월/NNB
후에는	후/NNG+에/JKB+는/JX
0	0/SN

48	48/SN
ng/㎖로	ng/SL+//SP+㎖/SW+로/JKB
감소했다	감소하/VV+였/EP+다/EC

우려와	우려/NNG+와/JKB
달리	달리/MAG
약물	약물/NNG
투여에	투여/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
부작용도	부작용/NNG+도/JX
관찰되지	관찰되/VV+지/EC
않았다	않/VX+았/EP+다/EF

의료진은	의료진/NNG+은/JX
"골다공증의	"/SS+골다공증/NNG+의/JKG
위험성에	위험성/NNG+에/JKB
대해	대하/VV+여/EC
X-선	X/SL+-/SO+선/NNG
검사를	검사/NNG+를/JKO
했지만,	하/VV+였/EP+지만/EC+,/SP
이상이	이상/NNG+이/JKS
없다는	없/VA+다는/ETM
정형외과	정형외과/NNG
전문의의	전문의/NNG+의/JKG
자문을	자문/NNG+을/JKO
얻었다"며	얻/VV+었/EP+다/EF+"/SS+며/EC
"거세	"/SS+거세/NNG
이후	이후/NNG
2년이	2/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
지금도	지금/NNG+도/JX
다른	다른/MM
문제없이	문제없이/MAG
성욕이	성욕/NNG+이/JKS
잘	잘/MAG
억제되면서	억제되/VV+면서/EC
생활도	생활/NNG+도/JX
안정됐다"고	안정되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

전문가들은	전문가/NNG+들/XSN+은/JX
2년전	2/SN+년/NNB+전/NNG
화학적	화학적/NNG
거세의	거세/NNG+의/JKG
첫	첫/MM
사례로	사례/NNG+로/JKB
증상	증상/NNG
개선효과를	개선효과/NNG+를/JKO
확인함에	확인하/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
정부의	정부/NNG+의/JKG
화학적	화학적/NNG
거세	거세/NNG
확대	확대/NNG
방안이	방안/NNG+이/JKS
탄력을	탄력/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
내다봤다	내다보/VV+았/EP+다/EF

다만,	다만/MAG+,/SP
이번	이번/NNG
사례가	사례/NNG+가/JKS
국내	국내/NNG
처음인데다	처음/NNG+이/VCP+ㄴ데/EC+다/JX
장기간의	장기간/NNG+의/JKG
연구가	연구/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
점에서	점/NNG+에서/JKB
대규모의	대규모/NNG+의/JKG
환자를	환자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
임상평가	임상평가/NNG
및	및/MAG
안전성	안전성/NNG
확인이	확인/NNG+이/JKS
이뤄져야	이루어지/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
지적했다	지적하/VV+였/EP+다/EF

단국대병원	단국대병원/NNP
정신과	정신과/NNG
임명호	임명호/NNP
교수는	교수/NNG+는/JX
"화학적	"/SS+화학적/NNG
거세	거세/NNG
후	후/NNG
2년째	2/SN+년/NNB+째/XSN
문제행동이	문제행동/NNG+이/JKS
없다는	없/VA+다는/ETM
것은	것/NNB+은/JX
약물의	약물/NNG+의/JKG
효과를	효과/NNG+를/JKO
뒷받침하는	뒷받침하/VV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"윤리적	"/SS+윤리적/NNG
문제와	문제/NNG+와/JC
비용의	비용/NNG+의/JKG
문제만	문제/NNG+만/JX
극복한다면	극복하/VV+ㄴ다면/EC
성범죄	성범죄/NNG
근절	근절/NNG
차원에서	차원/NNG+에서/JKB
화학적	화학적/NNG
거세를	거세/NNG+를/JKO
적극적으로	적극적/NNG+으로/JKB
적용하는	적용하/VV+는/ETM
게	것/NNB+이/JKS
바람직하다"고	바람직하/VA+다/EF+"/SS+고/JKQ
조언했다	조언하/VV+였/EP+다/EF

bio@yna	bio/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
