무가선트램,	무가선트램/NNG+,/SP
도로면과	도로면/NNG+과/JC
차의	차/NNG+의/JKG
바닥높이가	바닥높이/NNG+가/JKS
30~35cm로	30/SN+~/SO+35/SN+cm/SL+로/JKB
매우	매우/MAG
낮고,	낮/VA+고/EC+,/SP
승강장과	승강장/NNG+과/JC
무가선	무가선/NNG
트랩	트랩/NNG
간격도	간격/NNG+도/JX
좁아	좁/VA+아/EC
승하차를	승하차/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
시설	시설/NNG
없이	없이/MAG
유모차,	유모차/NNG+,/SP
휠체어	휠체어/NNG
등도	등/NNB+도/JX
쉽게	쉽/VA+게/EC
오르내릴	오르내리/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
선진국인	선진국/NNG+이/VCP+ㄴ/ETM
프랑스	프랑스/NNP
스트라스부르	스트라스부르/NNP

파리	파리/NNP
니스,	니스/NNP+,/SP
일본	일본/NNP
토야마,	토야마/NNG+,/SP
미국	미국/NNP
텍사스	텍사스/NNP
휴스턴	휴스턴/NNP
등에서는	등/NNB+에서/JKB+는/JX
이미	이미/MAG
일반화된	일반화되/VV+ㄴ/ETM
도심형	도심형/NNG
대중교통수단으로	대중교통수단/NNG+으로/JKB
자리매김했다	자리/NNG+매김하/VV+였/EP+다/EC

우리나라가	우리나라/NNG+가/JKS
20세기	20/SN+세기/NNG
후반에	후반/NNG+에/JKB
버스와	버스/NNG+와/JC
지하철에	지하철/NNG+에/JKB
집중하는	집중하/VV+는/ETM
사이	사이/NNG
선진국들은	선진국/NNG+들/XSN+은/JX
노면전차를	노면전차/NNG+를/JKO
꾸준히	꾸준히/MAG
개량해	개량하/VV+여/EC
대중교통의	대중교통/NNG+의/JKG
활성화	활성화/NNG
접근성을	접근성/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
무가선트램을	무가선트램/NNG+을/JKO
도시의	도시/NNG+의/JKG
중심	중심/NNG
교통수단으로	교통수단/NNG+으로/JKB
마련한	마련하/VV+ㄴ/ETM
것	것/NNB

연구소	연구소/NNG
관계자는	관계자/NNG+는/JX
“무가선트램은	“/SN+무가선트램/NNG+은/JX
도시	도시/NNG
미관	미관/NNG
개선,	개선/NNG+,/SP
에너지	에너지/NNG
절약,	절약/NNG+,/SP
교통체중	교통체/NNG+중/NNB
해소	해소/NNG
등	등/NNB
한층	한층/MAG
품격	품격/NNG
있는	있/VA+는/ETM
도시로	도시/NNG+로/JKB
탈바꿈	탈바꿈/NNG
시키는	시키/VV+는/ETM
대중교통수단”이라고	대중교통수단”/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“현재	“/SL+현재/NNG
국내에서는	국내/NNG+에서/JKB+는/JX
수원,	수원/NNP+,/SP
창원	창원/NNP
등에서	등/NNB+에서/JKB
무가선트램	무가선트램/NNG
도입을	도입/NNG+을/JKO
확정했고,	확정하/VV+였/EP+고/EC+,/SP
서울시	서울시/NNP
등	등/NNB
다수의	다수/NNG+의/JKG
지자체에서	지자체/NNG+에서/JKB
도입	도입/NNG
및	및/MAG
관심을	관심/NNG+을/JKO
보이고	보이/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
“운영으로	“/SL+운영/NNG+으로/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
자자체와	자자체/NNG+와/JC
장애인들의	장애인/NNG+들/XSN+의/JKG
이동권에도	이동/NNG+권/XSN+에/JKB+도/JX
많은	많/VA+은/ETM
변화가	변화/NNG+가/JKS
생겨	생기/VV+어/EC
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
강조했다	강조하/VV+였/EP+다/EC

눈길에서도	눈길/NNG+에서/JKB+도/JX
무가선	무가서/VV+ㄴ/ETM
저상트램이	저상트램/NNG+이/JKS
안전하게	안전하/VA+게/EC
시험운행	시험운행/NNG
중이다	중/NNB+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
경사로를	경사로/NNG+를/JKO
통해	통하/VV+여/EC
안전하고	안전하/VA+고/EC
편리하게	편리하/VA+게/EC
승강장으로	승강장/NNG+으로/JKB
진입	진입/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
무가선	무가선/NNG
저상트램차량	저상트램차량/NNG
내부	내부/NNG
모습	모습/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
무가선	무가선/NNG
저상트램차량	저상트램차량/NNG
장애인	장애인/NNG
좌석	좌석/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
무가선	무가선/NNG
저상트램	저상트램/NNG
과	과/NNG
승강장에	승강장/NNG+에/JKB
고무를	고무/NNG+를/JKO
대면	대/VV+면/EC
간격이	간격/NNG+이/JKS
없어	없/VA+어/EC
휠체어도	휠체어/NNG+도/JX
안전하게	안전하/VA+게/EC
탑승	탑승/NNG
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있다	있/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
세계	세계/NNG
최대	최대/NNG
용량의	용량/NNG+의/JKG
전지(162kwh)를	전지/NNG+(/SS+162/SN+kwh/SL+)/SS+를/JKO
탑재,	탑재/NNG+,/SP
친환경	친/XPN+환경/NNG
에너지로	에너지/NNG+로/JKB
안전하게	안전하/VA+게/EC
달릴수	달리/VV+ㄹ/ETM+수/NNB
있다	있/VA+다/EC

곽재호	곽재호/NNP
한국철도연구소	한국/NNP+철도연구소/NNG
무가선트램	무가선트램/NNG
연구	연구/NNG
단장이	단장/NNG+이/JKS
설명	설명/NNG
해주고	하/VV+여/EC+주/VX+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
무가선	무가선/NNG
전동트램	전동트램/NNG
운전실	운전실/NNG
기계도	기계/NNG+도/JX
복잡하지	복잡하/VA+지/EC
않고	않/VX+고/EC
간단하다	간단하/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
무가선	무가선/NNG
저상트램을	저상트램/NNG+을/JKO
외국에서도	외국/NNG+에서/JKB+도/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
안전하게	안전하/VA+게/EC
탑승	탑승/NNG
하고	하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
