개통한	개통하/VV+ㄴ/ETM
고정형	고정/NNG+형/XSN
리프트’가	리프트/NNG+’/SL+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

승강장에는	승강장/NNG+에/JKB+는/JX
스크린도어가	스크린도어/NNP+가/JKS
설치돼	설치되/VV+어/EC
있고,	있/VX+고/EC+,/SP
7호선	7/SN+호/NNB+선/XSN
환승을	환승/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
엘리베이터가	엘리베이터/NNG+가/JKS
잘	잘/MAG
설치됐다	설치되/VV+었/EP+다/EF

하지만	하지만/MAJ
엘리베이터는	엘리베이터/NNG+는/JX
방문	방문/NNG
당시	당시/NNG
공사	공사/NNG
중으로	중/NNB+으로/JKB
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

특히	특히/MAG
강남구청역에는	강남구청역/NNP+에/JKB+는/JX
엘리베이터가	엘리베이터/NNG+가/JKS
총	총/MM
10대다	10/SN+대/NNB+이/VCP+다/EF

문제는	문제/NNG+는/JX
승강장에서	승강장/NNG+에서/JKB
맞이방으로	맞이방/NNG+으로/JKB
오르내릴	오르내리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
엘리베이터	엘리베이터/NNG
2대를	2/SN+대/NNB+를/JKO
비롯해	비롯하/VV+여/EC
총	총/MM
4대는	4/SN+대/NNB+는/JX
정상가동	정상가동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
반면,	반면/NNG+,/SP
6대는	6/SN+대/NNB+는/JX
아직	아직/MAG
공사	공사/NNG
중으로	중/NNB+으로/JKB
점검했을	점검하/VV+였/EP+을/ETM
때	때/NNG
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
없었다는	없/VA+었/EP+다는/ETM
점이다	점/NNG+이/VCP+다/EC

외부로	외부/NNG+로/JKB
나가는	나가/VV+는/ETM
엘리베이터	엘리베이터/NNG
양방향과	양방향/NNG+과/JC
장애인화장실로	장애인화/NNG+장실/XSN+로/JKB
가는	가/VV+는/ETM
경사로는	경사/NNG+로/JKB+는/JX
조금	조금/MAG
가팔라	가팔/VV+라/EC
수동휠체어	수동휠체어/NNG
장애인의	장애인/NNG+의/JKG
이동을	이동/NNG+을/JKO
초래하고	초래하/VV+고/EC
있었다	있/VX+었/EP+다/EF

시각장애인에게	시각장애인/NNG+에게/JKB
역사를	역사/NNG+를/JKO
안내해	안내하/VV+여/EC
주는	주/VX+는/ETM
점자안내판과	점자안내판/NNG+과/JC
계단	계단/NNG
손잡이에	손잡이/NNG+에/JKB
층수를	층수/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
핸드레일	핸드레일/NNG
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인들에게	시각장애인/NNG+들/XSN+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
그	그/MM
밑에	밑/NNG+에/JKB
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

장애인화장실은	장애인화장실/NNG+은/JX
남녀비장애인화장실	남녀비장애인화장실/NNG
내부에	내부/NNG+에/JKB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

내부는	내부/NNG+는/JX
넓지만	넓/VA+지만/EC
용변기	용변/NNG+기/XSN
등받이가	등받이/NNG+가/JKS
미설치돼	미설치되/VV+어/EC
있고,	있/VX+고/EC+,/SP
휴지걸이는	휴지걸이/NNG+는/JX
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인이	중증장애인/NNG+이/JKS
사용하기에	사용하/VV+기/ETN+에/JKB
높은	높/VA+은/ETM
위치에	위치/NNG+에/JKB
설치돼	설치되/VV+어/EC
있을	있/VX+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
비상호출버튼도	비상호출버튼/NNG+도/JX
도움이	도움/NNG+이/JKS
필요할	필요하/VA+ㄹ/ETM
때	때/NNG
누르기에는	누르/VV+기/ETN+에/JKB+는/JX
적당한	적당하/VA+ㄴ/ETM
위치가	위치/NNG+가/JKC
아니었다	아니/VCN+었/EP+다/EF

남자	남자/NNG
비장애인화장실의	비장애인화장실/NNG+의/JKG
경우	경우/NNG
소변기	소변기/NNG
손잡이가	손잡이/NNG+가/JKS
잘	잘/MAG
설치됐다	설치되/VV+었/EP+다/EF

하지만	하지만/MAJ
소변기가	소변기/NNG+가/JKS
높아	높/VA+아/EC
휠체어장애인은	휠체어장애인/NNG+은/JX
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

■선정릉역=2014년	■/SW+선정릉역/NNG+=/SW+2014/SN+년/NNB
9호선	9/SN+호/NNB+선/XSN
2단계	2/SN+단계/NNG
구간이	구간/NNG+이/JKS
개통되면,	개통되/VV+면/EC+,/SP
9호선으로	9/SN+호/NNB+선/XSN+으로/JKB
환승이	환승/NNG+이/JKS
가능해	가능하/VA+여/EC
진다	지/VX+ㄴ다/EF

승강장에는	승강장/NNG+에/JKB+는/JX
스크린도어가	스크린도어/NNP+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

엘리베이터는	엘리베이터/NNG+는/JX
4대가	4/SN+대/NNB+가/JKS
설치돼	설치되/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
직접	직접/MAG
방문해	방문하/VV+여/EC
점검했을	점검하/VV+였/EP+을/ETM
때	때/NNG
승강장에서	승강장/NNG+에서/JKB
맞이방	맞이방/NNG
양방향	양/MM+방향/NNG
2대만	2/SN+대/NNB+만/JX
운행	운행/NNG
중이었고	중/NNB+이/VCP+었/EP+고/EC
외부와	외부/NNG+와/JKB
연결된	연결되/VV+ㄴ/ETM
엘리베이터	엘리베이터/NNG
2대는	2/SN+대/NNB+는/JX
공사	공사/NNG
중으로	중/NNB+으로/JKB
운행을	운행/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있어	있/VX+어/EC
휠체어장애인의	휠체어장애인/NNG+의/JKG
이동	이동/NNG
불편을	불편/NNG+을/JKO
초래하고	초래하/VV+고/EC
있었다	있/VX+었/EP+다/EF

비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인들에게	시각장애인/NNG+들/XSN+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
점자블록은	점자블록/NNG+은/JX
오른쪽에만	오른쪽/NNG+에/JKB+만/JX
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

남녀비장애인화장실	남녀비장애인화장실/NNG
내부에	내부/NNG+에/JKB
각각	각각/MAG
마련된	마련되/VV+ㄴ/ETM
장애인화장실의	장애인화장실/NNG+의/JKG
내부는	내부/NNG+는/JX
넓고,	넓/VA+고/EC+,/SP
비상호출버튼과	비/XPN+상호출버튼/NNG+과/JC
휴지걸이가	휴지걸이/NNG+가/JKS
사용이	사용/NNG+이/JKS
편한	편하/VA+ㄴ/ETM
위치에	위치/NNG+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

반면	반면/NNG
용변기	용변/NNG+기/XSN
등받이와	등받이/NNG+와/JC
세면대	세면대/NNG
양옆에	양옆/NNG+에/JKB
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

손을	손/NNG+을/JKO
닦고	닦/VV+고/EC
말리는	말리/VV+는/ETM
핸드드라이어기도	핸드드라이어기/NNG+도/JX
용변기	용변/NNG+기/XSN
앞에	앞/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
휠체어장애인의	휠체어장애인/NNG+의/JKG
용변기	용변/NNG+기/XSN
접근을	접근/NNG+을/JKO
방해하고	방해하/VV+고/EC
있었다	있/VX+었/EP+다/EF

시각장애인에게	시각장애인/NNG+에게/JKB
역사를	역사/NNG+를/JKO
안내해	안내하/VV+여/EC
주는	주/VX+는/ETM
점자안내판과	점자안내판/NNG+과/JC
계단	계단/NNG
손잡이에	손잡이/NNG+에/JKB
층수를	층수/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
핸드레일	핸드레일/NNG
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

■왕십리역=왕십리역에서는	■/SW+왕십리역/NNP+=/SW+왕십리역/NNP+에서/JKB+는/JX
2호선과	2/SN+호/NNB+선/XSN+과/JC
5호선,	5/SN+호/NNB+선/XSN+,/SP
중앙선으로	중앙선/NNG+으로/JKB
환승이	환승/NNG+이/JKS
가능했는데	가능하/VA+었/EP+는데/EC
이번	이번/NNG
개통으로	개통/NNG+으로/JKB
인해	인하/VV+여/EC
분당선으로	분당/NNP+선/XSN+으로/JKB
갈아탈	갈아타/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다	되/VV+었/EP+다/EC

여기는	여기/NP+는/JX
엘리베이터가	엘리베이터/NNG+가/JKS
1대로	1/SN+대/NNB+로/JKB
분당선	분당/NNP+선/XSN
환승이	환승/NNG+이/JKS
가능하며,	가능하/VA+며/EC+,/SP
승강장에	승강장/NNG+에/JKB
스크린도어가	스크린도어/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
시각장애인	시각장애인/NNG
등의	등/NNB+의/JKG
추락	추락/NNG
사고를	사고/NNG+를/JKO
미연에	미연/NNG+에/JKB
방지하지	방지하/VV+지/EC
못한다	못하/VX+ㄴ다/EF

■선릉역=승강장에	■/SW+선릉역/NNP+=/SW+승강장/NNG+에/JKB
스크린도어가	스크린도어/NNP+가/JKS
설치돼	설치되/VV+어/EC
있고,	있/VX+고/EC+,/SP
2호선	2/SN+호/NNB+선/XSN
양방향	양/MM+방향/NNG
환승통로에	환승통로/NNG+에/JKB
엘리베이터가	엘리베이터/NNG+가/JKS
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
환승이	환승/NNG+이/JKS
편리하다	편리하/VA+다/EC

한편	한편/MAG
6일	6/SN+일/NNB
점검	점검/NNG
중	중/NNB
만난	만나/VV+ㄴ/ETM
휠체어장애인들은	휠체어장애인/NNG+들/XSN+은/JX
장애인화장실의	장애인화장실/NNG+의/JKG
편의가	편의/NNG+가/JKS
부족하고,	부족하/VA+고/EC+,/SP
공사	공사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
엘리베이터	엘리베이터/NNG
등	등/NNB
때문에	때문/NNB+에/JKB
불편함을	불편하/VA+ㅁ/ETN+을/JKO
토로했다	토로하/VV+였/EP+다/EF

여기에	여기/NP+에/JKB
개통했는데	개통하/VV+였/EP+는데/EC
아직	아직/MAG
공사	공사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
한국철도시설공단의	한국철도시설공단/NNP+의/JKG
무성이한	무성이하/VA+ㄴ/ETM
태도라고	태도/NNG+이/VCP+라고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
역무원들은	역무원/NNG+들/XSN+은/JX
빨리	빨리/MAG
개통을	개통/NNG+을/JKO
하다	하/VV+다/EC
보니	보/VX+니/EC
엘리베이터	엘리베이터/NNG
등의	등/NNB+의/JKG
운행이	운행/NNG+이/JKS
완전하지	완전하/VA+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
장애인을	장애인/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
교통약자들에게	교통약자/NNG+들/XSN+에게/JKB
커다란	커다랗/VA+ㄴ/ETM
불편을	불편/NNG+을/JKO
들여	들이/VV+어/EC
죄송하다고	죄송하/VA+다고/EC
말했다	말하/VV+였/EP+다/EC

서울숲역	서울/NNP+숲역/NNG
남자비장애인화장실의	남자비장애인화장실/NNG+의/JKG
경우	경우/NNG
소변기	소변기/NNG
손잡이가	손잡이/NNG+가/JKS
잘	잘/MAG
설치됐지만	설치되/VV+었/EP+지만/EC
소변기가	소변기/NNG+가/JKS
높아	높/VA+아/EC
휠체어장애인은	휠체어장애인/NNG+은/JX
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
서울숲역	서울/NNP+숲역/NNG
승강장과	승강장/NNG+과/JC
전동차	전동차/NNG
사이의	사이/NNG+의/JKG
공간이	공간/NNG+이/JKS
넓어	넓/VA+어/EC
휠체어	휠체어/NNG
앞바퀴가	앞바퀴/NNG+가/JKS
빠질	빠지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
있다	있/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
압구정로데오역	압구정로데오역/NNP
비장애인화장실	비장애인화장실/NNG
입구에는	입구/NNG+에/JKB+는/JX
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있지만,	있/VX+지만/EC+,/SP
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인들에게	시각장애인/NNG+들/XSN+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
압구정로데오역	압구정로데오역/NNP
장애인화장실은	장애인화장실/NNG+은/JX
남녀비장애인화장실	남녀비장애인화장실/NNG
안에	안/NNG+에/JKB
각각	각각/MAG
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

내부는	내부/NNG+는/JX
넓고,	넓/VA+고/EC+,/SP
용변기	용변/NNG+기/XSN
등받이와	등받이/NNG+와/JC
비상호출버튼이	비/XPN+상호출버튼/NNG+이/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

하지만	하지만/MAJ
휴지걸이는	휴지걸이/NNG+는/JX
미설치된	미설치되/VV+ㄴ/ETM
상태이며,	상태/NNG+이/VCP+며/EC+,/SP
손을	손/NNG+을/JKO
닦고	닦/VV+고/EC
