균도아빠	균도아빠/NNG
실효성	실효성/NNG
있는	있/VA+는/ETM
발달장애인법을	발달장애인법/NNG+을/JKO
제정해달라"고	제정하/VV+여/EC+달/VX+라/EF+"/SS+고/JKQ
호소했다	호소하/VV+었/EP+다/EC

이씨는	이/NNP+씨/NNB+는/JX
"현행법에	"/SS+현행법/NNG+에/JKB
따라	따르/VV+아/EC
부모가	부모/NNG+가/JKS
있는	있/VA+는/ETM
발달장애인은	발달장애인/NNG+은/JX
수급비를	수급비/NNG+를/JKO
받지	받/VV+지/EC
못하기	못하/VX+기/ETN
때문에	때문/NNB+에/JKB
가족이	가족/NNG+이/JKS
모든	모든/MM
고통과	고통/NNG+과/JC
부담을	부담/NNG+을/JKO
짊어질	짊어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"면서	없/VA+다/EF+"/SS+면서/EC
"부양의무제를	"/SS+부양의무제/NNG+를/JKO
폐지해	폐지하/VV+여/EC
발달장애인가족이	발달장애인가족/NNG+이/JKS
정상적인	정상적/NNG+이/VCP+ㄴ/ETM
삶을	삶/NNG+을/JKO
살	살/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야한다"고	하/VX+여야/EC+하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

'부양의무제'란	'/SS+부양의무제/NNG+'/SS+이/VCP+란/ETM
소득이	소득/NNG+이/JKS
최저생계비에	최저생계비/NNG+에/JKB
못	못/MAG
미치는	미치/VV+는/ETM
빈곤층이라도	빈곤층/NNG+이라도/JX
직계	직계/NNG
부양의무자가	부양의무자/NNG+가/JKS
일정부분	일정부분/NNG
소득이	소득/NNG+이/JKS
있거나	있/VA+거나/EC
일정기준	일정기준/NNG
이상의	이상/NNG+의/JKG
재산이	재산/NNG+이/JKS
있으면	있/VA+으면/EC
기초생활수급자가	기초생활수급/NNG+자/XSN+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
한	하/VX+ㄴ/EF
조항이다	조항/NNG+이/VCP+다/EC

이씨는	이/NNP+씨/NNB+는/JX
"발달	"/SS+발달/NNG
장애인도	장애인/NNG+도/JX
뭔가	뭐/NP+이/VCP+ㄴ가/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
세상에	세상/NNG+에/JKB
보여주기	보이/VV+어/EC+주/VX+기/ETN
위해	위하/VV+여/EC
시작한	시작하/VV+ㄴ/ETM
대장정이지만,	대장정/NNG+이/VCP+지만/EC+,/SP
개인적으로는	개인적/NNG+으로/JKB+는/JX
그동안	그동안/NNG
모든	모든/MM
책임을	책임/NNG+을/JKO
안고	안/VV+고/EC
아이를	아이/NNG+를/JKO
돌본	돌보/VV+ㄴ/ETM
균도	균도/NNG
엄마에게	엄마/NNG+에게/JKB
'휴가'를	'/SS+휴가/NNG+'/SS+를/JKO
주기	주/VV+기/ETN
위한	위하/VV+ㄴ/ETM
여행이기도	여행/NNG+이/VCP+기/ETN+도/JX
하다"면서	하/VV+다/EF+"/SS+면서/EC
"발달장애인이	"/SS+발달장애인/NNG+이/JKS
처한	처하/VV+ㄴ/ETM
현실과	현실/NNG+과/JC
가족의	가족/NNG+의/JKG
애환을	애환/NNG+을/JKO
알리기	알리/VV+기/ETN
위해	위하/VV+여/EC
앞으로도	앞/NNG+으로/JKB+도/JX
열심히	열심히/MAG
걷겠다"고	걷/VV+겠/EP+다/EF+"/SS+고/JKQ
전했다	전하/VV+었/EP+다/EC

한편	한편/MAG
지난달	지난달/NNG
5일	5/SN+일/NNB
부산	부산/NNP
기장군청에서	기장군청/NNG+에서/JKB
출발해	출발하/VV+여/EC
기장군	기장군/NNP
고리원자력-울산-포항-울진-삼척-동해-강릉-양양을	고리원자력/NNP+-/SO+울산/NNP+-/SO+포항/NNP+-/SO+울진/NNP+-/SO+삼척/NNP+-/SO+동해/NNP+-/SO+강릉/NNP+-/SO+양양/NNP+을/JKO
거쳐	거치/VV+어/EC
춘천에	춘천/NNP+에/JKB
도착한	도착하/VV+ㄴ/ETM
이씨	이/NNP+씨/NNB
부자는	부자/NNG+는/JX
이제	이제/MAG
가평-남양주-구리를	가평/NNP+-/SO+남양주/NNP+-/SO+구리/NNG+를/JKO
지나,	지나/VV+아/EC+,/SP
오는	오/VV+는/ETM
23일	23/SN+일/NNB
최종	최종/NNG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
종로구	종로구/NNP
보건복지부	보건복지부/NNG
청사에	청사/NNG+에/JKB
도착	도착/NNG
예정이다	예정/NNG+이/VCP+다/EC

rae@yna	rae/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
