장애인활동지원예산	장애인활동지원예산/NNG
몸싸움이	몸싸움/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

기자회견	기자회견/NNG
전	전/MM
국회앞	국회앞/NNG
계단앞에서	계단앞/NNG+에서/JKB
경찰과의	경찰/NNG+과/JKB+의/JKG
몸싸움이	몸싸움/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

기자회견	기자회견/NNG
전	전/MM
국회앞	국회앞/NNG
계단앞에서	계단앞/NNG+에서/JKB
경찰과의	경찰/NNG+과/JKB+의/JKG
몸싸움이	몸싸움/NNG+이/JKS
있었다	있/VA+었/EP+다/EF
