칠곡서	칠곡/NNP+서/JKB
내려두며	내려두/VV+며/EC
'사람을	'/SS+사람/NNG+을/JKO
죽였으니	죽이/VV+었/EP+으니/EC
경찰에	경찰/NNG+에/JKB
신고해달라'고	신고하/VV+여/EC+달/VX+라/EF+'/SS+고/JKQ
했다"고	하/VV+였/EP+다/EF+"/SS+고/JKQ
진술했다	진술하/VV+였/EP+다/EC

경찰은	경찰/NNG+은/JX
범행	범행/NNG
5분만에	5/SN+분만/NNB+에/JKB
현장에	현장/NNG+에/JKB
출동해	출동하/VV+여/EC
가만히	가만히/MAG
서있던	서/VV+어/EC+있/VX+던/ETM
윤씨를	윤/NNP+씨/NNB+를/JKO
현행범으로	현행범/NNG+으로/JKB
체포했다	체포하/VV+였/EP+다/EC

윤씨는	윤/NNP+씨/NNB+는/JX
범행	범행/NNG
뒤	뒤/NNG
다른	다른/MM
행인들에게는	행인/NNG+들/XSN+에게/JKB+는/JX
더	더/MAG
이상	이상/NNG
흉기를	흉기/NNG+를/JKO
휘두르지	휘두르/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
전해졌다	전하/VV+여/EC+지/VX+었/EP+다/EF

경찰	경찰/NNG
한	한/MM
관계자는	관계자/NNG+는/JX
"윤씨는	"/SS+윤/NNP+씨/NNB+는/JX
2008년	2008/SN+년/NNB
지적장애	지적장애/NNG
진단을	진단/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

직업도	직업/NNG+도/JX
친구도	친구/NNG+도/JX
없이	없이/MAG
가족과	가족/NNG+과/JKB
지내온	지내/VV+어/EC+오/VX+ㄴ/ETM
외톨이형"이라고	외톨이/NNG+형/XSN+"/SS+이라고/JKQ
전했다	전하/VV+었/EP+다/EC

윤씨는	윤/NNP+씨/NNB+는/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
가출한	가출하/VV+ㄴ/ETM
뒤	뒤/NNG
여관	여관/NNG
등	등/NNB
왜관	왜관/MAG
주변을	주변/NNG+을/JKO
배회해온	배회하/VV+여/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

경찰은	경찰/NNG+은/JX
지적장애자인	지적장애자/NNG+이/VCP+ㄴ/ETM
윤씨의	윤/NNP+씨/NNB+의/JKG
범행	범행/NNG
동기	동기/NNG
조사에	조사/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다고	있/VX+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

숨진	숨지/VV+ㄴ/ETM
신양은	신양/NNP+은/JX
이날	이날/NNG
왜관역에	왜관역/NNG+에/JKB
여동생을	여동생/NNG+을/JKO
배웅한	배웅하/VV+ㄴ/ETM
후	후/NNG
집으로	집/NNG+으로/JKB
돌아오던	돌아오/VV+던/ETM
길이었다	길/NNG+이/VCP+었/EP+다/EF

신양이	신/NNP+양/NNB+이/JKS
다니는	다니/VV+는/ETM
대학	대학/NNG
학과의	학과/NNG+의/JKG
교수는	교수/NNG+는/JX
"평소	"/SS+평소/NNG
학교와	학교/NNG+와/JC
집만	집/NNG+만/JX
오가고	오가/VV+고/EC
공부을	공부/NNG+을/JKO
열심히	열심히/MAG
하는	하/VV+는/ETM
모범	모범/NNG
대학생인데	대학생/NNG+이/VCP+ㄴ데/EC
변을	변/NNG+을/JKO
당해	당하/VV+여/EC
너무	너무/MAG
안타깝다"고	안타깝/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

경찰은	경찰/NNG+은/JX
정확한	정확하/VA+ㄴ/ETM
사건	사건/NNG
경위를	경위/NNG+를/JKO
조사한	조사하/VV+ㄴ/ETM
후	후/NNG
윤씨에	윤/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
정신감정을	정신감정/NNG+을/JKO
의뢰할	의뢰하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

sunhyung@yna	sunhyung/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
