개장	개장/NNG
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판과	점자표지판/NNG+과/JC
밑바닥에	밑바닥/NNG+에/JKB
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
개선이	개선/NNG+이/JKS
필요해	필요하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

점자표지판과	점자표지판/NNG+과/JKB
점자블록은	점자/VV+블록/EC+은/JX
비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
벽면과	벽면/NNG+과/JC
밑바닥에	밑바닥/NNG+에/JKB
설치해야	설치하/VV+여야/EC
한다	하/VX+ㄴ다/EF

내부를	내부/NNG+를/JKO
살펴보면	살펴보/VV+면/EC
세면대가	세면대/NNG+가/JKS
대형인데다,	대형/NNG+이/VCP+ㄴ데/EC+다/JX+,/SP
손잡이가	손잡이/NNG+가/JKS
앞으로	앞/NNG+으로/JKB
튀어나와	튀어나오/VV+아/EC
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
변기	변기/NNG
접근을	접근/NNG+을/JKO
방해했다	방해하/VV+었/EP+다/EC

용변기	용변/NNG+기/XSN
양	양/MM
옆에는	옆/NNG+에/JKB+는/JX
상하	상하/NNG
가동식	가동/NNG+식/XSN
손잡이가	손잡이/NNG+가/JKS
설치됐지만,	설치되/VV+었/EP+지만/EC+,/SP
간격이	간격/NNG+이/JKS
넓어	넓/VA+어/EC
사용하는	사용하/VV+는/ETM
데	데/NNB
불편함이	불편하/VA+ㅁ/ETN+이/JKS
있다	있/VA+다/EF

또한	또한/MAG
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
용변을	용변/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
기댈	기대/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
용변기	용변/NNG+기/XSN
등받이는	등받이/NNG+는/JX
잘	잘/MAG
설치된	설치되/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
비상호출버튼과	비/XPN+상호출버튼/NNG+과/JC
휴지걸이는	휴지걸이/NNG+는/JX
없었다	없/VA+었/EP+다/EF

남자비장애인화장실의	남자비장애인화장실/NNG+의/JKG
경우	경우/NNG
소변기	소변기/NNG
양옆에	양옆/NNG+에/JKB
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
목발을	목발/NNG+을/JKO
이용하는	이용하/VV+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
안전하게	안전하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
엘리베이터	엘리베이터/NNG
앞과	앞/NNG+과/JC
각각의	각각/NNG+의/JKG
출입문	출입문/NNG
앞에는	앞/NNG+에/JKB+는/JX
시각장애인들의	시각장애인/NNG+들/XSN+의/JKG
이동을	이동/NNG+을/JKO
돕는	돕/VV+는/ETM
점자블록이	점자블록/NNG+이/JKS
양호하게	양호하/VA+게/EC
설치됐다	설치되/VV+었/EP+다/EF

한편	한편/MAG
롯데마트	롯데마트/NNP
상록점	상록점/NNG
관계자는	관계자/NNG+는/JX
“장애인들의	“/SN+장애인/NNG+들/XSN+의/JKG
불편	불편/NNG
사항을	사항/NNG+을/JKO
고쳐	고치/VV+어/EC
이용에	이용/NNG+에/JKB
불편이	불편/NNG+이/JKS
없도록	없/VA+도록/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

오는	오/VV+는/ETM
29일	29/SN+일/NNB
개장을	개장/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
롯데마트	롯데마트/NNP
상록점	상록점/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장실/NNG
내부	내부/NNG

세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
앞으로	앞/NNG+으로/JKB
튀어나와	튀어나오/VV+아/EC
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
용변기	용변/NNG+기/XSN
접근을	접근/NNG+을/JKO
방해하고	방해하/VV+고/EC
있다	있/VX+다/EC

비상호출버튼,	비상호출버튼/NNG+,/SP
휴지걸이도	휴지걸이/NNG+도/JX
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
남자비장애인화장실의	남자비장애인화장실/NNG+의/JKG
경우	경우/NNG
소변기	소변기/NNG
양옆에	양옆/NNG+에/JKB
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
목발을	목발/NNG+을/JKO
이용하는	이용하/VV+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
안전하게	안전하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

하지만	하지만/MAJ
통로가	통로/NNG+가/JKS
좁아	좁/VA+아/EC
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인의	장애인/NNG+의/JKG
사용	사용/NNG
불편이	불편/NNG+이/JKS
우려된다	우려되/VV+ㄴ다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
