“장애남매	“/SL+장애남매/NNG
복지정책으로	복지정책/NNG+으로/JKB
인해	인하/VV+여/EC
일어난	일어나/VV+ㄴ/ETM
사회적	사회적/NNG
타살”이라고	타살/NNG+”/SL+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC

장애인	장애인/NNG
가족을	가족/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지원정책이	지원정책/NNG+이/JKS
적절하게	적절하/VA+게/EC
이뤄지지	이루어지/VV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
장애인가족의	장애인가족/NNG+의/JKG
해체로	해체/NNG+로/JKB
이어지고,	이어지/VV+고/EC+,/SP
충분히	충분히/MAG
지역	지역/NNG
내에서	내/NNB+에서/JKB
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장애인이	장애인/NNG+이/JKS
방치돼	방치되/VV+어/EC
결국	결국/NNG
정신병원이나	정신병원/NNG+이나/JC
생활시설	생활시설/NNG
등에	등/NNB+에/JKB
수용되는	수용되/VV+는/ETM
악순환이	악순환/NNG+이/JKS
반복	반복/NNG
된다는	되/VV+ㄴ다는/ETM
것	것/NNB

이들은	이/NP+들/XSN+은/JX
또한	또한/MAG
“더	“/SN+더/NNB
이상	이상/NNG
장애인	장애인/NNG
가족의	가족/NNG+의/JKG
비극적인	비극적/NNG+이/VCP+ㄴ/ETM
사태가	사태/NNG+가/JKS
발생하지	발생하/VV+지/EC
않기를	않/VX+기/ETN+를/JKO
원한다”면서	원하/VV+ㄴ다/EC+”/VX+면서/EC
“파주시가	“/SL+파주시/NNP+가/JKS
직접	직접/MAG
나서서	나서/VV+어서/EC
장애인	장애인/NNG
가족의	가족/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
책임지고	책임지/VV+고/EC
부모들의	부모/NNG+들/XSN+의/JKG
요구가	요구/NNG+가/JKS
반영된	반영되/VV+ㄴ/ETM
정책	정책/NNG
실현을	실현/NNG+을/JKO
위해	위하/VV+여/EC
모든	모든/MM
노력을	노력/NNG+을/JKO
다해야	다하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
재발	재발/NNG
방지를	방지/NNG+를/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
가족지원센터	가족지원센터/NNG
지원	지원/NNG
장애인	장애인/NNG
가족	가족/NNG
실태조사	실태조사/NNG
실시	실시/NNG
장애인	장애인/NNG
가족에	가족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중장기	중장기/NNG
지원	지원/NNG
대책	대책/NNG
마련	마련/NNG
장애아동	장애아동/NNG
돌봄지원	돌봄지원/NNG
및	및/MAG
활동보조서비스	활동보조서비스/NNG
확대	확대/NNG
장애인	장애인/NNG
도우미뱅크	도우미뱅크/NNP
설치·운영	설치/NNG+·/SP+운영/NNG
등을	등/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC
