전국의	전국/NNG+의/JKG
ⓒ박종태	ⓒ/SN+박종태/NNP
서울	서울/NNP
관악구에	관악구/NNP+에/JKB
소재한	소재하/VV+ㄴ/ETM
‘함께	‘/SN+함께/MAG
하는	하/VV+는/ETM
세상	세상/NNG
보호작업장(02-876-2842)’	보호작업장/NNG+(/SS+02/SN+-/SO+876/SN+-/SO+2842/SN+)/SS+’/SL
부스	부스/NNG

보호작업장에서는	보호작업장/NNG+에서/JKB+는/JX
십자가,	십자가/NNG+,/SP
책장,	책장/NNG+,/SP
상자,	상자/NNG+,/SP
의자	의자/NNG
등을	등/NNB+을/JKO
장애인들이	장애인/NNG+들/XSN+이/JKS
만들어	만들/VV+어/EC
판매하고	판매하/VV+고/EC
있다	있/VX+다/EC

사진은	사진/NNG+은/JX
박람회장을	박람회장/NNG+을/JKO
찾은	찾/VV+은/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
제품을	제품/NNG+을/JKO
구매하고	구매하/VV+고/EC
있는	있/VX+는/ETM
모습	모습/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
콘센트,	콘센트/NNG+,/SP
조명기구	조명기구/NNG
등을	등/NNB+을/JKO
만들고	만들/VV+고/EC
있는	있/VX+는/ETM
인천	인천/NNP
소재	소재/NNG
인정재활관(032-574-0457)	인정재활관/NNG+(/SS+032/SN+-/SO+574/SN+-/SO+0457/SN+)/SS
부스	부스/NNG

장애인들이	장애인/NNG+들/XSN+이/JKS
박람회장을	박람회장/NNG+을/JKO
찾은	찾/VV+은/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
콘센트	콘센트/NNG
조립을	조립/NNG+을/JKO
선보이고	선보이/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
실로암근로작업장	실로암근로작업장/NNG
부스	부스/NNG

바리스타인	바리스타인/NNG
여성시각장애인들이	여성시각장애인/NNG+들/XSN+이/JKS
커피를	커피/NNG+를/JKO
시연하고	시연하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
