법무부,	법무부/NNG+,/SP
자가	자/NNB+가/JKS
정당한	정당하/VA+ㄴ/ETM
사유	사유/NNG
없이	없이/MAG
권고를	권고/NNG+를/JKO
이행하지	이행하/VV+지/EC
아니하고	아니/VCN+하/VV+고/EC
그	그/MM
피해의	피해/NNG+의/JKG
정도가	정도/NNG+가/JKS
심각하며	심각하/VA+며/EC
공익에	공익/NNG+에/JKB
미치는	미치/VV+는/ETM
영향이	영향/NNG+이/JKS
중대하다고	중대하/VA+다고/EC
인정되는	인정되/VV+는/ETM
경우에	경우/NNG+에/JKB
법무부장관은	법무부장관/NNG+은/JX
피해자의	피해자/NNG+의/JKG
신청이나	신청/NNG+이나/JC
직권으로	직권/NNG+으로/JKB
차별행위를	차별행위/NNG+를/JKO
한	한/MM
자에게	자/NNB+에게/JKB
시정명령을	시정명령/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

수원역	수원역/NNP
앞	앞/NNG
지하도상가는	지하도상/NNG+가/XSN+는/JX
1979년에	1979/SN+년/NNB+에/JKB
완공됐고,	완공되/VV+었/EP+고/EC+,/SP
지하도상가에서	지하도상가/NNG+에서/JKB
지상으로	지상/NNG+으로/JKB
연결되는	연결되/VV+는/ETM
총	총/MM
4개의	4/SN+개/NNB+의/JKG
출입구가	출입구/NNG+가/JKS
모두	모두/MAG
계단으로만	계단/NNG+으로/JKB+만/JX
이루어져	이루어지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
이동편의시설이	이동편의시설/NNG+이/JKS
없어	없/VA+어/EC
휠체어를	휠체어/NNG+를/JKO
사용하는	사용하/VV+는/ETM
장애인들은	장애인/NNG+들/XSN+은/JX
지하도	지하도/NNG
및	및/MAG
지하상가에	지하상가/NNG+에/JKB
접근하거나	접근하/VV+거나/EC
이를	이/NP+를/JKO
이용하는	이용하/VV+는/ETM
것이	것/NNB+이/JKS
사실상	사실상/NNG
불가능하다	불가능하/VA+다/EC

인권위는	인권위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
8월9일	8/SN+월/NNB+9/SN+일/NNB
수원역	수원역/NNP
앞	앞/NNG
지하도	지하도/NNG
및	및/MAG
지하상가로	지하상가/NNG+로/JKB
접근하는	접근하/VV+는/ETM
출입구에	출입구/NNG+에/JKB
이동편의시설을	이동편의시설/NNG+을/JKO
설치하지	설치하/VV+지/EC
않아	않/VX+아/EC
휠체어를	휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
접근하거나	접근하/VV+거나/EC
이용하지	이용하/VV+지/EC
못하게	못하/VX+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
장애인차별금지법	장애인차별금지법/NNG
제19조	제/XPN+19/SN+조/NR
제4항	제/XPN+4/SN+항/NNG
위반의	위반/NNG+의/JKG
차별에	차별/NNG+에/JKB
해당하므로	해당하/VV+므로/EC
수원시장에게	수원시장/NNG+에게/JKB
수원역	수원역/NNP
앞	앞/NNG
지하도	지하도/NNG
1번	1/SN+번/NNB
출구에	출구/NNG+에/JKB
승강기를	승강기/NNG+를/JKO
설치할	설치하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
권고했다	권고하/VV+였/EP+다/EC

이후	이후/NNG
수원시장은	수원시장/NNG+은/JX
2010년	2010/SN+년/NNB
7월16일	7/SN+월/NNB+16/SN+일/NNB
인권위	인권위/NNG
권고	권고/NNG
결정전에	결정/NNG+전/XSN+에/JKB
수원역	수원역/NNP
앞	앞/NNG
지하도	지하도/NNG
1번	1/SN+번/NNB
출구에	출구/NNG+에/JKB
승강기를	승강기/NNG+를/JKO
설치하겠다는	설치하/VV+겠/EP+다는/ETM
의견을	의견/NNG+을/JKO
제출했음에도	제출하/VV+였/EP+음/ETN+에/JKB+도/JX
여러	여러/MM
차례	차례/NNG
계획을	계획/NNG+을/JKO
변경해	변경하/VV+여/EC
권고	권고/NNG
이행을	이행/NNG+을/JKO
지연한	지연하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

현재도	현재/NNG+도/JX
2013년	2013/SN+년/NNB
상반기	상반기/NNG
지하도	지하도/NNG
개보수	개보수/NNG
기간에	기간/NNG+에/JKB
승강기를	승강기/NNG+를/JKO
설치한다는	설치하/VV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
밝히고	밝히/VV+고/EC
있지만	있/VX+지만/EC
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
계획을	계획/NNG+을/JKO
제출하지	제출하/VV+지/EC
못하는	못하/VX+는/ETM
등	등/NNB
권고확정	권고확정/NNG
후	후/NNG
약2년이	약/MM+2/SN+년/NNB+이/JKS
경과하였음에도	경과하/VV+였/EP+음/ETN+에/JKB+도/JX
아무런	아무런/MM
조치를	조치/NNG+를/JKO
취하지	취하/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
상황	상황/NNG

이에	이/NP+에/JKB
법무부는	법무부/NNG+는/JX
이해관계인과의	이해관계/NNG+인/XSN+과/JKB+의/JKG
면담,	면담/NNG+,/SP
현장조사	현장조사/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
사건을	사건/NNG+을/JKO
심층적으로	심층/NNG+적/XSN+으로/JKB
조사·검토한	조사/NNG+·/SP+검토하/VV+ㄴ/ETM
후	후/NNG
그	그/MM
결과를	결과/NNG+를/JKO
토대로	토대/NNG+로/JKB
장애인차별시정심의위원회에서	장애인차별시정심의위원회/NNG+에서/JKB
2회에	2/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
심의한	심의하/VV+ㄴ/ETM
결과	결과/NNG
이상과	이상/NNG+과/JKB
같은	같/VA+은/ETM
수원시장의	수원시장/NNG+의/JKG
권고불이행이	권고불이행/NNG+이/JKS
정당한	정당하/VA+ㄴ/ETM
이유가	이유/NNG+가/JKS
없다고	없/VA+다고/EC
판단하고,	판단하/VV+고/EC+,/SP
수원시장은	수원시장/NNG+은/JX
180일	180/SN+일/NNB
이내에	이내/NNG+에/JKB
수원역	수원역/NNP
앞	앞/NNG
지하도	지하도/NNG
1번	1/SN+번/NNB
출구에	출구/NNG+에/JKB
승강기를	승강기/NNG+를/JKO
설치하도록	설치하/VV+도록/EC
시정명령하기로	시정/NNG+명령하/VV+기/ETN+로/JKB
결정했다	결정하/VV+였/EP+다/EC

법무부	법무부/NNG
관계자는	관계자/NNG+는/JX
“향후에도	“/SN+향후/NNG+에/JKB+도/JX
장애인의	장애인/NNG+의/JKG
차별이	차별/NNG+이/JKS
시정될	시정되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
차별금지법의	차별금지법/NNG+의/JKG
이행과정을	이행과정/NNG+을/JKO
지속적으로	지속적/NNG+으로/JKB
점검하고	점검하/VV+고/EC
필요한	필요하/VA+ㄴ/ETM
경우	경우/NNG
피해자의	피해자/NNG+의/JKG
신청이나	신청/NNG+이나/JC
직권으로	직권/NNG+으로/JKB
시정명령을	시정명령/NNG+을/JKO
발할	발하/VV+ㄹ/ETM
예정”이라고	예정”/NNG+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
