'도가니'	'/SS+도가니/NNG+'/SS
증인으로	증인/NNG+으로/JKB
불러	부르/VV+어/EC
비공개	비공개/NNG
신문했다	신문하/VV+였/EP+다/EF

2차	2/SN+차/NNB
피해	피해/NNG
논란을	논란/NNG+을/JKO
낳았던	낳/VV+았/EP+던/ETM
피해자에	피해자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
증인채택은	증인채택/NNG+은/JX
피해자가	피해자/NNG+가/JKS
법정	법정/NNG
출석을	출석/NNG+을/JKO
거부해	거부하/VV+여/EC
취소됐다	취소되/VV+었/EP+다/EF

검찰은	검찰/NNG+은/JX
김씨의	김/NNP+씨/NNB+의/JKG
범행	범행/NNG
일시를	일시/NNG+를/JKO
2005년	2005/SN+년/NNB
4월에서	4/SN+월/NNB+에서/JKB
예비적으로	예비적/NNG+으로/JKB
2004년	2004/SN+년/NNB
4월로	4/SN+월/NNB+로/JKB
변경했다	변경하/VV+였/EP+다/EF

피해자가	피해자/NNG+가/JKS
범행일시를	범행일시/NNG+를/JKO
정확하게	정확하/VA+게/EC
기억하지	기억하/VV+지/EC
못하는	못하/VX+는/ETM
상황에서	상황/NNG+에서/JKB
무죄가	무죄/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
가능성을	가능성/NNG+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
한	한/MM
조치로,	조치/NNG+로/JKB+,/SP
재판부는	재판부/NNG+는/JX
두	두/MM
시점에서	시점/NNG+에서/JKB
성폭행이	성폭행/NNG+이/JKS
이뤄졌을	이루어지/VV+었/EP+을/ETM
가능성을	가능성/NNG+을/JKO
모두	모두/MAG
따져보게	따지/VV+어/EC+보/VX+게/EC
된다	되/VV+ㄴ다/EF

인화학교	인화학교/NNG
성폭력	성폭력/NNG
대책위	대책위/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
부분적으로	부분적/NNG+으로/JKB
공개된	공개되/VV+ㄴ/ETM
공판	공판/NNG
절차를	절차/NNG+를/JKO
지켜보려고	지켜보/VV+려고/EC
방청석을	방청석/NNG+을/JKO
가득	가득/MAG
메웠다	메우/VV+었/EP+다/EF

대책위	대책위/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
공판에	공판/NNG+에/JKB
앞서	앞서/VV+어/EC
광주	광주/NNP
금남로에서	금남로/NNP+에서/JKB
법원까지	법원/NNG+까지/JX
삼보일배와	삼보일배/NNG+와/JC
기자회견을	기자회견/NNG+을/JKO
하고	하/VV+고/EC
공정한	공정하/VA+ㄴ/ETM
재판을	재판/NNG+을/JKO
촉구하기도	촉구하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

sangwon700@yna	sangwon/SL+700/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
