휠체어장애인	휠체어장애인/NNG
필요	필요/NNG
없어	없/VA+어/EC
비장애인화장실로	비장애인화장실/NNG+로/JKB
위치를	위치/NNG+를/JKO
옮겨야	옮기/VV+어야/EC
한다	하/VX+ㄴ다/EF

비장애인화장실	비장애인화장실/NNG
벽면에	벽면/NNG+에/JKB
시각장애인에게	시각장애인/NNG+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판	점자표지/NNG+판/XSN
설치도	설치/NNG+도/JX
필요하다	필요하/VA+다/EC

건물	건물/NNG
계단에는	계단/NNG+에/JKB+는/JX
점자블록이	점자블록/NNG+이/JKS
없을	없/VA+을/ETM
뿐더러,	뿐/NNB+더러/JKB+,/SP
손잡이에	손잡이/NNG+에/JKB
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
개선이	개선/NNG+이/JKS
필요해	필요하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

반면	반면/NNG
4층	4/SN+층/NNG
케이블카	케이블카/NNG
입구의	입구/NNG+의/JKG
경사로는	경사/NNG+로/JKB+는/JX
휠체어장애인이	휠체어장애인/NNG+이/JKS
이용하기에	이용하/VV+기/ETN+에/JKB
편했고,	편하/VV+였/EP+고/EC+,/SP
1층	1/SN+층/NNG
주차장에는	주차장/NNG+에/JKB+는/JX
차량	차량/NNG
주차	주차/NNG
시	시/NNG
경사로를	경사로/NNG+를/JKO
침범하는	침범하/VV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
안전장치가	안전장치/NNG+가/JKS
설치돼	설치되/VV+어/EC
있는	있/VX+는/ETM
등	등/NNB
이용하는	이용하/VV+는/ETM
데	데/NNB
불편이	불편/NNG+이/JKS
없었다	없/VA+었/EP+다/EF

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
4층	4/SN+층/NNG
케이블카	케이블카/NNG
승강장과	승강장/NNG+과/JC
케이블카의	케이블카/NNG+의/JKG
간격이	간격/NNG+이/JKS
없어	없/VA+어/EC
휠체어	휠체어/NNG
바퀴가	바퀴/NNG+가/JKS
빠질	빠지/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
없었다	없/VA+었/EP+다/EF

회사	회사/NNG
관계자는	관계자/NNG+는/JX
"지적한	"/SS+지적하/VV+ㄴ/ETM
사항을	사항/NNG+을/JKO
포함해	포함하/VV+여/EC
장애인이	장애인/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
전부	전부/MAG
고칠	고치/VV+ㄹ/ETM
것"이라면서	것/NNB+"/SS+이/VCP+라면서/EC
"아직	"/SS+아직/MAG
서울시	서울시/NNP
준공검사를	준공검사/NNG+를/JKO
받기	받/VV+기/ETN
전이지만	전/NNG+이/VCP+지만/EC
준공되면	준공되/VV+면/EC
휠체어	휠체어/NNG
및	및/MAG
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
이용이	이용/NNG+이/JKS
가능할	가능하/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이어	이어/MAG
"휠체어장애인	"/SS+휠체어장애인/NNG
등	등/NNB
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
남산	남산/NNP
케이블카에서	케이블카/NNG+에서/JKB
내려	내리/VV+어/EC
남산N타워까지	남산/NNP+N/SL+타워/NNG+까지/JX
갈	가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
공사도	공사/NNG+도/JX
계획하고	계획하/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"서울시	"/SS+서울시/NNP
건축심의에서	건축심의/NNG+에서/JKB
2차	2/SN+차/NNB
공사가	공사/NNG+가/JKS
통과되면	통과되/VV+면/EC
시작될	시작되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

이는	이/NP+는/JX
휠체어장애인을	휠체어장애인/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
중증장애인들에게	중증장애인/NNG+들/XSN+에게/JKB
이용	이용/NNG
제약이	제약/NNG+이/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
케이블카	케이블카/NNG
도착점부터	도착점/NNG+부터/JX
남산N타워까지의	남산/NNP+N/SL+타워/NNG+까지/JX+의/JKG
가파른	가파르/VA+ㄴ/ETM
계단에	계단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개선	개선/NNG
계획으로	계획/NNG+으로/JKB
환경을	환경/NNG+을/JKO
헤치지	헤치/VV+지/EC
않게	않/VX+게/EC
나무를	나무/NNG+를/JKO
깔고,	깔/VV+고/EC+,/SP
엘리베이터	엘리베이터/NNG
및	및/MAG
브리지	브리지/NNG
설치	설치/NNG
공사를	공사/NNG+를/JKO
해	하/VV+여/EC
접근을	접근/NNG+을/JKO
높인다는	높이/VV+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

남산케이블카	남산케이블카/NNP
건물	건물/NNG
4층의	4/SN+층/NNG+의/JKG
경사로를	경사로/NNG+를/JKO
통해	통하/VV+여/EC
승강장	승강장/NNG
접근이	접근/NNG+이/JKS
가능하다	가능하/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
지난달	지난달/NNG
31일	31/SN+일/NNB
최종점점에서	최종점점/NNG+에서/JKB
휠체어장애인이	휠체어장애인/NNG+이/JKS
케이블카	케이블카/NNG
탑승을	탑승/NNG+을/JKO
기다리고	기다리/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
휠체어장애인이	휠체어장애인/NNG+이/JKS
케이블카를	케이블카/NNG+를/JKO
타고	타/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
휠체어장애인이	휠체어장애인/NNG+이/JKS
케이블카를	케이블카/NNG+를/JKO
타고	타/VV+고/EC
남산으로	남산/NNP+으로/JKB
올라가고	올라가/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장실/NNG
내부는	내부/NNG+는/JX
세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
고정식인	고/XPN+정식/NNG+이/VCP+ㄴ/ETM
점	점/NNG
등	등/NNB
때문에	때문/NNB+에/JKB
휠체어장애인의	휠체어장애인/NNG+의/JKG
용변기	용변/NNG+기/XSN
접근	접근/NNG
힘들다	힘들/VA+다/EC

비상호출버튼,	비상호출버튼/NNP+,/SP
휴지걸이,	휴지걸/NNG+이/JKS+,/SP
용변기	용변/NNG+기/XSN
뒤	뒤/NNG
등받이도	등받이/NNG+도/JX
아직	아직/MAG
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장실/NNG
출입문은	출입문/NNG+은/JX
터치식자동문으로	터치식자동문/NNG+으로/JKB
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
출입이	출입/NNG+이/JKS
편리하다	편리하/VA+다/EC

점자블록은	점자블록/NNG+은/JX
잘	잘/MAG
못	못/MAG
설치됐다	설치되/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SN+박종태/NNP
1층	1/SN+층/NNG
경사로	경사/NNG+로/JKB
모습	모습/NNG

차량	차량/NNG
주차	주차/NNG
시	시/NNG
경사로	경사/NNG+로/JKB
침범을	침범/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+여/EC
안전장치가	안전장치/NNG+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
한국삭도공업주식회사는	한국삭도공업주식회사/NNP+는/JX
휠체어장애인을	휠체어장애인/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
케이블카	케이블카/NNG
도착점에서부터	도착점/NNG+에서부터/JKB
남산N타워까지	남산/NNP+N/SL+타워/NNG+까지/JX
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
엘리베이터	엘리베이터/NNG
등을	등/NNB+을/JKO
설치할	설치하/VV+ㄹ/ETM
계획을	계획/NNG+을/JKO
세우고	세우/VV+고/EC
서울시에	서울시/NNP+에/JKB
건축심의를	건축심의/NNG+를/JKO
신청한	신청하/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
남산케이블카	남산케이블카/NNP
4층	4/SN+층/NNG
전망대에서는	전망대/NNG+에서/JKB+는/JX
서울시내	서울/NNP+시내/NNG
전망을	전망/NNG+을/JKO
한눈에	한눈/NNG+에/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
