장애인	장애인/NNG
차별하는	차별하/VV+는/ETM
용어를	용어/NNG+를/JKO
사용하고	사용하/VV+고/EC
있었다	있/VX+었/EP+다/EF

장애인정보문화누리는	장애인정보문화누리/NNG+는/JX
“‘벙어리’라는	“‘/SL+벙어리’/NNG+이/VCP+라는/ETM
용어까지	용어/NNG+까지/JX
사용해가며	사용하/VV+여/EC+가/VX+며/EC
특정	특정/NNG
후보나	후보/NNG+나/JC
정당을	정당/NNG+을/JKO
비하하는	비하하/VV+는/ETM
것은	것/NNB+은/JX
결과적으로	결과적/NNG+으로/JKB
장애인을	장애인/NNG+을/JKO
비하하려는	비하하/VV+려는/ETM
것과	것/NNB+과/JC
무엇이	무엇/NP+이/JKS
다르냐”며	다르/VA+냐/EC+”/SN+며/EC
“농인들이	“/SL+농인/NNG+들/XSN+이/JKS
수화언어를	수화언어/NNG+를/JKO
사용해	사용하/VV+여/EC
소통하는데	소통하/VV+는/ETM+데/NNB
아무런	아무런/MM
문제가	문제/NNG+가/JKS
없음에도	없/VA+음/ETN+에/JKB+도/JX
농인을	농인/NNG+을/JKO
소통이	소통/NNG+이/JKC
안	안/MAG
되는	되/VV+는/ETM
답답한	답답하/VA+ㄴ/ETM
사람으로	사람/NNG+으로/JKB
비유한	비유하/VV+ㄴ/ETM
것은	것/NNB+은/JX
수화를	수화/NNG+를/JKO
비하하려는	비하하/VV+려는/ETM
의도가	의도/NNG+가/JKC
아니냐”고	아니/VCN+냐/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“해당	“/SN+해당/NNG
언론은	언론/NNG+은/JX
물론	물론/MAG
장애인을	장애인/NNG+을/JKO
비하하는	비하하/VV+는/ETM
용어를	용어/NNG+를/JKO
써왔던	쓰/VV+어/EC+오/VX+았/EP+던/ETM
언론들은	언론/NNG+들/XSN+은/JX
용어	용어/NNG
사용으로	사용/NNG+으로/JKB
인해	인하/VV+여/EC
장애인들에게	장애인/NNG+들/XSN+에게/JKB
상처를	상처/NNG+를/JKO
주었던	주/VV+었/EP+던/ETM
행위를	행위/NNG+를/JKO
반성하고,	반성하/VV+고/EC+,/SP
더	더/MAG
이상	이상/NNG
이러한	이러하/VA+ㄴ/ETM
기사가	기사/NNG+가/JKS
만들어지지	만들/VV+어/EC+지/VX+지/EC
않길	않/VX+기/ETN+ㄹ/JKO
촉구한다”고	촉구하/VV+ㄴ다/EC+”/VX+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
