장애인	장애인/NNG
시작했다”며	시작하/VV+였/EP+다/EC+”/VV+며/EC
“이	“/SL+이/JKS
경찰관은	경찰관/NNG+은/JX
영하	영하/NNG
5도가	5/SN+도/NNB+가/JKS
웃도는	웃돌/VV+는/ETM
추운날씨에	추운날/NNP+씨/NNB+에/JKB
땀이	땀/NNG+이/JKS
송글송글	송글송글/MAG
맺힐	맺히/VV+ㄹ/ETM
정도지만	정도/NNG+이/VCP+지만/EC
힘든	힘들/VA+ㄴ/ETM
내색은	내색/NNG+은/JX
커녕	커녕/MAG
오히려	오히려/MAG
웃으며	웃/VV+으며/EC
두	두/MM
모자를	모자/NNG+를/JKO
대했다”고	대하/VV+였/EP+다/EC+”/VV+고/EC
전했다	전하/VV+었/EP+다/EC

Todayhumor님은	Todayhumor/SL+님/XSN+은/JX
“무심코	“/SN+무심코/MAG
지나쳤을	지나치/VA+었/EP+을/ETM
수도	수/NNB+도/JX
있었지만	있/VA+었/EP+지만/EC
적극적으로	적극적/NNG+으로/JKB
나서	나서/VV+어/EC
솔선수범한	솔선수범하/VV+ㄴ/ETM
모습이	모습/NNG+이/JKS
참	참/MAG
훈훈했다”며	훈훈하/VA+었/EP+다/EC+”/VV+며/EC
“날씨는	“/SL+날/NNG+씨/NNB+는/JX
춥지만	춥/VA+지만/EC
마음만큼은	마음/NNG+만큼은/JX
따뜻한	따뜻하/VA+ㄴ/ETM
하루였다”고	하루/NNG+이/VCP+었/EP+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

이	이/MM
글을	글/NNG+을/JKO
읽은	읽/VV+은/ETM
누리꾼들은	누리꾼/NNG+들/XSN+은/JX
‘훈훈해	‘/SN+훈훈해/NNG

춥지만	춥/VA+지만/EC
따뜻할	따뜻하/VA+ㄹ/ETM
것	것/NNB
같다’,	같/VA+다’/EC+,/SP
‘오늘은	‘/SL+오늘/NNG+은/JX
안	안/MAG
추울	춥/VA+ㄹ/ETM
것	것/NNB
같아요’,	같/VA+아요/EC+’/VCP+,/SP
‘(감동받아)	‘/SL+(/SS+감동받/NNG+아/JKV+)/SS
눈물나네요	눈물/NNG+나네요/VV

’,	’/SL+,/SP
‘따뜻한	‘/SN+따뜻하/VA+ㄴ/ETM
경찰관도	경찰관/NNG+도/JX
있어서	있/VA+어서/EC
다행이다’	다행/NNG+이/VCP+다/EC+’/SL
등의	등/NNB+의/JKG
반응을	반응/NNG+을/JKO
보이며	보이/VV+며/EC
눈을	눈/NNG+을/JKO
치운	치우/VV+ㄴ/ETM
경찰관을	경찰관/NNG+을/JKO
칭찬하는	칭찬하/VV+는/ETM
목소리가	목소리/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다	있/VX+다/EC
