'말뿐인	'/SS+말/NNG+뿐/JX+이/VCP+ㄴ/ETM
수	수/NNB
있는	있/VA+는/ETM
자리다	자리/NNG+이/VCP+다/EF

정씨는	정/NNP+씨/NNB+는/JX
해당	해당/NNG
업무	업무/NNG
과장직을	과장직/NNG+을/JKO
수행한	수행하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없으므로	없/VA+으므로/EC
이	이/MM
직책을	직책/NNG+을/JKO
맡을	맡/VV+을/ETM
수	수/NNB
없다	없/VA+다/EF

정씨는	정/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
장애인들이	장애인/NNG+들/XSN+이/JKS
인권위에서	인권위/NNG+에서/JKB
농성할	농성하/VV+ㄹ/ETM
당시	당시/NNG
전기전원을	전기전원/NNG+을/JKO
차단하는	차단하/VV+는/ETM
등	등/NNB
인권을	인권/NNG+을/JKO
침해했다는	침해하/VV+였/EP+다는/ETM
비판을	비판/NNG+을/JKO
받은	받/VV+은/ETM
인물로,	인물/NNG+로/JKB+,/SP
현	현/MM
위원장의	위원장/NNG+의/JKG
최측근으로	최/XPN+측근/NNG+으로/JKB
분류된다	분류되/VV+ㄴ다/EF

인권위의	인권위/NNG+의/JKG
한	한/MM
관계자는	관계자/NNG+는/JX
"현	"/SS+현/MM
위원장이	위원장/NNG+이/JKS
연임	연임/NNG
직후	직후/NNG
혁신을	혁신/NNG+을/JKO
일성으로	일성/NNG+으로/JKB
내세우더니	내세우/VV+더니/EC
가장	가장/MAG
먼저	먼저/MAG
하는	하/VV+는/ETM
일이	일/NNG+이/JKS
자기	자기/NP
사람	사람/NNG
챙기기"라고	챙기/VV+기/ETN+"/SS+라고/JKQ
비판했다	비판하/VV+였/EP+다/EC

현	현/MM
위원장이	위원장/NNG+이/JKS
인권위	인권위/NNG
쇄신을	쇄신/NNG+을/JKO
위해	위하/VV+여/EC
직원들의	직원/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
청취하겠다며	청취하/VV+겠/EP+다며/EC
지난달	지난달/NNG
2일부터	2/SN+일/NNB+부터/JX
20일간	20/SN+일/NNB+간/XSN
실시한	실시하/VV+ㄴ/ETM
직원	직원/NNG
설문조사에서	설문조사/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
'위원장	'/SS+위원장/NNG
사퇴'	사퇴/NNG+'/SS
견해를	견해/NNG+를/JKO
뭉개고	뭉개/VV+고/EC
설문결과를	설문결과/NNG+를/JKO
내부에	내부/NNG+에/JKB
공표하겠다고	공표하/VV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
구설에	구설/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

한	한/MM
인권위	인권위/NNG
직원은	직원/NNG+은/JX
"위원장	"/SS+위원장/NNG
사퇴	사퇴/NNG
의견이	의견/NNG+이/JKS
설문	설문/NNG
목적에	목적/NNG+에/JKB
맞지	맞/VV+지/EC
않는다고	않/VX+는다고/EC
주장하고	주장하/VV+고/EC
있지만	있/VX+지만/EC
내외부의	내/NNB+외부/NNG+의/JKG
반발	반발/NNG
속에	속/NNG+에/JKB
연임됐다면	연임되/VV+었/EP+다면/EC
직원	직원/NNG
의견을	의견/NNG+을/JKO
가감	가감/NNG
없이	없이/MAG
들어야	들/VV+어야/EC
하는	하/VX+는/ETM
게	것/NNB+이/JKS
당연한	당연하/VA+ㄴ/ETM
것	것/NNB
아니냐"며	아니/VCN+냐/EF+"/SS+며/EC
"암담하다	"/SS+암담하/VA+다/EC

이젠	이제/NNG+ㄴ/JX
지칠	지치/VV+ㄹ/ETM
정도"라고	정도/NNG+"/SS+라고/JKQ
푸념했다	푸념하/VV+였/EP+다/EF

현	현/MM
위원장은	위원장/NNG+은/JX
연임	연임/NNG
직후	직후/NNG
취임사에서	취임사/NNG+에서/JKB
"혹독했던	"/SS+혹독하/VV+였/EP+던/ETM
국회	국회/NNG
인사청문회를	인사청문회/NNG+를/JKO
통해	통하/VV+여/EC
인권위에	인권위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민	국민/NNG
신뢰에	신뢰/NNG+에/JKB
금이	금/NNG+이/JKS
가고	가/VV+고/EC
직원들의	직원/NNG+들/XSN+의/JKG
자긍심에	자긍심/NNG+에/JKB
상처가	상처/NNG+가/JKS
나지	나/VV+지/EC
않았을까	않/VX+았/EP+을까/EC
걱정했다"며	걱정하/VV+였/EP+다/EF+"/SS+며/EC
"그간의	"/SS+그간/NNG+의/JKG
지적과	지적/NNG+과/JC
질책을	질책/NNG+을/JKO
겸허히	겸허히/MAG
수용해	수용하/VV+여/EC
국민	국민/NNG
신뢰를	신뢰/NNG+를/JKO
쌓아가겠다"고	쌓/VV+아/EC+가/VX+겠/EP+다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

현	현/MM
위원장의	위원장/NNG+의/JKG
이런	이런/MM
행보와	행보/NNG+와/JKB
달리	달리/MAG
장명숙	장명숙/NNP
상임위원과	상임위원/NNG+과/JC
강명득	강명득/NNP
인권위원은	인권위원/NNG+은/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
경기도	경기도/NNP
평택에	평택/NNP+에/JKB
있는	있/VA+는/ETM
쌍용자동차	쌍용자동차/NNP
해고자와	해고/NNG+자/XSN+와/JC
가족을	가족/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
심리치료센터인	심리치료센터/NNG+이/VCP+ㄴ/ETM
'와락센터'를	'/SS+와락센터/NNG+'/SS+를/JKO
찾았다	찾/VV+았/EP+다/EC

두	두/MM
위원은	위원/NNG+은/JX
쌍용차	쌍용차/NNP
해고사태	해고사태/NNG
해결	해결/NNG
과정에서	과정/NNG+에서/JKB
인권위의	인권위/NNG+의/JKG
역할이	역할/NNG+이/JKS
소극적이었던	소극적/NNG+이/VCP+었/EP+던/ETM
점에	점/NNG+에/JKB
대해	대하/VV+여/EC
유감을	유감/NNG+을/JKO
표하고	표하/VV+고/EC
가족들을	가족/NNG+들/XSN+을/JKO
위로했다	위로하/VV+였/EP+다/EC

쌍용차	쌍용차/NNP
해고사태는	해고사태/NNG+는/JX
용산참사,	용산참사/NNP+,/SP
촛불집회	촛불집회/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
인권위가	인권위/NNG+가/JKS
제	저/NP+의/JKG
역할을	역할/NNG+을/JKO
하지	하/VV+지/EC
못했다는	못하/VX+였/EP+다는/ETM
비판을	비판/NNG+을/JKO
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
사건	사건/NNG
중	중/NNB
하나다	하나/NNG+이/VCP+다/EC

장	장/NNP
상임위원은	상임위원/NNG+은/JX
"가족들을	"/SS+가족/NNG+들/XSN+을/JKO
직접	직접/MAG
만나보니	만나/VV+아/EC+보/VX+니/EC
가슴이	가슴/NNG+이/JKS
먹먹했다"며	먹먹하/VA+었/EP+다/EF+"/SS+며/EC
"인권위에서	"/SS+인권위/NNG+에서/JKB
이들을	이/NP+들/XSN+을/JKO
위해	위하/VV+여/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일이	일/NNG+이/JKS
있는지	있/VA+는지/EC
검토해보겠다"고	검토하/VV+여/EC+보/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

chomj@yna	chomj/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
