의족철인	의족철/NNG+이/VCP+ㄴ/ETM
이후	이후/NNG
27전	27/SN+전/NNG
18승을	18/SN+승/NNB+을/JKO
기록했고,	기록하/VV+였/EP+고/EC+,/SP
우승	우승/NNG
상금만	상금/NNG+만/JX
26억원을	26/SN+억/NR+원/NNB+을/JKO
벌어들여	벌어들이/VV+어/EC
현재	현재/MAG
대한민국	대한민국/NNP
최고의	최고/NNG+의/JKG
경주마다	경주/NNP+마다/JX

이미	이미/MAG
지난해	지난해/NNG
대통령배	대통령배/NNG
2연패를	2/SN+연패/NNG+를/JKO
달성을	달성/NNG+을/JKO
하고	하/VV+고/EC
우승상금	우승상금/NNG
가운데	가운데/NNG
1억원을	1/SN+억/NR+원/NNB+을/JKO
사회복지모금공동회를	사회복지모금공동회/NNG+를/JKO
통해	통하/VV+여/EC
장애인	장애인/NNG
핸드사이클	핸드사이클/NNP
선수	선수/NNG
양정관	양/MM+정관/NNG
씨에게	씨/NNB+에게/JKB
기부한	기부하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
‘당대불패’는	‘/SN+당대불패/NNG+’/SL+는/JX
1억원이	1/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
기부자	기부자/NNG
명예의	명예/NNG+의/JKG
전당인	전당/NNG+이/VCP+ㄴ/ETM
‘아너스	‘/SN+아너스/NNG
소사이어티’에	소사이어티’/NNG+에/JKB
이름을	이름/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
유일한	유일하/VA+ㄴ/ETM
동물이다	동물/NNG+이/VCP+다/EC

‘당대불패’의	‘/SL+당대불패/NNP+’/SL+의/JKG
마주인	마주/NNG+이/VCP+ㄴ/ETM
정영식(55세)씨는	정영식/NNP+(/SS+55/SN+세/NNB+)/SS+씨/NNB+는/JX
난치병을	난치병/NNG+을/JKO
극복하고	극복하/VV+고/EC
재기해	재기해/NNG
대통령배	대통령배/NNG
준우승	준우승/NNG
상금	상금/NNG
절반을	절반/NNG+을/JKO
기부한	기부하/VV+ㄴ/ETM
국내	국내/NNG
최초	최초/NNG
동물명의	동물명/NNG+의/JKG
기부	기부/NNG
1호	1/SN+호/NNB
‘백광’을	‘/SN+백/NR+광/NNB+’/SL+을/JKO
보고	보/VV+고/EC
감명	감명/NNG
받아	받/VV+아/EC
‘사람과	‘/SN+사람/NNG+과/JC
동물의	동물/NNG+의/JKG
아름다운	아름답/VA+ㄴ/ETM
동행이	동행/NNG+이/JKS
가능한	가능하/VA+ㄴ/ETM
세상을	세상/NNG+을/JKO
만들고	만들/VV+고/EC
싶다는	싶/VX+다는/ETM
취지로	취지/NNG+로/JKB
기부를	기부/NNG+를/JKO
시작했으며,	시작하/VV+였/EP+으며/EC+,/SP
앞으로도	앞/NNG+으로/JKB+도/JX
우승	우승/NNG
때마다	때/NNG+마다/JX
나눔에	나누/VV+ㅁ/ETN+에/JKB
나설	나서/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
KRA한국마사회(회장	KRA/SL+한국/NNP+마사회/NNG+(/SS+회장/NNG
장태평)는	장태평/NNP+)/SS+는/JX
12일	12/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
서울경마공원	서울경마공원/NNP
관람대에서	관람대/NNG+에서/JKB
‘당대불패’	‘/SN+당대불패/NNG+’/SL
마주인	마주/NNG+이/VCP+ㄴ/ETM
정영식씨,	정영식/NNP+씨/NNB+,/SP
이준하	이준하/NNP
선수,	선수/NNG+,/SP
서울사회복지공동모금회	서울/NNP+사회복지공동모금/NNG+회/XSN
정진옥	정진옥/NNP
사무처장,	사무처장/NNG+,/SP
에이블복지재단	에이블복지재단/NNP
선동윤	선동윤/NNG
이사장	이사장/NNG
등이	등/NNB+이/JKS
자리한	자리하/VV+ㄴ/ETM
가운데	가운데/NNG
기부금	기부금/NNG
1억원	1/SN+억/NR+원/NNB
전달식과	전달식/NNG+과/JKB
함께	함께/MAG
장애인	장애인/NNG
철인3종	철인/NNP+3/SN+종/NNG
국가대표	국가대표/NNG
이준하(36세,	이준하/NNP+(/SS+36/SN+세/NNB+,/SP
지체장애4급)씨에게	지체장애/NNG+4/SN+급/NNG+)/SS+씨/NNB+에게/JKB
'스포츠	'/SS+스포츠/NNG
의족'을	의족/NNG+'/SS+을/JKO
전달했다	전달하/VV+였/EP+다/EC

'당대불패'의	'/SS+당대불패/NNG+'/SS+의/JKG
마주인	마주/NNG+이/VCP+ㄴ/ETM
정영식씨	정영식/NNP+씨/NNB

이	이/MM
자리에	자리/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
정영식씨는	정영식/NNP+씨/NNB+는/JX
"작년에	"/SS+작년/NNG+에/JKB
이어	잇/VV+어/EC
당대불패가	당대불패/NNG+가/JKS
대통령배	대통령배/NNG
시합까지	시합/NNG+까지/JX
우승하며	우승하/VV+며/EC
3연패를	3/SN+연패/NNG+를/JKO
달성해	달성하/VV+여/EC
대한민국	대한민국/NNP
경마의	경마/NNG+의/JKG
역사에	역사/NNG+에/JKB
기록을	기록/NNG+을/JKO
세우고	세우/VV+고/EC
있다	있/VX+다/EC

이처럼	이/NP+처럼/JKB
여러가지	여러/MM+가지/NNB
큰	크/VA+ㄴ/ETM
기쁨과	기쁨/NNG+과/JC
성과가	성과/NNG+가/JKS
돌아오는	돌아오/VV+는/ETM
것은	것/NNB+은/JX
말운을	말운/NNG+을/JKO
같이	같이/MAG
나누고	나누/VV+고/EC
있기	있/VX+기/ETN
때문"이라며	때문/NNB+"/SS+이/VCP+라며/EC
"올해도	"/SS+올해/NNG+도/JX
상금	상금/NNG
중의	중/NNB+의/JKG
일부를	일부/NNG+를/JKO
어려운	어렵/VA+ㄴ/ETM
이웃들에게	이웃/NNG+들/XSN+에게/JKB
나누었기	나누/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
우승의	우승/NNG+의/JKG
의미가	의미/NNG+가/JKS
더욱	더욱/MAG
커졌다고	커지/VV+었/EP+다고/EC
생각한다"고	생각하/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

서울사회복지공동모금회	서울/NNP+사회복지공동모금/NNG+회/XSN
정진옥	정진옥/NNP
사무처장은	사무처/NNG+장/XSN+은/JX
"정영식씨를	"/SS+정영식/NNP+씨/NNB+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
소중한	소중하/VA+ㄴ/ETM
기부들이	기부/NNG+들/XSN+이/JKS
우리	우리/NP
사회를	사회/NNG+를/JKO
앞으로	앞/NNG+으로/JKB
한	하/VV+ㄴ/ETM
단계	단계/NNG
더	더/MAG
발전시키고,	발전/NNG+시키/XSV+고/EC+,/SP
선진국으로	선진국/NNG+으로/JKB
도약할	도약하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
강조했다	강조하/VV+였/EP+다/EC

선동윤	선동윤/NNG
이사장은	이사장/NNG+은/JX
“전달한	“/SN+전달하/VV+ㄴ/ETM
의족은	의족/NNG+은/JX
대상자의	대상자/NNG+의/JKG
욕구에	욕구/NNG+에/JKB
포커스를	포커스/NNG+를/JKO
집중한	집중하/VV+ㄴ/ETM
맞춤형	맞춤/NNG+형/XSN
의족으로,	의족/NNG+으로/JKB+,/SP
이	이/NNP
씨의	씨/NNB+의/JKG
생활패턴을	생활패턴/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
맞춤	맞춤/NNG
활동형	활동형/NNG
의족”이라고	의족”/NNG+이/VCP+라고/EC
소개한	소개하/VV+ㄴ/ETM
뒤	뒤/NNG
“욕구에	“/SN+욕구/NNG+에/JKB
맞는	맞/VV+는/ETM
나눔	나누/VV+ㅁ/ETN
방식은	방식/NNG+은/JX
만족도가	만족도/NNG+가/JKS
높을	높/VA+을/ETM
수밖에	수/NNB+밖에/JX
없어,	없/VA+어/EC+,/SP
그	그/MM
만큼	만큼/NNB
가치가	가치/NNG+가/JKS
있다	있/VA+다/EC

이	이/NP
같은	같/VA+은/ETM
특화된	특화되/VV+ㄴ/ETM
나눔이	나눔/VX+이/JKS
지속적으로	지속적/NNG+으로/JKB
이뤄지길	이루어지/VV+기/ETN+ㄹ/JKO
기대한다”고	기대하/VV+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

스포츠	스포츠/NNG
의족을	의족/NNG+을/JKO
전달	전달/NNG
받게	받/VV+게/EC
되는	되/VV+는/ETM
이준하씨	이준하/NNP+씨/NNB

이준하	이준하/NNP
씨는	씨/NNB+는/JX
“처음에	“/SL+처음/NNG+에/JKB
전화가	전화/NNG+가/JKS
왔을	오/VV+았/EP+을/ETM
때	때/NNG
경주마가	경주마/NNP+가/JKS
기부자라는	기부자/NNG+이/VCP+라는/ETM
이야기에	이야기/NNG+에/JKB
많이	많이/MAG
놀랐다	놀라/VV+았/EP+다/EC

현재	현재/MAG
회사생활과	회사생활/NNG+과/JC
선수생활을	선수생활/NNG+을/JKO
병행해야	병행하/VV+여야/EC
했기	하/VX+였/EP+기/ETN
때문에	때문/NNB+에/JKB
많이	많이/MAG
힘들었는데	힘들/VA+었/EP+는데/EC
다시	다시/MAG
꿈을	꿈/NNG+을/JKO
향해	향하/VV+여/EC
도전하고	도전하/VV+고/EC
싶다는	싶/VX+다는/ETM
용기가	용기/NNG+가/JKS
생겼다”고	생기/VV+었/EP+다”고/EC
감사의	감사/NNG+의/JKG
마음을	마음/NNG+을/JKO
전했다	전하/VV+었/EP+다/EC

이어	이어/MAG
“세계대회를	“/SN+세계대회/NNG+를/JKO
몇	몇/MM
번	번/NNB
나가보니,	나가/VV+아/EC+보/VX+니/EC+,/SP
수영,	수영/NNG+,/SP
사이클은	사이클/NNG+은/JX
상위권	상위권/NNG
안에	안/NNG+에/JKB
들	들/VV+ㄹ/ETM
자신이	자신/NNG+이/JKS
있는데,	있/VA+는데/EC+,/SP
확실히	확실히/MAG
달리기는	달리/VV+기/ETN+는/JX
부족했다	부족하/VA+었/EP+다/EC

의족을	의족/NNG+을/JKO
하고	하/VV+고/EC
달리는	달리/VV+는/ETM
선수에게는	선수/NNG+에게/JKB+는/JX
의족의	의족/NNG+의/JKG
기능성에	기능성/NNG+에/JKB
따라서	따르/VV+아서/EC
성적이	성적/NNG+이/JKS
좌우될	좌우되/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
상황”이라며	상황”/NNG+이/VCP+라며/EC
“2016년	“/SL+2016/SN+년/NNB
브라질	브라질/NNP
장애인올림픽에서	장애인올림픽/NNG+에서/JKB
철인3종경기가	철인/NNG+3/SN+종경기/NNG+가/JKS
처음으로	처음/NNG+으로/JKB
채택됐는데,	채택되/VV+었/EP+는데/EC+,/SP
이번에	이번/NNG+에/JKB
전달	전달/NNG
받은	받/VV+은/ETM
치타푸씨	치타푸/NNP+씨/NNB
의족(스포츠형	의족/NNG+(/SS+스포츠형/NNG
의족)로	의족/NNG+)/SS+로/JKB
첫	첫/MM
우승을	우승/NNG+을/JKO
하고	하/VV+고/EC
싶다”고	싶/VX+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

이	이/NNP
씨는	씨/NNB+는/JX
고등학교	고등학교/NNG
2학년이던	2/SN+학년/NNG+이/VCP+던/ETM
1994년	1994/SN+년/NNB
10월	10/SN+월/NNB
오른쪽	오른쪽/NNG
다리를	다리/NNG+를/JKO
잃어	잃/VV+어/EC
공군사관학교	공군사관학교/NNG
진학이라는	진학/NNG+이/VCP+라는/ETM
목표가	목표/NNG+가/JKS
산산조각	산산조각/NNG
났다	나/VV+았/EP+다/EC

10년이	10/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
2006년	2006/SN+년/NNB
매형의	매형/NNG+의/JKG
권유로	권유/NNG+로/JKB
운동을	운동/NNG+을/JKO
시작했고,	시작하/VV+였/EP+고/EC+,/SP
꾸준히	꾸준히/MAG
노력한	노력하/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
2009년	2009/SN+년/NNB
국내	국내/NNG
장애인	장애인/NNG
철인3종	철인/NNP+3/SN+종/NNG
국가대표로	국가대표/NNG+로/JKB
선발돼	선발되/VV+어/EC
4년	4/SN+년/NNB
연속	연속/NNG
3관왕을	3/SN+관왕/NNG+을/JKO
차지했다	차지하/VV+었/EP+다/EC

2008년에는	2008/SN+년/NNB+에/JKB+는/JX
국민체육진흥공단이	국민체육진흥공단/NNG+이/JKS
발표한	발표하/VV+ㄴ/ETM
'체육인	'/SS+체육인/NNG
27인'에	27/SN+인/NNG+'/SS+에/JKB
박태환,	박태환/NNP+,/SP
김연아,	김연아/NNP+,/SP
박지성,	박지성/NNP+,/SP
이승엽,	이승엽/NNP+,/SP
이봉주,	이봉주/NNP+,/SP
장미란	장미란/NNP
등	등/NNB
이름만	이름/NNG+만/JX
대면	대/VV+면/EC
누구나	누구/NP+나/JX
아는	알/VV+는/ETM
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
이름을	이름/NNG+을/JKO
올렸다	올리/VV+었/EP+다/EC

현재는	현재/NNG+는/JX
‘2016년	‘/SL+2016/SN+년/NNB
브라질장애인올림픽’	브라질/NNP+장애인올림픽’/NNG
메달	메달/NNG
획득이라는	획득/NNG+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
목표를	목표/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
장기적인	장기적/NNG+이/VCP+ㄴ/ETM
준비를	준비/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

한편	한편/MAG
에이블복지재단은	에이블복지재단/NNP+은/JX
이씨	이/NNP+씨/NNB
이외에도	이외/NNG+에/JKB+도/JX
3명의	3/SN+명/NNB+의/JKG
저소득층	저소득층/NNG
절단	절단/NNG
장애아동을	장애아동/NNG+을/JKO
‘의족	‘/SL+의족/NNG
지원’	지원/NNG+’/SN
대상자로	대상자/NNG+로/JKB
선정한	선정하/VV+ㄴ/ETM
상태로,	상태/NNG+로/JKB+,/SP
이달	이달/NNG
말	말/NNB
지원을	지원/NNG+을/JKO
마칠	마치/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
