'저가항공사,	'/SS+저가항공사/NNG+,/SP
않다”고	않/VX+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“장애인	“/SN+장애인/NNG
승객이	승객/NNG+이/JKS
원할	원하/VV+ㄹ/ETM
경우	경우/NNG
탑승교를	탑승교/NNG+를/JKO
이용하는	이용하/VV+는/ETM
항공편으로	항공편/NNG+으로/JKB
변경해	변경하/VV+여/EC
서비스를	서비스/NNG+를/JKO
제공하고	제공하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

하지만	하지만/MAJ
인권위는	인권위/NNG+는/JX
"A항공의	"/SS+A/SL+항공/NNG+의/JKG
비용절감	비용절감/NNG
정책이	정책/NNG+이/JKS
장애인이	장애인/NNG+이/JKS
안전하고	안전하/VA+고/EC
편리하게	편리하/VA+게/EC
항공기를	항공기/NNG+를/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이동권을	이동/NNG+권/XSN+을/JKO
침해하면서까지	침해하/VV+면서/EC+까지/JX
우선시	우선시/NNG
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
아니며,	아니/VCN+며/EC+,/SP
기차,	기차/NNG+,/SP
선박,	선박/NNG+,/SP
버스	버스/NNG
등과	등/NNB+과/JKB
달리	달리/MAG
항공기만	항공기/NNG+만/JX
휠체어	휠체어/NNG
승강설비	승강설비/NNG
의무화	의무화/NNG
대상	대상/NNG
교통수단에서	교통수단/NNG+에서/JKB
제외할	제외하/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
판단했다	판단하/VV+였/EP+다/EC

또한	또한/MAG
"다른	"/SS+다른/MM
승객들이	승객/NNG+들/XSN+이/JKS
지켜보는	지켜보/VV+는/ETM
가운데	가운데/NNG
휠체어를	휠체어/NNG+를/JKO
사용하는	사용하/VV+는/ETM
장애인을	장애인/NNG+을/JKO
보호자가	보호자/NNG+가/JKS
등에	등/NNG+에/JKB
업고	업/VV+고/EC
항공기를	항공기/NNG+를/JKO
탑승하는	탑승하/VV+는/ETM
경우	경우/NNG
장애인이	장애인/NNG+이/JKS
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수치심과	수치심/NNG+과/JKB
비좁고	비좁/VA+고/EC
경사가	경사/NNG+가/JKS
급한	급하/VA+ㄴ/ETM
스텝	스텝/NNG
카	카/NNG
계단을	계단/NNG+을/JKO
이용하며	이용하/VV+며/EC
발생할	발생하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
안전사고	안전사고/NNG
발생의	발생/NNG+의/JKG
문제	문제/NNG
등도	등/NNB+도/JX
고려해야	고려하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
인권위는	인권위/NNG+는/JX
A항공	A/SL+항공/NNG
대표이사에게	대표이사/NNG+에게/JKB
휠체어	휠체어/NNG
사용	사용/NNG
장애인이	장애인/NNG+이/JKS
항공기를	항공기/NNG+를/JKO
안전하고	안전하/VA+고/EC
편리하게	편리하/VA+게/EC
탑승할	탑승하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
휠체어	휠체어/NNG
승강설비	승강설비/NNG
및	및/MAG
기내용	기내/NNG+용/XSN
휠체어	휠체어/NNG
등을	등/NNB+을/JKO
구비·운영하고,	구비/NNG+·/SP+운영하/VV+고/EC+,/SP
국토해양부	국토해양부/NNP
장관에게는	장관/NNG+에게/JKB+는/JX
관련	관련/NNG
법령을	법령/NNG+을/JKO
개정해	개정하/VV+여/EC
휠체어	휠체어/NNG
승강설비를	승강설비/NNG+를/JKO
항공기	항공기/NNG
탑승	탑승/NNG
편의시설로	편의시설/NNG+로/JKB
의무화할	의무화하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
권고했다	권고하/VV+였/EP+다/EC
