활동지원예산	활동지원예산/NNG
복지부의	복지부/NNG+의/JKG
반대로	반대/NNG+로/JKB
물거품	물거품/NNG
된	되/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있어서	있/VA+어서/EC
이번만은	이번/NNG+만은/JX
꼭	꼭/MAG
예산을	예산/NNG+을/JKO
지켜야	지키/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
질타했다	질타하/VA+었/EP+다/EC

이날	이날/NNG
임채민	임채민/NNG
복지부	복지부/NNG
장관과	장관/NNG+과/JC
1시간	1/SN+시간/NNB
가량	가량/XSN
면담을	면담/NNG+을/JKO
진행한	진행하/VV+ㄴ/ETM
전장연	전장연/NNP
박경석	박경석/NNP
상임공동대표는	상임공동대표/NNG+는/JX
참담한	참담하/VA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
‘복지부의	‘/SN+복지부/NNG+의/JKG
의지가	의지/NNG+가/JKS
부족하단	부족하/VA+단/ETM
것을	것/NNB+을/JKO
확인하는	확인하/VV+는/ETM
자리였을	자리/NNG+이/VCP+었/EP+을/ETM
뿐’이었음을	뿐/NNB+’/SL+이/VCP+었/EP+음/ETN+을/JKO
토로했다	토로하/VV+였/EP+다/EF

박	박/NNP
상임공동대표는	상임공동대표/NNG+는/JX
“복지부	“/SL+복지부/NNG
장관과	장관/NNG+과/JKB
아주	아주/MAG
넓은	넓/VA+은/ETM
회의실에서	회의실/NNG+에서/JKB
1시간정도	1/SN+시간/NNB+정도/NNG
이야기	이야기/NNG
했다	하/VV+였/EP+다/EC

이정도	이/MM+정도/NNG
밖에	밖/NNG+에/JKB
말할	말하/VV+ㄹ/ETM
게	것/NNB+이/JKS
없다	없/VA+다/EC

중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
죽음에	죽음/NNG+에/JKB
그저	그저/MAG
장관은	장관/NNG+은/JX
‘안타깝다’란	‘/SN+안타깝/VA+다/EC+’/SN+이/VCP+란/ETM
말	말/VV+ㄹ/EC
뿐이었다”며	뿐/NNB+이/VCP+었/EP+다/EC+”/VX+며/EC
“치매노인	“치매노인/NNG
등	등/NNB
많은	많/VA+은/ETM
계층을	계층/NNG+을/JKO
고려해야	고려하/VV+여야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
재정의	재정/NNG+의/JKG
문제를	문제/NNG+를/JKO
생각해달라고	생각하/VV+여/EC+달/VX+라고/EC
한다더라	하/VV+ㄴ다더라/EC

그렇게	그렇/VA+게/EC
고려하다간	고려하/VV+다/EC+가/VX+ㄴ/ETM
아무것도	아무것/NNG+도/JX
하지	하/VV+지/EC
못한다	못하/VX+ㄴ다/EF

언제까지	언제/NP+까지/JX
사람이	사람/NNG+이/JKS
죽어가야	죽/VV+어/EC+가/VX+아야/EC
하냐”고	하/VX+냐/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
박	박/NNP
상임공동대표는	상임공동대표/NNG+는/JX
“예산을	“/SN+예산/NNG+을/JKO
꼭	꼭/MAG
지켜달라고	지키/VV+어/EC+달/VX+라고/EC
복지부	복지부/NNG
장관에게	장관/NNG+에게/JKB
강조했다	강조하/VV+였/EP+다/EC

답은	답/NNG+은/JX
노력하겠다고	노력하/VV+겠/EP+다고/EC
하더라”라며	하/VV+더라”/EC+이/VCP+라며/EC
“중증장애인들의	“/SL+중증장애인/NNG+들/XSN+의/JKG
죽음은	죽음/NNG+은/JX
꼭	꼭/MAG
복지부가	복지부/NNG+가/JKS
책임을	책임/NNG+을/JKO
져야	지/VV+어야/EC
한다	하/VX+ㄴ다/EF

예산을	예산/NNG+을/JKO
지킬수	지키/VV+ㄹ/ETM+수/NNB
있도록	있/VA+도록/EC
끝까지	끝/NNG+까지/JX
투쟁하겠다”고	투쟁하/VV+겠/EP+다/EC+”/SN+고/EC
의지를	의지/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF

전장연은	전장연/NNP+은/JX
이날	이날/NNG
하루	하루/NNG
24시간	24/SN+시간/NNB
활동보조를	활동보조/NNG+를/JKO
필요로	필요/NNG+로/JKB
하는	하/VV+는/ETM
중증장애인	중증장애인/NNG
당사자들을	당사자/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
지장을	지장/NNG+을/JKO
찍은	찍/VV+은/ETM
청원서를	청원서/NNG+를/JKO
작성했다	작성하/VV+였/EP+다/EF

총	총/MM
26명의	26/SN+명/NNB+의/JKG
지장이	지장/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
청원서는	청원서/NNG+는/JX
오는	오/VV+는/ETM
23일	23/SN+일/NNB
예결위	예결위/NNG
위원장에게	위원장/NNG+에게/JKB
전달할	전달하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

활동보조	활동보조/NNG
24시간을	24/SN+시간/NNB+을/JKO
요구하는	요구하/VV+는/ETM
장애인	장애인/NNG
모습	모습/NNG

전국장애인차별철폐연대는	전/MM+국장애인차별철폐연대/NNG+는/JX
21일	21/SN+일/NNB
보건복지부	보건복지부/NNG
앞에서	앞/NNG+에서/JKB
긴급	긴급/NNG
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
장애인	장애인/NNG
활동지원제도	활동지원제도/NNG
예산	예산/NNG
증액을	증액/NNG+을/JKO
반대하는	반대하/VV+는/ETM
복지부를	복지부/NNG+를/JKO
향해	향하/VV+여/EC
규탄했다	규탄하/VV+였/EP+다/EF

23일	23/SN+일/NNB
예결위에	예결위/NNG+에/JKB
전달할	전달하/VV+ㄹ/ETM
26명의	26/SN+명/NNB+의/JKG
지장이	지장/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
청원서	청원서/NNG
