박원순,	박원순/NNP+,/SP
국비	국비/NNG
부담까지	부담/NNG+까지/JX
책임지고	책임지/VV+고/EC
그	그/MM
시설을	시설/NNG+을/JKO
짓는	짓/VV+는/ETM
것은	것/NNB+은/JX
쉽지가	쉽/VA+지/EC+가/JX
않다”고	않/VX+다”고/EC
토로했다	토로하/VV+였/EP+다/EF

또한	또한/MAG
박	박/NNP
시장은	시장/NNG+은/JX
“장애인시설이라고	“/SN+장애인시설/NNG+이/VCP+라고/EC
사실상	사실상/NNG
이를	이/NP+를/JKO
반대하는	반대하/VV+는/ETM
것은	것/NNB+은/JX
납득하기	납득하/VV+기/ETN
어렵다	어렵/VA+다/EC

양양군수님께	양양/NNP+군수님/NNG+께/JKB
전화로	전화/NNG+로/JKB
통화해	통화하/VV+여/EC
보려	보/VX+려/EC
했으나	하/VX+였/EP+으나/EC
전화통화에	전화통화/NNG+에/JKB
실패했다”며	실패하/VV+였/EP+다/EC+”/VV+며/EC
“지금이라도	“/SW+지금/NNG+이라도/JX
상고는	상고/NNG+는/JX
취하하시고	취하하/VV+시/EP+고/EC
장애인들을	장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
이	이/MM
시설의	시설/NNG+의/JKG
건축을	건축/NNG+을/JKO
협력해주시는	협력하/VV+여/EC+주시/VX+는/ETM
것은	것/NNB+은/JX
어떠시냐	어떻/VA+시냐/EC

그렇게	그렇/VA+게/EC
해	하/VV+여/EC
주신다면	주/VX+시/EP+ㄴ다면/EC
양양군민들이	양양/NNP+군민/NNG+들/XSN+이/JKS
생산하는	생산하/VV+는/ETM
농수산물,	농수산물/NNG+,/SP
저희들이	저희/NP+들/XSN+이/JKS
팔아드리도록	팔/VV+아/EC+드리/VX+도록/EC
노력하겠다”고	노력하/VV+겠/EP+다/EC+”/SN+고/JKQ
부탁했다	부탁하/VV+였/EP+다/EC

이에	이/NP+에/JKB
네티즌들은	네티즌/NNG+들/XSN+은/JX
“바쁘시겠지만	“/SN+바쁘시/VA+겠/EP+지만/EC
직접	직접/MAG
찾아가	찾아가/VV+아/EC
보시는	보/VX+시/EP+는/ETM
것은	것/NNB+은/JX
어떨까요?	어떻/VA+ㄹ까/EF+요/JX+?/SF
서울시와	서울시/NNP+와/JC
양양군이	양양군/NNP+이/JKS
윈윈할	윈윈하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
좋은	좋/VA+은/ETM
기회인	기회/NNG+이/VCP+ㄴ/ETM
듯	듯/NNB
싶습니다”,	싶/VA+습니다/EC+”/SL+,/SP
“박원순	“/SN+박원순/NNP
시장님	시장/NNG+님/XSN
파이팅”,	파이팅/NNG+”/SN+,/SP
“우리	“/SL+우리/NP
모두	모두/MAG
예비장애인	예비장애인/NNG
입니다	이/VCP+ㅂ니다/EF

이	이/MM
쟁점은	쟁점/NNG+은/JX
감히	감히/MAG
님비현상이라고	님비현상/NNG+이/VCP+라고/EC
보여집니다	보여집니/VV+다/EC

조속히	조속히/MAG
해결	해결/NNG
되길”이라는	되/VV+길/ETN+”/SN+이/VCP+라는/ETM
응원의	응원/NNG+의/JKG
댓글을	댓글/NNG+을/JKO
달았다	달/VV+았/EP+다/EF

한편,	한편/NNG+,/SP
앞서	앞서/MAG
양양군은	양양군/NNP+은/JX
지난해	지난해/NNG
서울시가	서울시/NNP+가/JKS
지으려는	짓/VV+으려는/ETM
하조대해수욕장	하조대/NNP+해수욕장/NNG
장애인숙박시설	장애인숙박시설/NNG
건축을	건축/NNG+을/JKO
지역주민의	지역주민/NNG+의/JKG
건립	건립/NNG
반대	반대/NNG
요구와	요구/NNG+와/JC
숙박시설로	숙박시설/NNG+로/JKB
건축허가를	건축허가/NNG+를/JKO
냈는데,	내/VV+었/EP+는데/EC+,/SP
장애인재활시설이	장애인재활시설/NNG+이/JKS
건립되는	건립되/VV+는/ETM
것으로	것/NNB+으로/JKB
당초	당초/NNG
계획과	계획/NNG+과/JKB
다르다는	다르/VA+다는/ETM
이유를	이유/NNG+를/JKO
들며	들/VV+며/EC
허가가	허가/NNG+가/JKS
난	나/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
돌연	돌연/MAG
취소했다	취소하/VV+였/EP+다/EC

이에	이/NP+에/JKB
서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
양양군을	양양군/NNP+을/JKO
상대로	상대/NNG+로/JKB
‘건축협의	‘/SN+건축협의/NNG
취소처분	취소처분/NNG
취소소송’을	취소소송/NNG+’/SL+을/JKO
제기했으며,	제기하/VV+였/EP+으며/EC+,/SP
법원은	법원/NNG+은/JX
현재	현재/MAG
2심	2/SN+심/NNG
판결까지	판결/NNG+까지/JX
모두	모두/MAG
서울시의	서울시/NNP+의/JKG
손을	손/NNG+을/JKO
들어준	듣/VV+어/EC+주/VX+ㄴ/ETM
상태	상태/NNG

하지만	하지만/MAJ
양양군은	양양군/NNP+은/JX
불복하지	불복하/VA+지/EC
않고	않/VX+고/EC
최근	최근/NNG
대법원에	대법원/NNG+에/JKB
상고장을	상고장/NNG+을/JKO
접수해	접수하/VV+여/EC
법정다툼을	법정다툼/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다	있/VX+다/EC
