장애인단체,	장애인단체/NNG+,/SP
따라	따르/VV+아/EC
제공하지	제공하/VV+지/EC
않아도	않/VX+아도/EC
되는	되/VV+는/ETM
임의사항으로	임의사항/NNG+으로/JKB
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
점자형	점자형/NNG
선거공보물을	선거공보물/NNG+을/JKO
발행	발행/NNG
할	하/VV+ㄹ/ETM
경우	경우/NNG
3배	3/SN+배/NNG
이상	이상/NNG
매수가	매수/NNG+가/JKS
늘어남에도	늘어나/VV+ㅁ에도/EC
불구하고	불구하/VV+고/EC
현재	현재/MAG
매수를	매수/NNG+를/JKO
책자형	책자형/NNG
선거공보물의	선거공보물/NNG+의/JKG
범위로	범위/NNG+로/JKB
한정하고	한정하/VV+고/EC
있어	있/VX+어/EC
실질적으로	실질적/NNG+으로/JKB
제작이	제작/NNG+이/JKS
불가능하다	불가능하/VA+다/EC

공직선거법이	공직선거법/NNG+이/JKS
시각장애	시각장애/NNG
유권자의	유권자/NNG+의/JKG
참정권을	참정권/NNG+을/JKO
적극적으로	적극적/NNG+으로/JKB
보장하고	보장하/VV+고/EC
실현해야	실현하/VV+여야/EC
함에도	하/VX+ㅁ에도/EC
불구하고,	불구하/VV+고/EC+,/SP
현실적으로	현실적/NNG+으로/JKB
시각장애인의	시각장애인/NNG+의/JKG
참정권을	참정권/NNG+을/JKO
제한하고	제한하/VV+고/EC
있는	있/VX+는/ETM
것	것/NNB

이와	이/NP+와/JKB
관련	관련/NNG
국가인권위원회는	국가인권위원회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
공익선거법	공익선거법/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+여/EC
점자형	점자/NNG+형/XSN
선거공보	선거공보/NNG
제공을	제공/NNG+을/JKO
의무화하고	의무화하/VV+고/EC
점자형	점자형/NNG
선거공보	선거공보/NNG
면수	면수/NNG
제한을	제한/NNG+을/JKO
삭제	삭제/NNG
할	하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
권고	권고/NNG
한	하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

기자회견에	기자회견/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
한시련	한시련/NNP
개발지원센터	개발지원센터/NNG
이연주	이연주/NNP
팀장은	팀장/NNG+은/JX
시각장애	시각장애/NNG
유권자로서의	유권자/NNG+로서/JKB+의/JKG
어려움을	어려움/NNG+을/JKO
토로하며,	토로하/VV+며/EC+,/SP
공직선거법	공직선거법/NNG
개정의	개정/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
강조했다	강조하/VV+였/EP+다/EC

이	이/MM
팀장은	팀장/NNG+은/JX
“점자형	“/SN+점자/NNG+형/XSN
공보물을	공보/NNG+물/XSN+을/JKO
제작하는	제작하/VV+는/ETM
사람들도	사람/NNG+들/XSN+도/JX
많지	많/VA+지/EC
않지만,	않/VX+지만/EC+,/SP
실제	실제/NNG
점자공보물로	점자공보물/NNG+로/JKB
제작해도	제작하/VV+여도/EC
문제는	문제/NNG+는/JX
발생한다	발생하/VV+ㄴ다/EC

일반활자를	일반활자/NNG+를/JKO
점자로	점자/NNG+로/JKB
바꾸었을	바꾸/VV+었/EP+을/ETM
때	때/NNG
3배	3/SN+배/NNG
정도	정도/NNG
더	더/MAG
많이	많이/MAG
나오는데	나오/VV+는데/EC
일반	일반/NNG
선거공보물과	선거공보물/NNG+과/JC
면수를	면수/NNG+를/JKO
똑같이	똑같이/MAG
해놓아	하/VV+여/EC+놓/VX+아/EC
실제	실제/NNG
점자형	점자/NNG+형/XSN
공보물을	공보/NNG+물/XSN+을/JKO
받아보아도	받/VV+아/EC+보/VX+아도/EC
1/3의	1/SN+//SP+3/SN+의/JKG
정보만	정보/NNG+만/JX
알	알/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

심지어	심지어/MAG
이해가	이해/NNG+가/JKS
안되	안되/MAG
더	더/MAG
적은	적/VA+은/ETM
정보를	정보/NNG+를/JKO
알수도	알/VV+ㄹ/ETM+수/NNB+도/JX
있다”면서	있/VA+다/EC+”/VV+면서/EC
“헌법에서	“/SL+헌법/NNG+에서/JKB
참정권,	참정권/NNG+,/SP
평등권	평등권/NNG
실현	실현/NNG
보장되어야	보장되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
되어	되/VV+어/EC
있지만	있/VX+지만/EC
우리는	우리/NP+는/JX
매번	매번/MAG
선거	선거/NNG
때마다	때/NNG+마다/JX
보장받지	보장/NNG+받/VV+지/EC
못해왔다”고	못하/VX+여/EC+오/VV+았/EP+다/EC+”/VV+고/EC
현실을	현실/NNG+을/JKO
전했다	전하/VV+었/EP+다/EC

이어	이어/MAG
이	이/MM
팀장은	팀장/NNG+은/JX
“후보자가	“/SN+후보자/NNG+가/JKS
누구인지	누구/NP+이/VCP+ㄴ지/EC
알더라도	알/VV+더라도/EC
실제	실제/NNG
공약이나	공약/NNG+이나/JC
정보들을	정보/NNG+들/XSN+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없으니	없/VA+으니/EC
투표장에	투표장/NNG+에/JKB
가도	가/VV+아도/EC
그냥	그냥/MAG
아무나	아무/NP+나/JX
찍거나	찍/VV+거나/EC
아예	아예/MAG
투표를	투표/NNG+를/JKO
하지	하/VV+지/EC
않는다”며	않/VX+는다/EF+”/VV+며/EC
“시각장애	“/SN+시각장애/NNG
유권자는	유권자/NNG+는/JX
24만명,	24/SN+만/NR+명/NNB+,/SP
이중	이중/NNG
점자를	점자/NNG+를/JKO
통해	통하/VV+여/EC
읽는	읽/VV+는/ETM
시각장애	시각장애/NNG
유권자는	유권자/NNG+는/JX
8만명으로	8/SN+만/NR+명/NNB+으로/JKB
파악됐다	파악되/VV+었/EP+다/EF

8만명의	8/SN+만/NR+명/NNB+의/JKG
참정권을	참정권/NNG+을/JKO
위해서	위하/VV+여서/EC
꼭	꼭/MAG
공직선거법	공직선거법/NNG
개정이	개정/NNG+이/JKS
되었으면	되/VV+었/EP+으면/EC
한다”고	하/VX+ㄴ다”고/EC
목소리	목소리/NNG
높였다	높/VA+었/EP+다/EF

법무법인	법무법인/NNG
지후	지후/NNG
김형준	김형준/NNP
변호사(장애우권익문제연구소	변호사/NNG+(/SS+장애우권익문제연구소/NNG
법률위원)는	법률위원/NNG+)/SS+는/JX
헌법소원	헌법소원/NNG
취지에	취지/NNG+에/JKB
대해	대하/VV+여/EC
설명했다	설명하/VV+었/EP+다/EC

김	김/NNP
변호사는	변호사/NNG+는/JX
“공직선거법	“/SL+공직선거법/NNG
제65조	제/XPN+65/SN+조/NR
4항은	4/SN+항/NNG+은/JX
점자형	점자형/NNG
공보물을	공보/NNG+물/XSN+을/JKO
제작하거나,	제작하/VV+거나/EC+,/SP
만들더라도	만들/VV+더라도/EC
책자형	책자형/NNG
면수	면수/NNG
이내로	이내/NNG+로/JKB
제작하도록	제작하/VV+도록/EC
한다는	하/VX+ㄴ다는/ETM
내용인데,	내용/NNG+이/VCP+ㄴ데/EC+,/SP
과거	과거/NNG
인권위가	인권위/NNG+가/JKS
이	이/MM
조항이	조항/NNG+이/JKS
평등권을	평등권/NNG+을/JKO
침해한다고	침해하/VV+ㄴ다고/EC
해서	하/VV+여서/EC
개정을	개정/NNG+을/JKO
권고했음에도	권고하/VV+였/EP+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
현재	현재/MAG
개정되지	개정되/VV+지/EC
않은	않/VX+은/ETM
상태”라면서	상태”/NNG+이/VCP+라면서/EC
“이	“/SL+이/JKS
규정이	규정/NNG+이/JKS
시각장애인의	시각장애인/NNG+의/JKG
평등권,	평등권/NNG+,/SP
참정권,	참정권/NNG+,/SP
장애인	장애인/NNG
보호	보호/NNG
의무에	의무/NNG+에/JKB
대해	대하/VV+여/EC
위헌	위헌/NNG
소지가	소지/NNG+가/JKS
있어	있/VA+어/EC
헌법소원을	헌법소원/NNG+을/JKO
제기하게	제기하/VV+게/EC
됐다”고	되/VV+었/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

연구소	연구소/NNG
관계자는	관계자/NNG+는/JX
“어제(13일)	“/SN+어제/NNG+(/SS+13/SN+일/NNB+)/SS
온라인으로	온라인/NNG+으로/JKB
헌법재판소에	헌법재판소/NNG+에/JKB
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
헌법소원	헌법소원/NNG
한	한/MM
상태”라면서	상태”/NNG+이/VCP+라면서/EC
"추후	"/SS+추후/NNG
행정소송도	행정소송/NNG+도/JX
함께	함께/MAG
진행할	진행하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전했다	전하/VV+었/EP+다/EC
