'유모차	'/SS+유모차/NNG
말한다	말하/VV+ㄴ다/EF

가이드라인에서는	가이드라인/NNG+에서/JKB+는/JX
'시설	'/SS+시설/NNG
느낌	느낌/NNG
최소화',	최소화/NNG+'/SS+,/SP
'다양한	'/SS+다양하/VA+ㄴ/ETM
이용자	이용자/NNG
고려',	고려/NNG+'/SS+,/SP
'안전한	'/SS+안전하/VA+ㄴ/ETM
환경	환경/NNG
조성',	조성/NNG+'/SS+,/SP
'쾌적하고	'/SS+쾌적하/VA+고/EC
건강한	건강하/VA+ㄴ/ETM
환경	환경/NNG
조성',	조성/NNG+'/SS+,/SP
지역사회와의	지역사회/NNG+와/JKB+의/JKG
소통'	소통/NNG+'/SS
등	등/NNB
크게	크/VA+게/EC
5가지	5/SN+가지/NNB
기본방향을	기본방향/NNG+을/JKO
설정하고	설정하/VV+고/EC
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
노인요양시설,	노인요양시설/NNG+,/SP
아동양육시설,	아동양육시설/NNG+,/SP
어린이집	어린이집/NNG
등	등/NNB
각각의	각각/NNG+의/JKG
특성에	특성/NNG+에/JKB
맞게	맞/VV+게/EC
세부공간	세부공간/NNG
디자인과	디자인과/NNG
공간	공간/NNG
구성	구성/NNG
원칙	원칙/NNG
등을	등/NNB+을/JKO
제시했다	제시하/VV+였/EP+다/EC

서울시는	서울시/NNP+는/JX
가이드라인에서	가이드라인/NNG+에서/JKB
아동양육시설에는	아동양육시설/NNG+에/JKB+는/JX
기존의	기존/NNG+의/JKG
집단	집단/NNG
기숙사가	기숙사/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
소규모	소규모/NNG
공간	공간/NNG
구성의	구성/NNG+의/JKG
'소숙사(小宿舍)형'을	'/SS+소숙사/NNP+(/SS+小宿舍/SL+)/SS+형/XSN+'/SS+을/JKO
권장했다	권장하/VV+였/EP+다/EC

침실,	침실/NNG+,/SP
화장실,	화장실/NNG+,/SP
거실,	거실/NNG+,/SP
부엌	부엌/NNG
등의	등/NNB+의/JKG
공간에서	공간/NNG+에서/JKB
아동이	아동/NNG+이/JKS
집에서	집/NNG+에서/JKB
생활하는	생활하/VV+는/ETM
듯한	듯하/VX+ㄴ/ETM
안정감을	안정감/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하기	하/VX+기/ETN
위해서다	위하/VV+여서다/EC

아울러	아울러/MAG
아동의	아동/NNG+의/JKG
프라이버시를	프라이버시/NNG+를/JKO
고려해	고려하/VV+여/EC
각	각/MM
침실의	침실/NNG+의/JKG
아동	아동/NNG
정원은	정원/NNG+은/JX
3∼4명을	3/SN+∼/SO+4/SN+명/NNB+을/JKO
넘지	넘/VV+지/EC
않도록	않/VX+도록/EC
하고	하/VX+고/EC
중고생에게는	중고생/NNG+에게/JKB+는/JX
될	되/VV+ㄹ/ETM
수	수/NNB
있으면	있/VA+으면/EC
개인실을	개인실/NNG+을/JKO
제공하도록	제공하/VV+도록/EC
했다	하/VX+였/EP+다/EC

취침,	취침/NNG+,/SP
수납,	수납/NNG+,/SP
학습	학습/NNG
등	등/NNB
개별영역을	개별영역/NNG+을/JKO
확보할	확보하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
가구배치	가구배치/NNG
방법도	방법/NNG+도/JX
제시했다	제시하/VV+였/EP+다/EC

2∼7세	2/SN+∼/SO+7/SN+세/NNB
아동의	아동/NNG+의/JKG
겨드랑이	겨드랑이/NNG
높이,	높이/NNG+,/SP
키,	키/NNG+,/SP
눈높이	눈높이/NNG
등	등/NNB
신체	신체/NNG
평균사이즈를	평균사이즈/NNG+를/JKO
반영해	반영하/VV+여/EC
샤워기,	샤워기/NNG+,/SP
수건걸이,	수건걸이/NNG+,/SP
휴지걸이	휴지걸이/NNG
등	등/NNB
각종	각종/NNG
설비의	설비/NNG+의/JKG
설치	설치/NNG
높이를	높이/NNG+를/JKO
정하고,	정하/VV+고/EC+,/SP
바닥으로부터	바닥/NNG+으로부터/JKB
약	약/MM
0	0/SN

4ｍ	4ｍ/SN
높이의	높이/NNG+의/JKG
욕조가	욕조/NNG+가/JKS
있는	있/VA+는/ETM
욕실도	욕실/NNG+도/JX
최소	최소/NNG
1개	1/SN+개/NNB
이상	이상/NNG
설치하도록	설치하/VV+도록/EC
권장했다	권장하/VV+였/EP+다/EC

식사공간,	식사공간/NNG+,/SP
복도	복도/NNG
등	등/NNB
이동공간,	이동공간/NNG+,/SP
심리치료실	심리치료/NNG+실/XSN
등	등/NNB
프로그램	프로그램/NNG
공간	공간/NNG
등에서도	등/NNB+에서/JKB+도/JX
이용자인	이용자/NNG+이/VCP+ㄴ/ETM
아동의	아동/NNG+의/JKG
특성과	특성/NNG+과/JC
행태를	행태/NNG+를/JKO
배려한	배려하/VV+ㄴ/ETM
디자인	디자인/NNG
가이드라인이	가이드라인/NNG+이/JKS
준비돼	준비되/VV+어/EC
있다	있/VX+다/EC

노인요양시설에는	노인요양시설/NNG+에/JKB+는/JX
혼자	혼자/NNG
조용히	조용히/MAG
쉴	쉬/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간,	공간/NNG+,/SP
서너	서너/MM
명이	명/NNB+이/JKS
안락하게	안락하/VA+게/EC
모여	모이/VV+어/EC
앉을	앉/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
공간,	공간/NNG+,/SP
발을	발/NNG+을/JKO
뻗고	뻗/VV+고/EC
앉거나	앉/VV+거나/EC
누울	눕/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
평상	평상/NNG
등	등/NNB
노인의	노인/NNG+의/JKG
기분에	기분/NNG+에/JKB
따라	따르/VV+아/EC
선택할	선택하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
다양한	다양하/VA+ㄴ/ETM
공간을	공간/NNG+을/JKO
마련토록	마련하/VV+도록/EC
했다	하/VX+였/EP+다/EC

화장실	화장실/NNG
문은	문/NNG+은/JX
노인들이	노인/NNG+들/XSN+이/JKS
쉽게	쉽/VA+게/EC
여닫을	여닫/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
미닫이,	미닫이/NNG+,/SP
접이문,	접이문/NNG+,/SP
자동문을	자동문/NNG+을/JKO
권장하고,	권장하/VV+고/EC+,/SP
벽과	벽/NNG+과/JKB
대비되는	대비되/VV+는/ETM
색을	색/NNG+을/JKO
사용해	사용하/VV+여/EC
눈에	눈/NNG+에/JKB
잘	잘/MAG
띄도록	띄/VV+도록/EC
했다	하/VX+였/EP+다/EF

어린이집은	어린이집/NNG+은/JX
아동을	아동/NNG+을/JKO
안거나	안/VV+거나/EC
유모차에	유모차/NNG+에/JKB
태우고도	태우/VV+고도/EC
쉽게	쉽/VA+게/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
높낮이	높낮이/NNG
차와	차/NNG+와/JC
기울기가	기울기/NNG+가/JKS
없는	없/VA+는/ETM
평탄한	평탄하/VA+ㄴ/ETM
진입로를	진입로/NNG+를/JKO
만드는	만들/VV+는/ETM
한편,	한편/NNG+,/SP
꽃과	꽃/NNG+과/JC
나무를	나무/NNG+를/JKO
심고	심/VV+고/EC
아치	아치/NNG
등을	등/NNB+을/JKO
설치해	설치하/VV+여/EC
'즐거운	'/SS+즐겁/VA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
들어간다'는	들어가/VV+ㄴ다/EF+'/SS+는/JX
느낌이	느낌/NNG+이/JKS
들도록	들/VV+도록/EC
했다	하/VX+였/EP+다/EF

장애인복지관에는	장애인복지/NNG+관/XSN+에/JKB+는/JX
복도	복도/NNG
양측에	양측/NNG+에/JKB
각각	각각/MAG
바닥으로부터	바닥/NNG+으로부터/JKB
0	0/SN

85ｍ,	85ｍ/SN+,/SP
0	0/SN

65ｍ	65/SN+ｍ/SL
정도	정도/NNG
높이에	높이/NNG+에/JKB
이중으로	이중/NNG+으로/JKB
손잡이를	손잡이/NNG+를/JKO
설치하도록	설치하/VV+도록/EC
했다	하/VX+였/EP+다/EC

복도	복도/NNG
벽의	벽/NNG+의/JKG
모서리는	모서리/NNG+는/JX
둥글게	둥글/VA+게/EC
또는	또는/MAG
사선으로	사선/NNG+으로/JKB
처리하거나	처리하/VV+거나/EC
보호패드를	보호패드/NNG+를/JKO
부착하도록	부착하/VV+도록/EC
했다	하/VX+였/EP+다/EC

화분,	화분/NNG+,/SP
장식물	장식물/NNG
등도	등/NNB+도/JX
복도	복도/NNG
통행에	통행/NNG+에/JKB
방해가	방해/NNG+가/JKC
되지	되/VV+지/EC
않도록	않/VX+도록/EC
고려했다	고려하/VV+였/EP+다/EC

시	시/NNG
관계자는	관계자/NNG+는/JX
"이번에	"/SS+이번/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
가이드라인이	가이드라인/NNG+이/JKS
너무	너무/MAG
구체적이고	구체적/NNG+이/VCP+고/EC
소소하게	소소하/VA+게/EC
보일	보이/VV+ㄹ/ETM
수도	수/NNB+도/JX
있지만	있/VA+지만/EC
실제	실제/NNG
현장에서는	현장/NNG+에서/JKB+는/JX
가장	가장/MAG
쉽고	쉽/VA+고/EC
실용적으로	실용적/NNG+으로/JKB
적용할	적용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
메뉴얼이	메뉴얼/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

그는	그/NP+는/JX
또	또/MAG
"'비용이	"'/SS+비용/NNG+이/JKS
많이	많이/MAG
들고	들/VV+고/EC
형식이나	형식/NNG+이나/JC
겉치레에	겉치레/NNG+에/JKB
치중한다'는	치중하/VV+ㄴ다/EF+'/SS+는/JX
기존의	기존/NNG+의/JKG
디자인에	디자인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
편견을	편견/NNG+을/JKO
깨고	깨/VV+고/EC
이용자에게	이용자/NNG+에게/JKB
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
가이드라인이	가이드라인/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다"고	기대하/VV+ㄴ다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

가이드라인은	가이드라인/NNG+은/JX
간행물	간행물/NNG
형태로	형태/NNG+로/JKB
제작돼	제작되/VV+어/EC
전국의	전국/NNG+의/JKG
복지기관·건축가	복지기관/NNG+·/SP+건축가/NNG
등에	등/NNB+에/JKB
배포될	배포되/VV+ㄹ/ETM
예정이며	예정/NNG+이/VCP+며/EC
홈페이지에서도	홈페이지/NNG+에서/JKB+도/JX
무료로	무료/NNG+로/JKB
내려받아	내리/VV+어/EC+받/VV+아/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

시는	시/NNG+는/JX
내년에는	내년/NNG+에/JKB+는/JX
자치구의	자치구/NNG+의/JKG
신청을	신청/NNG+을/JKO
받아	받/VV+아/EC
가이드라인에	가이드라인/NNG+에/JKB
맞춘	맞추/VV+ㄴ/ETM
복지시설의	복지시설/NNG+의/JKG
설계지원·컨설팅	설계지원/NNG+·/SP+컨설팅/NNG
대상을	대상/NNG+을/JKO
확대하고,	확대하/VV+고/EC+,/SP
이번	이번/NNG
가이드라인이	가이드라인/NNG+이/JKS
실효성을	실효성/NNG+을/JKO
갖고	갖/VV+고/EC
적용될	적용되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
복지시설	복지시설/NNG
환경기준에	환경기준/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조례를	조례/NNG+를/JKO
제정할	제정하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

wise@yna	wise/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
