<황당	</SS+황당/NNG
원숭이를	원숭이/NNG+를/JKO
구입	구입/NNG
후	후/NNG
그녀의	그녀/NP+의/JKG
불안은	불안/NNG+은/JX
현저하게	현저하/VA+게/EC
사라졌다	사라지/VV+었/EP+다/EF

이제	이제/MAG
그녀는	그녀/NP+는/JX
24시간	24/SN+시간/NNB
원숭이	원숭이/NNG
리차드와	리차드/NNP+와/JKB
생활해야	생활하/VV+여야/EC
한다	하/VX+ㄴ다/EF

원숭이	원숭이/NNG
없이는	없이/MAG+는/JX
불안해서	불안하/VA+여서/EC
견디기가	견디/VV+기/ETN+가/JKS
힘들다	힘들/VA+다/EC

그녀의	그녀/NP+의/JKG
운전	운전/NNG
면허증에도	면허증/NNG+에/JKB+도/JX
원숭이와	원숭이/NNG+와/JKB
동행했다고	동행하/VV+였/EP+다고/EC
명시되어	명시되/VV+어/EC
있다	있/VX+다/EC

리차드는	리차드/NNP+는/JX
서비스	서비스/NNG
애니멀로	애니멀/NNG+로/JKB
등록된	등록되/VV+ㄴ/ETM
신분증까지	신분증/NNG+까지/JX
가지고	가지/VV+고/EC
다닌다	다니/VV+ㄴ다/EF

그녀는	그녀/NP+는/JX
최근	최근/NNG
미조리의	미조리/NNG+의/JKG
그린	그리/VA+ㄴ/ETM
카운티로부터	카운티/NNP+로부터/JKB
황당한	황당하/VA+ㄴ/ETM
경고장을	경고장/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

원숭이는	원숭이/NNG+는/JX
서비스	서비스/NNG
애니멀에	애니멀/NNG+에/JKB
속하지	속하/VV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
앞으로	앞/NNG+으로/JKB
어느	어느/MM
공공	공공/NNG
장소에도	장소/NNG+에/JKB+도/JX
함께	함께/MAG
출입하지	출입하/VV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
서한이	서한/NNG+이/JKS
날아든	날아들/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

그녀는	그녀/NP+는/JX
어이가	어이/NNG+가/JKS
없었다	없/VA+었/EP+다/EF

미국장애인법에	미국/NNP+장애인법/NNG+에/JKB
따르면	따르/VV+면/EC
어떤	어떤/MM
동물이든	동물/NNG+이든/JX
훈련	훈련/NNG
시켜서	시키/VV+어서/EC
함께하면	함께하/VV+면/EC
서비스	서비스/NNG
애니멀로	애니멀/NNG+로/JKB
사용될	사용되/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되어있다	되/VV+어/EC+있/VX+다/EC

원숭이를	원숭이/NNG+를/JKO
서비스	서비스/NNG
애니멀로	애니멀/NNG+로/JKB
인정하지	인정하/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
엄연한	엄연하/VA+ㄴ/ETM
동물	동물/NNG
차별이다	차별/NNG+이/VCP+다/EC

그녀의	그녀/NP+의/JKG
변호사는	변호사/NNG+는/JX
리차드가	리차드/NNP+가/JKS
아직	아직/MAG
한번도	한/MM+번/NNB+도/JX
말썽을	말썽/NNG+을/JKO
부리지	부리/VV+지/EC
않았는데도	않/VX+았/EP+는데/EC+도/JX
법적인	법적/NNG+이/VCP+ㄴ/ETM
제재를	제재/NNG+를/JKO
가하는	가하/VV+는/ETM
것은	것/NNB+은/JX
명백한	명백하/VA+ㄴ/ETM
차별이라며	차별/NNG+이/VCP+라며/EC
소송을	소송/NNG+을/JKO
하겠다고	하/VV+겠/EP+다고/EC
말했다	말하/VV+였/EP+다/EC

리차드	리차드/NNP
없이는	없이/MAG+는/JX
꼼짝	꼼짝/MAG
못하는	못하/VV+는/ETM
그녀에게	그녀/NP+에게/JKB
경고장은	경고장/NNG+은/JX
엄청난	엄청나/VA+ㄴ/ETM
충격이다	충격/NNG+이/VCP+다/EC

그녀는	그녀/NP+는/JX
다른	다른/MM
카운티에서는	카운티/NNP+에서/JKB+는/JX
리차드와	리차드/NNP+와/JKB
동행할	동행하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있지만	있/VA+지만/EC
그린	그리/VV+ㄴ/ETM
카운티에서만은	카운티/NNP+에서/JKB+만은/JX
함께하지	함께하/VV+지/EC
못한다	못하/VX+ㄴ다/EF

그녀에게	그녀/NP+에게/JKB
그린	그리/VV+ㄴ/ETM
카운티는	카운티/NNP+는/JX
금지	금지/NNG
구역이나	구역/NNG+이나/JC
마찬가지다	마찬가지/NNG+이/VCP+다/EC

원숭이권을	원숭이권/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
미국	미국/NNP
최초의	최초/NNG+의/JKG
소송이	소송/NNG+이/JKS
될	되/VV+ㄹ/ETM
것같아	것/NNB+같/VA+아/EC
세인의	세인/NNG+의/JKG
관심이	관심/NNG+이/JKS
집중되고	집중되/VV+고/EC
있다	있/VX+다/EC

원숭이의	원숭이/NNG+의/JKG
서비스	서비스/NNG
몽키	몽키/NNG
신분증(출처:	신분증/NNG+(/SS+출처/NNG+:/SP
장애	장애/NNG
세계	세계/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SN+샘/NNB
그린	그린/NNG
카운티에서	카운티/NNP+에서/JKB
보내온	보내오/VV+ㄴ/ETM
경고문(출처:	경고문/NNG+(/SS+출처/NNG+:/SP
장애	장애/NNG
세계	세계/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
카운티의	카운티/NNP+의/JKG
몰지각한	몰지각하/VA+ㄴ/ETM
처사를	처사/NNG+를/JKO
좌시하지	좌시하/VV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
다짐하는	다짐하/VV+는/ETM
변호사	변호사/NNG
짐	짐/NNP
아니슨(출처:	아니슨/NNP+(/SS+출처/NNG+:/SP
장애	장애/NNG
세계	세계/NNG
동영상	동영상/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ샘/SN
*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
