내달	내달/NNG
뜻을	뜻/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

별내역	별/MM+내역/NNG
승강장에서는	승강장/NNG+에서/JKB+는/JX
지붕	지붕/NNG
씌우기	씌우/VV+기/ETN
공사가	공사/NNG+가/JKS
진행	진행/NNG
중이다	중/NNB+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
별내역	별내역/NNG
화장실	화장실/NNG
도면을	도면/NNG+을/JKO
보면	보/VV+면/EC
장애인화장실	장애인화장실/NNG
안에	안/NNG+에/JKB
어린이	어린이/NNG
변기를	변기/NNG+를/JKO
설치하도록	설치하/VV+도록/EC
되어	되/VV+어/EC
있다	있/VX+다/EC

어린이	어린이/NNG
변기는	변기/NNG+는/JX
비장애인화장실	비장애인화장실/NNG
안에도	안/NNG+에/JKB+도/JX
설치하도록	설치하/VV+도록/EC
되어	되/VV+어/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
별내역	별/MM+내역/NNG
장애인화장실	장애인화장실/NNG
내부	내부/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
엘리베이터	엘리베이터/NNG
설치를	설치/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기초	기초/NNG
공사	공사/NNG
모습	모습/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
