정립회관,	정립회관/NNG+,/SP
등은	등/NNB+은/JX
자칫	자칫/MAG
넘어져	넘어지/VV+어/EC
다칠	다치/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
도사리고	도사리/VV+고/EC
있었다	있/VX+었/EP+다/EF

다만	다만/MAG
용변기	용변/NNG+기/XSN
등받이와	등받이/NNG+와/JC
휴지걸이는	휴지걸이/NNG+는/JX
공사	공사/NNG
중	중/NNB
설치해	설치하/VV+여/EC
마무리한다는	마무리하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
바닥에는	바닥/NNG+에/JKB+는/JX
공통적으로	공통적/NNG+으로/JKB
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자블록이	점자블록이/MAG
남녀	남녀/NNG
화장실을	화장실/NNG+을/JKO
구분할	구분하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

남자화장실	남자화장실/NNG
내부에	내부/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
소변기	소변기/NNG
중	중/NNB
2곳에는	2/SN+곳/NNG+에/JKB+는/JX
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

2곳	2/SN+곳/NNG
중	중/NNB
1곳의	1/SN+곳/NNG+의/JKG
소변기는	소변기/NNG+는/JX
공간이	공간/NNG+이/JKS
떠	뜨/VV+어/EC
있는	있/VX+는/ETM
소변기로	소변기/NNG+로/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
이용하기	이용하/VV+기/ETN
불편했다	불편하/VA+었/EP+다/EC

또한	또한/MAG
각층의	각층/NNG+의/JKG
각실	각실/NNG
출입문은	출입문/NNG+은/JX
모두	모두/MAG
미닫이로	미닫이/NNG+로/JKB
돼있어	되/VV+어/EC+있/VX+어/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
이용에	이용/NNG+에/JKB
불편이	불편/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

현재	현재/MAG
각실	각실/NNG
출입문	출입문/NNG
옆	옆/NNG
바닥에는	바닥/NNG+에/JKB+는/JX
점자블록,	점자블록/MAG+,/SP
벽면에는	벽면/NNG+에/JKB+는/JX
각실	각실/NNG
명을	명/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판,	점자표지판/NNG+,/SP
복도의	복도/NNG+의/JKG
핸드레일	핸드레일/NNG
손잡이에는	손잡이/NNG+에/JKB+는/JX
점자안내판을	점자안내판/NNG+을/JKO
설치하기	설치하/VV+기/ETN
위해	위하/VV+여/EC
작업	작업/NNG
중이다	중/NNB+이/VCP+다/EC

한편	한편/MAG
4층	4/SN+층/NNG
다목적홀로	다목적홀/NNG+로/JKB
통하는	통하/VV+는/ETM
출입문과	출입문/NNG+과/JC
다목절홀	다목절홀/NNG
내부에서	내부/NNG+에서/JKB
무대(강단)로	무대/NNG+(/SS+강단/NNG+)/SS+로/JKB
올라가는	올라가/VV+는/ETM
곳에는	곳/NNG+에/JKB+는/JX
각각	각각/MAG
계단이	계단/NNG+이/JKS
4개가	4/SN+개/NNB+가/JKS
있어	있/VA+어/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
수직형	수직형/NNG
휠체어리프트가	휠체어리프트/NNG+가/JKS
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

하지만	하지만/MAJ
수직형	수직형/NNG
휠체어리프트는	휠체어리프트/NNG+는/JX
지하철	지하철/NNG
계단에	계단/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
리프트처럼	리프트/NNG+처럼/JKB
이동시	이동/NNG+시/NNB
계속	계속/MAG
버튼을	버튼/NNG+을/JKO
누리고	누리/VV+고/EC
있어야	있/VX+어야/EC
해	하/VX+여/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
휠체어장애인들은	휠체어장애인/NNG+들/XSN+은/JX
힘이	힘/NNG+이/JKS
들어	들/VV+어/EC
불편이	불편/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

이	이/MM
때문에	때문/NNB+에/JKB
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
쉽고	쉽/VA+고/EC
편리하게	편리하/VA+게/EC
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
경사로	경사/NNG+로/JKB
설치가	설치/NNG+가/JKS
필요해	필요하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
정립회관	정립회관/NNG
관계자는	관계자/NNG+는/JX
“현재	“/SN+현재/NNG
장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
설치	설치/NNG
중에	중/NNB+에/JKB
있다”며	있/VA+다/EC+”/VX+며/EC
“불편사항은	“/SW+불/XPN+편사항/NNG+은/JX
시정하도록	시정하/VV+도록/EC
하겠다”고	하/VX+겠/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

새롭게	새롭/VA+게/EC
탈바꿈한	탈바꿈하/VV+ㄴ/ETM
정립회관의	정립회관/NNG+의/JKG
모습을	모습/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있는	있/VX+는/ETM
건축	건축/NNG
조감도	조감/NNG+도/JX

조감도의	조감도/NNG+의/JKG
우측	우측/NNG
건물은	건물/NNG+은/JX
수영장이다	수영장/NNG+이/VCP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
정립회관	정립회관/NNG
옥상	옥상/NNG
모습	모습/NNG

경사로가	경사로/NNG+가/JKS
옆	옆/NNG
건물인	건물/NNG+이/VCP+ㄴ/ETM
수영장으로	수영장/NNG+으로/JKB
연결돼	연결되/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
남자화장실내	남자화/NNG+장실/XSN+내/NNB
마련된	마련되/VV+ㄴ/ETM
소변기	소변기/NNG
중	중/NNB
2곳에는	2/SN+곳/NNG+에/JKB+는/JX
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

2곳	2/SN+곳/NNG
중	중/NNB
1곳의	1/SN+곳/NNG+의/JKG
소변기는	소변기/NNG+는/JX
공간이	공간/NNG+이/JKS
떠	뜨/VV+어/EC
있는	있/VX+는/ETM
소변기로	소변기/NNG+로/JKB
설채돼	설채되/VV+어/EC
있어	있/VX+어/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
이용하기	이용하/VV+기/ETN
불편했다	불편하/VA+었/EP+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
4층에	4/SN+층/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
베란다다	베란다다/NNP

공간이	공간/NNG+이/JKS
넓어	넓/VA+어/EC
화재	화재/NNG
등의	등/NNB+의/JKG
위험	위험/NNG
재닌시	재닌시/NNG
임시로	임시/NNG+로/JKB
대피,	대피/NNG+,/SP
2차	2/SN+차/NNB
구조를	구조/NNG+를/JKO
기다릴수	기다리/VV+ㄹ/ETM+수/NNB
있다	있/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
3-4층	3/SN+-/SO+4/SN+층/NNG
베란다에	베란다/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
구조대(미끄럽틀)다	구조대/NNG+(/SS+미끄럽틀/NNG+)/SS+이/VCP+다/EF

중증장애인들은	중증장애인/NNG+들/XSN+은/JX
화재	화재/NNG
재난시	재난/NNG+시/NNB
이용할	이용하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNG
각층에	각층/NNG+에/JKB
마련된	마련되/VV+ㄴ/ETM
비장애인화장실	비장애인화장실/NNG
앞	앞/NNG
바닥에	바닥/NNG+에/JKB
점자블록이	점자블록이/MAG
잘설치돼	잘설치되/VV+어/EC
있다	있/VX+다/EC

벽면에는	벽면/NNG+에/JKB+는/JX
남여	남여/NNG
화장실을	화장실/NNG+을/JKO
구분하는	구분하/VV+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
각실	각실/NNG
출입문은	출입문/NNG+은/JX
여닫이로	여닫이/NNG+로/JKB
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인은	중증장애인/NNG+은/JX
사용할수가	사용하/VV+ㄹ/ETM+수/NNB+가/JKS
없다	없/VA+다/EC

출입문	출입문/NNG
옆	옆/NNG
바닥에는	바닥/NNG+에/JKB+는/JX
점자블록이	점자블록/NNG+이/JKS
없고	없/VA+고/EC
각실	각실/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
점자표지판이	점자표지판/NNG+이/JKS
없다	없/VA+다/EC

복도에	복도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
핸드레일	핸드레일/NNG
손잡이에도	손잡이/NNG+에/JKB+도/JX
점자표지판이	점자표지판/NNG+이/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
4층	4/SN+층/NNG
다목적홀	다목적홀/NNG
통로에서	통로/NNG+에서/JKB
무대로	무대/NNG+로/JKB
올라가는	올라가/VV+는/ETM
곳에	곳/NNG+에/JKB
수직형	수직형/NNG
휠체어리프트가	휠체어리프트/NNG+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

경사로를	경사로/NNG+를/JKO
길게	길/VA+게/EC
설치하면	설치하/VV+면/EC
휠체어장애인과	휠체어장애인/NNG+과/JC
비장애인	비/XPN+장애인/NNG
모두가	모두/NNG+가/JKS
편리하게	편리하/VA+게/EC
이용이	이용/NNG+이/JKS
가능하다	가능하/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
다목적홀	다목적홀/NNG
내부	내부/NNG
단상으로	단상/NNG+으로/JKB
올라가는	올라가/VV+는/ETM
곳에도	곳/NNG+에/JKB+도/JX
수직형	수직형/NNG
리프트가	리프트/NNG+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

경사로를	경사로/NNG+를/JKO
옆으로	옆/NNG+으로/JKB
길게	길/VA+게/EC
설치하면	설치하/VV+면/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
안전하고	안전하/VA+고/EC
빠르게	빠르/VA+게/EC
올라	오르/VV+아/EC
갈수가	가/VV+ㄹ/ETM+수/NNB+가/JKS
있다	있/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
