“장애인활동보조	“/SL+장애인활동보조/NNG
장소에만	장소/NNG+에/JKB+만/JX
미리	미리/MAG
데려다주고,	데려다주/VV+고/EC+,/SP
야학을	야학/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
전	전/NNP
씨는	씨/NNB+는/JX
혼자	혼자/NNG
집에	집/NNG+에/JKB
돌아올	돌아오/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다	없/VA+다/EC

전씨는	전/NNP+씨/NNB+는/JX
“활동보조	“/SN+활동보조/NNG
시간이	시간/NNG+이/JKS
부족해서	부족하/VA+여서/EC
화재로	화재/NNG+로/JKB
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
김	김/NNP
활동가의	활동가/NNG+의/JKG
죽음은	죽음/NNG+은/JX
남의	남/NNG+의/JKG
일이	일/NNG+이/JKC
아니다”며	아니/VCN+다/EC+”/VV+며/EC
“밤에	“/SL+밤/NNG+에/JKB
화장실을	화장실/NNG+을/JKO
혼자	혼자/NNG
가지	가/VV+지/EC
못하기	못하/VX+기/ETN
때문에	때문/NNB+에/JKB
가장	가장/MAG
곤란하다	곤란하/VA+다/EC

화재라도	화재/NNG+라도/JX
발생하면	발생하/VV+면/EC
속수무책이다”라고	속수무책/NNG+이/VCP+다”/EC+이/VCP+라고/EC
토로했다	토로하/VV+였/EP+다/EF

올해	올해/NNG
첫	첫/MM
총선선거를	총선선거/NNG+를/JKO
치루고,	치루/VV+고/EC+,/SP
두	두/MM
번째	번째/NNB
투표장을	투표장/NNG+을/JKO
방문한	방문하/VV+ㄴ/ETM
전	전/NNP
씨는	씨/NNB+는/JX
표정이	표정/NNG+이/JKS
밝았다	밝/VV+았/EP+다/EC

인천	인천/NNP
계양구	계양구/NNP
계산4동	계산/NNP+4/SN+동/NNG
제1투표소인	제/XPN+1/SN+투표소/NNG+이/VCP+ㄴ/ETM
계산중학교에서	계산중학교/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
전	전/NNP
씨는	씨/NNB+는/JX
투표	투표/NNG
안내도우미들의	안내도우미/NNG+들/XSN+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
비장애인들과	비장애인/NNG+들/XSN+과/JKB
나란히	나란히/MAG
줄을	줄/NNG+을/JKO
서서	서/VV+어서/EC
기표도	기표/NNG+도/JX
했다	하/VX+였/EP+다/EF

활동보조인의	활동보조인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받긴	받/VV+기/ETN+ㄴ/JX
했지만,	하/VX+였/EP+지만/EC+,/SP
직접	직접/MAG
사인을	사인/NNG+을/JKO
하고,	하/VV+고/EC+,/SP
기표도장도	기표도장/NNG+도/JX
전	전/NNP
씨	씨/NNB
스스로	스스로/MAG
하려고	하/VV+려고/EC
노력했다	노력하/VV+였/EP+다/EF

투표함에	투표하/VV+ㅁ/ETN+에/JKB
용지를	용지/NNG+를/JKO
넣고	넣/VV+고/EC
투표소를	투표소/NNG+를/JKO
빠져나온	빠져나오/VV+ㄴ/ETM
전씨는	전/NNP+씨/NNB+는/JX
“순식간에	“/SN+순식간/NNG+에/JKB
끝나버려서	끝나/VV+아/EC+버리/VX+어서/EC
얼떨떨하다	얼떨떨하/VA+다/EC

소신껏	소신껏/MAG
잘	잘/MAG
선택한	선택하/VV+ㄴ/ETM
것	것/NNB
같다”며	같/VA+다/EC+”/VX+며/EC
“처음	“/SL+처음/NNG
대통령	대통령/NNG
선거였지만,	선거/NNG+이/VCP+었/EP+지만/EC+,/SP
앞으로는	앞/NNG+으로/JKB+는/JX
계속	계속/MAG
꾸준히	꾸준히/MAG
내	나/NP+의/JKG
참정권을	참정권/NNG+을/JKO
지켜	지키/VV+어/EC
꼬박꼬박	꼬박꼬박/MAG
선거에	선거/NNG+에/JKB
참여할	참여하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
의지를	의지/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF

이어	이어/MAG
전씨는	전/NNP+씨/NNB+는/JX
“이번	“/SN+이번/NNG
선거로	선거/NNG+로/JKB
내가	내/NP+가/JKS
원하는	원하/VV+는/ETM
대통령이	대통령/NNG+이/JKC
되든	되/VV+든/EC
안되든,	안되/VV+든/EC+,/SP
장애인의	장애인/NNG+의/JKG
심정을	심정/NNG+을/JKO
잘	잘/MAG
이해해주는	이해하/VV+여/EC+주/VX+는/ETM
대통령이	대통령/NNG+이/JKC
되어주길	되/VV+어/EC+주/VX+기/ETN+ㄹ/JKO
바란다”며	바란다”/VV+며/EC
“장애인은	“/SN+장애인/NNG+은/JX
경제적인	경제적/NNG+이/VCP+ㄴ/ETM
면부터	면/NNG+부터/JX
시작해서	시작하/VV+여서/EC
모든	모든/MM
곳에서	곳/NNG+에서/JKB
소외받고	소외/NNG+받/VV+고/EC
있다	있/VX+다/EC

정책들을	정책/NNG+들/XSN+을/JKO
많이	많이/MAG
세워줄	세우/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
