중구보호작업장,	중구보호작업장/NNG+,/SP
개선이	개선/NNG+이/JKS
요구됐다	요구되/VV+었/EP+다/EF

먼저	먼저/MAG
보호작업장은	보호작업장/NNG+은/JX
긴급을	긴급/NNG+을/JKO
요하는	요하/VV+는/ETM
화재	화재/NNG
재난	재난/NNG
시	시/NNG
등에	등/NNB+에/JKB
대피할	대피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
경사로	경사/NNG+로/JKB
및	및/MAG
베란다가	베란다/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

3층	3/SN+층/NNG
작업장	작업장/NNG
내	내/NNB
야외로	야외/NNG+로/JKB
통하는	통하/VV+는/ETM
미끄럼틀만	미끄럼틀/NNG+만/JX
설치,	설치/NNG+,/SP
창문으로	창문/NNG+으로/JKB
탈출할	탈출하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
돼	되/VV+어/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
전부였다	전부/NNG+이/VCP+었/EP+다/EF

엘리베이터	엘리베이터/NNG
출입구	출입구/NNG
옆에는	옆/NNG+에/JKB+는/JX
점자안내판이	점자안내판/NNG+이/JKS
반구형으로	반구형/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

점자안내판은	점자안내판/NNG+은/JX
출입구	출입구/NNG
버튼	버튼/NNG
옆	옆/NNG
벽면에	벽면/NNG+에/JKB
설치하면	설치하/VV+면/EC
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
사용하기	사용하/VV+기/ETN
더욱	더욱/MAG
더	더/MAG
편리하다	편리하/VA+다/EC

점자안내판	점자안내판/NNG
앞	앞/NNG
바닥에는	바닥/NNG+에/JKB+는/JX
점자블록도	점자블록/MAG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

점자를	점자/NNG+를/JKO
읽지	읽/VV+지/EC
못하는	못하/VX+는/ETM
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
음성유도기와	음성유도기/NNG+와/JC
직원호출벨도	직원호출벨/NNG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

남녀	남녀/NNG
장애인화장실은	장애인화장실/NNG+은/JX
2층의	2/SN+층/NNG+의/JKG
비장애인화장실	비장애인화장실/NNG
내에만	내/NNB+에/JKB+만/JX
존재했다	존재하/VV+였/EP+다/EF

공통으로	공통/NNG+으로/JKB
출입문은	출입문/NNG+은/JX
터치식자동문으로	터치식자동문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있었고	있/VX+었/EP+고/EC
내부	내부/NNG
장애인화장실	장애인화장실/NNG
출입문은	출입문/NNG+은/JX
미닫이문으로	미닫이문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

장애인화장실	장애인화장실/NNG
내	내/NNB
비상호출벨과	비상호출벨/NNG+과/JC
휴지걸이는	휴지걸이/NNG+는/JX
중증장애인의	중증장애인/NNG+의/JKG
손이	손/NNG+이/JKS
닿는	닿/VV+는/ETM
곳에	곳/NNG+에/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

반면	반면/NNG
용변기에는	용변/NNG+기/XSN+에/JKB+는/JX
등받이가	등받이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

또한	또한/MAG
세면대도	세면대/NNG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

2층의	2/SN+층/NNG+의/JKG
남·여탈의실은	남/NNG+·/SP+여탈의실/NNG+은/JX
여닫이문으로	여닫이문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
남·여샤워실은	남/NNG+·/SP+여샤워실/NNP+은/JX
공통으로	공통/NNG+으로/JKB
샤워기가	샤워기/NNG+가/JKS
2개	2/SN+개/NNB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
20여명이	20/SN+여/XSN+명/NNB+이/JKS
사용하기	사용하/VV+기/ETN
부족해	부족하/VA+여/EC
보였다	보이/VV+었/EP+다/EF

현재	현재/MAG
여근로자는	여근로자/NNG+는/JX
6명이지만	6/SN+명/NNB+이/VCP+지만/EC
남근로자는	남근로자/NNP+는/JX
17명에	17/SN+명/NNB+에/JKB
달한다	달하/VV+ㄴ다/EF

보호작업장에는	보호작업장/NNG+에/JKB+는/JX
거대	거대/NNG
화물용	화물/NNG+용/XSN
엘리베이터가	엘리베이터/NNG+가/JKS
설치돼	설치되/VV+어/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
물건을	물건/NNG+을/JKO
쉽게	쉽/VA+게/EC
들고	들/VX+고/EC
날수	나/VV+ㄹ/ETM+수/NNB
있도록	있/VA+도록/EC
돼	되/VV+어/EC
있었다	있/VX+었/EP+다/EF

장애인전용주차장은	장애인전용주차장/NNG+은/JX
중구장애인종합복지관과	중구장애인종합복지관/NNG+과/JKB
함께	함께/MAG
사용해야해	사용하/VV+여야/EC+하/VX+여/EC
불편이	불편/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

또한	또한/MAG
보호작업장	보호작업장/NNG
앞	앞/NNG
대로변은	대로변/NNG+은/JX
6차선으로	6/SN+차선/NNG+으로/JKB
매우	매우/MAG
혼잡하고,	혼잡하/VA+고/EC+,/SP
부둣가에서	부둣가/NNG+에서/JKB
대형차량들이	대형차량/NNG+들/XSN+이/JKS
많이	많이/MAG
다녀	다니/VV+어/EC
위험한	위험하/VA+ㄴ/ETM
도로로	도로/NNG+로/JKB
장애인들을	장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
안전통행에	안전통행/NNG+에/JKB
각별한	각별하/VA+ㄴ/ETM
주의가	주의/NNG+가/JKS
요망됐다	요망되/VV+었/EP+다/EF

보호작업장	보호작업장/NNG
한	한/MM
관계자는	관계자/NNG+는/JX
“BF인증을	“BF/SL+인증/NNG+을/JKO
받기위해	받/VV+기/ETN+위하/VV+여/EC
많이	많이/MAG
개선했지만	개선하/VV+였/EP+지만/EC
건물이	건물/NNG+이/JKS
좁아	좁/VA+아/EC
협소하고	협소하/VA+고/EC
열악한	열악하/VA+ㄴ/ETM
형편"이라고	형편/NNG+"/SS+이라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

중구장애인보호작업장은	중구장애인보호작업장/NNG+은/JX
긴급	긴급/NNG
재난	재난/NNG
및	및/MAG
화재시	화재시/NNG
탈출,	탈출/NNG+,/SP
대피할	대피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
경사로와	경사로/NNG+와/JC
배란다가	배란다/NNG+가/JKS
없다	없/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인보호작업장	장애인보호작업장/NNG
3층	3/SN+층/NNG
작업장에	작업장/NNG+에/JKB
유일하게	유일하/VA+게/EC
설치된	설치되/VV+ㄴ/ETM
구조대	구조대/NNG

창문의	창문/NNG+의/JKG
미끄럼털을	미끄럼털/NNG+을/JKO
통해	통하/VV+여/EC
탈출할수	탈출하/VV+ㄹ/ETM+수/NNB
있도록	있/VA+도록/EC
돼	되/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
건물	건물/NNG
안내	안내/NNG
점자안내판은	점자안내판/NNG+은/JX
엘리베이터	엘리베이터/NNG
옆에	옆/NNG+에/JKB
설치돼	설치되/VV+어/EC
있지만	있/VX+지만/EC
바닥에는	바닥/NNG+에/JKB+는/JX
점자블록이	점자블록이/MAG
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않다	않/VX+다/EC

점자를	점자/NNG+를/JKO
읽지못하는	읽지못하/VV+는/ETM
시각장애인들	시각장애인/NNG+들/XSN
위한	위하/VV+ㄴ/ETM
음성유도기도	음성유도기/NNG+도/JX
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않고,	않/VX+고/EC+,/SP
직원호출벨도	직원호출벨/NNG+도/JX
없다	없/VA+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
남여장애인화장실이	남여장애인화장실/NNG+이/JKS
있는	있/VA+는/ETM
남여화장실	남여화장/NNG+실/XSN
주출입구는	주출입구/NNG+는/JX
휠체어장애인도	휠체어장애인/NNG+도/JX
쉽게	쉽/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
터치식자동문으로	터치식자동문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
남여화장실	남여화장/NNG+실/XSN
내부의	내부/NNG+의/JKG
남여장애인화장실	남여장애인화장실/NNG
출입문은	출입문/NNG+은/JX
공통으로	공통/NNG+으로/JKB
미닫이출입문으로	미닫이출입문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인화장실	장애인화장실/NNG
내부의	내부/NNG+의/JKG
비상호출벨과	비/XPN+상호출벨/NNG+과/JC
휴지걸이는	휴지걸이/NNG+는/JX
중증장애인의	중증장애인/NNG+의/JKG
손이	손/NNG+이/JKS
닿는	닿/VV+는/ETM
위치에	위치/NNG+에/JKB
제대로	제대로/MAG
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

하지만	하지만/MAJ
용변기에는	용변/NNG+기/XSN+에/JKB+는/JX
등받이가	등받이/NNG+가/JKS
없어	없/VA+어/EC
중증장애인의	중증장애인/NNG+의/JKG
불편이	불편/NNG+이/JKS
예측됐다	예측되/VV+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
남여샤워실에는	남/NNG+여/XSN+샤워/NNG+실/XSN+에/JKB+는/JX
각각	각각/MAG
샤워기가	샤워기/NNG+가/JKS
2대씩	2/SN+대/NNB+씩/XSN
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
다소	다소/MAG
불편이	불편/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

보호작업장에서는	보호작업장/NNG+에서/JKB+는/JX
현재	현재/MAG
발달장애	발달장애/NNG
여근로자	여근로자/NNG
6명,	6/SN+명/NNB+,/SP
남근로자	남근로자/NNG
17명이	17/SN+명/NNB+이/JKS
근무하고	근무하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
거대	거대/NNG
화물용	화물/NNG+용/XSN
엘리베이터가	엘리베이터/NNG+가/JKS
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
물건을	물건/NNG+을/JKO
옮기기	옮기/VV+기/ETN
편하게	편하/VA+게/EC
돼	되/VV+어/EC
있었다	있/VX+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
중구장애인보호작업장의	중구장애인보호작업장/NNG+의/JKG
23명	23/SN+명/NNB
발달장애인들이	발달장애인/NNG+들/XSN+이/JKS
하청	하청/NNG
임가공	임가공/NNG
가구	가구/NNG
경첩을	경첩/NNG+을/JKO
조립하고	조립하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
