"'성폭행	"'/SS+성폭행/NNG
인정받음"이라	인정받/VV+음/ETN+"/SS+이라/JKQ
썼다	쓰/VV+었/EP+다/EC

이와	이/NP+와/JKB
관련해	관련하/VV+여/EC
김응권	김응권/NNP
교과부	교과부/NNG
제1차관은	제/XPN+1/SN+차관/NNG+은/JX
"대전교육청에서	"/SS+대전교육청/NNP+에서/JKB
해당	해당/NNG
교사와	교사/NNG+와/JC
교장	교장/NNG
등	등/NNB
관련자에	관련자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
징계를	징계/NNG+를/JKO
검토하도록	검토하/VV+도록/EC
하겠다"고	하/VX+겠/EP+다/EF+"/SS+고/JKQ
답했다	답하/VV+였/EP+다/EF

유	유/NNP
의원은	의원/NNG+은/JX
"가해학생은	"/SS+가해학생/NNG+은/JX
3차례	3/SN+차례/NNG
학교가	학교/NNG+가/JKS
주는	주/VV+는/ETM
상을	상/NNG+을/JKO
받았고	받/VV+았/EP+고/EC
수상	수상/NNG
시기도	시기/NNG+도/JX
입학전형	입학전형/NNG
서류	서류/NNG
제출	제출/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
8월에	8/SN+월/NNB+에/JKB
몰려	몰리/VV+어/EC
있었다"며	있/VX+었/EP+다/EF+"/SS+며/EC
학교	학교/NNG
측의	측/NNB+의/JKG
조직적인	조직적/NNG+이/VCP+ㄴ/ETM
비호	비호/NNG
가능성을	가능성/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

이어	이어/MAG
"법원에	"/SS+법원/NNG+에/JKB
선처를	선처/NNG+를/JKO
구할	구하/VV+ㄹ/ETM
목적으로	목적/NNG+으로/JKB
했던	하/VV+였/EP+던/ETM
사회봉사	사회봉사/NNG
시간을	시간/NNG+을/JKO
모두	모두/MAG
학생부에	학생부/NNG+에/JKB
기재해	기재하/VV+여/EC
입학사정관	입학사정관/NNG
전형자료로	전형자료/NNG+로/JKB
제출했다"며	제출하/VV+였/EP+다/EF+"/SS+며/EC
"성균관대는	"/SS+성균관대/NNP+는/JX
해당	해당/NNG
학생을	학생/NNG+을/JKO
지체없이	지체/NNG+없이/MAG
입학을	입학/NNG+을/JKO
취소해야	취소하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

한편	한편/MAG
성균관대는	성균관대/NNP+는/JX
지난	지나/VV+ㄴ/ETM
20일께	20/SN+일/NNB+께/XSN
해당	해당/NNG
학생과	학생/NNG+과/JC
학교에	학교/NNG+에/JKB
소년보호처분	소년보호처분/NNG
사유,	사유/NNG+,/SP
추천서와	추천서/NNG+와/JC
자기소개서	자기소개/NNG+서/XSN
작성	작성/NNG
경위	경위/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
의견	의견/NNG
진술서와	진술서/NNG+와/JC
소명서를	소명서/NNG+를/JKO
이달	이달/NNG
말까지	말/NNB+까지/JX
보내달라고	보내/VV+어/EC+달/VX+라고/EC
요청했다	요청하/VV+였/EP+다/EC

nomad@yna	nomad/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
