장애인	장애인/NNG
내용이	내용/NNG+이/JKS
중대하다고	중대하/VA+다고/EC
판단,	판단/NNG+,/SP
A씨에	A/SL+씨/NNB+에/JKB
대해	대하/VV+여/EC
직권조사를	직권조사/NNG+를/JKO
실시했다	실시하/VV+였/EP+다/EC

조사	조사/NNG
결과	결과/NNG
A씨는	A/SL+씨/NNB+는/JX
1960년대부터	1960/SN+년대/NNB+부터/JX
1986년까지	1986/SN+년/NNB+까지/JX
21명의	21/SN+명/NNB+의/JKG
장애인을	장애인/NNG+을/JKO
입양이	입양/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
친자식으로	친자식/NNG+으로/JKB
호적에	호적/NNG+에/JKB
출생신고를	출생신고/NNG+를/JKO
했고,	하/VV+였/EP+고/EC+,/SP
장애인들에게	장애인/NNG+들/XSN+에게/JKB
지급되는	지급되/VV+는/ETM
수급비를	수급비/NNG+를/JKO
A씨의	A/SL+씨/NNB+의/JKG
생활비로	생활비/NNG+로/JKB
사용하고	사용하/VV+고/EC
있었다	있/VX+었/EP+다/EF

또한	또한/MAG
피해자들과	피해자/NNG+들/XSN+과/JKB
함께	함께/MAG
산	살/VV+ㄴ/ETM
속에	속/NNG+에/JKB
거주하며	거주하/VV+며/EC
출입구를	출입구/NNG+를/JKO
철문으로	철문/NNG+으로/JKB
잠근	잠그/VV+ㄴ/ETM
채	채/NNB
자유롭게	자유롭/VA+게/EC
출입	출입/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
만들었고,	만들/VV+었/EP+고/EC+,/SP
밖에	밖/NNG+에/JKB
나갔다	나가/VV+았/EP+다/EC
들어왔다는	들어오/VV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
피해자들을	피해자/NNG+들/XSN+을/JKO
감금	감금/NNG
및	및/MAG
폭행한	폭행하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났다	드러나/VV+았/EP+다/EC

특히	특히/MAG
피해자	피해자/NNG
양팔에	양팔/NNG+에/JKB
주소,	주소/NNG+,/SP
연락처,	연락처/NNG+,/SP
장애인이라는	장애인/NNG+이/VCP+라는/ETM
문구	문구/NNG
등을	등/NNB+을/JKO
피해자의	피해자/NNG+의/JKG
의사에	의사/NNG+에/JKB
반해	반하/VV+여/EC
문신으로	문신/NNG+으로/JKB
새기고	새기/VV+고/EC
밖에	밖/NNG+에/JKB
나갔다가	나가/VV+았/EP+다가/EC
잡혀	잡히/VV+어/EC
들어오면	들어오/VV+면/EC
몽둥이로	몽둥이/NNG+로/JKB
발바닥과	발바닥/NNG+과/JC
어깨	어깨/NNG
등을	등/NNB+을/JKO
폭행한	폭행하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다	밝혀지/VV+었/EP+다/EF

A씨가	A/SL+씨/NNB+가/JKS
피해자들을	피해자/NNG+들/XSN+을/JKO
한정된	한정되/VV+ㄴ/ETM
주거공간에	주거공간/NNG+에/JKB
감금해	감금하/VV+여/EC
노동만을	노동/NNG+만/JX+을/JKO
강요하고,	강요하/VV+고/EC+,/SP
건강유지를	건강유지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
조치도	조치/NNG+도/JX
하지	하/VV+지/EC
않아	않/VX+아/EC
치아	치아/NNG
완전	완전/NNG
결손,	결손/NNG+,/SP
직장암	직장암/NNG
말기	말기/NNG
상태에	상태/NNG+에/JKB
이르게	이르/VV+게/EC
하는	하/VX+는/ETM
등	등/NNB
피해자들을	피해자/NNG+들/XSN+을/JKO
유기하고	유기하/VV+고/EC
학대한	학대하/VV+ㄴ/ETM
점도	점/NNG+도/JX
확인됐다	확인되/VV+었/EP+다/EF

또한	또한/MAG
여성	여성/NNG
장애인을	장애인/NNG+을/JKO
목욕시키는	목욕/NNG+시키/XSV+는/ETM
등	등/NNB
성적	성적/NNG
희롱,	희롱/NNG+,/SP
장애를	장애/NNG+를/JKO
이용한	이용하/VV+ㄴ/ETM
성적	성적/NNG
추행	추행/NNG
행위와	행위/NNG+와/JC
입양시킨	입양/NNG+시키/XSV+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
후원금품	후원금품/NNG
모금을	모금/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
홍보수단으로	홍보수단/NNG+으로/JKB
사용하는	사용하/VV+는/ETM
등	등/NNB
영리	영리/NNG
목적으로	목적/NNG+으로/JKB
이용한	이용하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
인권위는	인권위/NNG+는/JX
중증	중증/NNG
발달장애인들을	발달장애인/NNG+들/XSN+을/JKO
21명이나	21/SN+명/NNB+이나/JX
친자식으로	친자식/NNG+으로/JKB
호적에	호적/NNG+에/JKB
입적시켜	입적/NNG+시키/XSV+어/EC
제대로	제대로/MAG
양육하지	양육하/VV+지/EC
않고	않/VX+고/EC
상해	상하/VV+여/EC
및	및/MAG
감금	감금/NNG
등을	등/NNB+을/JKO
한	한/MM
행위,	행위/NNG+,/SP
생존한	생존하/VV+ㄴ/ETM
4명과	4/SN+명/NNB+과/JKB
사망한	사망하/VV+ㄴ/ETM
2명	2/SN+명/NNB
외	외/NNB
나머지	나머지/NNG
장애인들은	장애인/NNG+들/XSN+은/JX
행방조차	행방/NNG+조차/JX
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
점에	점/NNG+에/JKB
대해	대하/VV+여/EC
검찰의	검찰/NNG+의/JKG
수사의뢰를	수사의뢰/NNG+를/JKO
결정했다	결정하/VV+였/EP+다/EC

더불어	더불/VV+어/EC
법적으로	법적/NNG+으로/JKB
친자관계에	친자관계/NNG+에/JKB
있는	있/VA+는/ETM
피해자들은	피해자/NNG+들/XSN+은/JX
향후	향후/NNG
또	또/MAG
다른	다른/MM
피해를	피해/NNG+를/JKO
당	당/VV
할	하/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
허위의	허위/NNG+의/JKG
친생자	친생자/NNG
관계를	관계/NNG+를/JKO
단절시킬	단절/NNG+시키/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
판단,	판단/NNG+,/SP
관련	관련/NNG
법상의	법/NNG+상/XSN+의/JKG
소송	소송/NNG
수행을	수행/NNG+을/JKO
위해	위하/VV+여/EC
대한법률구조공단에	대한/NNP+법률구조공단/NNG+에/JKB
법률구조를	법률구조/NNG+를/JKO
요청했다	요청하/VV+였/EP+다/EC

지급한	지급하/VV+ㄴ/ETM
복지급여	복지급여/NNG
등이	등/NNB+이/JKS
적절하게	적절하/VA+게/EC
수급자를	수급자/NNG+를/JKO
위해	위하/VV+여/EC
사용되고	사용되/VV+고/EC
있는지	있/VX+는지/EC
점검하고,	점검하/VV+고/EC+,/SP
확인해야	확인하/VV+여야/EC
될	되/VV+ㄹ/ETM
의무를	의무/NNG+를/JKO
해태한	해태하/VV+ㄴ/ETM
해당	해당/NNG
지자체에게도	지자체/NNG+에게/JKB+도/JX
재발방지	재발방지/NNG
대책마련을	대책마련/NNG+을/JKO
권고했다	권고하/VV+였/EP+다/EC
