급우들과	급우/NNG+들/XSN+과/JKB
감격을	감격/NNG+을/JKO
감추지	감추/VV+지/EC
못했다	못하/VX+였/EP+다/EC

이	이/MM
5분짜리	5/SN+분/NNB+짜리/XSN
비디오는	비디오/NNG+는/JX
지금	지금/MAG
세계로	세계/NNG+로/JKB
번져갔다	번져가/VV+았/EP+다/EF

23일	23/SN+일/NNB
현재	현재/MAG
클릭수가	클릭수/NNG+가/JKS
150만	150/SN+만/NR
건에	건/NNB+에/JKB
이르고	이르/VV+고/EC
답글이	답글/NNG+이/JKS
천	천/NR
칠백건이	칠백/NNG+건/NNB+이/JKS
넘는다	넘/VV+는다/EC

'이	'/SS+이/MM
동영상을	동영상/NNG+을/JKO
보고	보/VV+고/EC
나는	나/NP+는/JX
비로소	비로소/MAG
인간애가	인간애/NNG+가/JKS
다시	다시/MAG
살아나는	살아나/VV+는/ETM
것을	것/NNB+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있었습니다	있/VX+었/EP+습니다/EF

''대단한	''/SS+대단하/VA+ㄴ/ETM
매트,	매트/NNG+,/SP
대단한	대단하/VA+ㄴ/ETM
학급	학급/NNG
어린이,	어린이/NNG+,/SP
대단한	대단하/VA+ㄴ/ETM
코치였습니다	코치/NNG+이/VCP+었/EP+습니다/EF

''이런	''/SS+이런/MM
비디오	비디오/NNG
생전	생전/NNG
처음입니다	처음/NNG+이/VCP+ㅂ니다/EC

'감동성	'/SS+감동성/NNG
댓글은	댓글/NNG+은/JX
오늘도	오늘/NNG+도/JX
끊임없이	끊임없이/MAG
올라오고	올라오/VV+고/EC
있다	있/VX+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
