향상된	향상되/VV+ㄴ/ETM
‘주차가능’으로	‘/SL+주차가능/NNG+’/SL+으로/JKB
바꿔야	바꾸/VV+어야/EC
한다	하/VX+ㄴ다/EF

지하	지하/NNG
1층	1/SN+층/NNG
상가	상가/NNG
입구에	입구/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
점자안내판은	점자안내판/NNG+은/JX
부식형으로	부식형/NNG+으로/JKB
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
손으로	손/NNG+으로/JKB
읽기	읽/VV+기/ETN
불편했다	불편하/VA+었/EP+다/EC

그	그/MM
안에는	안/NNG+에/JKB+는/JX
직원호출버튼이	직원호출버튼/NNG+이/JKS
없었고,	없/VA+었/EP+고/EC+,/SP
설치된	설치되/VV+ㄴ/ETM
음성유도기는	음성유도기/NNG+는/JX
소리가	소리/NNG+가/JKS
울려	울리/VV+어/EC
정보를	정보/NNG+를/JKO
정확히	정확히/MAG
전달하지	전달하/VV+지/EC
못하는	못하/VX+는/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

반면	반면/NNG
청각장애인을	청각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
화상전화기와	화상전화기/NNG+와/JC
전동휠체어	전동휠체어/NNG
충전기가	충전기/NNG+가/JKS
설치됐다	설치되/VV+었/EP+다/EF

이와	이/NP+와/JKB
관련	관련/NNG
시공	시공/NNG
업체	업체/NNG
관계자는	관계자/NNG+는/JX
“장애인들의	“/SN+장애인/NNG+들/XSN+의/JKG
불편을	불편/NNG+을/JKO
최소화하도록	최소화하/VV+도록/EC
노력했다”면서	노력하/VV+였/EP+다/EC+”/VV+면서/EC
“문제가	“/SL+문제/NNG+가/JKS
있는	있/VA+는/ETM
것은	것/NNB+은/JX
개선해	개선하/VV+여/EC
나가겠다”고	나가/VX+겠/EP+다”고/EC
말했다	말하/VV+였/EP+다/EC

한편	한편/MAG
구세군회관은	구세군/NNP+회관/NNG+은/JX
건물	건물/NNG
2층의	2/SN+층/NNG+의/JKG
리모델링을	리모델링/NNG+을/JKO
계획하고	계획하/VV+고/EC
있다	있/VX+다/EC

충정로	충정로/NNP
구세군회관	구세군회관/NNG
건물	건물/NNG
전경	전경/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
리모델링한	리모델링/NNG+하/XSV+ㄴ/ETM
장애인화장실	장애인화장실/NNG
내부	내부/NNG

세면대	세면대/NNG
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
점은	점/NNG+은/JX
옥에	옥/NNG+에/JKB
티다	티/VV+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
계단	계단/NNG
중간	중간/NNG
참부분에	참부분/NNG+에/JKB
시각장애인들을	시각장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
설치한	설치하/VV+ㄴ/ETM
점자블록	점자블록/MAG

ⓒ박종태	ⓒ/SN+박종태/NNP
2층	2/SN+층/NNG
아트홀(카르마전용관)	아트홀/NNG+(/SS+카르마전용관/NNG+)/SS
장애인화장실의	장애인화장실/NNG+의/JKG
출입문은	출입문/NNG+은/JX
접이식이다	접이식/NNG+이/VCP+다/EC

현재	현재/MAG
구세군회관은	구세군/NNP+회관/NNG+은/JX
2층의	2/SN+층/NNG+의/JKG
리모델링을	리모델링/NNG+을/JKO
계획하고	계획하/VV+고/EC
있다	있/VX+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
지하2층	지하/NNG+2/SN+층/NNG
주차장에	주차장/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
경사로	경사/NNG+로/JKB

휠체어장애인이	휠체어장애인/NNG+이/JKS
불편	불편/NNG
없이	없이/MAG
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
경사도다	경사/NNG+도다/JX

ⓒ박종태	ⓒ/SL+박종태/NNP
지하2층	지하/NNG+2/SN+층/NNG
장애인전용주차구역	장애인전용주차구역/NNG
바닥에	바닥/NNG+에/JKB
양호하게	양호하/VA+게/EC
설치된	설치되/VV+ㄴ/ETM
장애인마크	장애인마크/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
장애인전용주차구역에	장애인전용주차구역/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
'장애인주차	'/SS+장애인주차/NNG
안내판'	안내판/NNG+'/SS

문구	문구/NNG
중	중/NNB
“장애인자동차"를	“/SN+장애인자동차/NNG+"/SS+를/JKO
"주차가능"으로	"/SS+주차가능/NNG+"/SS+으로/JKB
바꿔야	바꾸/VV+어야/EC
한다	하/VX+ㄴ다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
지하1층에	지하/NNG+1/SN+층/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
점자안내판	점자안내판/NNG

부식형으로	부식형/NNG+으로/JKB
시각장애인이	시각장애인/NNG+이/JKS
손으로	손/NNG+으로/JKB
읽기	읽/VV+기/ETN
불편하다	불편하/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
