더욱	더욱/MAG
이에	이/NP+에/JKB
장애인들은	장애인/NNG+들/XSN+은/JX
새누리당	새누리당/NNP
원내대표의	원내대표/NNG+의/JKG
면담과	면담/NNG+과/JC
책임	책임/NNG
있는	있/VA+는/ETM
답변을	답변/NNG+을/JKO
촉구하며,	촉구하/VV+며/EC+,/SP
1박2일	1/SN+박/NNB+2/SN+일/NNB
간	간/XSN
농성투쟁을	농성투쟁/NNG+을/JKO
불사할	불사하/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없었다	없/VA+었/EP+다/EF

농성투쟁에도	농성투쟁/NNG+에/JKB+도/JX
장애인들은	장애인/NNG+들/XSN+은/JX
새누리당으로부터	새누리당/NNP+으로부터/JKB
아무런	아무런/MM
답변을	답변/NNG+을/JKO
듣지	듣/VV+지/EC
못하자,	못하/VX+자/EC+,/SP
이들은	이/NP+들/XSN+은/JX
하루를	하루/NNG+를/JKO
꼬박	꼬박/MAG
넘긴	넘기/VV+ㄴ/ETM
3일	3/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
정론관에서	정론관/NNG+에서/JKB
투쟁선포	투쟁선포/NNG
기자회견을	기자회견/NNG+을/JKO
진행한	진행하/VV+ㄴ/ETM
뒤에서야	뒤/NNG+에서/JKB+야/JX
농성을	농성/NNG+을/JKO
풀었다	풀/VV+었/EP+다/EC

일시적	일시적/NNG
농성은	농성/NNG+은/JX
풀렸지만	풀리/VV+었/EP+지만/EC
새누리당을	새누리당/NNP+을/JKO
향한	향하/VV+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
투쟁은	투쟁/NNG+은/JX
장기화될	장기화되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

3일	3/SN+일/NNB
‘제20회	‘/SN+제/XPN+20/SN+회/NNB
세계장애인의	세계장애인/NNG+의/JKG
날’을	날/NNG+’/SL+을/JKO
맞아,	맞/VV+아/EC+,/SP
오후	오후/NNG
2시부터	2/SN+시/NNB+부터/JX
권리와	권리/NNG+와/JC
투쟁과	투쟁/NNG+과/JC
연대의	연대/NNG+의/JKG
마당을	마당/NNG+을/JKO
열어	열/VV+어/EC
한마음으로	한마음/NNG+으로/JKB
활동지원제도	활동지원제/NNG+도/JX
예산	예산/NNG
문제를	문제/NNG+를/JKO
꼬집을	꼬집/VV+을/ETM
것으로	것/NNB+으로/JKB
예견되고	예견되/VV+고/EC
있다	있/VX+다/EC

전장연	전장연/NNP
남병준	남병준/NNP
정책실장은	정책실장/NNG+은/JX
“농성은	“/SL+농성/NNG+은/JX
기자회견이	기자회견/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
해산했으며,	해산하/VV+였/EP+으며/EC+,/SP
2시부터	2/SN+시/NNB+부터/JX
있을	있/VA+을/ETM
행사를	행사/NNG+를/JKO
위해	위하/VV+여/EC
광화문으로	광화문/NNP+으로/JKB
이동하고	이동하/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“새누리당으로부터	“/SW+새누리당/NNG+으로부터/JKB
아무런	아무런/MM
이야기를	이야기/NNG+를/JKO
듣지	듣/VV+지/EC
못했지만	못하/VX+였/EP+지만/EC
예산확보	예산확보/NNG
약속을	약속/NNG+을/JKO
받아낼	받/VV+아/EC+내/VX+ㄹ/ETM
때까지	때/NNG+까지/JX
항의	항의/NNG
등	등/NNB
투쟁을	투쟁/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
의기를	의기/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF
