지적장애인,	지적장애인/NNG+,/SP
짓지	짓/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
분명히	분명히/MAG
말했었는데	말하/VV+었었/EP+는데/EC
믿어주지	믿/VV+어/EC+주/VX+지/EC
않아	않/VX+아/EC
억울했다"고	억울하/VV+였/EP+다/EF+"/SS+고/JKQ
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
"당시	"/SS+당시/NNG
내가	내/NP+가/JKS
노숙자였기	노숙자/NNG+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
(수사기관이)함부로	(/SS+수사기관/NNG+이/JKS+)/SS+함부로/MAG
대했던	대하/VV+였/EP+던/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"수사받을	"/SS+수사/NNG+받/VV+을/ETM
때	때/NNG
(수사관이)서류	(/SS+수사관/NNG+이/JKS+)/SS+서류/NNG
뭉치로	뭉치/NNG+로/JKB
뒤통수를	뒤통수/NNG+를/JKO
때리고,	때리/VV+고/EC+,/SP
발로	발/NNG+로/JKB
찬	차/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다"며	있/VA+다/EF+"/SS+며/EC
“이제는	“/SL+이제/NNG+는/JX
직장을	직장/NNG+을/JKO
잡는	잡/VV+는/ETM
것이	것/NNB+이/JKS
향후	향후/NNG
계획이다”고	계획/NNG+이/VCP+다/EC+”/VX+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

정씨는	정/NNP+씨/NNB+는/JX
현재,	현재/NNG+,/SP
수원	수원/NNP
다시서기센터의	다시서기센터/NNP+의/JKG
후원으로	후원/NNG+으로/JKB
고시원을	고시/NNG+원/XSN+을/JKO
지원받아	지원/NNG+받/VV+아/EC
살아가고	살아가/VV+고/EC
있다	있/VX+다/EC

기나긴	기나길/VA+ㄴ/ETM
정씨의	정/NNP+씨/NNB+의/JKG
법정다툼을	법정다툼/NNG+을/JKO
함께했던	함께하/VV+였/EP+던/ETM
박준영	박준영/NNP
변호사는	변호사/NNG+는/JX
“정신적인	“/SN+정신적/NNG+이/VCP+ㄴ/ETM
고통,	고통/NNG+,/SP
잘못된	잘못되/VV+ㄴ/ETM
수사,	수사/NNG+,/SP
다른	다른/MM
관련자들을	관련자/NNG+들/XSN+을/JKO
추가	추가/NNG
기소하면서의	기소하/VV+면서/EC+의/JKG
정신적	정신적/NNG
피해와	피해/NNG+와/JC
인권도	인권/NNG+도/JX
침해됐다”며	침해되/VV+었/EP+다/EC+”/VX+며/EC
“정씨가	“/SL+정/NNP+씨/NNB+가/JKS
살인혐의로	살인혐의/NNG+로/JKB
복역한	복역하/VV+ㄴ/ETM
5년	5/SN+년/NNB
기간에	기간/NNG+에/JKB
대해	대하/VV+여/EC
국가를	국가/NNG+를/JKO
상대로	상대/NNG+로/JKB
배상을	배상/NNG+을/JKO
청구할	청구하/VV+ㄹ/ETM
것"고	것/NNB+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
"강력범에	"/SS+강력범/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재심판결은	재심판결/NNG+은/JX
이번이	이번/NNG+이/JKS
아마	아마/MAG
최초	최초/NNG
사례이다	사례/NNG+이/VCP+다/EC

진범이	진범/NNG+이/JKS
나오지	나오/VV+지/EC
않은	않/VX+은/ETM
이상	이상/NNG
재심	재심/NNG
판결은	판결/NNG+은/JX
너무나	너무나/MAG
어렵다"며	어렵/VA+다/EF+"/SS+며/EC
“이	“/SL+이/JKS
사건을	사건/NNG+을/JKO
계기로	계기/NNG+로/JKB
억울한	억울하/VA+ㄴ/ETM
사람에	사람/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재판이	재판/NNG+이/JKS
다시	다시/MAG
열려야	열리/VV+어야/EC
한다”고	하/VX+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

앞서,	앞서/MAG+,/SP
정씨는	정/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
5월14일	5/SN+월/NNB+14/SN+일/NNB
오전	오전/NNG
2시께	2/SN+시/NNB+께/XSN
김양을	김/NNP+양/NNB+을/JKO
평소	평소/NNG
절도범으로	절도범/NNG+으로/JKB
의심하던	의심하/VV+던/ETM
A씨(여)로	A/SL+씨/NNB+(/SS+여/NNG+)/SS+로/JKB
착각하고	착각하/VV+고/EC
수원의	수원/NNP+의/JKG
한	한/MM
고등학교에서	고등학교/NNG+에서/JKB
폭행해	폭행하/VV+여/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/EF
혐의로	혐의/NNG+로/JKB
기소돼	기소되/VV+어/EC
1심에서	1/SN+심/NNG+에서/JKB
징역	징역/NNG
7년을	7/SN+년/NNB+을/JKO
선고받았다	선고/NNG+받/VV+았/EP+다/EC

정씨는	정/NNP+씨/NNB+는/JX
그해	그해/NNG
12월	12/SN+월/NNB
항소심에서	항소심/NNG+에서/JKB
징역	징역/NNG
5년을	5/SN+년/NNB+을/JKO
선고받고	선고/NNG+받/VV+고/EC
상고를	상고/NNG+를/JKO
포기해	포기하/VV+여/EC
판결이	판결/NNG+이/JKS
확정됐다	확정되/VV+었/EP+다/EF

상고를	상고/NNG+를/JKO
포기한	포기하/VV+ㄴ/ETM
후,	후/NNG+,/SP
형을	형/NNG+을/JKO
살던	살/VV+던/ETM
정씨의	정/NNP+씨/NNB+의/JKG
무죄	무죄/NNG
입증의	입증/NNG+의/JKG
‘끈’이	‘끈/SN+’/SL+이/JKS
나온건	나오/VV+ㄴ/ETM+건/NNB
2년전이다	2/SN+년/NNB+전/NNG+이/VCP+다/EC

검찰이	검찰/NNG+이/JKS
정씨의	정/NNP+씨/NNB+의/JKG
공범이라며	공범/NNG+이/VCP+라며/EC
노숙청소년	노숙청소년/NNG
4명을	4/SN+명/NNB+을/JKO
추가기소해	추가기소해/NNG
재판에	재판/NNG+에/JKB
넘겼으나	넘기/VV+었/EP+으나/EC
2010년	2010/SN+년/NNB
7월	7/SN+월/NNB
대법원에서	대법원/NNG+에서/JKB
최종	최종/NNG
무죄	무죄/NNG
판결나면서	판결/NNG+나/VV+면서/EC
‘새로운	‘/SL+새롭/VA+ㄴ/ETM
국면’으로	국면/NNG+’/SL+으로/JKB
전환된	전환되/VV+ㄴ/ETM
것	것/NNB

이후	이후/NNG
대법원은	대법원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6월14일	6/SN+월/NNB+14/SN+일/NNB
정씨에	정/NNP+씨/NNB+에/JKB
대해	대하/VV+여/EC
최종	최종/NNG
무죄를	무죄/NNG+를/JKO
확정했고	확정하/VV+였/EP+고/EC
이어	이어/MAG
정씨의	정/NNP+씨/NNB+의/JKG
상해치사	상해치사/NNP
혐의에	혐의/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
재심을	재심/NNG+을/JKO
결정했다	결정하/VV+였/EP+다/EC
