‘세계장애인의	‘/SL+세계장애인/NNG+의/JKG
이렇게	이렇/VA+게/EC
살아야	살/VV+아야/EC
하냐	하/VX+냐/EF

아제는	아제/NNG+는/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
힘으로	힘/NNG+으로/JKB
투쟁해	투쟁하/VV+여/EC
쟁취할	쟁취하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
피력했다	피력하/VV+었/EP+다/EC

이날	이날/NNG
함께한	함께하/VV+ㄴ/ETM
무소속	무소속/NNG
김소연	김소연/NNP
대선	대선/NNG
후보는	후보/NNG+는/JX
“장애인들의	“/SL+장애인/NNG+들/XSN+의/JKG
모습이	모습/NNG+이/JKS
조금	조금/MAG
다르다고	다르/VA+다고/EC
차별받는다는	차별/NNG+받/VV+는다는/ETM
것은	것/NNB+은/JX
인정	인정/NNG
못	못/MAG
한다”며	하/VV+ㄴ다/EC+”/VX+며/EC
“최소한의	“/SL+최소한/NNG+의/JKG
권리,	권리/NNG+,/SP
보편적인	보편적/NNG+이/VCP+ㄴ/ETM
생활을	생활/NNG+을/JKO
위해	위하/VV+여/EC
함께	함께/MAG
투쟁하자”고	투쟁하/VV+자”고/EC
강조했다	강조하/VV+였/EP+다/EC

또한	또한/MAG
김소연	김소연/NNP
대선	대선/NNG
후보는	후보/NNG+는/JX
“장애인활동지원제도의	“/SN+장애인활동지원제도/NNG+의/JKG
문제는	문제/NNG+는/JX
장애인의	장애인/NNG+의/JKG
문제와	문제/NNG+와/JC
노동자의	노동자/NNG+의/JKG
문제가	문제/NNG+가/JKS
맞닿아있다”며	맞닿/VV+아/EC+있/VX+다/EC+”/VV+며/EC
“함께	“함께/MAG
힘을	힘/NNG+을/JKO
보태겠다”고	보태/VV+겠/EP+다”고/EC
의기를	의기/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF

한편	한편/MAG
이날	이날/NNG
결의대회에는	결의대회/NNG+에/JKB+는/JX
장애인을	장애인/NNG+을/JKO
시혜와	시혜/NNG+와/JC
동정의	동정/NNG+의/JKG
대상으로	대상/NNG+으로/JKB
전락시킨	전락/NNG+시키/XSV+ㄴ/ETM
장애인복지법을	장애인복지법/NNG+을/JKO
폐지하고	폐지하/VV+고/EC
인권과	인권/NNG+과/JC
자립의	자립/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
패러다임인	패러다임/NNG+이/VCP+ㄴ/ETM
‘장애인권리보장법’	‘/SN+장애인권리보장법/NNG+’/SL
제정을	제정/NNG+을/JKO
위해	위하/VV+여/EC
전국에서	전국/NNG+에서/JKB
장애인활동가들이	장애인활동가/NNG+들/XSN+이/JKS
모였다	모이/VV+었/EP+다/EC

강원,	강원/NNP+,/SP
인천,	인천/NNP+,/SP
충북,	충북/NNP+,/SP
광주,	광주/NNP+,/SP
경남,	경남/NNP+,/SP
부산,	부산/NNP+,/SP
대전	대전/NNP
등	등/NNB
지역에서	지역/NNG+에서/JKB
올라온	올라오/VV+ㄴ/ETM
7명의	7/SN+명/NNB+의/JKG
활동가들은	활동가/NNG+들/XSN+은/JX
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
장애인권리보장법에	장애인권리보장법/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명을	설명/NNG+을/JKO
하며,	하/VV+며/EC+,/SP
함께	함께/MAG
투쟁할	투쟁하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
선언했다	선언하/VV+였/EP+다/EF

빗속에서의	빗속/NNG+에서/JKB+의/JKG
결의대회를	결의대회/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
활동가들은	활동가/NNG+들/XSN+은/JX
장애인권리행진의	장애인권리행진/NNG+의/JKG
일환으로,	일환/NNG+으로/JKB+,/SP
국가인권위원회로	국가인권위원회/NNG+로/JKB
이동해	이동하/VV+여/EC
“장애인이	“/SN+장애인/NNG+이/JKS
차별받지	차별/NNG+받/VV+지/EC
않으려면	않/VX+으려면/EC
인권위부터	인권위/NNG+부터/JX
바로서야	바로/MAG+서/VV+어야/EC
한다”며	하/VX+ㄴ다”며/EC
현병철	현병철/NNP
위원장의	위원장/NNG+의/JKG
퇴임을	퇴임/NNG+을/JKO
촉구하기도	촉구하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

이어	이어/MAG
시청	시청/NNG
앞	앞/NNG
재능교육노조	재능교육노조/NNG
농성장,	농성장/NNG+,/SP
대한문	대한문/NNP
앞	앞/NNG
쌍용자동차노동자	쌍용자동차/NNP+노동자/NNG
투쟁장에	투쟁장/NNG+에/JKB
방문	방문/NNG
등	등/NNB
노동자민중의	노동자민/NNG+중/NNB+의/JKG
투쟁에	투쟁/NNG+에/JKB
연대하는	연대하/VV+는/ETM
행진을	행진/NNG+을/JKO
진행했다	진행하/VV+였/EP+다/EF

턱없이	턱없이/MAG
부족한	부족하/VA+ㄴ/ETM
활동지원제도를	활동지원제도/NNG+를/JKO
설명하는	설명하/VV+는/ETM
한	한/MM
활동가의	활동가/NNG+의/JKG
모습	모습/NNG

‘제20회	‘/SL+제/XPN+20/SN+회/NNB
세계장애인의	세계장애인/NNG+의/JKG
날’을	날/NNG+’/SL+을/JKO
맞아	맞/VV+아/EC
전국에	전국/NNG+에/JKB
모인	모이/VV+ㄴ/ETM
장애인단체	장애인단체/NNG
활동가들이	활동가/NNG+들/XSN+이/JKS
빗속에서	빗속/NNG+에서/JKB
행진을	행진/NNG+을/JKO
진행했다	진행하/VV+였/EP+다/EF
